 SubSets Ready to use!
 Delete previous filelist 
Grid  0 Read!
SSGrid written!
RMS Solution read!
nk =  1       ze =  12
xi       et       ze       x       y       z
 60        17        12        -0.447         0.080         0.194
 70        25        12        -0.428         0.097         0.194
 80        31        12        -0.404         0.113         0.194
 90        40        12        -0.383         0.140         0.194
100        43        12        -0.348         0.153         0.194
110        50        12        -0.318         0.182         0.194
120        59        12        -0.291         0.226         0.194
130        62        12        -0.244         0.243         0.194
140        66        12        -0.196         0.267         0.194
nk =  2       ze =  37
xi       et       ze       x       y       z
 60         7        37        -0.412         0.074         0.139
 70        15        37        -0.390         0.086         0.139
 80        25        37        -0.368         0.102         0.139
 90        32        37        -0.342         0.119         0.139
100        40        37        -0.315         0.142         0.139
110        49        37        -0.290         0.175         0.139
120        52        37        -0.248         0.188         0.139
130        56        37        -0.205         0.207         0.139
140        65        37        -0.173         0.257         0.139
nk =  3       ze =  62
xi       et       ze       x       y       z
 60         0        62        -0.441         0.074         0.084
 70         0        62        -0.415         0.082         0.084
 80         0        62        -0.385         0.090         0.084
 90        28        62        -0.364         0.115         0.084
100        36        62        -0.335         0.134         0.084
110        35        62        -0.288         0.135         0.084
120        43        62        -0.252         0.157         0.084
130        45        62        -0.203         0.163         0.084
140        55        62        -0.168         0.202         0.084
nk =  4       ze =  87
xi       et       ze       x       y       z
 60        29        87        -0.429         0.093         0.029
 70        33        87        -0.409         0.108         0.029
 80        36        87        -0.383         0.121         0.029
 90        39        87        -0.353         0.135         0.029
100        38        87        -0.312         0.137         0.029
110        39        87        -0.269         0.142         0.029
120        40        87        -0.223         0.146         0.029
130        41        87        -0.174         0.148         0.029
140        36        87        -0.114         0.132         0.029
nk =  5       ze = 112
xi       et       ze       x       y       z
 60         0       112        -0.441         0.074        -0.026
 70         0       112        -0.415         0.082        -0.026
 80         0       112        -0.385         0.090        -0.026
 90        24       112        -0.360         0.110        -0.026
100        34       112        -0.332         0.130        -0.026
110        38       112        -0.293         0.142        -0.026
120        42       112        -0.251         0.154        -0.026
130        49       112        -0.211         0.178        -0.026
140        53       112        -0.163         0.193        -0.026
nk =  6       ze = 137
xi       et       ze       x       y       z
 60         6       137        -0.412         0.074        -0.081
 70        13       137        -0.389         0.085        -0.081
 80        23       137        -0.366         0.100        -0.081
 90        33       137        -0.343         0.121        -0.081
100        37       137        -0.310         0.134        -0.081
110        47       137        -0.285         0.167        -0.081
120        51       137        -0.246         0.184        -0.081
130        57       137        -0.208         0.212        -0.081
140        64       137        -0.170         0.250        -0.081
nk =  7       ze = 162
xi       et       ze       x       y       z
 60        17       162        -0.447         0.080        -0.136
 70        24       162        -0.427         0.096        -0.136
 80        32       162        -0.405         0.115        -0.136
 90        40       162        -0.383         0.140        -0.136
100        45       162        -0.352         0.160        -0.136
110        52       162        -0.323         0.190        -0.136
120        56       162        -0.283         0.210        -0.136
130        61       162        -0.241         0.237        -0.136
140        65       162        -0.193         0.260        -0.136
nk =  8       ze = 187
xi       et       ze       x       y       z
 60        33       187        -0.435         0.100        -0.191
 70        39       187        -0.420         0.122        -0.191
 80        44       187        -0.400         0.144        -0.191
 90        49       187        -0.377         0.168        -0.191
100        54       187        -0.350         0.194        -0.191
110        58       187        -0.315         0.217        -0.191
120        61       187        -0.273         0.235        -0.191
130        66       187        -0.234         0.266        -0.191
140        68       187        -0.182         0.278        -0.191
 Finished.
