x0	BtSide	x1	UpSide	
-4.850300e-01 	 0.000000e+00 	-4.850300e-01 	 -0.000000e+00 	 
-4.849760e-01 	 2.249360e-03 	-4.849760e-01 	 -2.249360e-03 	 
-4.848140e-01 	 4.493540e-03 	-4.848140e-01 	 -4.493540e-03 	 
-4.845430e-01 	 6.727200e-03 	-4.845430e-01 	 -6.727200e-03 	 
-4.841650e-01 	 8.945070e-03 	-4.841650e-01 	 -8.945070e-03 	 
-4.836790e-01 	 1.114200e-02 	-4.836790e-01 	 -1.114200e-02 	 
-4.830880e-01 	 1.331320e-02 	-4.830880e-01 	 -1.331320e-02 	 
-4.823970e-01 	 1.545430e-02 	-4.823970e-01 	 -1.545430e-02 	 
-4.816080e-01 	 1.756140e-02 	-4.816080e-01 	 -1.756140e-02 	 
-4.807710e-01 	 1.953040e-02 	-4.807710e-01 	 -1.953040e-02 	 
-4.799330e-01 	 2.130570e-02 	-4.799330e-01 	 -2.130570e-02 	 
-4.790920e-01 	 2.293610e-02 	-4.790920e-01 	 -2.293610e-02 	 
-4.782470e-01 	 2.445400e-02 	-4.782470e-01 	 -2.445400e-02 	 
-4.773950e-01 	 2.588190e-02 	-4.773950e-01 	 -2.588190e-02 	 
-4.765370e-01 	 2.723640e-02 	-4.765370e-01 	 -2.723640e-02 	 
-4.756690e-01 	 2.853030e-02 	-4.756690e-01 	 -2.853030e-02 	 
-4.747920e-01 	 2.977330e-02 	-4.747920e-01 	 -2.977330e-02 	 
-4.739030e-01 	 3.097340e-02 	-4.739030e-01 	 -3.097340e-02 	 
-4.730020e-01 	 3.213690e-02 	-4.730020e-01 	 -3.213690e-02 	 
-4.720860e-01 	 3.326920e-02 	-4.720860e-01 	 -3.326920e-02 	 
-4.711560e-01 	 3.437460e-02 	-4.711560e-01 	 -3.437460e-02 	 
-4.702090e-01 	 3.545690e-02 	-4.702090e-01 	 -3.545690e-02 	 
-4.692440e-01 	 3.651920e-02 	-4.692440e-01 	 -3.651920e-02 	 
-4.682610e-01 	 3.756420e-02 	-4.682610e-01 	 -3.756420e-02 	 
-4.672590e-01 	 3.859410e-02 	-4.672590e-01 	 -3.859410e-02 	 
-4.662350e-01 	 3.961110e-02 	-4.662350e-01 	 -3.961110e-02 	 
-4.651890e-01 	 4.061670e-02 	-4.651890e-01 	 -4.061670e-02 	 
-4.641200e-01 	 4.161250e-02 	-4.641200e-01 	 -4.161250e-02 	 
-4.630280e-01 	 4.259970e-02 	-4.630280e-01 	 -4.259970e-02 	 
-4.619100e-01 	 4.357960e-02 	-4.619100e-01 	 -4.357960e-02 	 
-4.607660e-01 	 4.455290e-02 	-4.607660e-01 	 -4.455290e-02 	 
-4.595950e-01 	 4.552060e-02 	-4.595950e-01 	 -4.552060e-02 	 
-4.583970e-01 	 4.648330e-02 	-4.583970e-01 	 -4.648330e-02 	 
-4.571700e-01 	 4.744160e-02 	-4.571700e-01 	 -4.744160e-02 	 
-4.559130e-01 	 4.839610e-02 	-4.559130e-01 	 -4.839610e-02 	 
-4.546260e-01 	 4.934720e-02 	-4.546260e-01 	 -4.934720e-02 	 
-4.533070e-01 	 5.029520e-02 	-4.533070e-01 	 -5.029520e-02 	 
-4.519570e-01 	 5.124040e-02 	-4.519570e-01 	 -5.124040e-02 	 
-4.505730e-01 	 5.218300e-02 	-4.505730e-01 	 -5.218300e-02 	 
-4.491560e-01 	 5.312320e-02 	-4.491560e-01 	 -5.312320e-02 	 
-4.477050e-01 	 5.406110e-02 	-4.477050e-01 	 -5.406110e-02 	 
-4.462190e-01 	 5.499680e-02 	-4.462190e-01 	 -5.499680e-02 	 
-4.446980e-01 	 5.593030e-02 	-4.446980e-01 	 -5.593030e-02 	 
-4.431400e-01 	 5.686150e-02 	-4.431400e-01 	 -5.686150e-02 	 
-4.415450e-01 	 5.779050e-02 	-4.415450e-01 	 -5.779050e-02 	 
-4.399130e-01 	 5.871720e-02 	-4.399130e-01 	 -5.871720e-02 	 
-4.382430e-01 	 5.964150e-02 	-4.382430e-01 	 -5.964150e-02 	 
-4.365340e-01 	 6.056320e-02 	-4.365340e-01 	 -6.056320e-02 	 
-4.347870e-01 	 6.148220e-02 	-4.347870e-01 	 -6.148220e-02 	 
-4.329990e-01 	 6.239830e-02 	-4.329990e-01 	 -6.239830e-02 	 
-4.311720e-01 	 6.331130e-02 	-4.311720e-01 	 -6.331130e-02 	 
-4.293040e-01 	 6.422110e-02 	-4.293040e-01 	 -6.422110e-02 	 
-4.273940e-01 	 6.512730e-02 	-4.273940e-01 	 -6.512730e-02 	 
-4.254440e-01 	 6.602980e-02 	-4.254440e-01 	 -6.602980e-02 	 
-4.234520e-01 	 6.692830e-02 	-4.234520e-01 	 -6.692830e-02 	 
-4.214170e-01 	 6.782260e-02 	-4.214170e-01 	 -6.782260e-02 	 
-4.193400e-01 	 6.871230e-02 	-4.193400e-01 	 -6.871230e-02 	 
-4.172200e-01 	 6.959720e-02 	-4.172200e-01 	 -6.959720e-02 	 
-4.150570e-01 	 7.047690e-02 	-4.150570e-01 	 -7.047690e-02 	 
-4.128500e-01 	 7.135130e-02 	-4.128500e-01 	 -7.135130e-02 	 
-4.106000e-01 	 7.221990e-02 	-4.106000e-01 	 -7.221990e-02 	 
-4.083060e-01 	 7.308250e-02 	-4.083060e-01 	 -7.308250e-02 	 
-4.059670e-01 	 7.393870e-02 	-4.059670e-01 	 -7.393870e-02 	 
-4.035840e-01 	 7.478830e-02 	-4.035840e-01 	 -7.478830e-02 	 
-4.011570e-01 	 7.563080e-02 	-4.011570e-01 	 -7.563080e-02 	 
-3.986840e-01 	 7.646600e-02 	-3.986840e-01 	 -7.646600e-02 	 
-3.961670e-01 	 7.729360e-02 	-3.961670e-01 	 -7.729360e-02 	 
-3.936040e-01 	 7.811310e-02 	-3.936040e-01 	 -7.811310e-02 	 
-3.909960e-01 	 7.892430e-02 	-3.909960e-01 	 -7.892430e-02 	 
-3.883430e-01 	 7.972680e-02 	-3.883430e-01 	 -7.972680e-02 	 
-3.856450e-01 	 8.052040e-02 	-3.856450e-01 	 -8.052040e-02 	 
-3.829010e-01 	 8.130460e-02 	-3.829010e-01 	 -8.130460e-02 	 
-3.801110e-01 	 8.207910e-02 	-3.801110e-01 	 -8.207910e-02 	 
-3.772760e-01 	 8.284360e-02 	-3.772760e-01 	 -8.284360e-02 	 
-3.743960e-01 	 8.359780e-02 	-3.743960e-01 	 -8.359780e-02 	 
-3.714700e-01 	 8.434130e-02 	-3.714700e-01 	 -8.434130e-02 	 
-3.684980e-01 	 8.507390e-02 	-3.684980e-01 	 -8.507390e-02 	 
-3.654810e-01 	 8.579510e-02 	-3.654810e-01 	 -8.579510e-02 	 
