x Curve1
0.0299728 0.0299728
0.0326975 0.0209095
0.0354223 0.0184978
0.0408719 0.0159358
0.0435967 0.0138257
0.0490463 0.0118667
0.0517711 0.0099073
0.0599455 0.00719497
0.0626703 0.00553709
0.0708447 0.00403078
0.0790191 0.00207221
0.0926431 0.000868238
0.106267 -0.000335739
0.122616 -0.0012378
0.141689 -0.00183794
0.171662 -0.00198417
0.201635 -0.00167815
0.231608 -0.00137212
0.264305 -0.00121644
0.288828 -0.00106199
0.318801 -0.000906713
0.348774 -0.000751441
0.384196 -0.000746101
0.419619 -0.000590007
0.444142 -0.000887818
0.452316 -0.00103734
0.463215 -0.00148796
0.474114 -0.00193858
0.482289 -0.00269111
0.490463 -0.00329289
0.498638 -0.00434694
0.506812 -0.00525023
0.512262 -0.00630468
0.520436 -0.00705722
0.52861 -0.00750825
0.53951 -0.00780811
0.550409 -0.00735421
0.558583 -0.00659921
0.564033 -0.00569386
0.572207 -0.00493886
0.580381 -0.00403311
0.588556 -0.0029766
0.59673 -0.00161858
0.60218 -0.000713239
0.610354 0.000644777
0.618529 0.00170129
0.626703 0.00260704
0.634877 0.00366355
0.645777 0.00456972
0.653951 0.00532472
0.66485 0.00577862
0.678474 0.00623294
0.694823 0.00638615
0.719346 0.0065406
0.752044 0.00639478
0.776567 0.00609697
0.798365 0.00579875
0.825613 0.00535059
0.850136 0.00490203
0.871935 0.00460381
0.893733 0.00430559
0.915531 0.00385661
0.93733 0.00340764
0.959128 0.00310942
0.978202 0.00281078
