x0	Cl	x1	Cd	
0.00000 	 0.68807 	0.00000 	 0.30817 	 
0.15655 	 0.68784 	0.15655 	 0.31001 	 
0.31310 	 0.68790 	0.31310 	 0.31147 	 
0.46966 	 0.68475 	0.46966 	 0.31163 	 
0.62621 	 0.68297 	0.62621 	 0.31250 	 
0.78276 	 0.68096 	0.78276 	 0.31378 	 
0.93931 	 0.67487 	0.93931 	 0.31321 	 
1.09586 	 0.66864 	1.09586 	 0.31283 	 
1.25241 	 0.66433 	1.25241 	 0.31379 	 
1.40897 	 0.66146 	1.40897 	 0.31593 	 
1.56552 	 0.65508 	1.56552 	 0.31626 	 
1.72207 	 0.65143 	1.72207 	 0.31595 	 
1.87862 	 0.64350 	1.87862 	 0.31374 	 
2.03517 	 0.63905 	2.03517 	 0.31360 	 
2.19173 	 0.63452 	2.19173 	 0.31317 	 
2.34828 	 0.62954 	2.34828 	 0.31290 	 
2.50483 	 0.62441 	2.50483 	 0.31145 	 
2.66138 	 0.61935 	2.66138 	 0.31107 	 
2.81793 	 0.61407 	2.81793 	 0.30932 	 
2.97448 	 0.60933 	2.97448 	 0.30734 	 
3.13104 	 0.60241 	3.13104 	 0.30428 	 
3.28759 	 0.59727 	3.28759 	 0.30279 	 
3.44414 	 0.59340 	3.44414 	 0.30057 	 
3.60069 	 0.59020 	3.60069 	 0.29763 	 
3.75724 	 0.58497 	3.75724 	 0.29355 	 
3.91380 	 0.57935 	3.91380 	 0.28903 	 
4.07035 	 0.57378 	4.07035 	 0.28475 	 
4.22690 	 0.56742 	4.22690 	 0.28007 	 
4.38345 	 0.56138 	4.38345 	 0.27577 	 
4.54000 	 0.55535 	4.54000 	 0.27078 	 
4.69656 	 0.55313 	4.69656 	 0.26769 	 
4.85311 	 0.55175 	4.85311 	 0.26468 	 
5.00966 	 0.55175 	5.00966 	 0.26281 	 
5.16621 	 0.54930 	5.16621 	 0.25960 	 
5.32276 	 0.54677 	5.32276 	 0.25521 	 
5.47931 	 0.54627 	5.47931 	 0.25151 	 
5.63587 	 0.54142 	5.63587 	 0.24703 	 
5.79242 	 0.53828 	5.79242 	 0.24361 	 
5.94897 	 0.53643 	5.94897 	 0.24125 	 
6.10552 	 0.53376 	6.10552 	 0.23968 	 
6.26207 	 0.53398 	6.26207 	 0.23982 	 
6.41863 	 0.53376 	6.41863 	 0.23985 	 
6.57518 	 0.53227 	6.57518 	 0.23936 	 
6.73173 	 0.53073 	6.73173 	 0.23858 	 
6.88828 	 0.53101 	6.88828 	 0.23828 	 
7.04483 	 0.52960 	7.04483 	 0.23730 	 
7.20138 	 0.53031 	7.20138 	 0.23636 	 
7.35794 	 0.53525 	7.35794 	 0.23799 	 
7.51449 	 0.53967 	7.51449 	 0.24035 	 
7.67104 	 0.54642 	7.67104 	 0.24357 	 
7.82759 	 0.55080 	7.82759 	 0.24562 	 
7.98414 	 0.55929 	7.98414 	 0.24878 	 
8.14070 	 0.56907 	8.14070 	 0.25375 	 
8.29725 	 0.57848 	8.29725 	 0.25832 	 
8.45380 	 0.58620 	8.45380 	 0.26157 	 
8.61035 	 0.59448 	8.61035 	 0.26481 	 
8.76690 	 0.60139 	8.76690 	 0.26775 	 
8.92345 	 0.61160 	8.92345 	 0.27286 	 
9.08001 	 0.62453 	9.08001 	 0.27934 	 
9.23656 	 0.63844 	9.23656 	 0.28543 	 
9.39311 	 0.64854 	9.39311 	 0.28952 	 
9.54966 	 0.65439 	9.54966 	 0.29191 	 
9.70621 	 0.65984 	9.70621 	 0.29407 	 
9.86277 	 0.66291 	9.86277 	 0.29496 	 
10.01932 	 0.66211 	10.01932 	 0.29283 	 
10.17587 	 0.65729 	10.17587 	 0.29026 	 
10.33242 	 0.65572 	10.33242 	 0.28851 	 
10.48897 	 0.65400 	10.48897 	 0.28694 	 
10.64553 	 0.64854 	10.64553 	 0.28477 	 
10.80208 	 0.64400 	10.80208 	 0.28223 	 
10.95863 	 0.64249 	10.95863 	 0.28148 	 
11.11518 	 0.64100 	11.11518 	 0.28100 	 
11.27173 	 0.63914 	11.27173 	 0.28039 	 
11.42828 	 0.64239 	11.42828 	 0.28097 	 
11.58484 	 0.63933 	11.58484 	 0.28049 	 
11.74139 	 0.63856 	11.74139 	 0.28058 	 
11.89794 	 0.63884 	11.89794 	 0.28091 	 
12.05449 	 0.63381 	12.05449 	 0.28010 	 
12.21104 	 0.63085 	12.21104 	 0.28004 	 
12.36760 	 0.62759 	12.36760 	 0.27972 	 
12.52415 	 0.62239 	12.52415 	 0.27605 	 
12.68070 	 0.61645 	12.68070 	 0.27133 	 
12.83725 	 0.61309 	12.83725 	 0.26744 	 
12.99380 	 0.60665 	12.99380 	 0.26289 	 
13.15035 	 0.60230 	13.15035 	 0.25998 	 
13.30691 	 0.59998 	13.30691 	 0.25721 	 
13.46346 	 0.59555 	13.46346 	 0.25401 	 
13.62001 	 0.59703 	13.62001 	 0.25388 	 
13.77656 	 0.59512 	13.77656 	 0.25187 	 
13.93311 	 0.59526 	13.93311 	 0.25103 	 
14.08967 	 0.59424 	14.08967 	 0.24904 	 
14.24622 	 0.59505 	14.24622 	 0.24784 	 
14.40277 	 0.59737 	14.40277 	 0.24823 	 
14.55932 	 0.60398 	14.55932 	 0.25119 	 
14.71587 	 0.60647 	14.71587 	 0.25147 	 
14.87242 	 0.61064 	14.87242 	 0.25235 	 
15.02898 	 0.61501 	15.02898 	 0.25328 	 
15.18553 	 0.61872 	15.18553 	 0.25397 	 
15.34208 	 0.62353 	15.34208 	 0.25567 	 
15.49863 	 0.63021 	15.49863 	 0.25851 	 
15.65518 	 0.63523 	15.65518 	 0.26082 	 
15.81174 	 0.64216 	15.81174 	 0.26358 	 
15.96829 	 0.64578 	15.96829 	 0.26450 	 
16.12484 	 0.64681 	16.12484 	 0.26459 	 
16.28139 	 0.64777 	16.28139 	 0.26515 	 
16.43794 	 0.64940 	16.43794 	 0.26605 	 
16.59449 	 0.65010 	16.59449 	 0.26773 	 
16.75105 	 0.65222 	16.75105 	 0.26966 	 
16.90760 	 0.65611 	16.90760 	 0.27152 	 
17.06415 	 0.65608 	17.06415 	 0.27197 	 
17.22070 	 0.65679 	17.22070 	 0.27232 	 
17.37725 	 0.65503 	17.37725 	 0.27100 	 
17.53381 	 0.65570 	17.53381 	 0.27100 	 
17.69036 	 0.65415 	17.69036 	 0.27023 	 
17.84691 	 0.65288 	17.84691 	 0.27018 	 
18.00346 	 0.65266 	18.00346 	 0.27019 	 
18.16001 	 0.65546 	18.16001 	 0.27132 	 
18.31657 	 0.65564 	18.31657 	 0.27277 	 
18.47312 	 0.65805 	18.47312 	 0.27554 	 
18.62967 	 0.65859 	18.62967 	 0.27634 	 
18.78622 	 0.66043 	18.78622 	 0.27785 	 
18.94277 	 0.66211 	18.94277 	 0.28000 	 
19.09932 	 0.66428 	19.09932 	 0.28327 	 
19.25588 	 0.66423 	19.25588 	 0.28453 	 
19.41243 	 0.66098 	19.41243 	 0.28494 	 
19.56898 	 0.66083 	19.56898 	 0.28631 	 
19.72553 	 0.66228 	19.72553 	 0.28902 	 
19.88208 	 0.66209 	19.88208 	 0.29062 	 
20.03864 	 0.65787 	20.03864 	 0.29025 	 
20.19519 	 0.65733 	20.19519 	 0.29063 	 
20.35174 	 0.65556 	20.35174 	 0.28989 	 
20.50829 	 0.65370 	20.50829 	 0.29073 	 
20.66484 	 0.65348 	20.66484 	 0.29077 	 
20.82139 	 0.65232 	20.82139 	 0.29034 	 
20.97795 	 0.64914 	20.97795 	 0.28980 	 
21.13450 	 0.64815 	21.13450 	 0.29063 	 
21.29105 	 0.64541 	21.29105 	 0.29122 	 
21.44760 	 0.64504 	21.44760 	 0.29174 	 
21.60415 	 0.64263 	21.60415 	 0.29038 	 
21.76071 	 0.64170 	21.76071 	 0.28976 	 
21.91726 	 0.63895 	21.91726 	 0.28940 	 
22.07381 	 0.63669 	22.07381 	 0.29022 	 
22.23036 	 0.63301 	22.23036 	 0.29004 	 
22.38691 	 0.62715 	22.38691 	 0.28803 	 
22.54346 	 0.62169 	22.54346 	 0.28647 	 
22.70002 	 0.61442 	22.70002 	 0.28467 	 
22.85657 	 0.61007 	22.85657 	 0.28417 	 
23.01312 	 0.60508 	23.01312 	 0.28275 	 
23.16967 	 0.59777 	23.16967 	 0.28051 	 
23.32622 	 0.58916 	23.32622 	 0.27775 	 
23.48278 	 0.58286 	23.48278 	 0.27557 	 
23.63933 	 0.57399 	23.63933 	 0.27221 	 
23.79588 	 0.56694 	23.79588 	 0.26922 	 
23.95243 	 0.55899 	23.95243 	 0.26699 	 
24.10898 	 0.55420 	24.10898 	 0.26692 	 
24.26554 	 0.55194 	24.26554 	 0.26773 	 
24.42209 	 0.54969 	24.42209 	 0.26834 	 
24.57864 	 0.54695 	24.57864 	 0.26931 	 
24.73519 	 0.54536 	24.73519 	 0.26941 	 
24.89174 	 0.54442 	24.89174 	 0.26872 	 
25.04829 	 0.54509 	25.04829 	 0.26900 	 
25.20485 	 0.54410 	25.20485 	 0.26807 	 
25.36140 	 0.54358 	25.36140 	 0.26725 	 
25.51795 	 0.54310 	25.51795 	 0.26679 	 
25.67450 	 0.54268 	25.67450 	 0.26570 	 
25.83105 	 0.54144 	25.83105 	 0.26349 	 
25.98761 	 0.54067 	25.98761 	 0.26229 	 
26.14416 	 0.53906 	26.14416 	 0.26050 	 
26.30071 	 0.53607 	26.30071 	 0.25748 	 
26.45726 	 0.53460 	26.45726 	 0.25515 	 
26.61381 	 0.53325 	26.61381 	 0.25427 	 
26.77036 	 0.53279 	26.77036 	 0.25338 	 
26.92692 	 0.52971 	26.92692 	 0.24955 	 
27.08347 	 0.52924 	27.08347 	 0.24750 	 
27.24002 	 0.52838 	27.24002 	 0.24774 	 
27.39657 	 0.53106 	27.39657 	 0.24887 	 
27.55312 	 0.53372 	27.55312 	 0.24954 	 
27.70968 	 0.53310 	27.70968 	 0.24955 	 
27.86623 	 0.53329 	27.86623 	 0.24964 	 
28.02278 	 0.53274 	28.02278 	 0.24849 	 
28.17933 	 0.53160 	28.17933 	 0.24741 	 
28.33588 	 0.53103 	28.33588 	 0.24681 	 
28.49243 	 0.52912 	28.49243 	 0.24645 	 
28.64899 	 0.52775 	28.64899 	 0.24580 	 
28.80554 	 0.52704 	28.80554 	 0.24620 	 
28.96209 	 0.52790 	28.96209 	 0.24699 	 
29.11864 	 0.52813 	29.11864 	 0.24733 	 
29.27519 	 0.53099 	29.27519 	 0.24906 	 
29.43175 	 0.53285 	29.43175 	 0.25049 	 
29.58830 	 0.53519 	29.58830 	 0.25204 	 
29.74485 	 0.53708 	29.74485 	 0.25307 	 
29.90140 	 0.54066 	29.90140 	 0.25439 	 
30.05795 	 0.54301 	30.05795 	 0.25571 	 
30.21451 	 0.54508 	30.21451 	 0.25737 	 
30.37106 	 0.54906 	30.37106 	 0.25866 	 
30.52761 	 0.55040 	30.52761 	 0.25867 	 
30.68416 	 0.55414 	30.68416 	 0.25902 	 
30.84071 	 0.55729 	30.84071 	 0.25925 	 
30.99726 	 0.56075 	30.99726 	 0.26028 	 
31.15382 	 0.56475 	31.15382 	 0.26156 	 
31.31037 	 0.56862 	31.31037 	 0.26264 	 
31.46692 	 0.57206 	31.46692 	 0.26337 	 
31.62347 	 0.57455 	31.62347 	 0.26442 	 
31.78002 	 0.57838 	31.78002 	 0.26546 	 
31.93658 	 0.58404 	31.93658 	 0.26785 	 
32.09313 	 0.58290 	32.09313 	 0.26740 	 
32.24968 	 0.58107 	32.24968 	 0.26575 	 
32.40623 	 0.57749 	32.40623 	 0.26326 	 
32.56278 	 0.57414 	32.56278 	 0.26125 	 
32.71933 	 0.56875 	32.71933 	 0.25872 	 
32.87589 	 0.56362 	32.87589 	 0.25607 	 
33.03244 	 0.55896 	33.03244 	 0.25349 	 
33.18899 	 0.55592 	33.18899 	 0.25167 	 
33.34554 	 0.55743 	33.34554 	 0.25253 	 
33.50209 	 0.55851 	33.50209 	 0.25365 	 
33.65865 	 0.55789 	33.65865 	 0.25323 	 
33.81520 	 0.55731 	33.81520 	 0.25303 	 
33.97175 	 0.55956 	33.97175 	 0.25362 	 
34.12830 	 0.55857 	34.12830 	 0.25309 	 
34.28485 	 0.55971 	34.28485 	 0.25318 	 
34.44140 	 0.56137 	34.44140 	 0.25365 	 
34.59796 	 0.56596 	34.59796 	 0.25426 	 
34.75451 	 0.56885 	34.75451 	 0.25415 	 
34.91106 	 0.56948 	34.91106 	 0.25291 	 
35.06761 	 0.57314 	35.06761 	 0.25388 	 
35.22416 	 0.57457 	35.22416 	 0.25321 	 
35.38072 	 0.57487 	35.38072 	 0.25215 	 
35.53727 	 0.58066 	35.53727 	 0.25189 	 
35.69382 	 0.58174 	35.69382 	 0.25054 	 
35.85037 	 0.58054 	35.85037 	 0.24820 	 
36.00692 	 0.58088 	36.00692 	 0.24572 	 
36.16347 	 0.58015 	36.16347 	 0.24355 	 
36.32003 	 0.58056 	36.32003 	 0.24239 	 
36.47658 	 0.58197 	36.47658 	 0.24203 	 
36.63313 	 0.58517 	36.63313 	 0.24242 	 
36.78968 	 0.58730 	36.78968 	 0.24310 	 
36.94623 	 0.59235 	36.94623 	 0.24600 	 
37.10279 	 0.59837 	37.10279 	 0.24868 	 
37.25934 	 0.60156 	37.25934 	 0.25097 	 
37.41589 	 0.60478 	37.41589 	 0.25217 	 
37.57244 	 0.60858 	37.57244 	 0.25316 	 
37.72899 	 0.61165 	37.72899 	 0.25369 	 
37.88555 	 0.61452 	37.88555 	 0.25496 	 
38.04210 	 0.61688 	38.04210 	 0.25502 	 
38.19865 	 0.62275 	38.19865 	 0.25736 	 
38.35520 	 0.63043 	38.35520 	 0.26224 	 
38.51175 	 0.63647 	38.51175 	 0.26576 	 
38.66830 	 0.64049 	38.66830 	 0.26884 	 
38.82486 	 0.64171 	38.82486 	 0.27162 	 
38.98141 	 0.64324 	38.98141 	 0.27469 	 
39.13796 	 0.64608 	39.13796 	 0.27690 	 
39.29451 	 0.65054 	39.29451 	 0.28037 	 
39.45106 	 0.65468 	39.45106 	 0.28361 	 
39.60762 	 0.65254 	39.60762 	 0.28409 	 
39.76417 	 0.65126 	39.76417 	 0.28539 	 
39.92072 	 0.65001 	39.92072 	 0.28703 	 
40.07727 	 0.64930 	40.07727 	 0.28937 	 
40.23382 	 0.64985 	40.23382 	 0.29070 	 
40.39037 	 0.64720 	40.39037 	 0.29136 	 
40.54693 	 0.64662 	40.54693 	 0.29268 	 
40.70348 	 0.64536 	40.70348 	 0.29242 	 
40.86003 	 0.64383 	40.86003 	 0.29214 	 
41.01658 	 0.63647 	41.01658 	 0.28944 	 
41.17313 	 0.63395 	41.17313 	 0.28912 	 
41.32969 	 0.63255 	41.32969 	 0.28946 	 
41.48624 	 0.62840 	41.48624 	 0.28787 	 
41.64279 	 0.62398 	41.64279 	 0.28607 	 
41.79934 	 0.61899 	41.79934 	 0.28410 	 
41.95589 	 0.61600 	41.95589 	 0.28377 	 
42.11244 	 0.61147 	42.11244 	 0.28329 	 
42.26900 	 0.60739 	42.26900 	 0.28197 	 
42.42555 	 0.60243 	42.42555 	 0.28086 	 
42.58210 	 0.59690 	42.58210 	 0.28021 	 
42.73865 	 0.59426 	42.73865 	 0.28062 	 
42.89520 	 0.58900 	42.89520 	 0.27979 	 
43.05176 	 0.58394 	43.05176 	 0.27836 	 
43.20831 	 0.57910 	43.20831 	 0.27600 	 
43.36486 	 0.57125 	43.36486 	 0.27282 	 
43.52141 	 0.56224 	43.52141 	 0.26925 	 
43.67796 	 0.55434 	43.67796 	 0.26664 	 
43.83452 	 0.54878 	43.83452 	 0.26380 	 
43.99107 	 0.54358 	43.99107 	 0.26012 	 
44.14762 	 0.53538 	44.14762 	 0.25628 	 
44.30417 	 0.52705 	44.30417 	 0.25240 	 
44.46072 	 0.52194 	44.46072 	 0.24874 	 
44.61727 	 0.51707 	44.61727 	 0.24547 	 
44.77383 	 0.51128 	44.77383 	 0.24244 	 
44.93038 	 0.50680 	44.93038 	 0.23931 	 
