f	SCl	
0.000000e+00 	 9.848443e-03 	 
1.698517e-02 	 1.832476e-02 	 
3.397035e-02 	 1.135200e-02 	 
5.095552e-02 	 4.489669e-02 	 
6.794070e-02 	 2.426631e-02 	 
8.492587e-02 	 5.038692e-03 	 
1.019110e-01 	 1.327922e-02 	 
1.188962e-01 	 1.480133e-02 	 
1.358814e-01 	 4.213937e-03 	 
1.528666e-01 	 3.104782e-03 	 
1.698517e-01 	 1.403103e-03 	 
1.868369e-01 	 8.776245e-04 	 
2.038221e-01 	 1.225771e-03 	 
2.208073e-01 	 9.880321e-04 	 
2.377924e-01 	 1.664912e-04 	 
2.547776e-01 	 3.334097e-04 	 
2.717628e-01 	 1.741523e-04 	 
2.887480e-01 	 2.819907e-05 	 
3.057331e-01 	 7.440529e-05 	 
3.227183e-01 	 1.368316e-04 	 
3.397035e-01 	 2.288186e-04 	 
3.566887e-01 	 2.638367e-04 	 
3.736738e-01 	 6.642012e-05 	 
3.906590e-01 	 3.219099e-05 	 
4.076442e-01 	 4.975745e-05 	 
4.246294e-01 	 2.071126e-05 	 
4.416145e-01 	 2.097529e-05 	 
4.585997e-01 	 3.046040e-05 	 
4.755849e-01 	 7.789674e-06 	 
4.925701e-01 	 6.650165e-06 	 
5.095552e-01 	 2.126003e-05 	 
5.265404e-01 	 1.386764e-05 	 
5.435256e-01 	 8.177784e-06 	 
5.605108e-01 	 1.751059e-05 	 
5.774959e-01 	 1.409680e-05 	 
5.944811e-01 	 9.912644e-06 	 
6.114663e-01 	 7.900298e-06 	 
6.284515e-01 	 6.355171e-06 	 
6.454366e-01 	 1.620092e-06 	 
6.624218e-01 	 3.820983e-06 	 
6.794070e-01 	 6.459617e-06 	 
6.963922e-01 	 3.037141e-06 	 
7.133773e-01 	 1.293516e-06 	 
7.303625e-01 	 2.299394e-06 	 
7.473477e-01 	 6.137551e-06 	 
7.643329e-01 	 7.819683e-06 	 
7.813180e-01 	 1.731071e-06 	 
7.983032e-01 	 2.323876e-06 	 
8.152884e-01 	 2.363479e-06 	 
8.322736e-01 	 1.949691e-06 	 
8.492587e-01 	 3.682027e-06 	 
8.662439e-01 	 1.616307e-06 	 
8.832291e-01 	 1.457618e-06 	 
9.002143e-01 	 2.909397e-06 	 
9.171994e-01 	 1.003593e-06 	 
9.341846e-01 	 1.213038e-06 	 
9.511698e-01 	 2.388396e-06 	 
9.681550e-01 	 2.170201e-06 	 
9.851401e-01 	 9.686138e-07 	 
1.002125e+00 	 8.371762e-07 	 
1.019110e+00 	 8.848421e-07 	 
1.036096e+00 	 1.189703e-06 	 
1.053081e+00 	 1.930644e-06 	 
1.070066e+00 	 2.154521e-06 	 
1.087051e+00 	 1.682482e-06 	 
1.104036e+00 	 1.687008e-06 	 
1.121022e+00 	 7.545565e-07 	 
1.138007e+00 	 1.044313e-06 	 
1.154992e+00 	 1.884110e-07 	 
1.171977e+00 	 8.866147e-07 	 
1.188962e+00 	 1.344439e-06 	 
1.205947e+00 	 1.600762e-06 	 
1.222933e+00 	 4.946310e-07 	 
1.239918e+00 	 1.086633e-06 	 
1.256903e+00 	 7.766772e-07 	 
1.273888e+00 	 8.561410e-07 	 
1.290873e+00 	 6.499843e-07 	 
1.307858e+00 	 1.582955e-06 	 
1.324844e+00 	 8.249060e-07 	 
1.341829e+00 	 2.465230e-07 	 
1.358814e+00 	 8.246154e-07 	 
1.375799e+00 	 7.623116e-07 	 
1.392784e+00 	 8.941339e-07 	 
1.409770e+00 	 6.173457e-07 	 
1.426755e+00 	 4.923130e-07 	 
1.443740e+00 	 2.987065e-07 	 
1.460725e+00 	 5.759869e-07 	 
1.477710e+00 	 1.323619e-06 	 
1.494695e+00 	 1.677201e-06 	 
1.511681e+00 	 1.402061e-06 	 
1.528666e+00 	 1.436152e-06 	 
1.545651e+00 	 1.747130e-06 	 
1.562636e+00 	 4.730050e-07 	 
1.579621e+00 	 8.296697e-08 	 
1.596606e+00 	 4.828205e-07 	 
1.613592e+00 	 5.316384e-07 	 
1.630577e+00 	 9.670727e-07 	 
1.647562e+00 	 1.353332e-06 	 
1.664547e+00 	 1.266764e-06 	 
1.681532e+00 	 1.037672e-06 	 
1.698517e+00 	 2.601988e-07 	 
1.715503e+00 	 3.455495e-07 	 
1.732488e+00 	 1.154159e-06 	 
1.749473e+00 	 7.049201e-07 	 
1.766458e+00 	 9.146351e-07 	 
1.783443e+00 	 6.521728e-07 	 
1.800429e+00 	 7.794885e-07 	 
1.817414e+00 	 2.583434e-07 	 
1.834399e+00 	 4.218316e-07 	 
1.851384e+00 	 7.783526e-07 	 
1.868369e+00 	 4.798146e-07 	 
1.885354e+00 	 3.954965e-07 	 
1.902340e+00 	 2.833096e-07 	 
1.919325e+00 	 6.085747e-08 	 
1.936310e+00 	 5.637057e-08 	 
1.953295e+00 	 1.404763e-07 	 
1.970280e+00 	 4.061080e-07 	 
1.987265e+00 	 1.413445e-07 	 
2.004251e+00 	 1.816093e-07 	 
2.021236e+00 	 5.088921e-07 	 
2.038221e+00 	 4.281057e-07 	 
2.055206e+00 	 8.648246e-08 	 
2.072191e+00 	 1.829664e-07 	 
2.089177e+00 	 2.817345e-07 	 
2.106162e+00 	 2.470953e-07 	 
2.123147e+00 	 2.392894e-07 	 
2.140132e+00 	 4.719478e-07 	 
2.157117e+00 	 8.577096e-07 	 
2.174102e+00 	 1.185925e-07 	 
2.191088e+00 	 1.509469e-07 	 
2.208073e+00 	 2.624480e-07 	 
2.225058e+00 	 7.964224e-07 	 
2.242043e+00 	 7.710321e-07 	 
2.259028e+00 	 4.790830e-07 	 
2.276013e+00 	 3.751179e-07 	 
2.292999e+00 	 2.127907e-08 	 
2.309984e+00 	 1.813058e-07 	 
2.326969e+00 	 5.649763e-07 	 
2.343954e+00 	 5.468781e-07 	 
2.360939e+00 	 5.201157e-07 	 
2.377924e+00 	 1.837881e-07 	 
2.394910e+00 	 1.918531e-07 	 
2.411895e+00 	 1.500270e-07 	 
2.428880e+00 	 3.216711e-07 	 
2.445865e+00 	 2.108557e-07 	 
2.462850e+00 	 2.973220e-07 	 
2.479836e+00 	 5.356196e-07 	 
2.496821e+00 	 2.529289e-07 	 
2.513806e+00 	 1.867306e-07 	 
2.530791e+00 	 1.123512e-07 	 
2.547776e+00 	 3.183250e-07 	 
2.564761e+00 	 3.177300e-07 	 
2.581747e+00 	 4.892779e-07 	 
