   n        time         Cl         Cd
       0     0.00000   0.0000431  -0.0001184
      20     0.00254   0.0000433  -0.0001182
      40     0.00630   0.0000447  -0.0001174
      60     0.01007   0.0000473  -0.0001160
      80     0.01383   0.0000511  -0.0001139
     100     0.01759   0.0000560  -0.0001111
     120     0.02136   0.0000622  -0.0001076
     140     0.02512   0.0000695  -0.0001034
     160     0.02888   0.0000780  -0.0000986
     180     0.03265   0.0000876  -0.0000931
     200     0.03641   0.0000984  -0.0000869
     220     0.04017   0.0001104  -0.0000800
     240     0.04394   0.0001235  -0.0000725
     260     0.04770   0.0001378  -0.0000643
     280     0.05146   0.0001532  -0.0000555
     300     0.05522   0.0001698  -0.0000460
     320     0.05899   0.0001875  -0.0000359
     340     0.06275   0.0002063  -0.0000251
     360     0.06651   0.0002263  -0.0000136
     380     0.07028   0.0002474  -0.0000015
     400     0.07404   0.0002696   0.0000112
     420     0.07780   0.0002929   0.0000246
     440     0.08157   0.0003174   0.0000385
     460     0.08533   0.0003430   0.0000531
     480     0.08909   0.0003696   0.0000683
     500     0.09286   0.0003974   0.0000841
     520     0.09662   0.0004263   0.0001006
     540     0.10038   0.0004563   0.0001175
     560     0.10415   0.0004873   0.0001351
     580     0.10791   0.0005195   0.0001533
     600     0.11167   0.0005527   0.0001720
     620     0.11544   0.0005870   0.0001913
     640     0.11920   0.0006223   0.0002111
     660     0.12296   0.0006587   0.0002316
     680     0.12673   0.0006962   0.0002525
     700     0.13049   0.0007348   0.0002740
     720     0.13425   0.0007744   0.0002960
     740     0.13802   0.0008150   0.0003186
     760     0.14178   0.0008567   0.0003417
     780     0.14554   0.0008994   0.0003654
     800     0.14930   0.0009432   0.0003896
     820     0.15307   0.0009879   0.0004143
     840     0.15683   0.0010338   0.0004395
     860     0.16059   0.0010806   0.0004653
     880     0.16436   0.0011284   0.0004916
     900     0.16812   0.0011773   0.0005184
     920     0.17188   0.0012271   0.0005457
     940     0.17565   0.0012780   0.0005736
     960     0.17941   0.0013298   0.0006020
     980     0.18317   0.0013827   0.0006308
    1000     0.18694   0.0014365   0.0006602
    1020     0.19070   0.0014914   0.0006901
    1040     0.19446   0.0015471   0.0007205
    1060     0.19823   0.0016039   0.0007514
    1080     0.20199   0.0016617   0.0007828
    1100     0.20575   0.0017204   0.0008146
    1120     0.20952   0.0017800   0.0008470
    1140     0.21328   0.0018406   0.0008798
    1160     0.21704   0.0019022   0.0009131
    1180     0.22081   0.0019647   0.0009468
    1200     0.22457   0.0020282   0.0009810
    1220     0.22833   0.0020926   0.0010157
    1240     0.23209   0.0021579   0.0010509
    1260     0.23586   0.0022241   0.0010864
    1280     0.23962   0.0022913   0.0011225
    1300     0.24338   0.0023594   0.0011590
    1320     0.24715   0.0024284   0.0011959
    1340     0.25091   0.0024983   0.0012332
    1360     0.25467   0.0025691   0.0012710
    1380     0.25844   0.0026408   0.0013092
    1400     0.26220   0.0027134   0.0013479
    1420     0.26596   0.0027869   0.0013870
    1440     0.26973   0.0028613   0.0014265
    1460     0.27349   0.0029365   0.0014664
    1480     0.27725   0.0030126   0.0015068
    1500     0.28102   0.0030896   0.0015475
    1520     0.28478   0.0031675   0.0015887
    1540     0.28854   0.0032463   0.0016304
    1560     0.29231   0.0033258   0.0016724
    1580     0.29607   0.0034063   0.0017148
    1600     0.29983   0.0034876   0.0017577
    1620     0.30360   0.0035697   0.0018009
    1640     0.30736   0.0036527   0.0018446
    1660     0.31112   0.0037365   0.0018887
    1680     0.31489   0.0038211   0.0019331
    1700     0.31865   0.0039066   0.0019780
    1720     0.32241   0.0039929   0.0020232
    1740     0.32617   0.0040800   0.0020688
    1760     0.32994   0.0041679   0.0021148
    1780     0.33370   0.0042566   0.0021612
    1800     0.33746   0.0043461   0.0022079
    1820     0.34123   0.0044365   0.0022550
    1840     0.34499   0.0045276   0.0023025
    1860     0.34875   0.0046195   0.0023504
    1880     0.35252   0.0047121   0.0023986
    1900     0.35628   0.0048056   0.0024471
    1920     0.36004   0.0048998   0.0024960
    1940     0.36381   0.0049948   0.0025453
    1960     0.36757   0.0050906   0.0025949
    1980     0.37133   0.0051871   0.0026449
    2000     0.37510   0.0052844   0.0026952
    2020     0.37886   0.0053824   0.0027458
    2040     0.38262   0.0054812   0.0027968
    2060     0.38639   0.0055807   0.0028481
    2080     0.39015   0.0056810   0.0028998
    2100     0.39391   0.0057820   0.0029518
    2120     0.39768   0.0058837   0.0030041
    2140     0.40144   0.0059861   0.0030568
    2160     0.40520   0.0060893   0.0031098
    2180     0.40897   0.0061932   0.0031631
    2200     0.41273   0.0062978   0.0032168
    2220     0.41649   0.0064031   0.0032707
    2240     0.42025   0.0065091   0.0033250
    2260     0.42402   0.0066158   0.0033796
    2280     0.42778   0.0067232   0.0034346
    2300     0.43154   0.0068313   0.0034898
    2320     0.43531   0.0069400   0.0035453
    2340     0.43907   0.0070495   0.0036011
    2360     0.44283   0.0071596   0.0036573
    2380     0.44660   0.0072704   0.0037137
    2400     0.45036   0.0073818   0.0037704
    2420     0.45412   0.0074939   0.0038274
    2440     0.45789   0.0076067   0.0038847
    2460     0.46165   0.0077201   0.0039423
    2480     0.46541   0.0078341   0.0040001
    2500     0.46918   0.0079489   0.0040583
    2520     0.47294   0.0080642   0.0041167
    2540     0.47670   0.0081802   0.0041754
    2560     0.48047   0.0082968   0.0042343
    2580     0.48423   0.0084140   0.0042936
    2600     0.48799   0.0085318   0.0043531
    2620     0.49176   0.0086503   0.0044128
    2640     0.49552   0.0087694   0.0044729
    2660     0.49928   0.0088891   0.0045332
    2680     0.50304   0.0090094   0.0045937
    2700     0.50681   0.0091302   0.0046545
    2720     0.51057   0.0092517   0.0047156
    2740     0.51433   0.0093738   0.0047769
    2760     0.51810   0.0094964   0.0048385
    2780     0.52186   0.0096197   0.0049003
    2800     0.52562   0.0097435   0.0049624
    2820     0.52939   0.0098679   0.0050247
    2840     0.53315   0.0099928   0.0050873
    2860     0.53691   0.0101183   0.0051501
    2880     0.54068   0.0102444   0.0052131
    2900     0.54444   0.0103710   0.0052764
    2920     0.54820   0.0104982   0.0053399
    2940     0.55197   0.0106259   0.0054036
    2960     0.55573   0.0107541   0.0054676
    2980     0.55949   0.0108829   0.0055318
    3000     0.56326   0.0110122   0.0055962
    3020     0.56702   0.0111421   0.0056608
    3040     0.57078   0.0112724   0.0057256
    3060     0.57455   0.0114033   0.0057907
    3080     0.57831   0.0115347   0.0058559
    3100     0.58207   0.0116666   0.0059214
    3120     0.58584   0.0117990   0.0059870
    3140     0.58960   0.0119319   0.0060529
    3160     0.59336   0.0120654   0.0061190
    3180     0.59712   0.0121993   0.0061853
    3200     0.60089   0.0123336   0.0062517
    3220     0.60465   0.0124685   0.0063184
    3240     0.60841   0.0126039   0.0063852
    3260     0.61218   0.0127397   0.0064523
    3280     0.61594   0.0128760   0.0065195
    3300     0.61970   0.0130127   0.0065870
    3320     0.62347   0.0131500   0.0066546
    3340     0.62723   0.0132876   0.0067224
    3360     0.63099   0.0134258   0.0067904
    3380     0.63476   0.0135643   0.0068586
    3400     0.63852   0.0137034   0.0069269
    3420     0.64228   0.0138428   0.0069954
    3440     0.64605   0.0139827   0.0070641
    3460     0.64981   0.0141231   0.0071330
    3480     0.65357   0.0142638   0.0072020
    3500     0.65734   0.0144050   0.0072712
    3520     0.66110   0.0145466   0.0073406
    3540     0.66486   0.0146886   0.0074101
    3560     0.66863   0.0148310   0.0074798
    3580     0.67239   0.0149739   0.0075496
    3600     0.67615   0.0151171   0.0076196
    3620     0.67992   0.0152607   0.0076898
    3640     0.68368   0.0154047   0.0077601
    3660     0.68744   0.0155491   0.0078305
    3680     0.69120   0.0156939   0.0079011
    3700     0.69497   0.0158391   0.0079718
    3720     0.69873   0.0159846   0.0080426
    3740     0.70249   0.0161305   0.0081136
    3760     0.70626   0.0162768   0.0081848
    3780     0.71002   0.0164234   0.0082561
    3800     0.71378   0.0165704   0.0083275
    3820     0.71755   0.0167178   0.0083990
    3840     0.72131   0.0168655   0.0084707
    3860     0.72507   0.0170135   0.0085425
    3880     0.72884   0.0171619   0.0086144
    3900     0.73260   0.0173106   0.0086864
    3920     0.73636   0.0174597   0.0087586
    3940     0.74013   0.0176091   0.0088309
    3960     0.74389   0.0177588   0.0089033
    3980     0.74765   0.0179088   0.0089758
    4000     0.75142   0.0180592   0.0090485
    4020     0.75518   0.0182099   0.0091212
    4040     0.75894   0.0183608   0.0091941
    4060     0.76271   0.0185121   0.0092671
    4080     0.76647   0.0186637   0.0093402
    4100     0.77023   0.0188156   0.0094134
    4120     0.77399   0.0189677   0.0094866
    4140     0.77776   0.0191202   0.0095600
    4160     0.78152   0.0192729   0.0096335
    4180     0.78528   0.0194259   0.0097071
    4200     0.78905   0.0195792   0.0097808
    4220     0.79281   0.0197328   0.0098545
    4240     0.79657   0.0198866   0.0099284
    4260     0.80034   0.0200407   0.0100023
    4280     0.80410   0.0201950   0.0100763
    4300     0.80786   0.0203496   0.0101504
    4320     0.81163   0.0205045   0.0102246
    4340     0.81539   0.0206596   0.0102989
    4360     0.81915   0.0208149   0.0103732
    4380     0.82292   0.0209705   0.0104476
    4400     0.82668   0.0211263   0.0105221
    4420     0.83044   0.0212823   0.0105967
    4440     0.83421   0.0214386   0.0106713
    4460     0.83797   0.0215951   0.0107460
    4480     0.84173   0.0217518   0.0108208
    4500     0.84550   0.0219087   0.0108957
    4520     0.84926   0.0220659   0.0109706
    4540     0.85302   0.0222232   0.0110455
    4560     0.85679   0.0223808   0.0111206
    4580     0.86055   0.0225385   0.0111957
    4600     0.86431   0.0226965   0.0112708
    4620     0.86807   0.0228546   0.0113461
    4640     0.87184   0.0230129   0.0114213
    4660     0.87560   0.0231714   0.0114966
    4680     0.87936   0.0233301   0.0115720
    4700     0.88313   0.0234890   0.0116474
    4720     0.88689   0.0236480   0.0117229
    4740     0.89065   0.0238072   0.0117984
    4760     0.89442   0.0239666   0.0118740
    4780     0.89818   0.0241261   0.0119496
    4800     0.90194   0.0242858   0.0120252
    4820     0.90571   0.0244456   0.0121009
    4840     0.90947   0.0246055   0.0121766
    4860     0.91323   0.0247657   0.0122523
    4880     0.91700   0.0249259   0.0123281
    4900     0.92076   0.0250863   0.0124039
    4920     0.92452   0.0252469   0.0124797
    4940     0.92829   0.0254075   0.0125556
    4960     0.93205   0.0255683   0.0126315
    4980     0.93581   0.0257292   0.0127074
    5000     0.93958   0.0258902   0.0127833
    5020     0.94334   0.0260514   0.0128593
    5040     0.94710   0.0262126   0.0129353
    5060     0.95086   0.0263740   0.0130113
    5080     0.95463   0.0265354   0.0130873
    5100     0.95839   0.0266970   0.0131634
    5120     0.96215   0.0268587   0.0132394
    5140     0.96592   0.0270204   0.0133155
    5160     0.96968   0.0271823   0.0133916
    5180     0.97344   0.0273442   0.0134677
    5200     0.97721   0.0275062   0.0135438
    5220     0.98097   0.0276683   0.0136200
    5240     0.98473   0.0278305   0.0136961
    5260     0.98850   0.0279927   0.0137722
    5280     0.99226   0.0281550   0.0138484
    5300     0.99602   0.0283174   0.0139245
    5320     0.99979   0.0284798   0.0140007
    5340     1.00355   0.0286423   0.0140768
    5360     1.00731   0.0288049   0.0141530
    5380     1.01108   0.0289675   0.0142291
    5400     1.01484   0.0291301   0.0143052
    5420     1.01860   0.0292928   0.0143814
    5440     1.02237   0.0294555   0.0144575
    5460     1.02613   0.0296183   0.0145336
    5480     1.02989   0.0297811   0.0146097
    5500     1.03366   0.0299439   0.0146858
    5520     1.03742   0.0301068   0.0147619
    5540     1.04118   0.0302697   0.0148380
    5560     1.04494   0.0304326   0.0149140
    5580     1.04871   0.0305955   0.0149901
    5600     1.05247   0.0307585   0.0150661
    5620     1.05623   0.0309215   0.0151421
    5640     1.06000   0.0310844   0.0152181
    5660     1.06376   0.0312474   0.0152941
    5680     1.06752   0.0314104   0.0153701
    5700     1.07129   0.0315734   0.0154460
    5720     1.07505   0.0317364   0.0155220
    5740     1.07881   0.0318994   0.0155979
    5760     1.08258   0.0320624   0.0156738
    5780     1.08634   0.0322253   0.0157496
    5800     1.09010   0.0323883   0.0158255
    5820     1.09387   0.0325513   0.0159013
    5840     1.09763   0.0327142   0.0159771
    5860     1.10139   0.0328771   0.0160529
    5880     1.10516   0.0330400   0.0161286
    5900     1.10892   0.0332029   0.0162043
    5920     1.11268   0.0333657   0.0162800
    5940     1.11645   0.0335286   0.0163557
    5960     1.12021   0.0336914   0.0164313
    5980     1.12397   0.0338541   0.0165069
    6000     1.12774   0.0340168   0.0165824
