f	SCl	
0.000000e+00 	 7.877800e-04 	 
1.698488e-02 	 7.508369e-02 	 
3.396977e-02 	 4.459549e-02 	 
5.095465e-02 	 6.158672e-03 	 
6.793953e-02 	 5.088290e-03 	 
8.492441e-02 	 1.399018e-02 	 
1.019093e-01 	 3.728018e-02 	 
1.188942e-01 	 1.390827e-02 	 
1.358791e-01 	 4.506107e-03 	 
1.528639e-01 	 1.676052e-02 	 
1.698488e-01 	 1.889203e-02 	 
1.868337e-01 	 2.656989e-01 	 
2.038186e-01 	 1.412882e-01 	 
2.208035e-01 	 7.973481e-03 	 
2.377884e-01 	 8.321361e-04 	 
2.547732e-01 	 4.241195e-03 	 
2.717581e-01 	 2.771542e-03 	 
2.887430e-01 	 4.809837e-03 	 
3.057279e-01 	 2.899483e-03 	 
3.227128e-01 	 4.949569e-03 	 
3.396977e-01 	 3.121567e-03 	 
3.566825e-01 	 1.917342e-03 	 
3.736674e-01 	 4.607674e-03 	 
3.906523e-01 	 4.167013e-03 	 
4.076372e-01 	 1.616332e-03 	 
4.246221e-01 	 8.789472e-04 	 
4.416070e-01 	 1.455399e-04 	 
4.585918e-01 	 2.917887e-03 	 
4.755767e-01 	 3.954488e-03 	 
4.925616e-01 	 1.583433e-03 	 
5.095465e-01 	 4.773962e-04 	 
5.265314e-01 	 3.439833e-04 	 
5.435162e-01 	 4.088849e-04 	 
5.605011e-01 	 3.681027e-04 	 
5.774860e-01 	 1.214486e-04 	 
5.944709e-01 	 2.210423e-05 	 
6.114558e-01 	 1.493506e-04 	 
6.284407e-01 	 1.016795e-04 	 
6.454255e-01 	 2.975148e-04 	 
6.624104e-01 	 5.772978e-04 	 
6.793953e-01 	 4.061866e-04 	 
6.963802e-01 	 2.098106e-04 	 
7.133651e-01 	 2.376564e-04 	 
7.303500e-01 	 3.823277e-04 	 
7.473348e-01 	 3.683392e-04 	 
7.643197e-01 	 4.068633e-05 	 
7.813046e-01 	 9.243486e-05 	 
7.982895e-01 	 1.227541e-04 	 
8.152744e-01 	 1.406786e-04 	 
8.322593e-01 	 9.303867e-05 	 
8.492441e-01 	 3.215693e-05 	 
8.662290e-01 	 8.438381e-05 	 
8.832139e-01 	 8.643593e-05 	 
9.001988e-01 	 6.334548e-05 	 
9.171837e-01 	 3.059718e-05 	 
9.341685e-01 	 1.021862e-04 	 
9.511534e-01 	 6.327237e-05 	 
9.681383e-01 	 2.421312e-05 	 
9.851232e-01 	 8.755196e-05 	 
1.002108e+00 	 1.563709e-04 	 
1.019093e+00 	 1.747206e-04 	 
1.036078e+00 	 3.359636e-05 	 
1.053063e+00 	 2.407498e-05 	 
1.070048e+00 	 5.277324e-05 	 
1.087032e+00 	 1.565044e-05 	 
1.104017e+00 	 3.443665e-05 	 
1.121002e+00 	 7.380772e-05 	 
1.137987e+00 	 5.251052e-05 	 
1.154972e+00 	 1.634192e-05 	 
1.171957e+00 	 3.845018e-05 	 
1.188942e+00 	 6.915155e-05 	 
1.205927e+00 	 3.573657e-05 	 
1.222912e+00 	 2.105107e-05 	 
1.239896e+00 	 2.033322e-05 	 
1.256881e+00 	 8.258643e-06 	 
1.273866e+00 	 1.356515e-05 	 
1.290851e+00 	 3.184896e-05 	 
1.307836e+00 	 4.914685e-05 	 
1.324821e+00 	 5.575758e-05 	 
1.341806e+00 	 2.640812e-05 	 
1.358791e+00 	 6.681432e-06 	 
1.375775e+00 	 2.107502e-05 	 
1.392760e+00 	 2.188954e-05 	 
