x0	Cl	x1	Cd	
150.00112 	 0.63576 	150.00112 	 0.30804 	 
150.35405 	 0.64353 	150.35405 	 0.30586 	 
150.70698 	 0.65876 	150.70698 	 0.30992 	 
151.05990 	 0.66278 	151.05990 	 0.30064 	 
151.41283 	 0.69961 	151.41283 	 0.30735 	 
151.76576 	 0.76925 	151.76576 	 0.32893 	 
152.11869 	 0.82746 	152.11869 	 0.34429 	 
152.47162 	 0.84026 	152.47162 	 0.33923 	 
152.82455 	 0.83948 	152.82455 	 0.33531 	 
153.17747 	 0.83878 	153.17747 	 0.33464 	 
153.53040 	 0.82907 	153.53040 	 0.33599 	 
153.88333 	 0.80391 	153.88333 	 0.33158 	 
154.23626 	 0.77409 	154.23626 	 0.32571 	 
154.58919 	 0.74590 	154.58919 	 0.32207 	 
154.94212 	 0.72536 	154.94212 	 0.31521 	 
155.29504 	 0.72424 	155.29504 	 0.31952 	 
155.64797 	 0.72891 	155.64797 	 0.32213 	 
156.00090 	 0.74503 	156.00090 	 0.32785 	 
156.35383 	 0.78640 	156.35383 	 0.34002 	 
156.70676 	 0.83032 	156.70676 	 0.35263 	 
157.05968 	 0.86354 	157.05968 	 0.36487 	 
157.41261 	 0.88505 	157.41261 	 0.37223 	 
157.76554 	 0.89769 	157.76554 	 0.37987 	 
158.11847 	 0.88808 	158.11847 	 0.38025 	 
158.47140 	 0.85471 	158.47140 	 0.37198 	 
158.82433 	 0.81527 	158.82433 	 0.36565 	 
159.17725 	 0.77055 	159.17725 	 0.36002 	 
159.53018 	 0.72496 	159.53018 	 0.35224 	 
159.88311 	 0.70837 	159.88311 	 0.35273 	 
160.23604 	 0.67958 	160.23604 	 0.33911 	 
160.58897 	 0.65491 	160.58897 	 0.32568 	 
160.94190 	 0.66664 	160.94190 	 0.32826 	 
161.29482 	 0.67626 	161.29482 	 0.32217 	 
161.64775 	 0.69346 	161.64775 	 0.31942 	 
162.00068 	 0.74912 	162.00068 	 0.33426 	 
162.35361 	 0.78304 	162.35361 	 0.33999 	 
162.70654 	 0.81837 	162.70654 	 0.34709 	 
163.05946 	 0.84969 	163.05946 	 0.35803 	 
163.41239 	 0.85628 	163.41239 	 0.36175 	 
163.76532 	 0.85725 	163.76532 	 0.36450 	 
164.11825 	 0.84126 	164.11825 	 0.35915 	 
164.47118 	 0.81987 	164.47118 	 0.35146 	 
164.82411 	 0.79143 	164.82411 	 0.34289 	 
165.17703 	 0.76616 	165.17703 	 0.33961 	 
165.52996 	 0.74628 	165.52996 	 0.33722 	 
165.88289 	 0.72330 	165.88289 	 0.33450 	 
166.23582 	 0.70331 	166.23582 	 0.33351 	 
166.58875 	 0.68578 	166.58875 	 0.32899 	 
166.94168 	 0.69056 	166.94168 	 0.33210 	 
167.29460 	 0.69662 	167.29460 	 0.33218 	 
167.64753 	 0.70719 	167.64753 	 0.33328 	 
168.00046 	 0.71623 	168.00046 	 0.33081 	 
168.35339 	 0.72345 	168.35339 	 0.32890 	 
168.70632 	 0.71510 	168.70632 	 0.32151 	 
169.05924 	 0.70428 	169.05924 	 0.31949 	 
169.41217 	 0.68410 	169.41217 	 0.31420 	 
169.76510 	 0.65753 	169.76510 	 0.30806 	 
170.11803 	 0.62281 	170.11803 	 0.29920 	 
170.47096 	 0.59101 	170.47096 	 0.29234 	 
170.82389 	 0.57197 	170.82389 	 0.28912 	 
171.17681 	 0.56079 	171.17681 	 0.28540 	 
171.52974 	 0.57807 	171.52974 	 0.29030 	 
171.88267 	 0.59457 	171.88267 	 0.28948 	 
172.23560 	 0.61729 	172.23560 	 0.28958 	 
172.58853 	 0.65873 	172.58853 	 0.29756 	 
172.94146 	 0.70077 	172.94146 	 0.30677 	 
173.29438 	 0.76174 	173.29438 	 0.32377 	 
173.64731 	 0.81287 	173.64731 	 0.34553 	 
174.00024 	 0.83333 	174.00024 	 0.34979 	 
174.35317 	 0.84265 	174.35317 	 0.35309 	 
174.70610 	 0.84007 	174.70610 	 0.35313 	 
175.05902 	 0.83092 	175.05902 	 0.35236 	 
175.41195 	 0.81500 	175.41195 	 0.34794 	 
175.76488 	 0.79070 	175.76488 	 0.33585 	 
176.11781 	 0.76782 	176.11781 	 0.32739 	 
176.47074 	 0.73925 	176.47074 	 0.31846 	 
176.82367 	 0.71365 	176.82367 	 0.31018 	 
177.17659 	 0.69901 	177.17659 	 0.30620 	 
177.52952 	 0.68622 	177.52952 	 0.30351 	 
177.88245 	 0.67942 	177.88245 	 0.30101 	 
178.23538 	 0.68201 	178.23538 	 0.30482 	 
178.58831 	 0.68768 	178.58831 	 0.30795 	 
178.94124 	 0.69758 	178.94124 	 0.31380 	 
179.29416 	 0.70636 	179.29416 	 0.31901 	 
179.64709 	 0.71273 	179.64709 	 0.32268 	 
180.00002 	 0.72205 	180.00002 	 0.32557 	 
180.35295 	 0.73291 	180.35295 	 0.32785 	 
180.70588 	 0.73711 	180.70588 	 0.32855 	 
181.05880 	 0.73123 	181.05880 	 0.32485 	 
181.41173 	 0.72406 	181.41173 	 0.32307 	 
181.76466 	 0.70062 	181.76466 	 0.31337 	 
182.11759 	 0.67750 	182.11759 	 0.30629 	 
182.47052 	 0.65505 	182.47052 	 0.30191 	 
182.82345 	 0.63298 	182.82345 	 0.29737 	 
183.17637 	 0.61294 	183.17637 	 0.29093 	 
183.52930 	 0.60209 	183.52930 	 0.28795 	 
183.88223 	 0.60425 	183.88223 	 0.29103 	 
184.23516 	 0.60846 	184.23516 	 0.28951 	 
184.58809 	 0.62666 	184.58809 	 0.29272 	 
184.94102 	 0.65414 	184.94102 	 0.30219 	 
185.29394 	 0.68293 	185.29394 	 0.31190 	 
185.64687 	 0.71748 	185.64687 	 0.32384 	 
185.99980 	 0.73205 	185.99980 	 0.32974 	 
186.35273 	 0.73705 	186.35273 	 0.33096 	 
186.70566 	 0.72522 	186.70566 	 0.32609 	 
187.05858 	 0.71161 	187.05858 	 0.31825 	 
187.41151 	 0.68833 	187.41151 	 0.30710 	 
187.76444 	 0.67280 	187.76444 	 0.29948 	 
188.11737 	 0.66789 	188.11737 	 0.29933 	 
188.47030 	 0.66947 	188.47030 	 0.30417 	 
188.82323 	 0.66633 	188.82323 	 0.30442 	 
189.17615 	 0.66114 	189.17615 	 0.30240 	 
189.52908 	 0.66479 	189.52908 	 0.30301 	 
189.88201 	 0.67228 	189.88201 	 0.30352 	 
190.23494 	 0.68467 	190.23494 	 0.30532 	 
190.58787 	 0.69603 	190.58787 	 0.31015 	 
190.94080 	 0.70811 	190.94080 	 0.31499 	 
191.29372 	 0.71601 	191.29372 	 0.31800 	 
191.64665 	 0.71553 	191.64665 	 0.31913 	 
191.99958 	 0.71583 	191.99958 	 0.32204 	 
192.35251 	 0.71868 	192.35251 	 0.32723 	 
192.70544 	 0.71727 	192.70544 	 0.32961 	 
193.05836 	 0.70706 	193.05836 	 0.32867 	 
193.41129 	 0.69372 	193.41129 	 0.32669 	 
193.76422 	 0.67124 	193.76422 	 0.32124 	 
194.11715 	 0.64834 	194.11715 	 0.31243 	 
194.47008 	 0.62504 	194.47008 	 0.30104 	 
194.82301 	 0.61130 	194.82301 	 0.29095 	 
195.17593 	 0.60682 	195.17593 	 0.28629 	 
195.52886 	 0.60750 	195.52886 	 0.28554 	 
195.88179 	 0.60988 	195.88179 	 0.28326 	 
196.23472 	 0.60641 	196.23472 	 0.27728 	 
196.58765 	 0.61213 	196.58765 	 0.27486 	 
196.94058 	 0.61814 	196.94058 	 0.27637 	 
197.29350 	 0.62584 	197.29350 	 0.27945 	 
197.64643 	 0.64470 	197.64643 	 0.28998 	 
197.99936 	 0.65939 	197.99936 	 0.30013 	 
198.35229 	 0.67039 	198.35229 	 0.30941 	 
198.70522 	 0.67969 	198.70522 	 0.31630 	 
199.05814 	 0.68136 	199.05814 	 0.32093 	 
199.41107 	 0.67575 	199.41107 	 0.32109 	 
199.76400 	 0.66262 	199.76400 	 0.31510 	 
200.11693 	 0.64761 	200.11693 	 0.31057 	 
200.46986 	 0.63575 	200.46986 	 0.30957 	 
200.82279 	 0.62214 	200.82279 	 0.30676 	 
201.17571 	 0.60767 	201.17571 	 0.30258 	 
201.52864 	 0.59212 	201.52864 	 0.29783 	 
201.88157 	 0.57201 	201.88157 	 0.29211 	 
202.23450 	 0.54977 	202.23450 	 0.28368 	 
202.58743 	 0.52505 	202.58743 	 0.27524 	 
202.94036 	 0.50677 	202.94036 	 0.26874 	 
203.29328 	 0.49500 	203.29328 	 0.26330 	 
203.64621 	 0.48422 	203.64621 	 0.25865 	 
203.99914 	 0.47860 	203.99914 	 0.25262 	 
204.35207 	 0.48033 	204.35207 	 0.25186 	 
204.70500 	 0.48962 	204.70500 	 0.25345 	 
205.05792 	 0.49664 	205.05792 	 0.25218 	 
205.41085 	 0.50455 	205.41085 	 0.24774 	 
205.76378 	 0.52108 	205.76378 	 0.24891 	 
206.11671 	 0.53715 	206.11671 	 0.25108 	 
206.46964 	 0.54821 	206.46964 	 0.24910 	 
206.82257 	 0.56270 	206.82257 	 0.25290 	 
207.17549 	 0.58136 	207.17549 	 0.25721 	 
207.52842 	 0.59939 	207.52842 	 0.26477 	 
