f	SCl	
0.000000e+00 	 7.633374e-04 	 
1.698484e-02 	 5.213510e-03 	 
3.396968e-02 	 4.125927e-03 	 
5.095452e-02 	 4.877999e-03 	 
6.793936e-02 	 1.962874e-02 	 
8.492420e-02 	 1.238536e-02 	 
1.019090e-01 	 8.066328e-03 	 
1.188939e-01 	 3.085111e-03 	 
1.358787e-01 	 1.109470e-03 	 
1.528636e-01 	 1.257599e-03 	 
1.698484e-01 	 2.959831e-03 	 
1.868332e-01 	 2.087257e-03 	 
2.038181e-01 	 1.176366e-03 	 
2.208029e-01 	 6.154859e-04 	 
2.377878e-01 	 1.482030e-04 	 
2.547726e-01 	 1.979086e-04 	 
2.717574e-01 	 3.573919e-05 	 
2.887423e-01 	 8.917272e-05 	 
3.057271e-01 	 1.236290e-04 	 
3.227120e-01 	 6.615973e-05 	 
3.396968e-01 	 1.814365e-04 	 
3.566816e-01 	 1.099102e-04 	 
3.736665e-01 	 2.496373e-05 	 
3.906513e-01 	 3.190584e-05 	 
4.076362e-01 	 2.353075e-05 	 
4.246210e-01 	 4.123893e-05 	 
4.416058e-01 	 3.097232e-05 	 
4.585907e-01 	 1.071099e-05 	 
4.755755e-01 	 1.514043e-05 	 
4.925604e-01 	 1.605977e-05 	 
5.095452e-01 	 9.593033e-06 	 
5.265300e-01 	 7.527288e-06 	 
5.435149e-01 	 2.167672e-06 	 
5.604997e-01 	 6.096465e-06 	 
5.774846e-01 	 2.854265e-06 	 
5.944694e-01 	 6.391720e-06 	 
6.114542e-01 	 4.497324e-06 	 
6.284391e-01 	 9.150415e-06 	 
6.454239e-01 	 9.965022e-06 	 
6.624088e-01 	 2.978441e-06 	 
6.793936e-01 	 1.213382e-06 	 
6.963784e-01 	 2.357369e-06 	 
7.133633e-01 	 8.860038e-07 	 
7.303481e-01 	 1.756241e-06 	 
7.473330e-01 	 2.083622e-06 	 
7.643178e-01 	 2.046914e-06 	 
7.813027e-01 	 2.024024e-06 	 
7.982875e-01 	 1.993678e-06 	 
8.152723e-01 	 2.268564e-06 	 
8.322572e-01 	 5.097448e-07 	 
8.492420e-01 	 9.714102e-07 	 
8.662269e-01 	 2.413015e-06 	 
8.832117e-01 	 2.671240e-06 	 
9.001965e-01 	 1.504578e-06 	 
9.171814e-01 	 1.735254e-06 	 
9.341662e-01 	 8.259743e-07 	 
9.511511e-01 	 2.877441e-06 	 
9.681359e-01 	 2.582275e-06 	 
9.851207e-01 	 2.850589e-07 	 
