x0	Cl	x1	Cd	
0.00000 	 0.86533 	0.00000 	 0.42999 	 
0.15655 	 0.84136 	0.15655 	 0.42763 	 
0.31310 	 0.80858 	0.31310 	 0.41917 	 
0.46965 	 0.78308 	0.46965 	 0.41390 	 
0.62620 	 0.76853 	0.62620 	 0.41632 	 
0.78275 	 0.75653 	0.78275 	 0.41865 	 
0.93930 	 0.74167 	0.93930 	 0.41706 	 
1.09585 	 0.71664 	1.09585 	 0.40813 	 
1.25240 	 0.68417 	1.25240 	 0.39415 	 
1.40895 	 0.65927 	1.40895 	 0.38261 	 
1.56550 	 0.64347 	1.56550 	 0.37436 	 
1.72205 	 0.63764 	1.72205 	 0.37197 	 
1.87859 	 0.64365 	1.87859 	 0.37500 	 
2.03514 	 0.66005 	2.03514 	 0.38156 	 
2.19169 	 0.65426 	2.19169 	 0.37534 	 
2.34824 	 0.64945 	2.34824 	 0.36819 	 
2.50479 	 0.65284 	2.50479 	 0.36532 	 
2.66134 	 0.65514 	2.66134 	 0.36386 	 
2.81789 	 0.64904 	2.81789 	 0.35764 	 
2.97444 	 0.65379 	2.97444 	 0.35586 	 
3.13099 	 0.67176 	3.13099 	 0.35963 	 
3.28754 	 0.68139 	3.28754 	 0.35754 	 
3.44409 	 0.69545 	3.44409 	 0.35772 	 
3.60064 	 0.71224 	3.60064 	 0.35941 	 
3.75719 	 0.73449 	3.75719 	 0.36493 	 
3.91374 	 0.76259 	3.91374 	 0.37339 	 
4.07029 	 0.79176 	4.07029 	 0.38116 	 
4.22684 	 0.82098 	4.22684 	 0.38935 	 
4.38339 	 0.84410 	4.38339 	 0.39526 	 
4.53994 	 0.86234 	4.53994 	 0.40047 	 
4.69649 	 0.87559 	4.69649 	 0.40502 	 
4.85304 	 0.88422 	4.85304 	 0.40940 	 
5.00959 	 0.88838 	5.00959 	 0.41276 	 
5.16614 	 0.88504 	5.16614 	 0.41234 	 
5.32268 	 0.87409 	5.32268 	 0.40986 	 
5.47923 	 0.85861 	5.47923 	 0.40733 	 
5.63578 	 0.84146 	5.63578 	 0.40649 	 
5.79233 	 0.81649 	5.79233 	 0.40357 	 
5.94888 	 0.79001 	5.94888 	 0.40151 	 
6.10543 	 0.76102 	6.10543 	 0.39968 	 
6.26198 	 0.74065 	6.26198 	 0.40146 	 
6.41853 	 0.72411 	6.41853 	 0.40356 	 
6.57508 	 0.71759 	6.57508 	 0.41070 	 
6.73163 	 0.70787 	6.73163 	 0.41389 	 
6.88818 	 0.70030 	6.88818 	 0.41559 	 
7.04473 	 0.69889 	7.04473 	 0.41786 	 
7.20128 	 0.70384 	7.20128 	 0.42112 	 
7.35783 	 0.69672 	7.35783 	 0.41781 	 
7.51438 	 0.68924 	7.51438 	 0.41342 	 
7.67093 	 0.68182 	7.67093 	 0.40986 	 
7.82748 	 0.68343 	7.82748 	 0.41105 	 
7.98403 	 0.66959 	7.98403 	 0.40359 	 
8.14058 	 0.65048 	8.14058 	 0.39011 	 
8.29713 	 0.64723 	8.29713 	 0.38292 	 
8.45368 	 0.64415 	8.45368 	 0.37391 	 
8.61023 	 0.65994 	8.61023 	 0.37294 	 
8.76677 	 0.69154 	8.76677 	 0.37870 	 
8.92332 	 0.71490 	8.92332 	 0.38056 	 
9.07987 	 0.72556 	9.07987 	 0.37656 	 
9.23642 	 0.71925 	9.23642 	 0.36396 	 
9.39297 	 0.70691 	9.39297 	 0.34701 	 
9.54952 	 0.72163 	9.54952 	 0.34448 	 
9.70607 	 0.74408 	9.70607 	 0.34881 	 
9.86262 	 0.76502 	9.86262 	 0.35400 	 
10.01917 	 0.78529 	10.01917 	 0.36045 	 
10.17572 	 0.80160 	10.17572 	 0.36634 	 
10.33227 	 0.82220 	10.33227 	 0.37323 	 
10.48882 	 0.85194 	10.48882 	 0.38524 	 
10.64537 	 0.87920 	10.64537 	 0.39714 	 
10.80192 	 0.90151 	10.80192 	 0.40656 	 
10.95847 	 0.91904 	10.95847 	 0.41486 	 
11.11502 	 0.92994 	11.11502 	 0.42063 	 
11.27157 	 0.93228 	11.27157 	 0.42282 	 
11.42812 	 0.92740 	11.42812 	 0.42364 	 
11.58467 	 0.91776 	11.58467 	 0.42330 	 
11.74122 	 0.90087 	11.74122 	 0.42210 	 
11.89777 	 0.87927 	11.89777 	 0.41940 	 
12.05432 	 0.85484 	12.05432 	 0.41689 	 
12.21086 	 0.82616 	12.21086 	 0.41297 	 
12.36741 	 0.79489 	12.36741 	 0.40762 	 
12.52396 	 0.76673 	12.52396 	 0.40209 	 
12.68051 	 0.74146 	12.68051 	 0.39762 	 
12.83706 	 0.72448 	12.83706 	 0.39621 	 
12.99361 	 0.72030 	12.99361 	 0.40031 	 
13.15016 	 0.70844 	13.15016 	 0.39818 	 
13.30671 	 0.70312 	13.30671 	 0.39744 	 
13.46326 	 0.70873 	13.46326 	 0.40120 	 
13.61981 	 0.71376 	13.61981 	 0.40250 	 
13.77636 	 0.71768 	13.77636 	 0.40239 	 
13.93291 	 0.71564 	13.93291 	 0.39742 	 
14.08946 	 0.71822 	14.08946 	 0.39494 	 
14.24601 	 0.72216 	14.24601 	 0.39285 	 
14.40256 	 0.71846 	14.40256 	 0.38651 	 
14.55911 	 0.71888 	14.55911 	 0.38153 	 
14.71566 	 0.72344 	14.71566 	 0.37854 	 
14.87221 	 0.73675 	14.87221 	 0.38143 	 
15.02876 	 0.74844 	15.02876 	 0.38337 	 
15.18531 	 0.74950 	15.18531 	 0.37998 	 
15.34186 	 0.75571 	15.34186 	 0.37905 	 
15.49841 	 0.77425 	15.49841 	 0.38509 	 
15.65495 	 0.79821 	15.65495 	 0.39544 	 
15.81150 	 0.81936 	15.81150 	 0.40378 	 
15.96805 	 0.83976 	15.96805 	 0.41236 	 
16.12460 	 0.85749 	16.12460 	 0.42198 	 
16.28115 	 0.87833 	16.28115 	 0.43205 	 
16.43770 	 0.89122 	16.43770 	 0.43960 	 
16.59425 	 0.89883 	16.59425 	 0.44678 	 
16.75080 	 0.89652 	16.75080 	 0.45191 	 
16.90735 	 0.88238 	16.90735 	 0.45375 	 
17.06390 	 0.86632 	17.06390 	 0.45599 	 
17.22045 	 0.85181 	17.22045 	 0.45877 	 
17.37700 	 0.84315 	17.37700 	 0.46455 	 
17.53355 	 0.83172 	17.53355 	 0.46671 	 
17.69010 	 0.81251 	17.69010 	 0.46402 	 
