f	SCl	
0.000000e+00 	 3.777718e-04 	 
1.698521e-02 	 1.199762e-03 	 
3.397043e-02 	 1.144695e-03 	 
5.095564e-02 	 7.968985e-04 	 
6.794086e-02 	 5.515208e-04 	 
8.492607e-02 	 2.464496e-04 	 
1.019113e-01 	 3.617586e-04 	 
1.188965e-01 	 4.487682e-04 	 
1.358817e-01 	 2.729010e-04 	 
1.528669e-01 	 1.935627e-04 	 
1.698521e-01 	 2.176182e-04 	 
1.868374e-01 	 5.598019e-04 	 
2.038226e-01 	 5.320840e-04 	 
2.208078e-01 	 1.354854e-04 	 
2.377930e-01 	 2.784946e-05 	 
2.547782e-01 	 7.626726e-06 	 
2.717634e-01 	 6.532436e-06 	 
2.887486e-01 	 2.888460e-06 	 
3.057339e-01 	 8.821496e-06 	 
3.227191e-01 	 4.149813e-06 	 
3.397043e-01 	 1.000942e-06 	 
3.566895e-01 	 3.521490e-06 	 
3.736747e-01 	 6.828684e-06 	 
3.906599e-01 	 3.260228e-06 	 
4.076451e-01 	 2.119606e-06 	 
4.246303e-01 	 3.081387e-06 	 
4.416156e-01 	 2.056490e-06 	 
4.586008e-01 	 3.801697e-06 	 
4.755860e-01 	 4.597784e-06 	 
4.925712e-01 	 8.576187e-07 	 
5.095564e-01 	 1.806631e-06 	 
5.265416e-01 	 3.773143e-06 	 
5.435268e-01 	 3.528712e-06 	 
5.605121e-01 	 9.465933e-07 	 
5.774973e-01 	 9.291517e-07 	 
5.944825e-01 	 1.872227e-06 	 
6.114677e-01 	 2.904894e-06 	 
6.284529e-01 	 1.827739e-06 	 
6.454381e-01 	 4.015510e-07 	 
6.624233e-01 	 6.258704e-07 	 
6.794086e-01 	 1.255008e-06 	 
6.963938e-01 	 1.443231e-06 	 
7.133790e-01 	 1.130302e-06 	 
7.303642e-01 	 7.964071e-07 	 
7.473494e-01 	 7.518527e-07 	 
7.643346e-01 	 2.740697e-07 	 
7.813198e-01 	 3.681210e-07 	 
7.983051e-01 	 2.064576e-07 	 
8.152903e-01 	 1.617412e-07 	 
8.322755e-01 	 4.141327e-07 	 
8.492607e-01 	 2.913188e-07 	 
8.662459e-01 	 3.981593e-07 	 
8.832311e-01 	 3.452456e-07 	 
9.002163e-01 	 1.513237e-07 	 
9.172016e-01 	 4.776736e-08 	 
9.341868e-01 	 1.957019e-08 	 
9.511720e-01 	 5.896936e-08 	 
9.681572e-01 	 6.303587e-08 	 
9.851424e-01 	 3.330671e-08 	 
1.002128e+00 	 1.098007e-08 	 
1.019113e+00 	 9.100823e-08 	 
1.036098e+00 	 1.815523e-07 	 
1.053083e+00 	 2.057046e-07 	 
1.070068e+00 	 1.685516e-07 	 
1.087054e+00 	 1.155762e-07 	 
1.104039e+00 	 1.517629e-07 	 
1.121024e+00 	 1.918551e-07 	 
1.138009e+00 	 1.914313e-07 	 
1.154995e+00 	 1.071400e-07 	 
1.171980e+00 	 3.584766e-08 	 
1.188965e+00 	 2.375058e-08 	 
1.205950e+00 	 2.369584e-08 	 
1.222935e+00 	 5.199145e-08 	 
1.239921e+00 	 5.631355e-08 	 
1.256906e+00 	 5.666277e-08 	 
1.273891e+00 	 5.876622e-08 	 
1.290876e+00 	 1.416874e-08 	 
1.307861e+00 	 7.250898e-08 	 
1.324847e+00 	 1.054853e-07 	 
1.341832e+00 	 2.937891e-08 	 
1.358817e+00 	 3.546077e-08 	 
1.375802e+00 	 2.811409e-08 	 
1.392788e+00 	 5.594849e-08 	 
1.409773e+00 	 1.060547e-07 	 
1.426758e+00 	 1.105662e-07 	 
1.443743e+00 	 5.650300e-08 	 
1.460728e+00 	 3.756053e-08 	 
1.477714e+00 	 3.678039e-08 	 
1.494699e+00 	 2.454523e-08 	 
1.511684e+00 	 2.066888e-08 	 
1.528669e+00 	 1.133582e-08 	 
1.545654e+00 	 8.856081e-09 	 
1.562640e+00 	 6.653802e-09 	 
1.579625e+00 	 3.087655e-08 	 
1.596610e+00 	 4.997571e-08 	 
1.613595e+00 	 1.033001e-08 	 
1.630581e+00 	 1.362502e-08 	 
1.647566e+00 	 3.598561e-08 	 
1.664551e+00 	 2.761538e-08 	 
1.681536e+00 	 2.491993e-08 	 
1.698521e+00 	 1.546180e-08 	 
1.715507e+00 	 1.427600e-08 	 
1.732492e+00 	 1.331716e-08 	 
1.749477e+00 	 6.223880e-09 	 
1.766462e+00 	 3.910862e-09 	 
1.783447e+00 	 7.762256e-09 	 
1.800433e+00 	 8.021734e-09 	 
1.817418e+00 	 3.358821e-09 	 
1.834403e+00 	 1.310196e-08 	 
1.851388e+00 	 2.542282e-09 	 
1.868374e+00 	 4.203778e-09 	 
1.885359e+00 	 1.205277e-08 	 
1.902344e+00 	 2.049033e-08 	 
1.919329e+00 	 3.122676e-08 	 
1.936314e+00 	 2.867475e-08 	 
1.953300e+00 	 1.083729e-08 	 
1.970285e+00 	 1.493280e-08 	 
1.987270e+00 	 1.419671e-08 	 
2.004255e+00 	 1.154796e-08 	 
2.021240e+00 	 1.237044e-08 	 
2.038226e+00 	 8.374719e-09 	 
2.055211e+00 	 2.827420e-09 	 
2.072196e+00 	 2.874039e-09 	 
2.089181e+00 	 2.604577e-09 	 
2.106167e+00 	 3.346843e-10 	 
2.123152e+00 	 4.396399e-09 	 
2.140137e+00 	 1.101495e-08 	 
2.157122e+00 	 7.198531e-09 	 
2.174107e+00 	 6.204272e-09 	 
2.191093e+00 	 1.086319e-08 	 
2.208078e+00 	 1.104465e-08 	 
2.225063e+00 	 4.831773e-08 	 
2.242048e+00 	 5.100906e-08 	 
2.259033e+00 	 4.492021e-09 	 
2.276019e+00 	 1.449229e-09 	 
2.293004e+00 	 5.440290e-10 	 
2.309989e+00 	 8.220036e-09 	 
2.326974e+00 	 7.646885e-09 	 
2.343960e+00 	 1.469775e-08 	 
2.360945e+00 	 1.603008e-08 	 
2.377930e+00 	 1.113640e-08 	 
2.394915e+00 	 2.854690e-08 	 
2.411900e+00 	 2.360655e-08 	 
2.428886e+00 	 9.351531e-09 	 
2.445871e+00 	 1.307023e-08 	 
2.462856e+00 	 7.416729e-09 	 
2.479841e+00 	 8.040961e-09 	 
2.496826e+00 	 4.792733e-09 	 
2.513812e+00 	 3.492132e-09 	 
2.530797e+00 	 1.732430e-09 	 
2.547782e+00 	 5.915643e-09 	 
2.564767e+00 	 2.739793e-08 	 
2.581753e+00 	 3.031777e-08 	 
2.598738e+00 	 2.970144e-09 	 
2.615723e+00 	 9.888251e-09 	 
2.632708e+00 	 4.499099e-09 	 
2.649693e+00 	 5.486509e-09 	 
2.666679e+00 	 7.009302e-09 	 
2.683664e+00 	 2.720447e-08 	 
2.700649e+00 	 7.567572e-09 	 
2.717634e+00 	 9.617549e-09 	 
2.734619e+00 	 1.487833e-08 	 
2.751605e+00 	 2.048077e-08 	 
2.768590e+00 	 3.867801e-09 	 
2.785575e+00 	 2.226106e-08 	 
2.802560e+00 	 2.985331e-08 	 
2.819546e+00 	 1.467333e-08 	 
2.836531e+00 	 6.766860e-09 	 
2.853516e+00 	 4.245545e-09 	 
2.870501e+00 	 1.032952e-08 	 
2.887486e+00 	 1.574505e-08 	 
2.904472e+00 	 1.273121e-08 	 
