x0	Cl	x1	Cd	
0.00000 	 0.64189 	0.00000 	 0.27945 	 
0.15655 	 0.64292 	0.15655 	 0.27959 	 
0.31310 	 0.64339 	0.31310 	 0.28042 	 
0.46965 	 0.64400 	0.46965 	 0.28141 	 
0.62620 	 0.64684 	0.62620 	 0.28250 	 
0.78275 	 0.64477 	0.78275 	 0.28168 	 
0.93930 	 0.64597 	0.93930 	 0.28235 	 
1.09585 	 0.64484 	1.09585 	 0.28249 	 
1.25240 	 0.64203 	1.25240 	 0.28175 	 
1.40895 	 0.64293 	1.40895 	 0.28262 	 
1.56550 	 0.64237 	1.56550 	 0.28273 	 
1.72205 	 0.64265 	1.72205 	 0.28364 	 
1.87860 	 0.64198 	1.87860 	 0.28355 	 
2.03515 	 0.63972 	2.03515 	 0.28398 	 
2.19170 	 0.64001 	2.19170 	 0.28547 	 
2.34825 	 0.63912 	2.34825 	 0.28696 	 
2.50480 	 0.64013 	2.50480 	 0.28890 	 
2.66135 	 0.63695 	2.66135 	 0.28809 	 
2.81790 	 0.63277 	2.81790 	 0.28688 	 
2.97445 	 0.62814 	2.97445 	 0.28575 	 
3.13100 	 0.62463 	3.13100 	 0.28565 	 
3.28755 	 0.61911 	3.28755 	 0.28400 	 
3.44409 	 0.61678 	3.44409 	 0.28416 	 
3.60064 	 0.61737 	3.60064 	 0.28610 	 
3.75719 	 0.61879 	3.75719 	 0.28811 	 
3.91374 	 0.61788 	3.91374 	 0.28873 	 
4.07029 	 0.61718 	4.07029 	 0.28946 	 
4.22684 	 0.61824 	4.22684 	 0.29064 	 
4.38339 	 0.61817 	4.38339 	 0.29190 	 
4.53994 	 0.61938 	4.53994 	 0.29354 	 
4.69649 	 0.62106 	4.69649 	 0.29470 	 
4.85304 	 0.62176 	4.85304 	 0.29522 	 
5.00959 	 0.62105 	5.00959 	 0.29577 	 
5.16614 	 0.62455 	5.16614 	 0.29780 	 
5.32269 	 0.62843 	5.32269 	 0.29961 	 
5.47924 	 0.62765 	5.47924 	 0.29911 	 
5.63579 	 0.62541 	5.63579 	 0.29723 	 
5.79234 	 0.62376 	5.79234 	 0.29562 	 
5.94889 	 0.61831 	5.94889 	 0.29244 	 
6.10544 	 0.61559 	6.10544 	 0.29025 	 
6.26199 	 0.61412 	6.26199 	 0.28922 	 
6.41854 	 0.60814 	6.41854 	 0.28569 	 
6.57509 	 0.60194 	6.57509 	 0.28256 	 
6.73164 	 0.59812 	6.73164 	 0.28008 	 
6.88819 	 0.59384 	6.88819 	 0.27770 	 
7.04474 	 0.58969 	7.04474 	 0.27510 	 
7.20129 	 0.58398 	7.20129 	 0.27165 	 
7.35784 	 0.57665 	7.35784 	 0.26763 	 
7.51439 	 0.57228 	7.51439 	 0.26551 	 
7.67094 	 0.56762 	7.67094 	 0.26291 	 
7.82749 	 0.56497 	7.82749 	 0.26093 	 
7.98404 	 0.56253 	7.98404 	 0.25961 	 
8.14059 	 0.56206 	8.14059 	 0.25816 	 
8.29714 	 0.55768 	8.29714 	 0.25546 	 
8.45369 	 0.55524 	8.45369 	 0.25270 	 
8.61024 	 0.55420 	8.61024 	 0.25072 	 
8.76679 	 0.55440 	8.76679 	 0.25009 	 
8.92334 	 0.55571 	8.92334 	 0.25031 	 
9.07989 	 0.55881 	9.07989 	 0.25119 	 
9.23644 	 0.56125 	9.23644 	 0.25136 	 
9.39299 	 0.56406 	9.39299 	 0.25205 	 
9.54954 	 0.57022 	9.54954 	 0.25376 	 
9.70609 	 0.57337 	9.70609 	 0.25477 	 
9.86264 	 0.57581 	9.86264 	 0.25540 	 
10.01918 	 0.57865 	10.01918 	 0.25572 	 
10.17573 	 0.58275 	10.17573 	 0.25719 	 
10.33228 	 0.58718 	10.33228 	 0.25991 	 
10.48883 	 0.59134 	10.48883 	 0.26237 	 
10.64538 	 0.59406 	10.64538 	 0.26353 	 
10.80193 	 0.59736 	10.80193 	 0.26432 	 
10.95848 	 0.60162 	10.95848 	 0.26505 	 
11.11503 	 0.60663 	11.11503 	 0.26528 	 
11.27158 	 0.60792 	11.27158 	 0.26597 	 
11.42813 	 0.61079 	11.42813 	 0.26689 	 
11.58468 	 0.61421 	11.58468 	 0.26743 	 
11.74123 	 0.61858 	11.74123 	 0.26831 	 
11.89778 	 0.62039 	11.89778 	 0.26828 	 
12.05433 	 0.62138 	12.05433 	 0.26737 	 
12.21088 	 0.62236 	12.21088 	 0.26761 	 
12.36743 	 0.62505 	12.36743 	 0.26899 	 
12.52398 	 0.62754 	12.52398 	 0.26951 	 
12.68053 	 0.62840 	12.68053 	 0.26915 	 
12.83708 	 0.62924 	12.83708 	 0.26982 	 
12.99363 	 0.62911 	12.99363 	 0.27018 	 
13.15018 	 0.62813 	13.15018 	 0.26892 	 
13.30673 	 0.62397 	13.30673 	 0.26570 	 
13.46328 	 0.61705 	13.46328 	 0.26247 	 
13.61983 	 0.61228 	13.61983 	 0.25930 	 
13.77638 	 0.60613 	13.77638 	 0.25591 	 
13.93293 	 0.60271 	13.93293 	 0.25343 	 
14.08948 	 0.59954 	14.08948 	 0.25194 	 
14.24603 	 0.59748 	14.24603 	 0.25094 	 
14.40258 	 0.59551 	14.40258 	 0.24895 	 
14.55913 	 0.59497 	14.55913 	 0.24765 	 
14.71568 	 0.59353 	14.71568 	 0.24695 	 
14.87223 	 0.59405 	14.87223 	 0.24747 	 
15.02878 	 0.60059 	15.02878 	 0.24987 	 
15.18533 	 0.60181 	15.18533 	 0.24997 	 
15.34188 	 0.60286 	15.34188 	 0.25081 	 
15.49843 	 0.60376 	15.49843 	 0.25154 	 
15.65498 	 0.60688 	15.65498 	 0.25344 	 
15.81153 	 0.61200 	15.81153 	 0.25643 	 
15.96808 	 0.61516 	15.96808 	 0.25870 	 
16.12463 	 0.61710 	16.12463 	 0.26034 	 
16.28118 	 0.61759 	16.28118 	 0.26150 	 
16.43773 	 0.61927 	16.43773 	 0.26257 	 
16.59428 	 0.62317 	16.59428 	 0.26515 	 
16.75082 	 0.62584 	16.75082 	 0.26679 	 
16.90737 	 0.62584 	16.90737 	 0.26752 	 
17.06392 	 0.62791 	17.06392 	 0.26976 	 
17.22047 	 0.62958 	17.22047 	 0.27186 	 
17.37702 	 0.63126 	17.37702 	 0.27340 	 
17.53357 	 0.63163 	17.53357 	 0.27441 	 
17.69012 	 0.63532 	17.69012 	 0.27741 	 
17.84667 	 0.63727 	17.84667 	 0.28029 	 
18.00322 	 0.63820 	18.00322 	 0.28231 	 
18.15977 	 0.64030 	18.15977 	 0.28417 	 
18.31632 	 0.64280 	18.31632 	 0.28599 	 
18.47287 	 0.64558 	18.47287 	 0.28782 	 
18.62942 	 0.64539 	18.62942 	 0.28768 	 
18.78597 	 0.64310 	18.78597 	 0.28717 	 
18.94252 	 0.64149 	18.94252 	 0.28667 	 
19.09907 	 0.63988 	19.09907 	 0.28638 	 
19.25562 	 0.63796 	19.25562 	 0.28602 	 
19.41217 	 0.63610 	19.41217 	 0.28596 	 
19.56872 	 0.63327 	19.56872 	 0.28614 	 
19.72527 	 0.63094 	19.72527 	 0.28651 	 
19.88182 	 0.62648 	19.88182 	 0.28527 	 
20.03837 	 0.62396 	20.03837 	 0.28515 	 
20.19492 	 0.61803 	20.19492 	 0.28393 	 
20.35147 	 0.61550 	20.35147 	 0.28357 	 
20.50802 	 0.61096 	20.50802 	 0.28197 	 
20.66457 	 0.60740 	20.66457 	 0.28102 	 
20.82112 	 0.60548 	20.82112 	 0.28141 	 
20.97767 	 0.60460 	20.97767 	 0.28199 	 
21.13422 	 0.60004 	21.13422 	 0.28064 	 
21.29077 	 0.59578 	21.29077 	 0.27967 	 
21.44732 	 0.59402 	21.44732 	 0.28007 	 
21.60387 	 0.59536 	21.60387 	 0.28280 	 
21.76042 	 0.59594 	21.76042 	 0.28395 	 
21.91697 	 0.59443 	21.91697 	 0.28405 	 
22.07352 	 0.59298 	22.07352 	 0.28363 	 
22.23007 	 0.59226 	22.23007 	 0.28390 	 
22.38662 	 0.59120 	22.38662 	 0.28462 	 
22.54317 	 0.59154 	22.54317 	 0.28560 	 
22.69972 	 0.59097 	22.69972 	 0.28525 	 
22.85627 	 0.58896 	22.85627 	 0.28440 	 
23.01282 	 0.58951 	23.01282 	 0.28438 	 
23.16937 	 0.58883 	23.16937 	 0.28344 	 
23.32592 	 0.58703 	23.32592 	 0.28206 	 
23.48246 	 0.58732 	23.48246 	 0.28082 	 
23.63901 	 0.58768 	23.63901 	 0.28125 	 
23.79556 	 0.58914 	23.79556 	 0.28167 	 
23.95211 	 0.58902 	23.95211 	 0.28155 	 
24.10866 	 0.58798 	24.10866 	 0.28105 	 
24.26521 	 0.58727 	24.26521 	 0.28201 	 
24.42176 	 0.58729 	24.42176 	 0.28264 	 
24.57831 	 0.58854 	24.57831 	 0.28384 	 
24.73486 	 0.59167 	24.73486 	 0.28656 	 
24.89141 	 0.59491 	24.89141 	 0.28913 	 
25.04796 	 0.59132 	25.04796 	 0.28909 	 
25.20451 	 0.58738 	25.20451 	 0.28794 	 
25.36106 	 0.58193 	25.36106 	 0.28589 	 
25.51761 	 0.57798 	25.51761 	 0.28435 	 
25.67416 	 0.57250 	25.67416 	 0.28250 	 
25.83071 	 0.57066 	25.83071 	 0.28227 	 
25.98726 	 0.56620 	25.98726 	 0.28087 	 
26.14381 	 0.56251 	26.14381 	 0.27964 	 
26.30036 	 0.55957 	26.30036 	 0.27865 	 
26.45691 	 0.55620 	26.45691 	 0.27827 	 
26.61346 	 0.55327 	26.61346 	 0.27705 	 
26.77001 	 0.55298 	26.77001 	 0.27633 	 
26.92656 	 0.55054 	26.92656 	 0.27504 	 
