   n        time         Cl         Cd
  875340   150.00039   0.5493862   0.2549297
  875360   150.00385   0.5492760   0.2548921
  875380   150.00732   0.5491711   0.2548557
  875400   150.01079   0.5490710   0.2548206
  875420   150.01426   0.5489744   0.2547865
  875440   150.01773   0.5488787   0.2547532
  875460   150.02120   0.5487814   0.2547204
  875480   150.02467   0.5486802   0.2546877
  875500   150.02814   0.5485731   0.2546549
  875520   150.03161   0.5484583   0.2546214
  875540   150.03508   0.5483350   0.2545869
  875560   150.03855   0.5482031   0.2545512
  875580   150.04202   0.5480633   0.2545144
  875600   150.04549   0.5479174   0.2544764
  875620   150.04896   0.5477679   0.2544377
  875640   150.05243   0.5476173   0.2543982
  875660   150.05590   0.5474681   0.2543584
  875680   150.05937   0.5473229   0.2543186
  875700   150.06284   0.5471828   0.2542788
  875720   150.06630   0.5470501   0.2542398
  875740   150.06977   0.5469276   0.2542021
  875760   150.07324   0.5468148   0.2541658
  875780   150.07671   0.5467126   0.2541308
  875800   150.08018   0.5466221   0.2540977
  875820   150.08365   0.5465415   0.2540663
  875840   150.08712   0.5464703   0.2540366
  875860   150.09059   0.5464092   0.2540085
  875880   150.09406   0.5463573   0.2539816
  875900   150.09753   0.5463123   0.2539555
  875920   150.10100   0.5462720   0.2539297
  875940   150.10447   0.5462353   0.2539035
  875960   150.10794   0.5462014   0.2538765
  875980   150.11142   0.5461689   0.2538483
  876000   150.11489   0.5461362   0.2538189
  876020   150.11836   0.5461022   0.2537881
  876040   150.12183   0.5460657   0.2537561
  876060   150.12530   0.5460260   0.2537233
  876080   150.12877   0.5459831   0.2536900
  876100   150.13224   0.5459368   0.2536567
  876120   150.13571   0.5458864   0.2536236
  876140   150.13918   0.5458319   0.2535907
  876160   150.14265   0.5457733   0.2535583
  876180   150.14612   0.5457104   0.2535262
  876200   150.14959   0.5456421   0.2534940
  876220   150.15306   0.5455670   0.2534614
  876240   150.15654   0.5454835   0.2534279
  876260   150.16001   0.5453903   0.2533931
  876280   150.16348   0.5452870   0.2533568
  876300   150.16695   0.5451734   0.2533191
  876320   150.17042   0.5450502   0.2532801
  876340   150.17389   0.5449188   0.2532400
  876360   150.17736   0.5447807   0.2531991
  876380   150.18084   0.5446368   0.2531577
  876400   150.18431   0.5444877   0.2531160
  876420   150.18778   0.5443335   0.2530740
  876440   150.19125   0.5441743   0.2530313
  876460   150.19472   0.5440111   0.2529881
  876480   150.19819   0.5438451   0.2529444
  876500   150.20167   0.5436776   0.2529005
  876520   150.20514   0.5435102   0.2528567
  876540   150.20861   0.5433442   0.2528131
  876560   150.21208   0.5431807   0.2527699
  876580   150.21555   0.5430207   0.2527270
  876600   150.21902   0.5428640   0.2526842
  876620   150.22250   0.5427108   0.2526411
  876640   150.22597   0.5425622   0.2525982
  876660   150.22944   0.5424188   0.2525553
  876680   150.23291   0.5422803   0.2525125
  876700   150.23638   0.5421465   0.2524695
  876720   150.23985   0.5420169   0.2524262
  876740   150.24332   0.5418908   0.2523823
  876760   150.24679   0.5417682   0.2523376
  876780   150.25027   0.5416495   0.2522923
