   n        time         Clp         Cdv
       0   150.00020   0.5490781   0.2606516
       1   150.12510   0.5456775   0.2594976
       2   150.25010   0.5413114   0.2580478
       3   150.37500   0.5377275   0.2561854
       4   150.50020   0.5356211   0.2549024
       5   150.62520   0.5357557   0.2538465
       6   150.75020   0.5362479   0.2528451
       7   150.87510   0.5364366   0.2518781
       8   151.00010   0.5369307   0.2509597
       9   151.12500   0.5368232   0.2499467
      10   151.25010   0.5364623   0.2493846
      11   151.37510   0.5348397   0.2478210
      12   151.50010   0.5332845   0.2458626
      13   151.62510   0.5327570   0.2443643
      14   151.75020   0.5332026   0.2428984
      15   151.87510   0.5311240   0.2408428
      16   152.00010   0.5313927   0.2399970
      17   152.12510   0.5317295   0.2398960
      18   152.25010   0.5297691   0.2384724
      19   152.37520   0.5254741   0.2354990
      20   152.50010   0.5237044   0.2334619
      21   152.62520   0.5212746   0.2318138
      22   152.75010   0.5194158   0.2301954
      23   152.87510   0.5182888   0.2284877
      24   153.00010   0.5157389   0.2262210
      25   153.12510   0.5137366   0.2245761
      26   153.25010   0.5111215   0.2222789
      27   153.37510   0.5102651   0.2208040
      28   153.50010   0.5109162   0.2197703
      29   153.62510   0.5120889   0.2193390
      30   153.75010   0.5123837   0.2190277
      31   153.87510   0.5142810   0.2195675
      32   154.00020   0.5159728   0.2197246
      33   154.12510   0.5166017   0.2194374
      34   154.25010   0.5180893   0.2193288
      35   154.37510   0.5212535   0.2200366
      36   154.50010   0.5259660   0.2216602
      37   154.62520   0.5297913   0.2235158
      38   154.75020   0.5350034   0.2260060
      39   154.87500   0.5400817   0.2281403
      40   155.00020   0.5444478   0.2302171
      41   155.12520   0.5516730   0.2328953
      42   155.25010   0.5572451   0.2348993
      43   155.37510   0.5648790   0.2380443
      44   155.50010   0.5710207   0.2410053
      45   155.62520   0.5789462   0.2440164
      46   155.75020   0.5838857   0.2465645
      47   155.87520   0.5884713   0.2486392
      48   156.00020   0.5944805   0.2516802
      49   156.12510   0.5993130   0.2547499
      50   156.25010   0.6022630   0.2568665
      51   156.37520   0.6072143   0.2596805
      52   156.50020   0.6093578   0.2619694
