   n        time         Clp         Cdp
       0    60.00030   0.6830209   0.2858544
       1    60.12530   0.6826781   0.2871550
       2    60.25020   0.6836537   0.2885075
       3    60.37520   0.6826213   0.2886939
       4    60.50020   0.6824199   0.2887710
       5    60.62520   0.6837343   0.2901442
       6    60.75020   0.6855366   0.2917283
       7    60.87520   0.6860278   0.2925114
       8    61.00030   0.6872746   0.2932148
       9    61.12520   0.6889813   0.2940762
      10    61.25020   0.6881050   0.2940432
      11    61.37530   0.6882007   0.2937861
      12    61.50020   0.6869561   0.2933787
      13    61.62520   0.6855058   0.2930763
      14    61.75030   0.6846352   0.2930901
      15    61.87520   0.6835746   0.2931465
      16    62.00010   0.6835853   0.2937477
      17    62.12530   0.6826395   0.2937424
      18    62.25020   0.6807663   0.2928505
      19    62.37530   0.6794695   0.2923894
      20    62.50030   0.6783711   0.2920832
      21    62.62520   0.6772211   0.2914073
      22    62.75020   0.6752526   0.2907339
      23    62.87530   0.6741170   0.2908115
      24    63.00020   0.6723511   0.2908528
      25    63.12520   0.6697034   0.2906537
      26    63.25020   0.6676549   0.2905703
      27    63.37520   0.6672799   0.2907507
      28    63.50020   0.6666349   0.2912276
      29    63.62510   0.6666277   0.2918644
      30    63.75020   0.6667341   0.2927927
      31    63.87530   0.6657356   0.2932648
      32    64.00020   0.6652802   0.2934374
      33    64.12520   0.6636973   0.2925859
      34    64.25020   0.6618802   0.2910200
      35    64.37520   0.6586055   0.2890383
      36    64.50020   0.6551901   0.2875500
      37    64.62520   0.6526739   0.2865910
      38    64.75030   0.6504526   0.2861884
      39    64.87530   0.6476363   0.2853015
      40    65.00030   0.6445270   0.2842606
      41    65.12530   0.6424103   0.2838788
      42    65.25010   0.6383689   0.2828635
      43    65.37520   0.6342773   0.2815599
      44    65.50020   0.6316043   0.2807167
      45    65.62530   0.6276301   0.2792067
      46    65.75020   0.6248435   0.2780780
      47    65.87510   0.6217612   0.2771993
      48    66.00010   0.6195136   0.2767057
      49    66.12520   0.6181293   0.2762281
      50    66.25010   0.6158981   0.2753904
      51    66.37520   0.6130845   0.2743876
      52    66.50020   0.6096908   0.2730527
      53    66.62530   0.6080847   0.2722388
      54    66.75020   0.6059359   0.2713002
      55    66.87520   0.6046726   0.2709195
      56    67.00010   0.6033925   0.2703507
      57    67.12520   0.5994433   0.2685092
      58    67.25020   0.5958093   0.2669135
      59    67.37520   0.5937581   0.2662616
      60    67.50020   0.5927038   0.2654471
      61    67.62520   0.5921570   0.2648656
      62    67.75030   0.5921481   0.2642462
      63    67.87520   0.5916108   0.2632229
      64    68.00020   0.5904253   0.2619997
      65    68.12520   0.5884837   0.2602643
      66    68.25020   0.5855410   0.2578407
      67    68.37530   0.5830365   0.2553447
      68    68.50030   0.5816039   0.2538042
      69    68.62520   0.5810618   0.2527823
      70    68.75030   0.5805242   0.2518396
      71    68.87520   0.5815054   0.2515968
      72    69.00020   0.5822589   0.2515849
      73    69.12520   0.5827646   0.2512701
      74    69.25030   0.5844837   0.2514677
      75    69.37520   0.5861499   0.2521199
      76    69.50030   0.5896746   0.2538351
      77    69.62510   0.5918837   0.2554453
      78    69.75020   0.5948755   0.2570169
      79    69.87530   0.5981009   0.2585456
      80    70.00020   0.6007331   0.2592555
      81    70.12530   0.6031724   0.2600197
      82    70.25030   0.6044779   0.2607849
      83    70.37530   0.6054607   0.2614859
      84    70.50030   0.6084689   0.2626379
      85    70.62520   0.6098018   0.2632340
      86    70.75020   0.6113180   0.2635321
      87    70.87530   0.6128443   0.2637908
      88    71.00020   0.6136735   0.2640485
      89    71.12520   0.6144610   0.2642889
      90    71.25020   0.6149063   0.2641244
      91    71.37530   0.6149909   0.2633224
      92    71.50020   0.6145214   0.2627182
      93    71.62520   0.6140976   0.2624066
      94    71.75020   0.6153554   0.2627855
      95    71.87520   0.6163055   0.2637708
      96    72.00020   0.6175796   0.2646796
      97    72.12520   0.6178988   0.2650108
      98    72.25030   0.6192407   0.2658040
      99    72.37520   0.6198198   0.2667364
     100    72.50020   0.6225985   0.2682183
     101    72.62510   0.6235282   0.2688532
     102    72.75020   0.6245901   0.2694373
     103    72.87510   0.6266228   0.2704647
     104    73.00020   0.6299700   0.2721408
     105    73.12510   0.6316841   0.2734225
     106    73.25020   0.6329504   0.2740346
     107    73.37510   0.6346717   0.2744123
     108    73.50030   0.6365610   0.2751513
     109    73.62520   0.6368139   0.2752318
     110    73.75020   0.6381288   0.2753640
     111    73.87530   0.6380600   0.2758331
     112    74.00020   0.6398785   0.2771480
     113    74.12510   0.6407857   0.2782612
     114    74.25030   0.6404178   0.2786702
     115    74.37530   0.6406630   0.2794682
     116    74.50030   0.6395637   0.2797375
     117    74.62520   0.6386151   0.2800511
     118    74.75030   0.6381582   0.2805433
     119    74.87520   0.6362133   0.2804316
     120    75.00030   0.6347153   0.2805744
     121    75.12510   0.6327980   0.2804764
     122    75.25020   0.6319388   0.2803093
     123    75.37510   0.6309203   0.2800457
     124    75.50030   0.6302334   0.2799626
     125    75.62520   0.6305217   0.2805171
     126    75.75020   0.6313142   0.2813773
     127    75.87530   0.6300469   0.2810952
     128    76.00010   0.6317983   0.2817532
     129    76.12520   0.6311919   0.2819199
     130    76.25020   0.6307621   0.2820811
     131    76.37520   0.6297582   0.2826837
     132    76.50020   0.6281865   0.2825670
     133    76.62510   0.6262157   0.2819828
     134    76.75030   0.6248030   0.2815730
     135    76.87530   0.6229306   0.2810311
     136    77.00010   0.6210132   0.2801716
     137    77.12520   0.6182525   0.2790711
     138    77.25020   0.6156093   0.2778783
     139    77.37520   0.6131529   0.2770937
     140    77.50010   0.6095619   0.2761392
     141    77.62510   0.6057951   0.2746822
     142    77.75010   0.6021168   0.2733641
     143    77.87520   0.5999702   0.2726371
     144    78.00010   0.5986794   0.2719826
     145    78.12520   0.5961957   0.2709693
     146    78.25020   0.5941597   0.2700988
     147    78.37520   0.5933176   0.2697245
     148    78.50030   0.5920264   0.2692823
     149    78.62520   0.5902673   0.2685928
     150    78.75020   0.5899051   0.2680835
     151    78.87530   0.5884597   0.2671583
     152    79.00020   0.5857839   0.2656436
     153    79.12520   0.5842466   0.2645495
     154    79.25020   0.5836601   0.2637717
     155    79.37520   0.5826300   0.2630130
     156    79.50010   0.5820852   0.2625167
     157    79.62530   0.5824665   0.2621892
     158    79.75020   0.5826184   0.2617723
     159    79.87520   0.5827651   0.2615595
     160    80.00020   0.5836614   0.2616036
     161    80.12530   0.5841031   0.2618544
     162    80.25030   0.5847336   0.2624314
     163    80.37520   0.5861857   0.2631393
     164    80.50020   0.5873570   0.2639620
     165    80.62520   0.5871956   0.2645499
     166    80.75010   0.5870862   0.2644553
     167    80.87530   0.5842950   0.2630473
     168    81.00020   0.5814423   0.2613941
     169    81.12530   0.5776478   0.2597706
     170    81.25030   0.5736933   0.2582162
     171    81.37530   0.5716737   0.2576761
     172    81.50020   0.5703455   0.2573654
     173    81.62520   0.5687984   0.2570228
     174    81.75020   0.5674355   0.2564528
     175    81.87520   0.5648360   0.2552135
     176    82.00010   0.5636099   0.2547443
     177    82.12530   0.5640469   0.2544330
     178    82.25030   0.5645722   0.2544301
     179    82.37530   0.5641826   0.2537693
     180    82.50020   0.5640218   0.2530167
     181    82.62530   0.5656459   0.2531310
     182    82.75020   0.5674253   0.2534034
     183    82.87520   0.5692433   0.2536294
     184    83.00020   0.5715609   0.2542615
     185    83.12520   0.5750313   0.2557737
     186    83.25030   0.5779654   0.2571452
     187    83.37510   0.5803220   0.2582808
     188    83.50020   0.5833625   0.2598612
     189    83.62530   0.5860609   0.2615046
     190    83.75020   0.5878625   0.2624226
     191    83.87530   0.5909592   0.2637653
     192    84.00010   0.5918557   0.2642694
     193    84.12520   0.5936098   0.2650088
     194    84.25020   0.5947344   0.2653972
     195    84.37520   0.5939046   0.2656351
     196    84.50030   0.5945536   0.2661789
     197    84.62520   0.5951803   0.2667404
     198    84.75020   0.5944416   0.2663351
     199    84.87520   0.5946636   0.2664543
     200    85.00030   0.5944127   0.2665449
     201    85.12530   0.5949295   0.2670225
     202    85.25010   0.5949344   0.2673811
     203    85.37520   0.5931359   0.2671117
     204    85.50020   0.5932416   0.2675118
     205    85.62520   0.5932057   0.2677900
     206    85.75010   0.5921075   0.2682228
     207    85.87520   0.5908588   0.2689164
     208    86.00030   0.5899102   0.2698785
     209    86.12520   0.5905686   0.2708443
     210    86.25010   0.5906361   0.2712392
     211    86.37530   0.5902357   0.2716780
     212    86.50020   0.5887167   0.2718188
     213    86.62530   0.5874590   0.2720696
     214    86.75020   0.5856400   0.2722881
     215    86.87520   0.5846995   0.2722526
     216    87.00020   0.5839880   0.2722138
     217    87.12530   0.5836200   0.2724892
     218    87.25030   0.5831737   0.2729299
     219    87.37520   0.5829773   0.2728142
     220    87.50020   0.5838037   0.2727773
     221    87.62530   0.5847978   0.2729061
     222    87.75020   0.5844277   0.2724958
     223    87.87520   0.5838222   0.2716935
     224    88.00030   0.5838960   0.2708705
     225    88.12520   0.5845315   0.2702304
     226    88.25020   0.5871202   0.2709299
     227    88.37510   0.5879897   0.2708748
     228    88.50020   0.5898382   0.2710139
     229    88.62520   0.5910746   0.2710928
     230    88.75030   0.5908292   0.2706606
     231    88.87530   0.5900504   0.2699276
     232    89.00010   0.5899875   0.2691120
     233    89.12520   0.5880471   0.2674475
     234    89.25030   0.5860612   0.2657231
     235    89.37520   0.5852116   0.2643334
     236    89.50030   0.5846664   0.2632716
     237    89.62520   0.5836443   0.2619784
     238    89.75020   0.5805313   0.2597553
     239    89.87530   0.5773637   0.2575377
     240    90.00020   0.5750698   0.2558317
     241    90.12530   0.5723676   0.2542519
     242    90.25020   0.5706232   0.2529176
     243    90.37530   0.5694097   0.2514201
     244    90.50030   0.5677568   0.2491559
     245    90.62520   0.5641348   0.2462661
     246    90.75030   0.5615261   0.2439640
     247    90.87520   0.5598016   0.2423303
     248    91.00020   0.5595764   0.2409966
     249    91.12520   0.5597303   0.2397187
     250    91.25020   0.5619273   0.2389359
     251    91.37530   0.5621732   0.2379100
     252    91.50010   0.5648914   0.2381999
     253    91.62530   0.5695262   0.2394362
     254    91.75020   0.5740275   0.2411351
     255    91.87520   0.5782289   0.2426453
