   n        time         Clp         Cdp
       0   240.00040   0.7049495   0.3880978
       1   240.12520   0.7279493   0.3947196
       2   240.25020   0.7383104   0.3952939
       3   240.37520   0.7255676   0.3862124
       4   240.50040   0.7197079   0.3799509
       5   240.62530   0.7059674   0.3692383
       6   240.75030   0.6915356   0.3589454
       7   240.87540   0.6752155   0.3467662
       8   241.00020   0.6659842   0.3378657
       9   241.12520   0.6722271   0.3376499
      10   241.25030   0.6877480   0.3425844
      11   241.37520   0.7109614   0.3516868
      12   241.50020   0.7373822   0.3624861
      13   241.62520   0.7678543   0.3757093
      14   241.75020   0.7957797   0.3868502
      15   241.87520   0.8203472   0.3953198
      16   242.00030   0.8417277   0.4040519
      17   242.12520   0.8558176   0.4093994
      18   242.25030   0.8590695   0.4096560
      19   242.37520   0.8653087   0.4130465
      20   242.50030   0.8660698   0.4153421
      21   242.62530   0.8614521   0.4175680
      22   242.75030   0.8561153   0.4207725
      23   242.87520   0.8490556   0.4239698
      24   243.00020   0.8369738   0.4257453
      25   243.12530   0.8173092   0.4227828
      26   243.25020   0.7959981   0.4197081
      27   243.37520   0.7726153   0.4164215
      28   243.50030   0.7497469   0.4130693
      29   243.62520   0.7311129   0.4122983
      30   243.75030   0.7047975   0.4071848
      31   243.87530   0.6790732   0.4014103
      32   244.00030   0.6553657   0.3964278
      33   244.12530   0.6336433   0.3915679
      34   244.25020   0.6141179   0.3861296
      35   244.37520   0.6029731   0.3839314
      36   244.50040   0.6052740   0.3893393
      37   244.62530   0.5989275   0.3883379
      38   244.75030   0.5959261   0.3889971
      39   244.87530   0.5955383   0.3894230
      40   245.00040   0.5954119   0.3888963
      41   245.12520   0.5956618   0.3874783
      42   245.25040   0.5903786   0.3824845
      43   245.37530   0.5741154   0.3718569
      44   245.50030   0.5536528   0.3588006
      45   245.62530   0.5482748   0.3529041
      46   245.75030   0.5476872   0.3491356
      47   245.87520   0.5504718   0.3456370
      48   246.00030   0.5579011   0.3430414
      49   246.12520   0.5730306   0.3434623
      50   246.25030   0.5829070   0.3415689
      51   246.37530   0.5964863   0.3412938
      52   246.50020   0.6103163   0.3404856
      53   246.62520   0.6279016   0.3409961
      54   246.75030   0.6401664   0.3369811
      55   246.87530   0.6581168   0.3358354
      56   247.00030   0.6750530   0.3356211
      57   247.12520   0.6920588   0.3369223
      58   247.25030   0.7138687   0.3410563
      59   247.37520   0.7375108   0.3464923
      60   247.50020   0.7620318   0.3535193
      61   247.62530   0.7830666   0.3605497
      62   247.75020   0.7950720   0.3634999
      63   247.87520   0.8057769   0.3655476
      64   248.00040   0.8154347   0.3690850
      65   248.12540   0.8221050   0.3721667
      66   248.25040   0.8295655   0.3751215
      67   248.37520   0.8389458   0.3801235
      68   248.50020   0.8417428   0.3831063
      69   248.62530   0.8419452   0.3853964
      70   248.75030   0.8432202   0.3894792
      71   248.87530   0.8379067   0.3909009
      72   249.00040   0.8303627   0.3918801
      73   249.12520   0.8213951   0.3929599
      74   249.25030   0.8107222   0.3940365
      75   249.37530   0.7990059   0.3939541
      76   249.50030   0.7857148   0.3927606
      77   249.62520   0.7724848   0.3923442
      78   249.75040   0.7633370   0.3944438
      79   249.87520   0.7529156   0.3950772
      80   250.00040   0.7420487   0.3954644
      81   250.12530   0.7306931   0.3961318
      82   250.25030   0.7198561   0.3969680
      83   250.37530   0.7105334   0.3978067
      84   250.50040   0.7005285   0.3963757
      85   250.62520   0.6905054   0.3940810
      86   250.75020   0.6803006   0.3927352
      87   250.87530   0.6689403   0.3888796
      88   251.00030   0.6622284   0.3868260
      89   251.12520   0.6560254   0.3846494
      90   251.25030   0.6509219   0.3832046
      91   251.37530   0.6439308   0.3798952
      92   251.50030   0.6372799   0.3763729
      93   251.62520   0.6270441   0.3701852
      94   251.75020   0.6193352   0.3649483
      95   251.87530   0.6183382   0.3631804
      96   252.00030   0.6240167   0.3650092
      97   252.12520   0.6299994   0.3658756
      98   252.25040   0.6360407   0.3662170
      99   252.37520   0.6454271   0.3683692
     100   252.50020   0.6606204   0.3731302
     101   252.62520   0.6750516   0.3770779
     102   252.75030   0.6820254   0.3768451
     103   252.87520   0.6768216   0.3700016
     104   253.00030   0.6678458   0.3614711
     105   253.12530   0.6591899   0.3542257
     106   253.25040   0.6511872   0.3485826
     107   253.37520   0.6421313   0.3436203
     108   253.50030   0.6358628   0.3406772
     109   253.62530   0.6352175   0.3408673
     110   253.75030   0.6410616   0.3444177
     111   253.87530   0.6500120   0.3489506
     112   254.00030   0.6626133   0.3552643
     113   254.12520   0.6790066   0.3634632
     114   254.25040   0.6939555   0.3708810
     115   254.37530   0.7083211   0.3774704
     116   254.50030   0.7204006   0.3825871
     117   254.62530   0.7276214   0.3857415
     118   254.75020   0.7306302   0.3881743
     119   254.87530   0.7272559   0.3884767
     120   255.00030   0.7222047   0.3890615
     121   255.12530   0.7143525   0.3891046
     122   255.25020   0.7020344   0.3893075
     123   255.37520   0.6827216   0.3875489
     124   255.50030   0.6570654   0.3838720
     125   255.62530   0.6354205   0.3840659
     126   255.75020   0.6151164   0.3848751
     127   255.87520   0.5970318   0.3873031
     128   256.00030   0.5826725   0.3907943
     129   256.12530   0.5724760   0.3948631
     130   256.25020   0.5669992   0.3999898
     131   256.37540   0.5632942   0.4039453
     132   256.50040   0.5576944   0.4046843
     133   256.62520   0.5551530   0.4052534
     134   256.75030   0.5610299   0.4089686
     135   256.87530   0.5670914   0.4110106
     136   257.00030   0.5721926   0.4118123
     137   257.12520   0.5739929   0.4094110
     138   257.25020   0.5752471   0.4051268
     139   257.37530   0.5743764   0.3993243
     140   257.50030   0.5705825   0.3921135
     141   257.62530   0.5625446   0.3831965
     142   257.75030   0.5566561   0.3751602
     143   257.87530   0.5538102   0.3686780
     144   258.00030   0.5544005   0.3627406
     145   258.12520   0.5569935   0.3564021
     146   258.25030   0.5682712   0.3543698
     147   258.37530   0.5789796   0.3520838
     148   258.50030   0.5790718   0.3453697
     149   258.62530   0.5806481   0.3395807
     150   258.75030   0.5871844   0.3356309
     151   258.87520   0.5890120   0.3301862
     152   259.00040   0.5801749   0.3191406
     153   259.12530   0.5784845   0.3107021
     154   259.25030   0.5934065   0.3108379
     155   259.37530   0.6054991   0.3096660
     156   259.50030   0.6292105   0.3155417
     157   259.62520   0.6489833   0.3212349
     158   259.75030   0.6646014   0.3236615
     159   259.87530   0.6807028   0.3257868
     160   260.00030   0.6988342   0.3289533
     161   260.12530   0.7186513   0.3333501
     162   260.25030   0.7399237   0.3388072
     163   260.37530   0.7573146   0.3437096
     164   260.50030   0.7734742   0.3485455
     165   260.62520   0.7930814   0.3557039
     166   260.75030   0.8126524   0.3652138
     167   260.87530   0.8283373   0.3722201
     168   261.00020   0.8447032   0.3795525
     169   261.12520   0.8518122   0.3833739
     170   261.25020   0.8572692   0.3868059
     171   261.37530   0.8581716   0.3885158
     172   261.50040   0.8572567   0.3906526
     173   261.62530   0.8515012   0.3919632
     174   261.75040   0.8391033   0.3905416
     175   261.87530   0.8226251   0.3881443
     176   262.00040   0.8080197   0.3869342
     177   262.12540   0.7927647   0.3863470
     178   262.25030   0.7781339   0.3864203
     179   262.37530   0.7593501   0.3835010
     180   262.50020   0.7426863   0.3812732
     181   262.62530   0.7297799   0.3809531
     182   262.75030   0.7180104   0.3795872
     183   262.87540   0.7087456   0.3787455
     184   263.00020   0.6989723   0.3776667
     185   263.12520   0.6897384   0.3755624
     186   263.25030   0.6812020   0.3726991
     187   263.37530   0.6751262   0.3704268
     188   263.50030   0.6735664   0.3688903
     189   263.62530   0.6713943   0.3660918
     190   263.75030   0.6769962   0.3660321
     191   263.87530   0.6848523   0.3666405
     192   264.00030   0.6943434   0.3687755
     193   264.12540   0.7056815   0.3704420
     194   264.25030   0.7136054   0.3698651
     195   264.37540   0.7252924   0.3713785
     196   264.50020   0.7425298   0.3751793
     197   264.62530   0.7679809   0.3823262
     198   264.75030   0.7929255   0.3900110
     199   264.87530   0.8136630   0.3951341
     200   265.00030   0.8298679   0.3969303
     201   265.12530   0.8490801   0.4006250
     202   265.25030   0.8657227   0.4035535
     203   265.37530   0.8834487   0.4069244
     204   265.50030   0.9028446   0.4132207
     205   265.62540   0.9184875   0.4203232
     206   265.75020   0.9344405   0.4276555
     207   265.87540   0.9449805   0.4324267
     208   266.00030   0.9533118   0.4366608
     209   266.12520   0.9610544   0.4407682
     210   266.25030   0.9677955   0.4450668
     211   266.37530   0.9705286   0.4485325
     212   266.50040   0.9714494   0.4516842
     213   266.62530   0.9668758   0.4534132
     214   266.75030   0.9518761   0.4510372
     215   266.87530   0.9319668   0.4464382
     216   267.00020   0.9108867   0.4425320
     217   267.12530   0.8856941   0.4373125
     218   267.25040   0.8644394   0.4349438
     219   267.37530   0.8427488   0.4331387
     220   267.50030   0.8182145   0.4289518
     221   267.62530   0.7999821   0.4299059
     222   267.75030   0.7793798   0.4294068
     223   267.87520   0.7636222   0.4298915
     224   268.00020   0.7530344   0.4332112
     225   268.12530   0.7395843   0.4331070
     226   268.25030   0.7315533   0.4330048
     227   268.37530   0.7266938   0.4338735
     228   268.50020   0.7238372   0.4343587
     229   268.62530   0.7217044   0.4347113
     230   268.75030   0.7168001   0.4330439
     231   268.87530   0.7079544   0.4270550
     232   269.00020   0.7026253   0.4206680
     233   269.12520   0.6983787   0.4152864
     234   269.25030   0.6999012   0.4126696
     235   269.37520   0.7011061   0.4102922
     236   269.50020   0.7049051   0.4077349
     237   269.62530   0.7051412   0.4016753
     238   269.75020   0.7075824   0.3964834
     239   269.87540   0.7124259   0.3920897
     240   270.00030   0.7214706   0.3897738
     241   270.12520   0.7264437   0.3861096
     242   270.25030   0.7258566   0.3800905
     243   270.37530   0.7281548   0.3729666
     244   270.50030   0.7326857   0.3667740
     245   270.62520   0.7398619   0.3618762
     246   270.75020   0.7585440   0.3635828
     247   270.87520   0.7835994   0.3704458
     248   271.00020   0.8050356   0.3766545
     249   271.12530   0.8326317   0.3864016
     250   271.25020   0.8638667   0.3978265
     251   271.37530   0.8907639   0.4065053
     252   271.50030   0.9160642   0.4139481
     253   271.62530   0.9386967   0.4213282
     254   271.75030   0.9523288   0.4246676
     255   271.87530   0.9636972   0.4295695
     256   272.00030   0.9555964   0.4272990
     257   272.12530   0.9462616   0.4257488
     258   272.25020   0.9375175   0.4235850
     259   272.37520   0.9289490   0.4229397
     260   272.50020   0.9164673   0.4203612
     261   272.62530   0.9053176   0.4183942
     262   272.75020   0.8890738   0.4152834
     263   272.87520   0.8661113   0.4077248
     264   273.00030   0.8499698   0.4029265
     265   273.12530   0.8270760   0.3950379
     266   273.25030   0.8110187   0.3891080
     267   273.37530   0.7959052   0.3847729
     268   273.50020   0.7787828   0.3794527
     269   273.62520   0.7697378   0.3784843
     270   273.75030   0.7588385   0.3781611
     271   273.87530   0.7461813   0.3764649
     272   274.00020   0.7309215   0.3718945
     273   274.12520   0.7208455   0.3678506
     274   274.25020   0.7154847   0.3672213
     275   274.37530   0.7094397   0.3670977
     276   274.50020   0.7075935   0.3686031
     277   274.62520   0.7054619   0.3697936
     278   274.75020   0.7022228   0.3707758
     279   274.87530   0.6950995   0.3692918
     280   275.00030   0.6834297   0.3647020
     281   275.12520   0.6763697   0.3614431
     282   275.25030   0.6766077   0.3609167
     283   275.37530   0.6816926   0.3622989
     284   275.50030   0.6864516   0.3635086
     285   275.62520   0.6893781   0.3636255
     286   275.75020   0.6863166   0.3602008
     287   275.87520   0.6861739   0.3576361
     288   276.00030   0.6884404   0.3565472
     289   276.12530   0.6911670   0.3557664
     290   276.25020   0.6970949   0.3564449
     291   276.37530   0.7085191   0.3599809
     292   276.50020   0.7206461   0.3644291
     293   276.62520   0.7335247   0.3688557
     294   276.75020   0.7502759   0.3750451
     295   276.87530   0.7680941   0.3826732
     296   277.00020   0.7856832   0.3909173
     297   277.12530   0.8015832   0.3990270
     298   277.25020   0.8170149   0.4079174
     299   277.37520   0.8280898   0.4157967
     300   277.50030   0.8325336   0.4204514
     301   277.62530   0.8331471   0.4230744
     302   277.75020   0.8279409   0.4232352
     303   277.87520   0.8185142   0.4221225
     304   278.00020   0.8086912   0.4217446
     305   278.12520   0.7951503   0.4207951
     306   278.25020   0.7783925   0.4194222
     307   278.37520   0.7651006   0.4205248
     308   278.50020   0.7453611   0.4180357
     309   278.62530   0.7263940   0.4166014
     310   278.75020   0.7133118   0.4173489
     311   278.87530   0.7048954   0.4187066
     312   279.00030   0.6928895   0.4182018
     313   279.12520   0.6755038   0.4143417
     314   279.25020   0.6604888   0.4100263
     315   279.37530   0.6519070   0.4084236
     316   279.50020   0.6407421   0.4040313
     317   279.62520   0.6292193   0.3992584
     318   279.75020   0.6176448   0.3941102
     319   279.87520   0.6003539   0.3845690
     320   280.00020   0.5892409   0.3799260
     321   280.12530   0.5814097   0.3746255
     322   280.25020   0.5828471   0.3721270
     323   280.37520   0.5826396   0.3689669
     324   280.50030   0.5866270   0.3681149
     325   280.62530   0.5877683   0.3631224
     326   280.75020   0.5903059   0.3572259
     327   280.87530   0.5955371   0.3529573
     328   281.00030   0.6028011   0.3498828
     329   281.12520   0.6104233   0.3459391
     330   281.25030   0.6126508   0.3397048
     331   281.37530   0.6099261   0.3310237
     332   281.50020   0.6208392   0.3287253
     333   281.62520   0.6384222   0.3300481
     334   281.75020   0.6654079   0.3367604
     335   281.87530   0.6994021   0.3467535
     336   282.00030   0.7343203   0.3571043
     337   282.12520   0.7585178   0.3634499
     338   282.25020   0.7768959   0.3674061
     339   282.37530   0.7952655   0.3701293
     340   282.50030   0.8175787   0.3750612
     341   282.62520   0.8344161   0.3784575
     342   282.75030   0.8499773   0.3809733
     343   282.87530   0.8700584   0.3875905
     344   283.00030   0.8873483   0.3947640
     345   283.12530   0.9046424   0.4023884
     346   283.25020   0.9180260   0.4089107
     347   283.37520   0.9290854   0.4148501
     348   283.50020   0.9393086   0.4212146
     349   283.62520   0.9464203   0.4273591
     350   283.75030   0.9545132   0.4343054
     351   283.87530   0.9594849   0.4413385
     352   284.00020   0.9568057   0.4464431
     353   284.12530   0.9430685   0.4468865
     354   284.25020   0.9247878   0.4455209
     355   284.37520   0.9042986   0.4436967
     356   284.50020   0.8846340   0.4426129
     357   284.62520   0.8639272   0.4420116
     358   284.75020   0.8434050   0.4421451
     359   284.87530   0.8256458   0.4427992
     360   285.00030   0.8095136   0.4429929
     361   285.12520   0.7944834   0.4424249
     362   285.25030   0.7832938   0.4432761
     363   285.37520   0.7672446   0.4401758
     364   285.50020   0.7548259   0.4364436
     365   285.62530   0.7455858   0.4344007
     366   285.75030   0.7421124   0.4349273
     367   285.87520   0.7395539   0.4346951
     368   286.00030   0.7404252   0.4359198
     369   286.12520   0.7336579   0.4320204
     370   286.25030   0.7265790   0.4269229
     371   286.37520   0.7310595   0.4264130
     372   286.50030   0.7429241   0.4286705
     373   286.62530   0.7444314   0.4260136
     374   286.75020   0.7279634   0.4146699
     375   286.87530   0.7197428   0.4074112
     376   287.00020   0.7168440   0.4031343
     377   287.12520   0.7087761   0.3962380
     378   287.25020   0.6968516   0.3876258
     379   287.37530   0.6824523   0.3776095
     380   287.50030   0.6743666   0.3712456
     381   287.62530   0.6709174   0.3666068
     382   287.75020   0.6785694   0.3663636
     383   287.87520   0.6968875   0.3722611
     384   288.00020   0.7079330   0.3738257
     385   288.12520   0.7140061   0.3719657
     386   288.25030   0.7263141   0.3739631
     387   288.37520   0.7391251   0.3769625
     388   288.50020   0.7461122   0.3774363
     389   288.62520   0.7534348   0.3774802
     390   288.75020   0.7654685   0.3816481
     391   288.87520   0.7775066   0.3864964
     392   289.00030   0.7938328   0.3934845
     393   289.12530   0.8062918   0.3975258
     394   289.25030   0.8144629   0.3995147
     395   289.37530   0.8251905   0.4048009
     396   289.50020   0.8357685   0.4117079
     397   289.62520   0.8402585   0.4159915
     398   289.75020   0.8404824   0.4174564
     399   289.87530   0.8383717   0.4192637
     400   290.00020   0.8294430   0.4187342
     401   290.12530   0.8197670   0.4182474
     402   290.25020   0.8076086   0.4173243
     403   290.37530   0.7864041   0.4146263
     404   290.50020   0.7613012   0.4132663
     405   290.62530   0.7383819   0.4139606
     406   290.75030   0.7174845   0.4160677
     407   290.87520   0.6970610   0.4171606
     408   291.00030   0.6777535   0.4171219
     409   291.12520   0.6696193   0.4236235
     410   291.25020   0.6640964   0.4299400
     411   291.37530   0.6592258   0.4342062
     412   291.50030   0.6532272   0.4354095
     413   291.62520   0.6554214   0.4396923
     414   291.75030   0.6553762   0.4421980
     415   291.87530   0.6552139   0.4427740
     416   292.00030   0.6552760   0.4429933
     417   292.12520   0.6594066   0.4449701
     418   292.25020   0.6618643   0.4451127
     419   292.37520   0.6533989   0.4390134
     420   292.50020   0.6374076   0.4289695
     421   292.62520   0.6191316   0.4176172
     422   292.75020   0.6018155   0.4067827
     423   292.87520   0.5817180   0.3935055
     424   293.00030   0.5682162   0.3824266
     425   293.12520   0.5695066   0.3782376
     426   293.25020   0.5795710   0.3767020
     427   293.37530   0.5916096   0.3734614
     428   293.50020   0.6021543   0.3695914
     429   293.62520   0.5940315   0.3551258
     430   293.75030   0.5955550   0.3460353
     431   293.87520   0.6138764   0.3466852
     432   294.00030   0.6232755   0.3432472
     433   294.12520   0.6238905   0.3355816
     434   294.25030   0.6199827   0.3245091
     435   294.37520   0.6233270   0.3183051
     436   294.50020   0.6361912   0.3178870
     437   294.62530   0.6500133   0.3185054
     438   294.75030   0.6644835   0.3209937
     439   294.87520   0.6767592   0.3226598
     440   295.00020   0.6957321   0.3269964
     441   295.12530   0.7223621   0.3354227
     442   295.25030   0.7514562   0.3469556
     443   295.37520   0.7725988   0.3547858
     444   295.50030   0.7973625   0.3655954
     445   295.62520   0.8185381   0.3756406
     446   295.75030   0.8323653   0.3823466
     447   295.87520   0.8393026   0.3861298
     448   296.00030   0.8464014   0.3907458
     449   296.12520   0.8523516   0.3951290
     450   296.25020   0.8523801   0.3962459
     451   296.37520   0.8462451   0.3940525
     452   296.50020   0.8402912   0.3924545
     453   296.62530   0.8309147   0.3895566
     454   296.75020   0.8248506   0.3900372
     455   296.87530   0.8169874   0.3906412
     456   297.00030   0.8056943   0.3892682
     457   297.12530   0.7965492   0.3888363
     458   297.25020   0.7894074   0.3901474
     459   297.37530   0.7817660   0.3909827
     460   297.50020   0.7744915   0.3907948
     461   297.62520   0.7670997   0.3903345
     462   297.75020   0.7602614   0.3904715
     463   297.87520   0.7495123   0.3888840
     464   298.00030   0.7393315   0.3868408
     465   298.12530   0.7352114   0.3885869
     466   298.25020   0.7311102   0.3905993
     467   298.37530   0.7240360   0.3906038
     468   298.50030   0.7169917   0.3898941
     469   298.62530   0.7118906   0.3903970
     470   298.75020   0.7106179   0.3917781
     471   298.87530   0.7080641   0.3915497
