   n        time         Clv         Cdv
       0   150.00020  -0.0002830   0.0056779
       1   150.12510  -0.0003174   0.0057308
       2   150.25010  -0.0003143   0.0057108
       3   150.37500  -0.0003205   0.0056979
       4   150.50020  -0.0003320   0.0056986
       5   150.62520  -0.0003315   0.0057202
       6   150.75020  -0.0003191   0.0057277
       7   150.87510  -0.0003211   0.0057263
       8   151.00010  -0.0003153   0.0057436
       9   151.12500  -0.0003120   0.0057390
      10   151.25010  -0.0003187   0.0057245
      11   151.37510  -0.0003001   0.0057026
      12   151.50010  -0.0003042   0.0056987
      13   151.62510  -0.0002968   0.0056797
      14   151.75020  -0.0002830   0.0056421
      15   151.87510  -0.0002713   0.0056219
      16   152.00010  -0.0002735   0.0056191
      17   152.12510  -0.0002586   0.0055710
      18   152.25010  -0.0002596   0.0055546
      19   152.37520  -0.0002596   0.0055676
      20   152.50010  -0.0002643   0.0055555
      21   152.62520  -0.0002734   0.0055563
      22   152.75010  -0.0002727   0.0055679
      23   152.87510  -0.0002824   0.0056246
      24   153.00010  -0.0002830   0.0056342
      25   153.12510  -0.0002856   0.0056156
      26   153.25010  -0.0003045   0.0056706
      27   153.37510  -0.0002950   0.0056713
      28   153.50010  -0.0002910   0.0056870
      29   153.62510  -0.0002928   0.0056792
      30   153.75010  -0.0002960   0.0056773
      31   153.87510  -0.0003062   0.0056944
      32   154.00020  -0.0003151   0.0056917
      33   154.12510  -0.0003005   0.0056337
      34   154.25010  -0.0002967   0.0056240
      35   154.37510  -0.0002841   0.0055997
      36   154.50010  -0.0002804   0.0055945
      37   154.62520  -0.0002766   0.0055991
      38   154.75020  -0.0002571   0.0055326
      39   154.87500  -0.0002213   0.0054466
      40   155.00020  -0.0001906   0.0053576
      41   155.12520  -0.0001739   0.0053365
      42   155.25010  -0.0001505   0.0052967
      43   155.37510  -0.0001414   0.0052867
      44   155.50010  -0.0001382   0.0052781
      45   155.62520  -0.0001316   0.0053174
      46   155.75020  -0.0001185   0.0053011
      47   155.87520  -0.0001126   0.0052957
      48   156.00020  -0.0001032   0.0052689
      49   156.12510  -0.0001058   0.0052668
      50   156.25010  -0.0001025   0.0052445
      51   156.37520  -0.0000927   0.0052408
      52   156.50020  -0.0000947   0.0052519
      53   156.62520  -0.0000907   0.0052478
      54   156.75020  -0.0000970   0.0052678
      55   156.87520  -0.0000822   0.0052726
      56   157.00010  -0.0000833   0.0053253
      57   157.12510  -0.0000972   0.0053636
      58   157.25020  -0.0001034   0.0053759
      59   157.37510  -0.0001201   0.0053979
      60   157.50020  -0.0001335   0.0054461
      61   157.62520  -0.0001396   0.0054549
      62   157.75010  -0.0001304   0.0054293
      63   157.87510  -0.0001428   0.0054953
      64   158.00020  -0.0001576   0.0055193
      65   158.12520  -0.0001747   0.0055729
      66   158.25020  -0.0001757   0.0055869
      67   158.37510  -0.0001783   0.0055962
      68   158.50010  -0.0001995   0.0056309
      69   158.62510  -0.0001979   0.0056626
      70   158.75020  -0.0001910   0.0056327
      71   158.87510  -0.0001878   0.0056365
      72   159.00010  -0.0001983   0.0056558
      73   159.12520  -0.0002039   0.0056336
      74   159.25010  -0.0002236   0.0056293
      75   159.37510  -0.0002401   0.0056351
      76   159.50010  -0.0002346   0.0056001
      77   159.62510  -0.0002441   0.0055942
      78   159.75010  -0.0002494   0.0055911
      79   159.87510  -0.0002557   0.0056313
      80   160.00010  -0.0002561   0.0056272
      81   160.12520  -0.0002495   0.0056064
      82   160.25020  -0.0002491   0.0056335
      83   160.37520  -0.0002496   0.0056113
      84   160.50020  -0.0002351   0.0055778
      85   160.62520  -0.0002341   0.0055652
      86   160.75010  -0.0002666   0.0056421
      87   160.87510  -0.0002803   0.0056738
      88   161.00020  -0.0002803   0.0056817
      89   161.12520  -0.0002880   0.0056725
      90   161.25010  -0.0002793   0.0056483
      91   161.37520  -0.0002679   0.0056136
      92   161.50010  -0.0002761   0.0056270
      93   161.62510  -0.0002725   0.0056237
      94   161.75020  -0.0002631   0.0055852
      95   161.87510  -0.0002462   0.0055698
      96   162.00010  -0.0002449   0.0055878
      97   162.12510  -0.0002481   0.0056166
      98   162.25020  -0.0002496   0.0056455
      99   162.37510  -0.0002517   0.0056290
     100   162.50010  -0.0002564   0.0056222
     101   162.62510  -0.0002522   0.0056102
     102   162.75020  -0.0002603   0.0056471
     103   162.87500  -0.0002622   0.0056607
     104   163.00000  -0.0002630   0.0056542
     105   163.12500  -0.0002552   0.0056285
     106   163.25010  -0.0002532   0.0056169
     107   163.37500  -0.0002464   0.0055814
     108   163.50000  -0.0002420   0.0055890
     109   163.62500  -0.0002499   0.0056429
     110   163.75020  -0.0002532   0.0056626
     111   163.87520  -0.0002578   0.0056729
     112   164.00020  -0.0002592   0.0056998
     113   164.12520  -0.0002537   0.0056513
     114   164.25020  -0.0002533   0.0056259
     115   164.37520  -0.0002468   0.0056219
     116   164.50020  -0.0002672   0.0056753
     117   164.62510  -0.0002834   0.0057100
     118   164.75010  -0.0002857   0.0057422
     119   164.87520  -0.0002944   0.0057912
     120   165.00010  -0.0002809   0.0057790
     121   165.12520  -0.0002749   0.0057643
     122   165.25010  -0.0002751   0.0057363
     123   165.37510  -0.0002912   0.0057462
     124   165.50010  -0.0002834   0.0057114
     125   165.62520  -0.0002862   0.0057323
     126   165.75010  -0.0002818   0.0057457
     127   165.87520  -0.0002796   0.0057805
     128   166.00010  -0.0002764   0.0057689
     129   166.12520  -0.0002888   0.0057907
     130   166.25020  -0.0002773   0.0057708
     131   166.37500  -0.0002742   0.0057658
     132   166.50010  -0.0002791   0.0057896
     133   166.62500  -0.0002939   0.0058278
     134   166.75010  -0.0002910   0.0058229
     135   166.87520  -0.0002874   0.0058069
     136   167.00010  -0.0002801   0.0058126
     137   167.12520  -0.0002638   0.0057816
     138   167.25020  -0.0002629   0.0057494
     139   167.37510  -0.0002690   0.0057326
     140   167.50010  -0.0002706   0.0057639
     141   167.62510  -0.0002708   0.0057340
     142   167.75020  -0.0002731   0.0057428
     143   167.87520  -0.0002768   0.0057477
     144   168.00010  -0.0002865   0.0058140
     145   168.12510  -0.0002924   0.0058271
     146   168.25010  -0.0002940   0.0058356
     147   168.37520  -0.0002898   0.0058024
     148   168.50020  -0.0002841   0.0057809
     149   168.62510  -0.0002879   0.0058043
     150   168.75020  -0.0002825   0.0057866
     151   168.87510  -0.0002840   0.0058078
     152   169.00010  -0.0002834   0.0057734
     153   169.12510  -0.0002736   0.0057334
     154   169.25010  -0.0002771   0.0057605
     155   169.37520  -0.0002691   0.0057299
     156   169.50000  -0.0002634   0.0056988
     157   169.62510  -0.0002538   0.0056592
     158   169.75010  -0.0002631   0.0056915
     159   169.87520  -0.0002588   0.0057365
     160   170.00010  -0.0002642   0.0057601
     161   170.12520  -0.0002500   0.0057426
     162   170.25010  -0.0002463   0.0057196
     163   170.37520  -0.0002397   0.0056983
     164   170.50010  -0.0002332   0.0056675
     165   170.62510  -0.0002238   0.0056367
     166   170.75010  -0.0002136   0.0055701
     167   170.87520  -0.0002121   0.0055649
     168   171.00010  -0.0002033   0.0055686
     169   171.12510  -0.0001865   0.0055421
     170   171.25020  -0.0001649   0.0054824
     171   171.37510  -0.0001526   0.0054579
     172   171.50010  -0.0001433   0.0054424
     173   171.62510  -0.0001422   0.0054254
     174   171.75020  -0.0001257   0.0053944
     175   171.87500  -0.0001173   0.0053915
     176   172.00010  -0.0001081   0.0053686
     177   172.12510  -0.0001083   0.0053923
     178   172.25020  -0.0001191   0.0054318
     179   172.37510  -0.0001144   0.0054319
     180   172.50010  -0.0001193   0.0054697
     181   172.62520  -0.0001061   0.0054046
     182   172.75010  -0.0001104   0.0054459
     183   172.87510  -0.0001142   0.0054543
     184   173.00010  -0.0001111   0.0054458
     185   173.12510  -0.0001135   0.0054386
     186   173.25020  -0.0001150   0.0054510
