x0	Cl	
0.00000 	 0.00013 	 
0.02222 	 0.01022 	 
0.04444 	 0.00366 	 
0.06667 	 0.01085 	 
0.08889 	 0.01415 	 
0.11111 	 0.00727 	 
0.13333 	 0.02736 	 
0.15555 	 0.17733 	 
0.17777 	 0.16175 	 
0.20000 	 0.00820 	 
0.22222 	 0.00423 	 
0.24444 	 0.00566 	 
0.26666 	 0.00258 	 
0.28888 	 0.00226 	 
0.31110 	 0.00274 	 
0.33333 	 0.00475 	 
0.35555 	 0.00213 	 
0.37777 	 0.00069 	 
0.39999 	 0.00079 	 
0.42221 	 0.00214 	 
0.44444 	 0.00097 	 
0.46666 	 0.00029 	 
0.48888 	 0.00019 	 
0.51110 	 0.00006 	 
0.53332 	 0.00008 	 
0.55554 	 0.00029 	 
0.57777 	 0.00032 	 
0.59999 	 0.00027 	 
0.62221 	 0.00012 	 
0.64443 	 0.00007 	 
0.66665 	 0.00012 	 
0.68888 	 0.00010 	 
0.71110 	 0.00009 	 
0.73332 	 0.00009 	 
0.75554 	 0.00010 	 
0.77776 	 0.00007 	 
0.79998 	 0.00003 	 
0.82221 	 0.00012 	 
0.84443 	 0.00009 	 
0.86665 	 0.00004 	 
0.88887 	 0.00008 	 
0.91109 	 0.00006 	 
0.93331 	 0.00005 	 
0.95554 	 0.00001 	 
0.97776 	 0.00004 	 
0.99998 	 0.00004 	 
1.02220 	 0.00004 	 
1.04442 	 0.00004 	 
1.06665 	 0.00001 	 
1.08887 	 0.00001 	 
1.11109 	 0.00002 	 
1.13331 	 0.00001 	 
1.15553 	 0.00003 	 
1.17775 	 0.00002 	 
1.19998 	 0.00001 	 
1.22220 	 0.00002 	 
1.24442 	 0.00003 	 
1.26664 	 0.00002 	 
1.28886 	 0.00001 	 
1.31108 	 0.00001 	 
1.33331 	 0.00000 	 
1.35553 	 0.00001 	 
1.37775 	 0.00001 	 
1.39997 	 0.00001 	 
1.42219 	 0.00001 	 
1.44442 	 0.00001 	 
1.46664 	 0.00001 	 
1.48886 	 0.00000 	 
1.51108 	 0.00000 	 
1.53330 	 0.00001 	 
1.55552 	 0.00002 	 
1.57775 	 0.00000 	 
1.59997 	 0.00000 	 
1.62219 	 0.00000 	 
1.64441 	 0.00000 	 
1.66663 	 0.00000 	 
1.68886 	 0.00000 	 
1.71108 	 0.00000 	 
1.73330 	 0.00000 	 
1.75552 	 0.00000 	 
1.77774 	 0.00000 	 
1.79996 	 0.00000 	 
1.82219 	 0.00000 	 
1.84441 	 0.00000 	 
1.86663 	 0.00000 	 
1.88885 	 0.00000 	 
1.91107 	 0.00000 	 
1.93329 	 0.00000 	 
1.95552 	 0.00000 	 
1.97774 	 0.00000 	 
1.99996 	 0.00000 	 
2.02218 	 0.00001 	 
2.04440 	 0.00000 	 
2.06663 	 0.00000 	 
2.08885 	 0.00000 	 
2.11107 	 0.00000 	 
2.13329 	 0.00000 	 
2.15551 	 0.00000 	 
2.17773 	 0.00000 	 
2.19996 	 0.00000 	 
2.22218 	 0.00000 	 
2.24440 	 0.00000 	 
2.26662 	 0.00000 	 
2.28884 	 0.00000 	 
2.31106 	 0.00000 	 
2.33329 	 0.00000 	 
2.35551 	 0.00000 	 
2.37773 	 0.00000 	 
2.39995 	 0.00000 	 
2.42217 	 0.00000 	 
2.44440 	 0.00000 	 
2.46662 	 0.00000 	 
