   n        time         Cl         Cd
  310800    50.05159   0.6064308   0.3347429
  311200    50.11586   0.6040172   0.3321710
  311600    50.18014   0.6013498   0.3299176
  312000    50.24443   0.5996471   0.3279893
  312400    50.30876   0.5975277   0.3256628
  312800    50.37313   0.5965985   0.3231836
  313200    50.43750   0.5958494   0.3208408
  313600    50.50186   0.5928829   0.3182398
  314000    50.56623   0.5911585   0.3155536
  314400    50.63064   0.5904794   0.3134840
  314800    50.69502   0.5927500   0.3124628
  315200    50.75937   0.5904028   0.3102766
  315600    50.82372   0.5880080   0.3078387
  316000    50.88808   0.5881841   0.3056513
  316400    50.95245   0.5871787   0.3032704
  316800    51.01678   0.5870943   0.3013118
  317200    51.08109   0.5889028   0.3004245
  317600    51.14543   0.5927976   0.3006573
  318000    51.20976   0.5965810   0.3006262
  318400    51.27407   0.6024756   0.3019103
  318800    51.33838   0.6109165   0.3042692
  319200    51.40267   0.6160511   0.3054018
  319600    51.46693   0.6218873   0.3063979
  320000    51.53118   0.6304578   0.3085826
  320400    51.59541   0.6351803   0.3099991
  320800    51.65962   0.6417632   0.3115425
  321200    51.72382   0.6467481   0.3120946
  321600    51.78802   0.6513357   0.3128031
  322000    51.85219   0.6543543   0.3128930
  322400    51.91634   0.6577819   0.3133361
  322800    51.98050   0.6610503   0.3135739
  323200    52.04465   0.6648417   0.3145269
  323600    52.10877   0.6686445   0.3157421
  324000    52.17285   0.6694554   0.3159046
  324400    52.23691   0.6727808   0.3167854
  324800    52.30096   0.6745700   0.3176532
  325200    52.36495   0.6744004   0.3179802
  325600    52.42889   0.6762518   0.3193712
  326000    52.49278   0.6788647   0.3211003
  326400    52.55665   0.6806341   0.3230621
  326800    52.62049   0.6810458   0.3249246
  327200    52.68431   0.6813449   0.3269082
  327600    52.74811   0.6794680   0.3280190
  328000    52.81192   0.6779507   0.3293419
  328400    52.87573   0.6743943   0.3302873
  328800    52.93953   0.6738089   0.3320138
  329200    53.00333   0.6733963   0.3336933
  329600    53.06715   0.6691232   0.3339471
  330000    53.13095   0.6652927   0.3338080
  330400    53.19473   0.6610734   0.3336076
  330800    53.25855   0.6558273   0.3323242
  331200    53.32236   0.6487538   0.3305887
  331600    53.38614   0.6437331   0.3293781
  332000    53.44989   0.6367369   0.3272951
  332400    53.51365   0.6300806   0.3249153
  332800    53.57740   0.6247121   0.3226331
  333200    53.64111   0.6185822   0.3205095
  333600    53.70481   0.6148353   0.3195332
  334000    53.76852   0.6107591   0.3191411
  334400    53.83224   0.6082724   0.3189609
  334800    53.89595   0.6050514   0.3181005
  335200    53.95967   0.6013450   0.3166372
