alpha	WLE_Cl		WLE_Cd   	SLE_Cl		SLE_Cd
0	0.009578        0.0289120	0.00            0.028
4	0.355608        0.0352563       0.39            0.035
6	0.554662        0.0419539       0.66            0.042
8	0.866910        0.0522156       0.94            0.052
9	0.887386        0.0560006       0.99            0.056
10	0.895064        0.0593969       1.01            0.059
11	0.907861        0.0639486       1.02            0.064
12	0.930896        0.0719707       1.03            0.073
13	0.920658        0.0842315       0.32            0.176
14	0.879707        0.1223310       0.34            0.191
15	0.836197        0.1612000       0.37            0.210
17	0.779890        0.2196590       0.47            0.258
20	0.728702        0.2857640       0.52            0.310
22	0.705667        0.3183870       0.55            0.342
25	0.649360        0.3655880       0.60            0.402
