   n        time         Cl         Cd
 1277898   210.00018   0.5838423   0.3164156
 1277899   210.00034   0.5840054   0.3165442
 1277900   210.00051   0.5840793   0.3166055
 1277901   210.00067   0.5841210   0.3166081
 1277902   210.00083   0.5841502   0.3165909
 1277903   210.00099   0.5841680   0.3165787
 1277904   210.00115   0.5841750   0.3165792
 1277905   210.00131   0.5841741   0.3165901
 1277906   210.00147   0.5841683   0.3166065
 1277907   210.00163   0.5841590   0.3166246
 1277908   210.00179   0.5841478   0.3166432
 1277909   210.00195   0.5841358   0.3166621
 1277910   210.00211   0.5841236   0.3166809
 1277911   210.00227   0.5841112   0.3166992
 1277912   210.00244   0.5840984   0.3167168
 1277913   210.00260   0.5840853   0.3167337
 1277914   210.00276   0.5840726   0.3167500
 1277915   210.00292   0.5840606   0.3167651
 1277916   210.00308   0.5840499   0.3167787
 1277917   210.00324   0.5840408   0.3167903
 1277918   210.00340   0.5840330   0.3167997
 1277919   210.00356   0.5840255   0.3168071
 1277920   210.00372   0.5840168   0.3168128
 1277921   210.00389   0.5840056   0.3168179
 1277922   210.00405   0.5839918   0.3168231
 1277923   210.00421   0.5839766   0.3168290
 1277924   210.00437   0.5839614   0.3168354
 1277925   210.00453   0.5839471   0.3168419
 1277926   210.00469   0.5839342   0.3168479
 1277927   210.00485   0.5839222   0.3168535
 1277928   210.00501   0.5839108   0.3168591
 1277929   210.00517   0.5838999   0.3168650
 1277930   210.00534   0.5838894   0.3168713
 1277931   210.00550   0.5838794   0.3168779
 1277932   210.00566   0.5838695   0.3168847
 1277933   210.00582   0.5838595   0.3168916
 1277934   210.00598   0.5838490   0.3168985
 1277935   210.00614   0.5838381   0.3169055
 1277936   210.00630   0.5838271   0.3169124
 1277937   210.00646   0.5838162   0.3169188
 1277938   210.00662   0.5838059   0.3169244
 1277939   210.00678   0.5837962   0.3169290
 1277940   210.00694   0.5837875   0.3169325
 1277941   210.00711   0.5837796   0.3169353
 1277942   210.00727   0.5837725   0.3169376
 1277943   210.00743   0.5837657   0.3169398
 1277944   210.00759   0.5837588   0.3169423
 1277945   210.00775   0.5837509   0.3169450
 1277946   210.00791   0.5837418   0.3169480
 1277947   210.00807   0.5837311   0.3169511
 1277948   210.00823   0.5837191   0.3169543
 1277949   210.00839   0.5837064   0.3169574
 1277950   210.00855   0.5836937   0.3169605
 1277951   210.00871   0.5836817   0.3169636
 1277952   210.00888   0.5836708   0.3169667
 1277953   210.00904   0.5836611   0.3169699
 1277954   210.00920   0.5836524   0.3169731
 1277955   210.00936   0.5836444   0.3169764
 1277956   210.00952   0.5836366   0.3169796
 1277957   210.00968   0.5836286   0.3169827
 1277958   210.00984   0.5836204   0.3169857
 1277959   210.01000   0.5836118   0.3169883
 1277960   210.01016   0.5836030   0.3169908
 1277961   210.01032   0.5835943   0.3169930
 1277962   210.01048   0.5835857   0.3169950
 1277963   210.01064   0.5835777   0.3169969
 1277964   210.01081   0.5835702   0.3169986
 1277965   210.01097   0.5835633   0.3170003
 1277966   210.01113   0.5835571   0.3170018
 1277967   210.01129   0.5835514   0.3170033
