   n        time         Cl         Cd
  461609    85.00064   0.7619625   0.0298632
  461610    85.00082   0.7621377   0.0299593
  461611    85.00100   0.7621955   0.0299794
  461612    85.00118   0.7622295   0.0299420
  461613    85.00136   0.7622423   0.0299120
  461614    85.00154   0.7622369   0.0299091
  461615    85.00171   0.7622290   0.0299231
  461616    85.00189   0.7622226   0.0299429
  461617    85.00207   0.7622114   0.0299661
  461618    85.00225   0.7621963   0.0299920
  461619    85.00243   0.7621835   0.0300174
  461620    85.00261   0.7621740   0.0300392
  461621    85.00278   0.7621646   0.0300572
  461622    85.00296   0.7621546   0.0300740
  461623    85.00314   0.7621464   0.0300912
  461624    85.00332   0.7621401   0.0301074
  461625    85.00350   0.7621330   0.0301198
  461626    85.00367   0.7621246   0.0301269
  461627    85.00385   0.7621182   0.0301301
  461628    85.00403   0.7621171   0.0301319
  461629    85.00421   0.7621207   0.0301341
  461630    85.00439   0.7621254   0.0301370
  461631    85.00457   0.7621285   0.0301397
  461632    85.00474   0.7621300   0.0301423
  461633    85.00492   0.7621315   0.0301451
  461634    85.00510   0.7621331   0.0301483
  461635    85.00528   0.7621339   0.0301519
  461636    85.00546   0.7621330   0.0301555
  461637    85.00564   0.7621314   0.0301588
  461638    85.00581   0.7621310   0.0301619
  461639    85.00599   0.7621331   0.0301645
  461640    85.00617   0.7621376   0.0301663
  461641    85.00635   0.7621430   0.0301669
  461642    85.00653   0.7621479   0.0301663
  461643    85.00670   0.7621519   0.0301644
  461644    85.00688   0.7621554   0.0301617
  461645    85.00706   0.7621590   0.0301581
  461646    85.00724   0.7621630   0.0301535
  461647    85.00742   0.7621674   0.0301477
  461648    85.00760   0.7621722   0.0301403
  461649    85.00777   0.7621771   0.0301315
  461650    85.00795   0.7621824   0.0301212
  461651    85.00813   0.7621882   0.0301096
  461652    85.00831   0.7621944   0.0300966
  461653    85.00849   0.7622007   0.0300822
  461654    85.00866   0.7622068   0.0300663
  461655    85.00884   0.7622123   0.0300489
  461656    85.00902   0.7622170   0.0300301
  461657    85.00920   0.7622212   0.0300099
  461658    85.00938   0.7622253   0.0299887
  461659    85.00956   0.7622298   0.0299668
  461660    85.00973   0.7622349   0.0299443
  461661    85.00991   0.7622407   0.0299215
  461662    85.01009   0.7622470   0.0298987
  461663    85.01027   0.7622536   0.0298759
  461664    85.01045   0.7622604   0.0298532
  461665    85.01062   0.7622672   0.0298307
  461666    85.01080   0.7622740   0.0298084
  461667    85.01098   0.7622809   0.0297864
  461668    85.01116   0.7622878   0.0297645
  461669    85.01134   0.7622947   0.0297429
  461670    85.01151   0.7623014   0.0297213
  461671    85.01169   0.7623074   0.0296997
  461672    85.01187   0.7623126   0.0296782
  461673    85.01205   0.7623169   0.0296566
  461674    85.01223   0.7623203   0.0296350
  461675    85.01241   0.7623231   0.0296136
  461676    85.01258   0.7623259   0.0295924
  461677    85.01276   0.7623290   0.0295714
  461678    85.01294   0.7623330   0.0295508
  461679    85.01312   0.7623379   0.0295305
  461680    85.01330   0.7623438   0.0295105
  461681    85.01347   0.7623504   0.0294908
  461682    85.01365   0.7623572   0.0294712
  461683    85.01383   0.7623640   0.0294516
  461684    85.01401   0.7623704   0.0294319
  461685    85.01419   0.7623765   0.0294119
  461686    85.01436   0.7623823   0.0293916
  461687    85.01454   0.7623882   0.0293708
  461688    85.01472   0.7623944   0.0293494
  461689    85.01490   0.7624013   0.0293273
  461690    85.01508   0.7624090   0.0293045
  461691    85.01526   0.7624174   0.0292808
  461692    85.01543   0.7624264   0.0292561
  461693    85.01561   0.7624356   0.0292304
  461694    85.01579   0.7624446   0.0292036
  461695    85.01597   0.7624532   0.0291756
  461696    85.01615   0.7624612   0.0291466
  461697    85.01632   0.7624684   0.0291164
  461698    85.01650   0.7624752   0.0290852
  461699    85.01668   0.7624815   0.0290530
  461700    85.01686   0.7624879   0.0290200
  461701    85.01704   0.7624945   0.0289861
  461702    85.01721   0.7625017   0.0289515
  461703    85.01739   0.7625096   0.0289163
  461704    85.01757   0.7625183   0.0288804
  461705    85.01775   0.7625276   0.0288438
  461706    85.01793   0.7625374   0.0288067
  461707    85.01811   0.7625474   0.0287689
  461708    85.01828   0.7625576   0.0287305
  461709    85.01846   0.7625677   0.0286916
  461710    85.01864   0.7625776   0.0286520
  461711    85.01882   0.7625872   0.0286119
  461712    85.01900   0.7625967   0.0285713
  461713    85.01917   0.7626063   0.0285303
  461714    85.01935   0.7626160   0.0284889
  461715    85.01953   0.7626261   0.0284473
