   n        time         Cl         Cd
  935099   155.00022   0.5997120   0.2923579
  935100   155.00038   0.5997110   0.2923582
  935101   155.00054   0.5997099   0.2923585
  935102   155.00070   0.5997089   0.2923589
  935103   155.00086   0.5997078   0.2923592
  935104   155.00102   0.5997067   0.2923595
  935105   155.00118   0.5997057   0.2923599
  935106   155.00135   0.5997046   0.2923602
  935107   155.00151   0.5997035   0.2923605
  935108   155.00167   0.5997023   0.2923609
  935109   155.00183   0.5997012   0.2923612
  935110   155.00199   0.5997001   0.2923616
  935111   155.00215   0.5996990   0.2923620
  935112   155.00232   0.5996979   0.2923623
  935113   155.00248   0.5996967   0.2923627
  935114   155.00264   0.5996956   0.2923630
  935115   155.00280   0.5996945   0.2923634
  935116   155.00296   0.5996933   0.2923638
  935117   155.00312   0.5996922   0.2923642
  935118   155.00328   0.5996911   0.2923645
  935119   155.00345   0.5996900   0.2923649
  935120   155.00361   0.5996888   0.2923653
  935121   155.00377   0.5996877   0.2923657
  935122   155.00393   0.5996866   0.2923661
  935123   155.00409   0.5996855   0.2923665
  935124   155.00425   0.5996844   0.2923669
  935125   155.00442   0.5996833   0.2923673
  935126   155.00458   0.5996821   0.2923677
  935127   155.00474   0.5996810   0.2923681
  935128   155.00490   0.5996799   0.2923685
  935129   155.00506   0.5996788   0.2923689
  935130   155.00522   0.5996777   0.2923693
  935131   155.00538   0.5996766   0.2923697
  935132   155.00555   0.5996754   0.2923701
  935133   155.00571   0.5996743   0.2923705
  935134   155.00587   0.5996732   0.2923709
  935135   155.00603   0.5996720   0.2923713
  935136   155.00619   0.5996709   0.2923717
  935137   155.00635   0.5996698   0.2923721
  935138   155.00652   0.5996686   0.2923725
  935139   155.00668   0.5996674   0.2923729
  935140   155.00684   0.5996663   0.2923733
  935141   155.00700   0.5996651   0.2923737
  935142   155.00716   0.5996639   0.2923741
  935143   155.00732   0.5996627   0.2923744
  935144   155.00748   0.5996615   0.2923748
  935145   155.00765   0.5996602   0.2923752
  935146   155.00781   0.5996590   0.2923755
  935147   155.00797   0.5996577   0.2923759
