   n        time         Cl         Cd         AoA         M
 1807560   230.00166   1.0520612   0.0428455  10.0000000   0.3000000
 1807580   230.00410   1.0520836   0.0428505  10.0000000   0.3000000
 1807600   230.00653   1.0521058   0.0428553  10.0000001   0.3000000
 1807620   230.00897   1.0521279   0.0428601  10.0000001   0.3000000
 1807640   230.01141   1.0521501   0.0428646  10.0000002   0.3000000
 1807660   230.01384   1.0521722   0.0428689  10.0000003   0.3000000
 1807680   230.01628   1.0521943   0.0428730  10.0000005   0.3000000
 1807700   230.01871   1.0522167   0.0428769  10.0000006   0.3000000
 1807720   230.02115   1.0522400   0.0428807  10.0000008   0.3000000
 1807740   230.02358   1.0522645   0.0428845  10.0000010   0.3000000
 1807760   230.02602   1.0522900   0.0428883  10.0000012   0.3000000
 1807780   230.02846   1.0523165   0.0428923  10.0000014   0.3000000
 1807800   230.03089   1.0523443   0.0428963  10.0000016   0.3000000
 1807820   230.03333   1.0523736   0.0429005  10.0000019   0.3000000
 1807840   230.03576   1.0524042   0.0429049  10.0000022   0.3000000
 1807860   230.03820   1.0524355   0.0429094  10.0000025   0.3000000
 1807880   230.04063   1.0524671   0.0429140  10.0000028   0.3000000
 1807900   230.04307   1.0524987   0.0429187  10.0000032   0.3000000
 1807920   230.04550   1.0525302   0.0429235  10.0000035   0.3000000
 1807940   230.04794   1.0525615   0.0429283  10.0000039   0.3000000
 1807960   230.05038   1.0525924   0.0429333  10.0000043   0.3000000
 1807980   230.05281   1.0526227   0.0429384  10.0000048   0.3000000
 1808000   230.05525   1.0526525   0.0429437  10.0000052   0.3000000
 1808020   230.05768   1.0526818   0.0429491  10.0000057   0.3000000
 1808040   230.06012   1.0527104   0.0429547  10.0000062   0.3000000
 1808060   230.06255   1.0527383   0.0429605  10.0000067   0.3000000
 1808080   230.06499   1.0527654   0.0429665  10.0000072   0.3000000
 1808100   230.06742   1.0527918   0.0429725  10.0000078   0.3000000
 1808120   230.06986   1.0528174   0.0429787  10.0000084   0.3000000
 1808140   230.07230   1.0528423   0.0429850  10.0000090   0.3000000
 1808160   230.07473   1.0528664   0.0429913  10.0000096   0.3000000
 1808180   230.07717   1.0528899   0.0429977  10.0000102   0.3000000
 1808200   230.07960   1.0529128   0.0430042  10.0000109   0.3000000
 1808220   230.08204   1.0529352   0.0430107  10.0000115   0.3000000
 1808240   230.08447   1.0529572   0.0430173  10.0000122   0.3000000
 1808260   230.08691   1.0529787   0.0430239  10.0000129   0.3000000
 1808280   230.08934   1.0529998   0.0430306  10.0000137   0.3000000
 1808300   230.09178   1.0530205   0.0430373  10.0000144   0.3000000
 1808320   230.09422   1.0530407   0.0430440  10.0000152   0.3000000
 1808340   230.09665   1.0530601   0.0430505  10.0000160   0.3000000
 1808360   230.09909   1.0530788   0.0430569  10.0000168   0.3000000
 1808380   230.10152   1.0530966   0.0430630  10.0000177   0.3000000
 1808400   230.10396   1.0531133   0.0430687  10.0000185   0.3000000
