   n        time         Cl         Cd
  122400    20.03829   1.0547133   0.6101133
  123200    20.16289   1.0195573   0.6035841
  124000    20.28801   0.9792522   0.5934985
  124800    20.41365   0.9388121   0.5804729
  125600    20.53990   0.9167347   0.5766201
  126400    20.66672   0.8837028   0.5636201
  127200    20.79396   0.8554983   0.5524782
  128000    20.92159   0.8192154   0.5369968
  128800    21.04970   0.7801714   0.5175100
  129600    21.17819   0.7449391   0.4984488
  130400    21.30707   0.7103539   0.4780130
  131200    21.43628   0.6757220   0.4563038
  132000    21.56575   0.6510880   0.4390223
  132800    21.69531   0.6331312   0.4242051
  133600    21.82484   0.6178435   0.4101630
  134400    21.95450   0.5963406   0.3907414
  135200    22.08433   0.5934161   0.3784912
  136000    22.21422   0.5925122   0.3655192
  136800    22.34394   0.6015503   0.3586357
  137600    22.47329   0.5967241   0.3470428
  138400    22.60228   0.5720708   0.3257635
  139200    22.73120   0.5363638   0.2973238
  140000    22.86006   0.5204645   0.2772102
  140800    22.98878   0.5431774   0.2799255
  141600    23.11721   0.5535616   0.2759260
  142400    23.24544   0.5864081   0.2848008
  143200    23.37365   0.6179532   0.2931180
  144000    23.50189   0.6563334   0.3044717
  144800    23.63012   0.7109822   0.3245695
  145600    23.75821   0.7594494   0.3406286
  146400    23.88618   0.7808143   0.3391863
  147200    24.01393   0.8028645   0.3374604
  148000    24.14136   0.8251560   0.3370985
  148800    24.26850   0.8456135   0.3365473
  149600    24.39526   0.8627143   0.3363204
  150400    24.52157   0.8664715   0.3319034
  151200    24.64740   0.8672239   0.3269848
  152000    24.77277   0.8749757   0.3292809
  152800    24.89781   0.8952180   0.3401391
  153600    25.02254   0.9114529   0.3500690
  154400    25.14699   0.9119744   0.3509509
  155200    25.27120   0.9043256   0.3483549
  156000    25.39524   0.8945633   0.3453056
  156800    25.51913   0.8809187   0.3396129
  157600    25.64289   0.8680552   0.3353064
  158400    25.76654   0.8578624   0.3324073
  159200    25.89011   0.8474223   0.3315274
  160000    26.01364   0.8420106   0.3324753
  160800    26.13717   0.8392177   0.3360338
  161600    26.26067   0.8312075   0.3383914
  162400    26.38427   0.8265199   0.3396198
  163200    26.50801   0.8203382   0.3407707
  164000    26.63192   0.8162316   0.3405205
  164800    26.75595   0.8173216   0.3408599
  165600    26.88009   0.8153862   0.3398666
  166400    27.00428   0.8147980   0.3394403
  167200    27.12856   0.8123362   0.3376765
  168000    27.25288   0.8119481   0.3374493
  168800    27.37715   0.8153755   0.3394299
  169600    27.50153   0.8176588   0.3404036
  170400    27.62595   0.8173324   0.3396996
  171200    27.75042   0.8199720   0.3402482
  172000    27.87497   0.8225575   0.3411321
  172800    27.99954   0.8241824   0.3422060
  173600    28.12422   0.8264933   0.3448261
  174400    28.24897   0.8325890   0.3498993
  175200    28.37383   0.8395862   0.3557538
  176000    28.49874   0.8417782   0.3594234
  176800    28.62382   0.8462506   0.3636717
  177600    28.74898   0.8500818   0.3676649
  178400    28.87426   0.8493774   0.3695213
  179200    28.99964   0.8459738   0.3697235
  180000    29.12504   0.8415135   0.3687426
  180800    29.25042   0.8356494   0.3675960
  181600    29.37577   0.8236468   0.3631876
  182400    29.50107   0.8146818   0.3597489
  183200    29.62629   0.8013353   0.3555201
  184000    29.75156   0.7880848   0.3509949
  184800    29.87667   0.7782760   0.3492319
  185600    30.00180   0.7676533   0.3465331
  186400    30.12696   0.7586791   0.3441888
  187200    30.25212   0.7511080   0.3420799
  188000    30.37741   0.7395208   0.3390240
  188800    30.50267   0.7272585   0.3367163
  189600    30.62806   0.7184338   0.3350856
  190400    30.75367   0.7114181   0.3327512
  191200    30.87949   0.7056233   0.3312949
  192000    31.00544   0.7003994   0.3296148
  192800    31.13143   0.6977271   0.3287179
  193600    31.25755   0.6955291   0.3280460
  194400    31.38383   0.6955790   0.3282687
  195200    31.51029   0.6992537   0.3291692
  196000    31.63681   0.6952481   0.3266548
  196800    31.76345   0.6916018   0.3229539
  197600    31.89014   0.6886863   0.3187941
  198400    32.01690   0.6843529   0.3134045
  199200    32.14362   0.6795608   0.3079856
  200000    32.27027   0.6841422   0.3075834
  200800    32.39686   0.6909132   0.3092196
  201600    32.52341   0.6999065   0.3132467
  202400    32.65005   0.7078845   0.3180805
  203200    32.77674   0.7171627   0.3230918
  204000    32.90351   0.7218115   0.3246841
  204800    33.03033   0.7209888   0.3240526
  205600    33.15711   0.7239389   0.3263699
  206400    33.28388   0.7280924   0.3288891
  207200    33.41072   0.7279886   0.3289587
  208000    33.53755   0.7303076   0.3300276
  208800    33.66435   0.7307272   0.3300366
  209600    33.79118   0.7302080   0.3302225
  210400    33.91797   0.7272245   0.3294139
  211200    34.04474   0.7259491   0.3291061
  212000    34.17149   0.7221361   0.3284308
  212800    34.29821   0.7142326   0.3242291
  213600    34.42478   0.7102630   0.3223309
  214400    34.55129   0.7095971   0.3221304
  215200    34.67771   0.7075158   0.3225821
  216000    34.80424   0.7075237   0.3242580
  216800    34.93093   0.7047077   0.3245419
  217600    35.05778   0.7011712   0.3237718
  218400    35.18477   0.6969501   0.3225212
  219200    35.31184   0.6947513   0.3217522
  220000    35.43890   0.6928669   0.3213200
  220800    35.56587   0.6901183   0.3214791
  221600    35.69291   0.6884319   0.3229374
  222400    35.82000   0.6856549   0.3242119
  223200    35.94723   0.6862187   0.3249935
  224000    36.07455   0.6851985   0.3254069
  224800    36.20187   0.6861739   0.3261818
  225600    36.32915   0.6870806   0.3279048
  226400    36.45647   0.6855001   0.3276073
  227200    36.58387   0.6835543   0.3271586
  228000    36.71138   0.6748063   0.3238823
