   n        time         Cl         Cd
       0     0.00000   0.0000000   0.0000000
     800     0.14931   0.0005410   0.0001428
    1600     0.29983   0.0020466   0.0006704
    2400     0.45036   0.0043446   0.0014100
    3200     0.60089   0.0072602   0.0022908
    4000     0.75142   0.0106258   0.0032580
    4800     0.90195   0.0142814   0.0042677
    5600     1.05248   0.0180790   0.0052867
    6400     1.20300   0.0218942   0.0062964
    7200     1.35353   0.0256476   0.0072896
    8000     1.50406   0.0293010   0.0082629
    8800     1.65459   0.0328419   0.0092150
    9600     1.80511   0.0362744   0.0101457
   10400     1.95564   0.0396146   0.0110557
   11200     2.10616   0.0428868   0.0119467
   12000     2.25669   0.0461207   0.0128202
   12800     2.40721   0.0493480   0.0136780
   13600     2.55773   0.0525983   0.0145211
   14400     2.70825   0.0558977   0.0153498
   15200     2.85877   0.0592676   0.0161641
   16000     3.00928   0.0627241   0.0169632
   16800     3.15980   0.0662791   0.0177459
   17600     3.31031   0.0699446   0.0185109
   18400     3.46082   0.0737355   0.0192567
   19200     3.61133   0.0776691   0.0199822
   20000     3.76183   0.0817619   0.0206861
   20800     3.91233   0.0860303   0.0213672
   21600     4.06283   0.0904905   0.0220243
   22400     4.21332   0.0951599   0.0226561
   23200     4.36381   0.1000571   0.0232616
   24000     4.51429   0.1052016   0.0238399
   24800     4.66477   0.1106124   0.0243898
   25600     4.81524   0.1163089   0.0249104
   26400     4.96570   0.1223107   0.0254007
   27200     5.11615   0.1286377   0.0258598
   28000     5.26660   0.1353099   0.0262869
   28800     5.41704   0.1423467   0.0266812
   29600     5.56746   0.1497679   0.0270419
   30400     5.71788   0.1575929   0.0273684
   31200     5.86828   0.1658404   0.0276602
   32000     6.01867   0.1745281   0.0279166
   32800     6.16905   0.1836724   0.0281368
   33600     6.31940   0.1932896   0.0283204
   34400     6.46964   0.2033901   0.0284665
   35200     6.61975   0.2139856   0.0285753
   36000     6.76971   0.2250865   0.0286468
   36800     6.91953   0.2367009   0.0286801
   37600     7.06920   0.2488375   0.0286745
   38400     7.21873   0.2615053   0.0286306
   39200     7.36810   0.2747105   0.0285492
   40000     7.51732   0.2884552   0.0284309
   40800     7.66639   0.3027396   0.0282753
   41600     7.81530   0.3175643   0.0280831
   42400     7.96407   0.3329306   0.0278564
   43200     8.11268   0.3488370   0.0275981
   44000     8.26115   0.3652781   0.0273115
   44800     8.40904   0.3821959   0.0270006
   45600     8.55595   0.3995280   0.0266686
   46400     8.70191   0.4172613   0.0263209
   47200     8.84695   0.4353838   0.0259657
   48000     8.99109   0.4538802   0.0256117
   48800     9.13437   0.4727298   0.0252667
   49600     9.27681   0.4919052   0.0249384
   50400     9.41845   0.5113725   0.0246390
   51200     9.55931   0.5311045   0.0243797
   52000     9.69942   0.5510284   0.0241494
   52800     9.83881   0.5708562   0.0239215
   53600     9.97751   0.5906084   0.0235481
   54400    10.11552   0.6100863   0.0228989
   55200    10.25284   0.6295157   0.0219047
   56000    10.38942   0.6483835   0.0209906
   56800    10.52526   0.6667086   0.0203410
   57600    10.66042   0.6856506   0.0198217
   58400    10.79493   0.7041981   0.0192228
   59200    10.92886   0.7236334   0.0187447
   60000    11.06221   0.7417376   0.0178311
   60800    11.19500   0.7601386   0.0169013
   61600    11.32724   0.7784433   0.0159284
   62400    11.45893   0.7961360   0.0151842
   63200    11.59010   0.8132392   0.0143717
   64000    11.72077   0.8311047   0.0136790
   64800    11.85097   0.8473615   0.0129623
   65600    11.98073   0.8644045   0.0122878
   66400    12.11005   0.8803936   0.0115656
   67200    12.23896   0.8972965   0.0108826
   68000    12.36746   0.9129225   0.0099507
   68800    12.49556   0.9285937   0.0088384
   69600    12.62326   0.9414992   0.0075325
   70400    12.75058   0.9512716   0.0062652
   71200    12.87755   0.9580834   0.0047796
   72000    13.00421   0.9646930   0.0028767
   72800    13.13057   0.9723354   0.0004688
   73600    13.25664   0.9776286  -0.0018166
   74400    13.38243   0.9803747  -0.0044746
   75200    13.50794   0.9830789  -0.0075808
   76000    13.63316   0.9831214  -0.0101568
   76800    13.75810   0.9841111  -0.0122592
   77600    13.88278   0.9880398  -0.0145359
   78400    14.00724   0.9929580  -0.0162944
   79200    14.13150   1.0006605  -0.0181406
   80000    14.25556   1.0073270  -0.0202077
   80800    14.37940   1.0154297  -0.0218598
   81600    14.50305   1.0232583  -0.0232450
   82400    14.62654   1.0317857  -0.0243238
   83200    14.74986   1.0359888  -0.0255479
   84000    14.87304   1.0438549  -0.0262701
   84800    14.99608   1.0493745  -0.0273527
   85600    15.11906   1.0538290  -0.0283555
   86400    15.24189   1.0580226  -0.0288889
   87200    15.36463   1.0612472  -0.0294225
   88000    15.48730   1.0648405  -0.0297900
   88800    15.60984   1.0655399  -0.0298308
   89600    15.73227   1.0670556  -0.0286011
   90400    15.85463   1.0695462  -0.0276166
   91200    15.97690   1.0694202  -0.0267316
   92000    16.09914   1.0696311  -0.0262904
   92800    16.22130   1.0731435  -0.0259219
   93600    16.34340   1.0743052  -0.0257008
   94400    16.46539   1.0729786  -0.0250665
   95200    16.58729   1.0717548  -0.0247453
   96000    16.70912   1.0691613  -0.0246264
   96800    16.83093   1.0663958  -0.0247911
   97600    16.95271   1.0635071  -0.0250238
   98400    17.07429   1.0599792  -0.0244187
   99200    17.19584   1.0569111  -0.0234008
  100000    17.31736   1.0529706  -0.0223980
  100800    17.43890   1.0507827  -0.0209749
  101600    17.56047   1.0499192  -0.0202596
  102400    17.68205   1.0462115  -0.0194994
  103200    17.80358   1.0439019  -0.0185003
  104000    17.92511   1.0398422  -0.0176689
  104800    18.04661   1.0396636  -0.0160811
  105600    18.16816   1.0365160  -0.0145576
  106400    18.28973   1.0333353  -0.0127528
  107200    18.41128   1.0316743  -0.0110633
  108000    18.53285   1.0260053  -0.0092406
  108800    18.65447   1.0244637  -0.0078084
  109600    18.77615   1.0184066  -0.0064633
  110400    18.89792   1.0192450  -0.0053704
  111200    19.01970   1.0156633  -0.0039399
  112000    19.14142   1.0145358  -0.0015041
  112800    19.26314   1.0120070   0.0013244
  113600    19.38497   1.0096366   0.0055159
  114400    19.50692   1.0080497   0.0082736
  115200    19.62902   1.0105781   0.0110178
  116000    19.75125   1.0105671   0.0127898
  116800    19.87341   1.0095630   0.0150452
  117600    19.99563   1.0108450   0.0181892
  118400    20.11785   1.0068084   0.0215820
  119200    20.24018   1.0065696   0.0264775
  120000    20.36265   1.0045604   0.0304784
  120800    20.48531   0.9988333   0.0335417
  121600    20.60810   0.9968905   0.0374911
  122400    20.73108   0.9940581   0.0402178
  123200    20.85407   0.9917215   0.0439838
  124000    20.97722   0.9835990   0.0476628
  124800    21.10037   0.9783516   0.0527896
  125600    21.22381   0.9743677   0.0575173
  126400    21.34747   0.9680705   0.0621362
  127200    21.47129   0.9612505   0.0667647
