   n        time         Cl         Cd
  931720   150.00102   0.7350202   0.3313175
  931740   150.00421   0.7353227   0.3314704
  931760   150.00741   0.7356087   0.3316209
  931780   150.01060   0.7358819   0.3317701
  931800   150.01379   0.7361434   0.3319167
  931820   150.01699   0.7363973   0.3320612
  931840   150.02018   0.7366466   0.3322055
  931860   150.02337   0.7368913   0.3323503
  931880   150.02657   0.7371440   0.3324981
  931900   150.02976   0.7374054   0.3326481
  931920   150.03295   0.7376555   0.3327957
  931940   150.03615   0.7378905   0.3329403
  931960   150.03934   0.7381320   0.3330865
  931980   150.04253   0.7384068   0.3332392
  932000   150.04573   0.7387207   0.3333998
  932020   150.04892   0.7390446   0.3335629
  932040   150.05211   0.7393407   0.3337200
  932060   150.05530   0.7396006   0.3338682
  932080   150.05850   0.7398544   0.3340138
  932100   150.06169   0.7401308   0.3341632
  932120   150.06488   0.7404330   0.3343177
  932140   150.06808   0.7407359   0.3344739
  932160   150.07127   0.7410273   0.3346309
  932180   150.07446   0.7413219   0.3347903
  932200   150.07765   0.7416243   0.3349504
  932220   150.08085   0.7419267   0.3351076
  932240   150.08404   0.7422316   0.3352623
  932260   150.08723   0.7425517   0.3354189
  932280   150.09043   0.7428872   0.3355785
  932300   150.09362   0.7432249   0.3357373
  932320   150.09681   0.7435436   0.3358904
  932340   150.10000   0.7438322   0.3360369
  932360   150.10320   0.7440891   0.3361783
  932380   150.10639   0.7443215   0.3363165
  932400   150.10958   0.7445434   0.3364541
  932420   150.11277   0.7447740   0.3365945
  932440   150.11597   0.7450287   0.3367406
  932460   150.11916   0.7453070   0.3368924
  932480   150.12235   0.7455956   0.3370469
  932500   150.12554   0.7458812   0.3372006
  932520   150.12874   0.7461558   0.3373515
  932540   150.13193   0.7464186   0.3374984
  932560   150.13512   0.7466793   0.3376423
  932580   150.13831   0.7469649   0.3377903
  932600   150.14151   0.7472795   0.3379447
  932620   150.14470   0.7475999   0.3381001
  932640   150.14789   0.7479267   0.3382579
  932660   150.15108   0.7482689   0.3384207
  932680   150.15428   0.7486265   0.3385874
  932700   150.15747   0.7489961   0.3387572
  932720   150.16066   0.7493822   0.3389294
  932740   150.16385   0.7497842   0.3391028
  932760   150.16704   0.7501815   0.3392728
  932780   150.17024   0.7505506   0.3394353
  932800   150.17343   0.7508947   0.3395911
  932820   150.17662   0.7512180   0.3397400
  932840   150.17981   0.7515138   0.3398803
  932860   150.18301   0.7517826   0.3400127
  932880   150.18620   0.7520284   0.3401398
  932900   150.18939   0.7522601   0.3402644
  932920   150.19258   0.7524853   0.3403890
  932940   150.19577   0.7527064   0.3405143
  932960   150.19897   0.7529131   0.3406369
  932980   150.20216   0.7530948   0.3407524
  933000   150.20535   0.7532539   0.3408605
  933020   150.20854   0.7534056   0.3409641
  933040   150.21174   0.7535598   0.3410656
  933060   150.21493   0.7537146   0.3411667
  933080   150.21812   0.7538803   0.3412694
  933100   150.22132   0.7540732   0.3413759
  933120   150.22451   0.7542871   0.3414854
  933140   150.22770   0.7544882   0.3415918
  933160   150.23089   0.7546519   0.3416889
  933180   150.23409   0.7547943   0.3417774
  933200   150.23728   0.7549226   0.3418584
  933220   150.24047   0.7550265   0.3419308
  933240   150.24367   0.7551160   0.3419949
  933260   150.24686   0.7551926   0.3420513
  933280   150.25005   0.7552616   0.3421021
  933300   150.25324   0.7553339   0.3421497
  933320   150.25644   0.7554052   0.3421946
  933340   150.25963   0.7554908   0.3422405
  933360   150.26282   0.7555952   0.3422898
  933380   150.26601   0.7557178   0.3423442
  933400   150.26921   0.7558560   0.3424046
  933420   150.27240   0.7560140   0.3424704
  933440   150.27559   0.7561904   0.3425379
  933460   150.27878   0.7563639   0.3426005
  933480   150.28198   0.7565176   0.3426540
  933500   150.28517   0.7566523   0.3426994
  933520   150.28836   0.7567796   0.3427416
  933540   150.29155   0.7569114   0.3427857
  933560   150.29475   0.7570495   0.3428325
  933580   150.29794   0.7571918   0.3428807
  933600   150.30113   0.7573454   0.3429316
  933620   150.30433   0.7575207   0.3429876
  933640   150.30752   0.7577182   0.3430480
  933660   150.31071   0.7579248   0.3431090
  933680   150.31390   0.7581338   0.3431694
  933700   150.31710   0.7583531   0.3432322
  933720   150.32029   0.7585854   0.3432980
  933740   150.32348   0.7588179   0.3433622
  933760   150.32668   0.7590345   0.3434190
  933780   150.32987   0.7592346   0.3434681
  933800   150.33306   0.7594278   0.3435125
  933820   150.33625   0.7596223   0.3435560
  933840   150.33945   0.7598223   0.3436010
  933860   150.34264   0.7600225   0.3436469
  933880   150.34584   0.7602134   0.3436910
  933900   150.34903   0.7603937   0.3437312
  933920   150.35222   0.7605651   0.3437678
  933940   150.35542   0.7607198   0.3438014
  933960   150.35861   0.7608459   0.3438315
  933980   150.36180   0.7609506   0.3438588
  934000   150.36500   0.7610464   0.3438840
  934020   150.36819   0.7611254   0.3439046
  934040   150.37138   0.7611721   0.3439160
  934060   150.37458   0.7611744   0.3439146
  934080   150.37777   0.7611374   0.3439007
  934100   150.38097   0.7610802   0.3438781
  934120   150.38416   0.7610225   0.3438536
  934140   150.38735   0.7609891   0.3438350
  934160   150.39055   0.7609897   0.3438255
  934180   150.39374   0.7610244   0.3438271
  934200   150.39693   0.7610940   0.3438406
  934220   150.40013   0.7611967   0.3438648
  934240   150.40332   0.7613329   0.3438986
  934260   150.40652   0.7614866   0.3439377
  934280   150.40971   0.7616352   0.3439763
  934300   150.41290   0.7617738   0.3440125
