   n        time         Cl         Cd         AoA         M
       0     0.00000  -0.0000000  -0.0001308   0.0000000   0.0000000
      20     0.00196   0.0000000  -0.0001308   0.0000000   0.0000000
      40     0.00487   0.0000000  -0.0001307   0.0000000   0.0000000
      60     0.00777  -0.0000000  -0.0001306   0.0000000   0.0000000
      80     0.01068   0.0000000  -0.0001304   0.0000000   0.0000001
     100     0.01358   0.0000000  -0.0001302   0.0000000   0.0000002
     120     0.01649   0.0000000  -0.0001300   0.0000000   0.0000002
     140     0.01939   0.0000000  -0.0001296   0.0000000   0.0000003
     160     0.02230   0.0000000  -0.0001293   0.0000000   0.0000004
     180     0.02520  -0.0000000  -0.0001289   0.0000000   0.0000005
     200     0.02811  -0.0000000  -0.0001284   0.0000000   0.0000006
     220     0.03102   0.0000000  -0.0001279   0.0000000   0.0000008
     240     0.03392  -0.0000000  -0.0001274   0.0000000   0.0000009
     260     0.03683  -0.0000000  -0.0001268   0.0000000   0.0000011
     280     0.03973  -0.0000000  -0.0001262   0.0000000   0.0000013
     300     0.04264  -0.0000000  -0.0001255   0.0000000   0.0000015
     320     0.04554  -0.0000000  -0.0001248   0.0000000   0.0000017
     340     0.04845  -0.0000000  -0.0001240   0.0000000   0.0000019
     360     0.05135  -0.0000000  -0.0001233   0.0000000   0.0000022
     380     0.05426  -0.0000000  -0.0001224   0.0000000   0.0000024
     400     0.05716  -0.0000000  -0.0001216   0.0000000   0.0000027
     420     0.06007  -0.0000000  -0.0001207   0.0000000   0.0000030
     440     0.06298  -0.0000000  -0.0001197   0.0000000   0.0000033
     460     0.06588  -0.0000000  -0.0001187   0.0000000   0.0000036
     480     0.06879  -0.0000000  -0.0001177   0.0000000   0.0000039
     500     0.07169  -0.0000000  -0.0001167   0.0000000   0.0000042
     520     0.07460  -0.0000000  -0.0001156   0.0000000   0.0000046
     540     0.07750  -0.0000000  -0.0001144   0.0000000   0.0000049
     560     0.08041  -0.0000000  -0.0001133   0.0000000   0.0000053
     580     0.08331  -0.0000000  -0.0001121   0.0000000   0.0000057
     600     0.08622  -0.0000000  -0.0001109   0.0000000   0.0000061
     620     0.08912  -0.0000000  -0.0001096   0.0000000   0.0000065
     640     0.09203  -0.0000000  -0.0001083   0.0000000   0.0000070
     660     0.09494  -0.0000000  -0.0001070   0.0000000   0.0000074
     680     0.09784  -0.0000000  -0.0001056   0.0000000   0.0000079
     700     0.10075  -0.0000000  -0.0001042   0.0000000   0.0000083
     720     0.10365  -0.0000000  -0.0001028   0.0000000   0.0000088
     740     0.10656  -0.0000000  -0.0001013   0.0000000   0.0000093
     760     0.10946  -0.0000000  -0.0000998   0.0000000   0.0000099
     780     0.11237  -0.0000000  -0.0000983   0.0000000   0.0000104
     800     0.11527  -0.0000000  -0.0000968   0.0000000   0.0000109
     820     0.11818  -0.0000000  -0.0000952   0.0000000   0.0000115
     840     0.12108  -0.0000000  -0.0000936   0.0000000   0.0000121
     860     0.12399  -0.0000000  -0.0000919   0.0000000   0.0000126
     880     0.12690  -0.0000000  -0.0000903   0.0000000   0.0000132
     900     0.12980  -0.0000000  -0.0000886   0.0000000   0.0000139
     920     0.13271  -0.0000000  -0.0000868   0.0000000   0.0000145
     940     0.13561  -0.0000000  -0.0000851   0.0000000   0.0000151
     960     0.13852  -0.0000000  -0.0000833   0.0000000   0.0000158
     980     0.14142  -0.0000000  -0.0000815   0.0000000   0.0000164
    1000     0.14433  -0.0000000  -0.0000797   0.0000000   0.0000171
