x0	cl	x1	cd	
0.000000e+00 	 3.515618e-08 	0.000000e+00 	 -1.276453e-04 	 
1.870000e-03 	 3.515618e-08 	1.870000e-03 	 -1.276453e-04 	 
4.650000e-03 	 -2.859496e-08 	4.650000e-03 	 -1.274310e-04 	 
7.430000e-03 	 4.086432e-08 	7.430000e-03 	 -1.270371e-04 	 
1.021000e-02 	 4.657245e-08 	1.021000e-02 	 -1.264288e-04 	 
1.299000e-02 	 -2.883538e-08 	1.299000e-02 	 -1.257047e-04 	 
1.576000e-02 	 4.633202e-08 	1.576000e-02 	 -1.247026e-04 	 
1.854000e-02 	 2.301865e-08 	1.854000e-02 	 -1.236830e-04 	 
2.132000e-02 	 5.179973e-08 	2.132000e-02 	 -1.223680e-04 	 
2.410000e-02 	 -5.351469e-10 	2.410000e-02 	 -1.209372e-04 	 
2.687000e-02 	 -3.550521e-08 	2.687000e-02 	 -1.194079e-04 	 
2.965000e-02 	 -1.838081e-08 	2.965000e-02 	 -1.175832e-04 	 
3.243000e-02 	 -1.256418e-09 	3.243000e-02 	 -1.157584e-04 	 
3.521000e-02 	 -3.051835e-08 	3.521000e-02 	 -1.136209e-04 	 
3.798000e-02 	 3.870050e-08 	3.798000e-02 	 -1.115007e-04 	 
4.076000e-02 	 -3.694775e-08 	4.076000e-02 	 -1.090503e-04 	 
4.354000e-02 	 3.249593e-09 	4.354000e-02 	 -1.065188e-04 	 
4.632000e-02 	 -3.766902e-08 	4.632000e-02 	 -1.038715e-04 	 
4.910000e-02 	 -4.385800e-08 	4.910000e-02 	 -1.010272e-04 	 
5.187000e-02 	 -3.268216e-08 	5.187000e-02 	 -9.808445e-05 	 
5.465000e-02 	 1.322331e-08 	5.465000e-02 	 -9.494472e-05 	 
5.743000e-02 	 -4.622353e-09 	5.743000e-02 	 -9.159067e-05 	 
6.021000e-02 	 -2.246802e-08 	6.021000e-02 	 -8.823661e-05 	 
6.298000e-02 	 1.178077e-08 	6.298000e-02 	 -8.458711e-05 	 
6.576000e-02 	 -5.245122e-08 	6.576000e-02 	 -8.092025e-05 	 
6.854000e-02 	 1.652721e-08 	6.854000e-02 	 -7.707379e-05 	 
7.132000e-02 	 2.175449e-08 	7.132000e-02 	 -7.301301e-05 	 
7.409000e-02 	 2.698177e-08 	7.409000e-02 	 -6.895222e-05 	 
7.687000e-02 	 -1.417727e-08 	7.687000e-02 	 -6.457863e-05 	 
7.965000e-02 	 4.314447e-08 	7.965000e-02 	 -6.022241e-05 	 
8.243000e-02 	 3.671507e-08 	8.243000e-02 	 -5.565185e-05 	 
8.521000e-02 	 4.765048e-08 	8.521000e-02 	 -5.098282e-05 	 
8.798000e-02 	 -2.253006e-08 	8.798000e-02 	 -4.619794e-05 	 
9.076000e-02 	 2.313499e-08 	9.076000e-02 	 -4.133194e-05 	 
9.354000e-02 	 5.048901e-09 	9.354000e-02 	 -3.625162e-05 	 
9.632000e-02 	 4.327630e-09 	9.632000e-02 	 -3.107282e-05 	 
9.909000e-02 	 2.097118e-08 	9.909000e-02 	 -2.579553e-05 	 
1.018700e-01 	 -4.350124e-08 	1.018700e-01 	 -2.040240e-05 	 
1.046500e-01 	 7.871946e-09 	1.046500e-01 	 -1.492816e-05 	 
