   n        time         Clp         Clv         Cdp         Cdv
  791560    90.00070   0.0175405   0.0000062   0.0266244   0.0050907
  791580    90.00294   0.0173485   0.0000061   0.0266119   0.0050958
  791600    90.00518   0.0171523   0.0000060   0.0265993   0.0051006
  791620    90.00741   0.0169522   0.0000059   0.0265866   0.0051052
  791640    90.00965   0.0167482   0.0000057   0.0265738   0.0051094
  791660    90.01189   0.0165403   0.0000056   0.0265610   0.0051134
  791680    90.01413   0.0163286   0.0000054   0.0265482   0.0051171
  791700    90.01636   0.0161127   0.0000052   0.0265354   0.0051206
  791720    90.01860   0.0158922   0.0000049   0.0265227   0.0051238
  791740    90.02084   0.0156672   0.0000047   0.0265103   0.0051269
  791760    90.02308   0.0154373   0.0000045   0.0264982   0.0051297
  791780    90.02532   0.0152022   0.0000042   0.0264865   0.0051324
  791800    90.02755   0.0149615   0.0000040   0.0264752   0.0051349
  791820    90.02979   0.0147152   0.0000038   0.0264645   0.0051373
  791840    90.03203   0.0144629   0.0000035   0.0264545   0.0051395
  791860    90.03427   0.0142041   0.0000033   0.0264451   0.0051416
  791880    90.03651   0.0139389   0.0000031   0.0264365   0.0051435
  791900    90.03874   0.0136677   0.0000029   0.0264288   0.0051453
  791920    90.04098   0.0133901   0.0000026   0.0264220   0.0051470
  791940    90.04322   0.0131055   0.0000024   0.0264159   0.0051485
  791960    90.04546   0.0128141   0.0000023   0.0264108   0.0051499
  791980    90.04770   0.0125162   0.0000021   0.0264067   0.0051512
  792000    90.04993   0.0122116   0.0000019   0.0264036   0.0051523
  792020    90.05217   0.0119002   0.0000018   0.0264014   0.0051534
  792040    90.05441   0.0115821   0.0000016   0.0264001   0.0051544
  792060    90.05665   0.0112574   0.0000015   0.0263997   0.0051552
  792080    90.05889   0.0109260   0.0000014   0.0264001   0.0051560
  792100    90.06112   0.0105882   0.0000012   0.0264015   0.0051567
  792120    90.06336   0.0102444   0.0000011   0.0264036   0.0051573
  792140    90.06560   0.0098948   0.0000010   0.0264066   0.0051579
  792160    90.06784   0.0095401   0.0000009   0.0264103   0.0051583
  792180    90.07007   0.0091809   0.0000009   0.0264147   0.0051587
  792200    90.07231   0.0088182   0.0000008   0.0264198   0.0051590
  792220    90.07455   0.0084523   0.0000007   0.0264256   0.0051592
  792240    90.07679   0.0080843   0.0000007   0.0264319   0.0051593
  792260    90.07903   0.0077150   0.0000006   0.0264387   0.0051593
  792280    90.08126   0.0073450   0.0000005   0.0264459   0.0051593
  792300    90.08350   0.0069749   0.0000005   0.0264533   0.0051592
  792320    90.08574   0.0066060   0.0000004   0.0264608   0.0051591
  792340    90.08798   0.0062390   0.0000004   0.0264684   0.0051589
  792360    90.09022   0.0058740   0.0000004   0.0264758   0.0051587
  792380    90.09245   0.0055114   0.0000003   0.0264827   0.0051584
  792400    90.09469   0.0051521   0.0000003   0.0264892   0.0051582
  792420    90.09693   0.0047968   0.0000003   0.0264951   0.0051578
  792440    90.09917   0.0044454   0.0000003   0.0265003   0.0051575
  792460    90.10141   0.0040989   0.0000003   0.0265047   0.0051571
  792480    90.10364   0.0037580   0.0000002   0.0265083   0.0051567
  792500    90.10588   0.0034222   0.0000002   0.0265109   0.0051563
  792520    90.10812   0.0030925   0.0000002   0.0265126   0.0051560
  792540    90.11036   0.0027697   0.0000002   0.0265136   0.0051556
  792560    90.11259   0.0024530   0.0000001   0.0265137   0.0051553
  792580    90.11483   0.0021425   0.0000001   0.0265129   0.0051550
  792600    90.11707   0.0018390   0.0000001   0.0265113   0.0051548
  792620    90.11931   0.0015422   0.0000000   0.0265090   0.0051546
  792640    90.12155   0.0012520  -0.0000000   0.0265060   0.0051543
  792660    90.12378   0.0009681  -0.0000001   0.0265022   0.0051541
  792680    90.12602   0.0006901  -0.0000001   0.0264978   0.0051539
  792700    90.12826   0.0004176  -0.0000002   0.0264927   0.0051537
  792720    90.13050   0.0001502  -0.0000003   0.0264870   0.0051535
  792740    90.13273  -0.0001125  -0.0000004   0.0264807   0.0051533
  792760    90.13497  -0.0003711  -0.0000005   0.0264738   0.0051532
  792780    90.13721  -0.0006261  -0.0000007   0.0264662   0.0051531
  792800    90.13945  -0.0008776  -0.0000009   0.0264581   0.0051530
  792820    90.14169  -0.0011254  -0.0000011   0.0264496   0.0051530
  792840    90.14392  -0.0013694  -0.0000013   0.0264407   0.0051530
  792860    90.14616  -0.0016094  -0.0000016   0.0264314   0.0051530
  792880    90.14840  -0.0018455  -0.0000019   0.0264217   0.0051531
  792900    90.15064  -0.0020778  -0.0000022   0.0264116   0.0051531
  792920    90.15288  -0.0023063  -0.0000025   0.0264011   0.0051532
  792940    90.15511  -0.0025308  -0.0000028   0.0263902   0.0051531
  792960    90.15735  -0.0027514  -0.0000031   0.0263790   0.0051531
  792980    90.15959  -0.0029682  -0.0000034   0.0263674   0.0051529
  793000    90.16183  -0.0031813  -0.0000037   0.0263556   0.0051526
  793020    90.16406  -0.0033906  -0.0000040   0.0263435   0.0051522
  793040    90.16630  -0.0035967  -0.0000043   0.0263310   0.0051516
  793060    90.16854  -0.0037998  -0.0000045   0.0263183   0.0051508
  793080    90.17078  -0.0039998  -0.0000047   0.0263055   0.0051498
  793100    90.17301  -0.0041967  -0.0000049   0.0262925   0.0051485
  793120    90.17525  -0.0043902  -0.0000051   0.0262796   0.0051470
  793140    90.17749  -0.0045807  -0.0000051   0.0262666   0.0051453
  793160    90.17973  -0.0047688  -0.0000052   0.0262535   0.0051433
  793180    90.18197  -0.0049544  -0.0000051   0.0262402   0.0051411
  793200    90.18420  -0.0051376  -0.0000051   0.0262266   0.0051387
  793220    90.18644  -0.0053183  -0.0000049   0.0262128   0.0051361
  793240    90.18868  -0.0054962  -0.0000047   0.0261988   0.0051333
  793260    90.19092  -0.0056713  -0.0000045   0.0261847   0.0051303
  793280    90.19315  -0.0058436  -0.0000043   0.0261705   0.0051271
  793300    90.19539  -0.0060132  -0.0000040   0.0261561   0.0051239
  793320    90.19763  -0.0061803  -0.0000037   0.0261415   0.0051206
  793340    90.19987  -0.0063449  -0.0000034   0.0261268   0.0051173
  793360    90.20211  -0.0065067  -0.0000031   0.0261121   0.0051139
  793380    90.20434  -0.0066657  -0.0000027   0.0260973   0.0051106
  793400    90.20658  -0.0068226  -0.0000024   0.0260825   0.0051073
  793420    90.20882  -0.0069773  -0.0000021   0.0260678   0.0051041
  793440    90.21106  -0.0071298  -0.0000017   0.0260532   0.0051009
  793460    90.21329  -0.0072798  -0.0000014   0.0260387   0.0050979
  793480    90.21553  -0.0074269  -0.0000010   0.0260244   0.0050949
  793500    90.21777  -0.0075708  -0.0000006   0.0260104   0.0050921
  793520    90.22001  -0.0077117  -0.0000001   0.0259967   0.0050894
  793540    90.22224  -0.0078496   0.0000003   0.0259833   0.0050868
  793560    90.22448  -0.0079843   0.0000007   0.0259702   0.0050844
  793580    90.22672  -0.0081160   0.0000012   0.0259576   0.0050821
  793600    90.22896  -0.0082445   0.0000016   0.0259455   0.0050799
  793620    90.23119  -0.0083696   0.0000020   0.0259339   0.0050779
  793640    90.23343  -0.0084916   0.0000024   0.0259229   0.0050759
  793660    90.23567  -0.0086101   0.0000027   0.0259124   0.0050741
  793680    90.23791  -0.0087252   0.0000031   0.0259026   0.0050723
  793700    90.24015  -0.0088367   0.0000033   0.0258935   0.0050706
  793720    90.24238  -0.0089454   0.0000036   0.0258848   0.0050689
  793740    90.24462  -0.0090518   0.0000038   0.0258765   0.0050673
  793760    90.24686  -0.0091554   0.0000040   0.0258689   0.0050658
  793780    90.24910  -0.0092569   0.0000042   0.0258619   0.0050643
  793800    90.25133  -0.0093575   0.0000043   0.0258552   0.0050629
  793820    90.25357  -0.0094566   0.0000044   0.0258492   0.0050616
  793840    90.25581  -0.0095547   0.0000046   0.0258439   0.0050604
  793860    90.25805  -0.0096527   0.0000047   0.0258393   0.0050594
  793880    90.26028  -0.0097511   0.0000047   0.0258354   0.0050587
  793900    90.26252  -0.0098503   0.0000048   0.0258322   0.0050582
  793920    90.26476  -0.0099507   0.0000048   0.0258299   0.0050580
  793940    90.26700  -0.0100521   0.0000047   0.0258284   0.0050583
  793960    90.26923  -0.0101549   0.0000046   0.0258278   0.0050590
  793980    90.27147  -0.0102605   0.0000044   0.0258278   0.0050601
  794000    90.27371  -0.0103684   0.0000042   0.0258286   0.0050616
  794020    90.27595  -0.0104779   0.0000039   0.0258304   0.0050635
  794040    90.27818  -0.0105896   0.0000036   0.0258331   0.0050657
  794060    90.28042  -0.0107038   0.0000032   0.0258367   0.0050679
  794080    90.28266  -0.0108204   0.0000028   0.0258410   0.0050702
  794100    90.28490  -0.0109396   0.0000023   0.0258460   0.0050723
  794120    90.28713  -0.0110606   0.0000019   0.0258519   0.0050744
  794140    90.28937  -0.0111833   0.0000015   0.0258586   0.0050761
  794160    90.29161  -0.0113086   0.0000011   0.0258660   0.0050777
  794180    90.29385  -0.0114364   0.0000007   0.0258740   0.0050789
  794200    90.29608  -0.0115668   0.0000004   0.0258824   0.0050799
  794220    90.29832  -0.0117001   0.0000001   0.0258913   0.0050806
  794240    90.30056  -0.0118365  -0.0000001   0.0259005   0.0050811
  794260    90.30280  -0.0119757  -0.0000003   0.0259100   0.0050814
  794280    90.30503  -0.0121176  -0.0000004   0.0259198   0.0050815
  794300    90.30727  -0.0122619  -0.0000004   0.0259299   0.0050814
  794320    90.30951  -0.0124085  -0.0000004   0.0259402   0.0050811
  794340    90.31174  -0.0125574  -0.0000004   0.0259507   0.0050807
  794360    90.31398  -0.0127084  -0.0000003   0.0259612   0.0050801
  794380    90.31622  -0.0128616  -0.0000001   0.0259717   0.0050794
  794400    90.31846  -0.0130173   0.0000001   0.0259820   0.0050785
  794420    90.32069  -0.0131755   0.0000003   0.0259920   0.0050775
  794440    90.32293  -0.0133356   0.0000006   0.0260017   0.0050763
  794460    90.32517  -0.0134974   0.0000009   0.0260113   0.0050751
  794480    90.32741  -0.0136609   0.0000012   0.0260205   0.0050737
