   n        time         Cl         Cd         AoA         M
       0     0.00000   0.0000000  -0.0001047   0.0000000   0.0000000
      20     0.00232   0.0000000  -0.0001046   0.0000000   0.0000000
      40     0.00576   0.0000000  -0.0001046   0.0000000   0.0000001
      60     0.00919   0.0000000  -0.0001045   0.0000000   0.0000004
      80     0.01263  -0.0000000  -0.0001044   0.0000000   0.0000007
     100     0.01607   0.0000000  -0.0001042   0.0000000   0.0000011
     120     0.01950   0.0000000  -0.0001040   0.0000000   0.0000017
     140     0.02294   0.0000000  -0.0001037   0.0000000   0.0000023
     160     0.02637   0.0000000  -0.0001034   0.0000000   0.0000031
     180     0.02981   0.0000000  -0.0001031   0.0000000   0.0000039
     200     0.03325   0.0000000  -0.0001027   0.0000000   0.0000048
     220     0.03668   0.0000000  -0.0001023   0.0000000   0.0000059
     240     0.04012  -0.0000000  -0.0001018   0.0000000   0.0000071
     260     0.04356   0.0000000  -0.0001013   0.0000000   0.0000083
     280     0.04699   0.0000000  -0.0001007   0.0000000   0.0000097
     300     0.05043  -0.0000000  -0.0001001   0.0000000   0.0000112
     320     0.05387  -0.0000000  -0.0000995   0.0000000   0.0000127
     340     0.05730  -0.0000000  -0.0000989   0.0000000   0.0000144
     360     0.06074  -0.0000000  -0.0000982   0.0000000   0.0000162
     380     0.06417   0.0000000  -0.0000974   0.0000000   0.0000181
     400     0.06761   0.0000000  -0.0000967   0.0000000   0.0000201
     420     0.07105   0.0000000  -0.0000959   0.0000000   0.0000221
     440     0.07448   0.0000000  -0.0000950   0.0000000   0.0000243
     460     0.07792   0.0000000  -0.0000941   0.0000000   0.0000266
     480     0.08136   0.0000000  -0.0000932   0.0000000   0.0000290
     500     0.08479   0.0000000  -0.0000923   0.0000000   0.0000315
     520     0.08823  -0.0000000  -0.0000913   0.0000000   0.0000341
     540     0.09167   0.0000000  -0.0000903   0.0000000   0.0000369
     560     0.09510  -0.0000000  -0.0000893   0.0000000   0.0000397
     580     0.09854   0.0000000  -0.0000882   0.0000000   0.0000426
     600     0.10198   0.0000000  -0.0000871   0.0000000   0.0000456
     620     0.10541   0.0000000  -0.0000860   0.0000000   0.0000487
     640     0.10885   0.0000000  -0.0000848   0.0000000   0.0000520
     660     0.11228   0.0000000  -0.0000836   0.0000000   0.0000553
     680     0.11572   0.0000000  -0.0000824   0.0000000   0.0000587
     700     0.11916   0.0000000  -0.0000812   0.0000000   0.0000623
     720     0.12259   0.0000000  -0.0000799   0.0000000   0.0000659
     740     0.12603   0.0000000  -0.0000786   0.0000000   0.0000697
     760     0.12947   0.0000000  -0.0000773   0.0000000   0.0000735
     780     0.13290   0.0000000  -0.0000759   0.0000000   0.0000775
     800     0.13634   0.0000000  -0.0000745   0.0000000   0.0000815
     820     0.13978   0.0000000  -0.0000731   0.0000000   0.0000857
     840     0.14321   0.0000000  -0.0000717   0.0000000   0.0000900
     860     0.14665  -0.0000000  -0.0000702   0.0000000   0.0000943
     880     0.15008   0.0000000  -0.0000687   0.0000000   0.0000988
     900     0.15352  -0.0000000  -0.0000672   0.0000000   0.0001034
     920     0.15696  -0.0000000  -0.0000657   0.0000000   0.0001081
     940     0.16039  -0.0000000  -0.0000641   0.0000000   0.0001128
     960     0.16383  -0.0000000  -0.0000625   0.0000000   0.0001177
     980     0.16727  -0.0000000  -0.0000609   0.0000000   0.0001227
    1000     0.17070  -0.0000000  -0.0000592   0.0000000   0.0001278
    1020     0.17414  -0.0000000  -0.0000576   0.0000000   0.0001330
    1040     0.17758  -0.0000000  -0.0000559   0.0000000   0.0001383
    1060     0.18101   0.0000000  -0.0000542   0.0000000   0.0001437
    1080     0.18445   0.0000000  -0.0000525   0.0000000   0.0001492
    1100     0.18789   0.0000000  -0.0000507   0.0000000   0.0001548
    1120     0.19132   0.0000000  -0.0000489   0.0000000   0.0001605
    1140     0.19476  -0.0000000  -0.0000471   0.0000000   0.0001664
    1160     0.19819   0.0000000  -0.0000453   0.0000000   0.0001723
    1180     0.20163   0.0000000  -0.0000435   0.0000000   0.0001783
    1200     0.20507  -0.0000000  -0.0000416   0.0000000   0.0001844
    1220     0.20850  -0.0000000  -0.0000397   0.0000000   0.0001907
    1240     0.21194  -0.0000000  -0.0000378   0.0000000   0.0001970
    1260     0.21538  -0.0000000  -0.0000359   0.0000000   0.0002034
    1280     0.21881  -0.0000000  -0.0000340   0.0000000   0.0002100
    1300     0.22225  -0.0000000  -0.0000320   0.0000000   0.0002166
    1320     0.22569  -0.0000000  -0.0000300   0.0000000   0.0002234
    1340     0.22912  -0.0000000  -0.0000280   0.0000000   0.0002302
    1360     0.23256  -0.0000000  -0.0000260   0.0000000   0.0002372
    1380     0.23599   0.0000000  -0.0000240   0.0000000   0.0002442
    1400     0.23943  -0.0000000  -0.0000219   0.0000000   0.0002514
    1420     0.24287  -0.0000000  -0.0000199   0.0000000   0.0002587
    1440     0.24630   0.0000000  -0.0000178   0.0000000   0.0002661
    1460     0.24974   0.0000000  -0.0000157   0.0000000   0.0002735
    1480     0.25318   0.0000000  -0.0000135   0.0000000   0.0002811
    1500     0.25661  -0.0000000  -0.0000114   0.0000000   0.0002888
    1520     0.26005   0.0000000  -0.0000092   0.0000000   0.0002966
