   n        time         Clp         Cdp     Clv         Cdv
       0    88.00010   0.6342850   0.0005862   0.0322568   0.0075267
       1    88.00790   0.6341843   0.0005828   0.0322505   0.0075450
       2    88.01580   0.6340671   0.0005796   0.0322414   0.0075619
       3    88.02350   0.6339342   0.0005767   0.0322292   0.0075768
       4    88.03140   0.6337809   0.0005742   0.0322134   0.0075901
       5    88.03910   0.6336137   0.0005723   0.0321950   0.0076020
       6    88.04700   0.6334274   0.0005706   0.0321732   0.0076135
       7    88.05480   0.6332311   0.0005692   0.0321492   0.0076247
       8    88.06260   0.6330190   0.0005678   0.0321222   0.0076363
       9    88.07040   0.6327984   0.0005666   0.0320932   0.0076477
      10    88.07830   0.6325637   0.0005655   0.0320618   0.0076591
      11    88.08600   0.6323173   0.0005646   0.0320275   0.0076695
      12    88.09390   0.6320545   0.0005637   0.0319899   0.0076786
      13    88.10160   0.6317962   0.0005630   0.0319531   0.0076858
      14    88.10950   0.6315296   0.0005625   0.0319152   0.0076913
      15    88.11720   0.6312584   0.0005620   0.0318757   0.0076951
      16    88.12510   0.6309759   0.0005616   0.0318342   0.0076977
      17    88.13290   0.6306833   0.0005612   0.0317897   0.0076993
      18    88.14080   0.6303919   0.0005609   0.0317456   0.0077001
      19    88.14850   0.6301264   0.0005608   0.0317070   0.0077004
      20    88.15640   0.6298531   0.0005607   0.0316663   0.0076999
      21    88.16410   0.6295882   0.0005607   0.0316257   0.0076985
      22    88.17200   0.6293338   0.0005610   0.0315862   0.0076962
      23    88.17970   0.6291080   0.0005615   0.0315514   0.0076928
      24    88.18760   0.6289160   0.0005623   0.0315232   0.0076882
      25    88.19540   0.6287351   0.0005632   0.0314957   0.0076823
      26    88.20320   0.6285409   0.0005643   0.0314637   0.0076752
      27    88.21100   0.6283518   0.0005656   0.0314315   0.0076673
      28    88.21890   0.6281644   0.0005670   0.0313991   0.0076586
      29    88.22660   0.6279824   0.0005684   0.0313669   0.0076497
      30    88.23450   0.6277906   0.0005698   0.0313321   0.0076404
      31    88.24220   0.6275981   0.0005711   0.0312962   0.0076311
      32    88.25010   0.6274041   0.0005725   0.0312597   0.0076217
      33    88.25790   0.6272132   0.0005737   0.0312233   0.0076125
      34    88.26570   0.6270270   0.0005751   0.0311877   0.0076036
      35    88.27350   0.6268457   0.0005764   0.0311528   0.0075953
      36    88.28140   0.6266511   0.0005777   0.0311144   0.0075872
      37    88.28910   0.6264635   0.0005790   0.0310767   0.0075797
      38    88.29700   0.6262893   0.0005803   0.0310413   0.0075722
      39    88.30470   0.6261260   0.0005815   0.0310073   0.0075650
      40    88.31260   0.6259706   0.0005825   0.0309738   0.0075579
      41    88.32030   0.6258330   0.0005834   0.0309428   0.0075514
      42    88.32820   0.6257064   0.0005841   0.0309127   0.0075456
      43    88.33600   0.6256002   0.0005847   0.0308857   0.0075408
      44    88.34380   0.6255132   0.0005851   0.0308618   0.0075371
      45    88.35160   0.6254426   0.0005854   0.0308405   0.0075347
      46    88.35950   0.6253850   0.0005855   0.0308203   0.0075334
      47    88.36720   0.6253582   0.0005856   0.0308057   0.0075331
      48    88.37510   0.6253749   0.0005854   0.0307991   0.0075337
      49    88.38280   0.6254200   0.0005849   0.0307971   0.0075350
      50    88.39070   0.6254872   0.0005843   0.0307977   0.0075368
      51    88.39850   0.6255898   0.0005836   0.0308043   0.0075388
      52    88.40630   0.6257335   0.0005830   0.0308181   0.0075410
