   n        time         Clp         Cdp         Clv         Cdv
 1613440   225.00036   0.6079887   0.0004414   0.0262457   0.0080912
 1613460   225.00300   0.6081842   0.0004625   0.0272413   0.0082332
 1613480   225.00564   0.6083961   0.0004685   0.0274179   0.0082936
 1613500   225.00828   0.6085404   0.0004735   0.0274421   0.0083274
 1613520   225.01091   0.6086519   0.0004773   0.0274194   0.0083489
 1613540   225.01355   0.6087444   0.0004808   0.0273747   0.0083632
 1613560   225.01618   0.6088321   0.0004838   0.0273246   0.0083730
 1613580   225.01882   0.6089247   0.0004864   0.0272748   0.0083797
 1613600   225.02146   0.6090174   0.0004886   0.0272289   0.0083842
 1613620   225.02409   0.6091103   0.0004905   0.0271876   0.0083870
 1613640   225.02673   0.6092009   0.0004922   0.0271506   0.0083887
 1613660   225.02937   0.6092868   0.0004936   0.0271172   0.0083895
 1613680   225.03201   0.6093685   0.0004949   0.0270870   0.0083897
 1613700   225.03465   0.6094468   0.0004961   0.0270599   0.0083894
 1613720   225.03730   0.6095244   0.0004973   0.0270360   0.0083888
 1613740   225.03994   0.6095986   0.0004983   0.0270143   0.0083879
 1613760   225.04258   0.6096702   0.0004992   0.0269947   0.0083870
 1613780   225.04522   0.6097448   0.0005001   0.0269780   0.0083859
 1613800   225.04786   0.6098238   0.0005009   0.0269640   0.0083847
 1613820   225.05051   0.6099042   0.0005017   0.0269520   0.0083835
 1613840   225.05315   0.6099849   0.0005024   0.0269417   0.0083823
 1613860   225.05579   0.6100683   0.0005031   0.0269334   0.0083812
 1613880   225.05843   0.6101527   0.0005037   0.0269267   0.0083801
 1613900   225.06108   0.6102347   0.0005043   0.0269207   0.0083790
 1613920   225.06372   0.6103180   0.0005049   0.0269161   0.0083782
 1613940   225.06636   0.6104052   0.0005054   0.0269132   0.0083774
 1613960   225.06901   0.6104892   0.0005059   0.0269107   0.0083769
 1613980   225.07165   0.6105669   0.0005062   0.0269081   0.0083764
 1614000   225.07430   0.6106433   0.0005066   0.0269061   0.0083760
 1614020   225.07694   0.6107194   0.0005070   0.0269047   0.0083758
 1614040   225.07958   0.6107942   0.0005072   0.0269036   0.0083757
 1614060   225.08223   0.6108722   0.0005075   0.0269037   0.0083759
 1614080   225.08487   0.6109528   0.0005077   0.0269050   0.0083763
 1614100   225.08751   0.6110256   0.0005077   0.0269057   0.0083770
 1614120   225.09016   0.6110878   0.0005078   0.0269052   0.0083779
 1614140   225.09280   0.6111499   0.0005078   0.0269053   0.0083792
 1614160   225.09544   0.6112177   0.0005078   0.0269067   0.0083808
