   n        time         Clp         Cdp     Clv         Cdv
       0   130.00010   0.6056877   0.0005701   0.0249887   0.0082018
       1   130.00790   0.6058646   0.0005654   0.0250180   0.0082274
       2   130.01570   0.6060298   0.0005598   0.0250453   0.0082617
       3   130.02350   0.6061764   0.0005541   0.0250685   0.0082979
       4   130.03140   0.6063328   0.0005489   0.0250936   0.0083297
       5   130.03920   0.6064884   0.0005448   0.0251187   0.0083530
       6   130.04700   0.6066396   0.0005420   0.0251427   0.0083688
       7   130.05480   0.6067975   0.0005401   0.0251688   0.0083788
       8   130.06260   0.6069516   0.0005388   0.0251947   0.0083845
       9   130.07040   0.6070856   0.0005381   0.0252165   0.0083872
      10   130.07820   0.6072133   0.0005379   0.0252377   0.0083875
      11   130.08610   0.6073425   0.0005379   0.0252601   0.0083859
      12   130.09390   0.6074642   0.0005382   0.0252817   0.0083830
      13   130.10170   0.6075751   0.0005387   0.0253014   0.0083791
      14   130.10950   0.6076691   0.0005393   0.0253178   0.0083749
      15   130.11730   0.6077572   0.0005400   0.0253337   0.0083707
      16   130.12500   0.6078514   0.0005407   0.0253518   0.0083672
      17   130.13300   0.6079438   0.0005411   0.0253700   0.0083643
      18   130.14080   0.6080238   0.0005416   0.0253855   0.0083617
      19   130.14860   0.6081009   0.0005421   0.0254004   0.0083587
      20   130.15630   0.6081942   0.0005429   0.0254191   0.0083546
      21   130.16410   0.6082965   0.0005438   0.0254398   0.0083491
      22   130.17190   0.6083862   0.0005449   0.0254569   0.0083422
      23   130.17970   0.6084835   0.0005462   0.0254747   0.0083347
      24   130.18760   0.6086130   0.0005475   0.0254990   0.0083272
      25   130.19540   0.6087457   0.0005485   0.0255228   0.0083205
      26   130.20320   0.6088791   0.0005495   0.0255451   0.0083147
      27   130.21100   0.6090353   0.0005504   0.0255709   0.0083098
      28   130.21880   0.6092153   0.0005512   0.0256006   0.0083059
      29   130.22660   0.6094019   0.0005518   0.0256300   0.0083027
      30   130.23440   0.6095946   0.0005523   0.0256587   0.0082999
      31   130.24230   0.6098058   0.0005525   0.0256894   0.0082969
      32   130.25010   0.6100240   0.0005527   0.0257205   0.0082938
      33   130.25790   0.6102448   0.0005531   0.0257511   0.0082907
      34   130.26570   0.6104598   0.0005535   0.0257797   0.0082878
      35   130.27350   0.6106703   0.0005539   0.0258069   0.0082854
      36   130.28130   0.6108756   0.0005540   0.0258328   0.0082832
      37   130.28920   0.6110737   0.0005542   0.0258569   0.0082803
      38   130.29700   0.6112479   0.0005549   0.0258765   0.0082759
      39   130.30480   0.6114029   0.0005559   0.0258923   0.0082696
      40   130.31260   0.6115475   0.0005571   0.0259062   0.0082617
      41   130.32040   0.6116845   0.0005585   0.0259191   0.0082529
      42   130.32820   0.6118074   0.0005598   0.0259297   0.0082449
      43   130.33600   0.6119136   0.0005608   0.0259374   0.0082403
      44   130.34390   0.6120112   0.0005609   0.0259437   0.0082401
      45   130.35170   0.6120997   0.0005602   0.0259494   0.0082443
      46   130.35950   0.6121830   0.0005585   0.0259548   0.0082529
      47   130.36730   0.6122547   0.0005561   0.0259587   0.0082657
      48   130.37510   0.6123137   0.0005533   0.0259610   0.0082822
      49   130.38290   0.6123621   0.0005503   0.0259624   0.0083010
      50   130.39070   0.6124034   0.0005474   0.0259635   0.0083201
      51   130.39860   0.6124424   0.0005444   0.0259648   0.0083389
      52   130.40640   0.6124775   0.0005415   0.0259669   0.0083569
      53   130.41420   0.6124925   0.0005389   0.0259660   0.0083732
      54   130.42200   0.6124765   0.0005369   0.0259596   0.0083866
      55   130.42980   0.6124384   0.0005355   0.0259503   0.0083967
      56   130.43760   0.6123934   0.0005343   0.0259417   0.0084047
      57   130.44540   0.6123187   0.0005330   0.0259286   0.0084121
      58   130.45320   0.6122058   0.0005316   0.0259082   0.0084209
      59   130.46110   0.6120848   0.0005300   0.0258879   0.0084318
      60   130.46890   0.6119739   0.0005282   0.0258716   0.0084434
      61   130.47670   0.6118399   0.0005266   0.0258509   0.0084536
      62   130.48450   0.6116869   0.0005255   0.0258262   0.0084603
      63   130.49230   0.6115417   0.0005249   0.0258037   0.0084628
      64   130.50000   0.6113971   0.0005249   0.0257815   0.0084610
      65   130.50780   0.6112463   0.0005256   0.0257576   0.0084558
      66   130.51580   0.6111015   0.0005267   0.0257348   0.0084481
      67   130.52360   0.6109680   0.0005280   0.0257137   0.0084394
      68   130.53140   0.6108549   0.0005294   0.0256960   0.0084302
      69   130.53920   0.6107673   0.0005308   0.0256828   0.0084212
      70   130.54690   0.6107005   0.0005321   0.0256728   0.0084124
      71   130.55470   0.6106681   0.0005336   0.0256685   0.0084039
      72   130.56250   0.6106713   0.0005349   0.0256703   0.0083959
      73   130.57050   0.6107004   0.0005361   0.0256760   0.0083885
      74   130.57830   0.6107503   0.0005372   0.0256846   0.0083821
      75   130.58610   0.6108150   0.0005383   0.0256951   0.0083763
      76   130.59380   0.6108914   0.0005394   0.0257070   0.0083706
      77   130.60160   0.6109791   0.0005406   0.0257204   0.0083632
      78   130.60940   0.6110659   0.0005425   0.0257330   0.0083516
      79   130.61720   0.6111391   0.0005451   0.0257421   0.0083364
      80   130.62500   0.6112032   0.0005479   0.0257487   0.0083205
      81   130.63300   0.6112645   0.0005506   0.0257539   0.0083055
      82   130.64070   0.6113258   0.0005530   0.0257588   0.0082919
      83   130.64850   0.6113909   0.0005554   0.0257643   0.0082785
      84   130.65630   0.6114405   0.0005577   0.0257661   0.0082653
      85   130.66410   0.6114803   0.0005600   0.0257652   0.0082527
      86   130.67190   0.6115274   0.0005622   0.0257663   0.0082410
      87   130.67970   0.6115490   0.0005641   0.0257616   0.0082304
      88   130.68760   0.6115541   0.0005661   0.0257533   0.0082199
      89   130.69540   0.6115522   0.0005683   0.0257444   0.0082085
      90   130.70320   0.6115352   0.0005707   0.0257330   0.0081958
      91   130.71100   0.6115034   0.0005733   0.0257189   0.0081825
      92   130.71880   0.6114739   0.0005758   0.0257057   0.0081703
      93   130.72660   0.6114726   0.0005775   0.0256982   0.0081621
      94   130.73440   0.6115040   0.0005772   0.0256961   0.0081613
      95   130.74230   0.6115599   0.0005756   0.0256978   0.0081693
      96   130.75010   0.6116440   0.0005738   0.0257054   0.0081811
      97   130.75790   0.6117423   0.0005722   0.0257164   0.0081908
      98   130.76570   0.6118198   0.0005709   0.0257229   0.0081969
      99   130.77350   0.6118830   0.0005701   0.0257261   0.0082004
     100   130.78130   0.6119622   0.0005696   0.0257333   0.0082027
     101   130.78910   0.6120548   0.0005693   0.0257441   0.0082039
     102   130.79700   0.6121167   0.0005691   0.0257478   0.0082039
     103   130.80480   0.6121614   0.0005694   0.0257473   0.0082025
     104   130.81260   0.6122323   0.0005699   0.0257526   0.0081998
     105   130.82040   0.6123103   0.0005705   0.0257589   0.0081962
     106   130.82820   0.6123918   0.0005711   0.0257644   0.0081920
     107   130.83600   0.6124859   0.0005719   0.0257708   0.0081875
     108   130.84380   0.6126111   0.0005729   0.0257822   0.0081824
     109   130.85170   0.6127752   0.0005741   0.0258001   0.0081762
     110   130.85950   0.6129518   0.0005755   0.0258188   0.0081686
     111   130.86730   0.6131471   0.0005772   0.0258398   0.0081594
     112   130.87510   0.6133682   0.0005791   0.0258653   0.0081487
     113   130.88290   0.6136005   0.0005811   0.0258926   0.0081368
     114   130.89070   0.6138330   0.0005833   0.0259192   0.0081239
     115   130.89850   0.6140797   0.0005857   0.0259489   0.0081103
     116   130.90640   0.6143497   0.0005881   0.0259841   0.0080965
     117   130.91420   0.6146119   0.0005902   0.0260189   0.0080840
     118   130.92200   0.6148712   0.0005920   0.0260543   0.0080734
     119   130.92980   0.6151295   0.0005935   0.0260911   0.0080650
     120   130.93760   0.6153786   0.0005946   0.0261275   0.0080587
     121   130.94540   0.6156121   0.0005953   0.0261620   0.0080544
     122   130.95320   0.6158344   0.0005958   0.0261954   0.0080514
     123   130.96110   0.6160477   0.0005962   0.0262281   0.0080487
     124   130.96890   0.6162448   0.0005966   0.0262590   0.0080458
     125   130.97670   0.6164270   0.0005971   0.0262880   0.0080424
     126   130.98450   0.6165909   0.0005977   0.0263142   0.0080389
     127   130.99220   0.6167347   0.0005983   0.0263373   0.0080349
     128   131.00000   0.6168617   0.0005990   0.0263581   0.0080301
     129   131.00800   0.6169748   0.0005999   0.0263771   0.0080243
     130   131.01580   0.6170675   0.0006008   0.0263927   0.0080177
     131   131.02350   0.6171395   0.0006019   0.0264046   0.0080105
     132   131.03130   0.6171905   0.0006031   0.0264129   0.0080030
     133   131.03910   0.6172261   0.0006041   0.0264187   0.0079960
     134   131.04690   0.6172427   0.0006047   0.0264212   0.0079906
     135   131.05470   0.6172344   0.0006049   0.0264189   0.0079873
     136   131.06260   0.6172113   0.0006049   0.0264144   0.0079864
     137   131.07040   0.6171716   0.0006045   0.0264072   0.0079874
     138   131.07820   0.6171158   0.0006040   0.0263975   0.0079897
     139   131.08600   0.6170493   0.0006035   0.0263866   0.0079924
     140   131.09380   0.6169614   0.0006029   0.0263718   0.0079950
     141   131.10160   0.6168686   0.0006025   0.0263568   0.0079973
     142   131.10940   0.6167742   0.0006023   0.0263422   0.0079993
     143   131.11730   0.6166856   0.0006020   0.0263293   0.0080009
     144   131.12510   0.6166071   0.0006020   0.0263191   0.0080012
     145   131.13290   0.6165264   0.0006027   0.0263088   0.0079995
     146   131.14070   0.6164529   0.0006037   0.0263001   0.0079961
     147   131.14850   0.6163983   0.0006044   0.0262949   0.0079916
     148   131.15630   0.6163533   0.0006056   0.0262918   0.0079862
     149   131.16410   0.6163205   0.0006072   0.0262911   0.0079799
     150   131.17200   0.6163112   0.0006083   0.0262947   0.0079742
     151   131.17980   0.6163125   0.0006084   0.0262997   0.0079729
     152   131.18760   0.6163213   0.0006074   0.0263057   0.0079789
     153   131.19540   0.6163369   0.0006057   0.0263125   0.0079915
     154   131.20320   0.6163536   0.0006035   0.0263190   0.0080073
     155   131.21100   0.6163683   0.0006014   0.0263247   0.0080230
     156   131.21890   0.6163785   0.0005996   0.0263290   0.0080370
     157   131.22670   0.6163776   0.0005983   0.0263303   0.0080478
     158   131.23450   0.6163684   0.0005975   0.0263293   0.0080552
     159   131.24230   0.6163614   0.0005973   0.0263282   0.0080591
     160   131.25010   0.6163579   0.0005977   0.0263274   0.0080594
     161   131.25790   0.6163562   0.0005985   0.0263263   0.0080567
     162   131.26570   0.6163577   0.0005997   0.0263251   0.0080518
     163   131.27350   0.6163671   0.0006009   0.0263250   0.0080458
     164   131.28140   0.6163787   0.0006020   0.0263247   0.0080397
