   n        time         Clp         Clv         Cdp        Cdv
       0     0.00000  -0.0000000   0.0000000  -0.0001350   0.0000000
      20     0.00188   0.0000000   0.0000000  -0.0001350   0.0000000
      40     0.00468   0.0000000   0.0000000  -0.0001348   0.0000000
      60     0.00747   0.0000000   0.0000000  -0.0001344   0.0000001
      80     0.01026   0.0000000   0.0000000  -0.0001339   0.0000002
     100     0.01305   0.0000000   0.0000000  -0.0001333   0.0000003
     120     0.01585   0.0000000   0.0000000  -0.0001324   0.0000004
     140     0.01864   0.0000000   0.0000000  -0.0001315   0.0000005
     160     0.02143   0.0000000   0.0000000  -0.0001303   0.0000006
     180     0.02422   0.0000000   0.0000000  -0.0001290   0.0000008
     200     0.02702   0.0000000   0.0000000  -0.0001276   0.0000010
     220     0.02981   0.0000000   0.0000000  -0.0001260   0.0000011
     240     0.03260   0.0000000   0.0000000  -0.0001243   0.0000013
     260     0.03539   0.0000000   0.0000000  -0.0001224   0.0000015
     280     0.03819   0.0000000   0.0000000  -0.0001204   0.0000017
     300     0.04098   0.0000000   0.0000000  -0.0001182   0.0000020
     320     0.04377   0.0000000   0.0000000  -0.0001159   0.0000022
     340     0.04656   0.0000000   0.0000000  -0.0001134   0.0000024
     360     0.04936   0.0000000   0.0000000  -0.0001108   0.0000027
     380     0.05215   0.0000000   0.0000000  -0.0001080   0.0000029
     400     0.05494   0.0000000   0.0000000  -0.0001051   0.0000032
     420     0.05773   0.0000000   0.0000000  -0.0001021   0.0000035
     440     0.06053   0.0000000   0.0000000  -0.0000989   0.0000037
     460     0.06332   0.0000000   0.0000000  -0.0000956   0.0000040
     480     0.06611   0.0000000   0.0000000  -0.0000921   0.0000043
     500     0.06890   0.0000000   0.0000000  -0.0000885   0.0000046
     520     0.07170   0.0000000   0.0000000  -0.0000848   0.0000049
     540     0.07449   0.0000000   0.0000000  -0.0000809   0.0000052
     560     0.07728   0.0000000   0.0000000  -0.0000769   0.0000056
     580     0.08007   0.0000000   0.0000000  -0.0000728   0.0000059
     600     0.08287   0.0000000   0.0000000  -0.0000686   0.0000062
     620     0.08566   0.0000000   0.0000000  -0.0000642   0.0000066
     640     0.08845   0.0000000   0.0000000  -0.0000597   0.0000069
     660     0.09124   0.0000000   0.0000000  -0.0000551   0.0000073
     680     0.09404   0.0000000   0.0000000  -0.0000504   0.0000076
     700     0.09683   0.0000000   0.0000000  -0.0000455   0.0000080
     720     0.09962   0.0000000   0.0000000  -0.0000406   0.0000084
     740     0.10241   0.0000000  -0.0000000  -0.0000355   0.0000088
     760     0.10521   0.0000000  -0.0000000  -0.0000303   0.0000092
     780     0.10800   0.0000000  -0.0000000  -0.0000251   0.0000095
     800     0.11079   0.0000000  -0.0000000  -0.0000197   0.0000099
     820     0.11358   0.0000000  -0.0000000  -0.0000142   0.0000103
     840     0.11638   0.0000000  -0.0000000  -0.0000086   0.0000108
     860     0.11917   0.0000000  -0.0000000  -0.0000029   0.0000112
     880     0.12196   0.0000000  -0.0000000   0.0000029   0.0000116
     900     0.12475   0.0000000  -0.0000000   0.0000088   0.0000120
     920     0.12755   0.0000000  -0.0000000   0.0000147   0.0000124
     940     0.13034   0.0000000  -0.0000000   0.0000208   0.0000129
