"$C_p$" "Points:2"
-8.3077007e-01 1.1000000e-01
-8.2674229e-01 1.0780000e-01
-8.2340666e-01 1.0560000e-01
-8.2193368e-01 1.0340000e-01
-8.2165280e-01 1.0120000e-01
-8.2141438e-01 9.8999999e-02
-8.2141959e-01 9.6799999e-02
-8.2243362e-01 9.4599999e-02
-8.2450115e-01 9.2399999e-02
-8.2788521e-01 9.0200000e-02
-8.3337926e-01 8.8000000e-02
-8.4161514e-01 8.5800000e-02
-8.5329541e-01 8.3600000e-02
-8.6918973e-01 8.1400000e-02
-8.8983976e-01 7.9200000e-02
-9.1552266e-01 7.7000000e-02
-9.4617286e-01 7.4800000e-02
-9.8134780e-01 7.2600000e-02
-1.0202793e+00 7.0400000e-02
-1.0621873e+00 6.8200000e-02
-1.1059141e+00 6.6000000e-02
-1.1499611e+00 6.3800000e-02
-1.1926276e+00 6.1600000e-02
-1.2280067e+00 5.9400000e-02
-1.2474460e+00 5.7200000e-02
-1.2507742e+00 5.5000000e-02
-1.2472948e+00 5.2800000e-02
-1.2448428e+00 5.0600000e-02
-1.2444926e+00 4.8400000e-02
-1.2445463e+00 4.6200000e-02
-1.2451505e+00 4.4000000e-02
-1.2463508e+00 4.1800000e-02
-1.2466078e+00 3.9600000e-02
-1.2459567e+00 3.7400000e-02
-1.2454746e+00 3.5200000e-02
-1.2456653e+00 3.3000000e-02
-1.2468820e+00 3.0800000e-02
-1.2481754e+00 2.8600000e-02
-1.2486485e+00 2.6400000e-02
-1.2492863e+00 2.4200000e-02
-1.2504210e+00 2.2000000e-02
-1.2514075e+00 1.9800000e-02
-1.2523232e+00 1.7600000e-02
-1.2529311e+00 1.5400000e-02
-1.2527873e+00 1.3200000e-02
-1.2525445e+00 1.1000000e-02
-1.2524625e+00 8.8000000e-03
-1.2517174e+00 6.6000000e-03
-1.2510827e+00 4.4000000e-03
-1.2528037e+00 2.2000000e-03
-1.2554278e+00 0.0000000e+00
-1.2503436e+00 -2.2000000e-03
-1.2281684e+00 -4.4000000e-03
-1.1902092e+00 -6.6000000e-03
-1.1458447e+00 -8.8000000e-03
-1.1007314e+00 -1.1000000e-02
-1.0563617e+00 -1.3200000e-02
-1.0141222e+00 -1.5400000e-02
-9.7504758e-01 -1.7600000e-02
-9.3988978e-01 -1.9800000e-02
-9.0938040e-01 -2.2000000e-02
-8.8392549e-01 -2.4200000e-02
-8.6360105e-01 -2.6400000e-02
-8.4812769e-01 -2.8600000e-02
-8.3691084e-01 -3.0800000e-02
-8.2921961e-01 -3.3000000e-02
-8.2427242e-01 -3.5200000e-02
-8.2128623e-01 -3.7400000e-02
-8.1959271e-01 -3.9600000e-02
-8.1889012e-01 -4.1800000e-02
-8.1911364e-01 -4.4000000e-02
-8.1996449e-01 -4.6200000e-02
-8.2190463e-01 -4.8400000e-02
-8.2522535e-01 -5.0600000e-02
-8.2764604e-01 -5.2800000e-02
-8.2873308e-01 -5.5000000e-02
-8.3151513e-01 -5.7200000e-02
-8.3585360e-01 -5.9400000e-02
-8.3921605e-01 -6.1600000e-02
-8.4140652e-01 -6.3800000e-02
-8.4287056e-01 -6.6000000e-02
-8.4354186e-01 -6.8200000e-02
-8.4446424e-01 -7.0400000e-02
-8.4721648e-01 -7.2600000e-02
-8.5088589e-01 -7.4800000e-02
-8.5289084e-01 -7.7000000e-02
-8.5301452e-01 -7.9200000e-02
-8.5281410e-01 -8.1400000e-02
-8.5310021e-01 -8.3600000e-02
-8.5361057e-01 -8.5800000e-02
-8.5369625e-01 -8.8000000e-02
-8.5294374e-01 -9.0200000e-02
-8.5117498e-01 -9.2399999e-02
-8.4860006e-01 -9.4599999e-02
-8.4567496e-01 -9.6799999e-02
-8.4271782e-01 -9.8999999e-02
-8.4010341e-01 -1.0120000e-01
-8.3796584e-01 -1.0340000e-01
-8.3605551e-01 -1.0560000e-01
-8.3389559e-01 -1.0780000e-01
-8.3077007e-01 -1.1000000e-01
