Density	Momentum:0	Momentum:1	Momentum:2	Pressure	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.910209	-0.105469	-0.129964	0.0131117	0.24836	0.0199027	0.0128912	0.00474624	-0.00699056	0.000262329	2.15727E-05	0.5	0.15	-0.11
0.910307	-0.104494	-0.131326	0.0125883	0.248358	0.0199758	0.0127758	0.00463724	-0.0071629	0.000246948	-2.85029E-06	0.5	0.15	-0.1078
0.910419	-0.104072	-0.131978	0.0121847	0.248378	0.0202424	0.0128372	0.00451007	-0.00735591	0.000228383	-4.37917E-05	0.5	0.15	-0.1056
0.910523	-0.103703	-0.13215	0.0118708	0.248416	0.020623	0.0131797	0.00443054	-0.00759671	0.000251207	-7.06529E-05	0.5	0.15	-0.1034
0.910623	-0.103519	-0.132242	0.0116615	0.248439	0.0209353	0.0137476	0.00439716	-0.00783475	0.000286278	-0.000109389	0.5	0.15	-0.1012
0.91074	-0.103982	-0.132294	0.0114616	0.248428	0.0210693	0.0142405	0.00435912	-0.00804445	0.000265034	-0.000173886	0.5	0.15	-0.099
0.910874	-0.104892	-0.131879	0.0109403	0.24842	0.0210588	0.0143979	0.00429304	-0.00828369	0.00013207	-0.000213386	0.5	0.15	-0.0968
0.910989	-0.105589	-0.130686	0.00989711	0.24846	0.0210397	0.0143568	0.00423923	-0.00853119	-3.91986E-05	-0.000205776	0.5	0.15	-0.0946
0.911002	-0.105759	-0.128957	0.0085939	0.24854	0.0211243	0.0143308	0.0042542	-0.00873864	-0.000121509	-0.00019716	0.5	0.15	-0.0924
0.910878	-0.105541	-0.127352	0.00745343	0.248616	0.0212855	0.0143721	0.00435164	-0.00891671	-0.000109926	-0.000199624	0.5	0.15	-0.0902
0.910738	-0.105202	-0.126406	0.00661479	0.248659	0.0215143	0.0144058	0.00449366	-0.0091409	-0.000105632	-0.000158232	0.5	0.15	-0.088
0.910687	-0.105006	-0.125997	0.00595353	0.248668	0.0216958	0.0142983	0.00465159	-0.00933822	-0.000187909	-5.91399E-05	0.5	0.15	-0.0858
0.910659	-0.105138	-0.125651	0.00538175	0.248649	0.0217042	0.0140249	0.00483625	-0.00937482	-0.000327167	6.07646E-05	0.5	0.15	-0.0836
0.910558	-0.105568	-0.125177	0.00490721	0.248607	0.0216738	0.0136914	0.00503295	-0.0092516	-0.000482	0.000227326	0.5	0.15	-0.0814
0.91042	-0.106025	-0.124664	0.00451651	0.248566	0.0216424	0.0133714	0.00521952	-0.00903314	-0.000644874	0.00048851	0.5	0.15	-0.0792
0.910385	-0.106158	-0.124267	0.00416321	0.248559	0.0215864	0.0132399	0.00536239	-0.00874007	-0.000820821	0.000746304	0.5	0.15	-0.077
0.910501	-0.106006	-0.124072	0.00376115	0.248599	0.0216137	0.0133509	0.00540889	-0.00837381	-0.00099272	0.000945628	0.5	0.15	-0.0748
0.910655	-0.106007	-0.124084	0.00321903	0.248651	0.0215858	0.0134676	0.0053679	-0.00808969	-0.00110126	0.00111079	0.5	0.15	-0.0726
