"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
4.04836e-01	4.25038e-01	2.13312e-01	1.75392e+00	6.68130e-01	-6.92982e-01	6.75214e-03	4.96546e-02	2.53349e-03	-7.77006e-03	2.56407e-04	-7.13382e-04	1	0.00000e+00	7.50000e-01	2.50000e-01	-1.10000e-01
4.93724e-01	3.19266e-01	2.66997e-01	1.80514e+00	6.68125e-01	2.34864e+00	6.97107e-03	4.98591e-02	2.59097e-03	-7.94699e-03	1.92976e-04	-7.69396e-04	1	2.20000e-03	7.50000e-01	2.50000e-01	-1.07800e-01
5.77661e-01	1.66014e-01	2.99150e-01	1.86957e+00	6.68140e-01	-2.35857e+00	7.16512e-03	5.00843e-02	2.63724e-03	-8.11842e-03	1.13191e-04	-8.25473e-04	1	4.40000e-03	7.50000e-01	2.50000e-01	-1.05600e-01
6.11428e-01	-2.26052e-02	2.46818e-01	1.92033e+00	6.68172e-01	-1.43342e+00	7.32377e-03	5.02994e-02	2.66556e-03	-8.27317e-03	2.07329e-05	-8.80315e-04	1	6.60000e-03	7.50000e-01	2.50000e-01	-1.03400e-01
5.76716e-01	-1.89640e-01	1.32689e-01	1.93388e+00	6.68218e-01	-1.37803e+00	7.45776e-03	5.05083e-02	2.66998e-03	-8.43618e-03	-7.18235e-05	-9.29421e-04	1	8.80000e-03	7.50000e-01	2.50000e-01	-1.01200e-01
5.01771e-01	-2.98279e-01	5.24951e-02	1.91245e+00	6.68275e-01	-1.56891e+00	7.56769e-03	5.07624e-02	2.64626e-03	-8.65015e-03	-1.44313e-04	-9.64233e-04	1	1.10000e-02	7.50000e-01	2.50000e-01	-9.90000e-02
4.00996e-01	-3.36707e-01	8.69369e-02	1.86951e+00	6.68338e-01	-2.02437e+00	7.63530e-03	5.11003e-02	2.59356e-03	-8.93441e-03	-1.76784e-04	-9.78466e-04	1	1.32000e-02	7.50000e-01	2.50000e-01	-9.68000e-02
2.29737e-01	-3.07988e-01	1.83192e-01	1.80605e+00	6.68405e-01	-5.03503e+00	7.65473e-03	5.15054e-02	2.51675e-03	-9.27401e-03	-1.62776e-04	-9.74006e-04	1	1.54000e-02	7.50000e-01	2.50000e-01	-9.46000e-02
-4.37253e-02	-2.57978e-01	2.00577e-01	1.71611e+00	6.68468e-01	1.83217e+02	7.65808e-03	5.19165e-02	2.42901e-03	-9.63992e-03	-1.16582e-04	-9.58543e-04	1	1.76000e-02	7.50000e-01	2.50000e-01	-9.24000e-02
-3.49567e-01	-2.54529e-01	1.03119e-01	1.61150e+00	6.68519e-01	1.83326e+00	7.68383e-03	5.22424e-02	2.34855e-03	-9.99130e-03	-5.74282e-05	-9.40598e-04	1	1.98000e-02	7.50000e-01	2.50000e-01	-9.02000e-02
-5.80770e-01	-2.90595e-01	-1.21761e-02	1.51855e+00	6.68550e-01	1.12213e+00	7.74685e-03	5.23978e-02	2.29026e-03	-1.02786e-02	5.71808e-06	-9.30442e-04	1	2.20000e-02	7.50000e-01	2.50000e-01	-8.80000e-02
-7.14659e-01	-3.00296e-01	-9.25343e-02	1.44716e+00	6.68555e-01	9.13072e-01	7.83387e-03	5.23533e-02	2.26197e-03	-1.04697e-02	6.66866e-05	-9.37494e-04	1	2.42000e-02	7.50000e-01	2.50000e-01	-8.58000e-02
-7.80558e-01	-2.74025e-01	-1.86301e-01	1.38753e+00	6.68536e-01	8.20669e-01	7.89068e-03	5.21341e-02	2.26443e-03	-1.05436e-02	1.18675e-04	-9.59000e-04	1	2.64000e-02	7.50000e-01	2.50000e-01	-8.36000e-02
-7.87388e-01	-2.43584e-01	-3.18485e-01	1.33397e+00	6.68492e-01	7.95030e-01	7.87837e-03	5.17938e-02	2.29201e-03	-1.04793e-02	1.56478e-04	-9.77539e-04	1	2.86000e-02	7.50000e-01	2.50000e-01	-8.14000e-02
-7.77803e-01	-1.95020e-01	-4.29182e-01	1.28485e+00	6.68427e-01	7.88682e-01	7.80142e-03	5.14131e-02	2.33623e-03	-1.02730e-02	1.77576e-04	-9.83509e-04	1	3.08000e-02	7.50000e-01	2.50000e-01	-7.92000e-02
-8.26503e-01	-1.30816e-01	-4.73218e-01	1.23351e+00	6.68346e-01	7.24287e-01	7.67015e-03	5.10656e-02	2.38959e-03	-9.94137e-03	1.84562e-04	-9.88435e-04	1	3.30000e-02	7.50000e-01	2.50000e-01	-7.70000e-02
-9.10298e-01	-1.22408e-01	-5.18700e-01	1.18012e+00	6.68257e-01	6.48278e-01	7.51647e-03	5.07357e-02	2.44480e-03	-9.52390e-03	1.80736e-04	-1.00325e-03	1	3.52000e-02	7.50000e-01	2.50000e-01	-7.48000e-02
-9.62888e-01	-2.23651e-01	-6.43200e-01	1.13248e+00	6.68170e-01	6.43414e-01	7.41502e-03	5.03349e-02	2.49496e-03	-9.07202e-03	1.64269e-04	-1.02810e-03	1	3.74000e-02	7.50000e-01	2.50000e-01	-7.26000e-02
-9.78240e-01	-4.56736e-01	-7.97218e-01	1.09797e+00	6.68093e-01	7.13475e-01	7.41671e-03	4.98096e-02	2.53769e-03	-8.62123e-03	1.39735e-04	-1.06218e-03	1	3.96000e-02	7.50000e-01	2.50000e-01	-7.04000e-02
-9.34376e-01	-7.87470e-01	-9.24602e-01	1.09280e+00	6.68030e-01	8.99207e-01	7.45630e-03	4.91949e-02	2.57665e-03	-8.22405e-03	1.15931e-04	-1.10414e-03	1	4.18000e-02	7.50000e-01	2.50000e-01	-6.82000e-02
-8.86127e-01	-1.04727e+00	-1.03094e+00	1.12275e+00	6.67989e-01	1.13518e+00	7.47022e-03	4.86176e-02	2.61555e-03	-7.93905e-03	8.57729e-05	-1.16533e-03	1	4.40000e-02	7.50000e-01	2.50000e-01	-6.60000e-02
-9.57552e-01	-1.08631e+00	-1.02348e+00	1.14766e+00	6.67980e-01	1.05253e+00	7.47798e-03	4.82108e-02	2.64978e-03	-7.72234e-03	4.91960e-05	-1.25215e-03	1	4.62000e-02	7.50000e-01	2.50000e-01	-6.38000e-02
-1.09554e+00	-9.14929e-01	-8.30757e-01	1.12701e+00	6.68010e-01	7.92483e-01	7.45278e-03	4.80736e-02	2.66883e-03	-7.50155e-03	1.63317e-05	-1.34691e-03	1	4.84000e-02	7.50000e-01	2.50000e-01	-6.16000e-02
-1.19409e+00	-5.86263e-01	-6.10833e-01	1.08452e+00	6.68078e-01	6.15233e-01	7.37073e-03	4.81727e-02	2.66174e-03	-7.26222e-03	-1.66922e-05	-1.43536e-03	1	5.06000e-02	7.50000e-01	2.50000e-01	-5.94000e-02
-1.24342e+00	-2.08011e-01	-5.24003e-01	1.06488e+00	6.68174e-01	5.41349e-01	7.26586e-03	4.83692e-02	2.61661e-03	-7.01513e-03	-5.20213e-05	-1.49925e-03	1	5.28000e-02	7.50000e-01	2.50000e-01	-5.72000e-02
-1.22143e+00	3.63638e-02	-5.19822e-01	1.06864e+00	6.68282e-01	5.31083e-01	7.18688e-03	4.85915e-02	2.53311e-03	-6.78917e-03	-7.66960e-05	-1.51724e-03	1	5.50000e-02	7.50000e-01	2.50000e-01	-5.50000e-02
-1.18469e+00	1.39665e-01	-4.75790e-01	1.07223e+00	6.68386e-01	5.28599e-01	7.12300e-03	4.88657e-02	2.43003e-03	-6.60540e-03	-8.34285e-05	-1.49599e-03	1	5.72000e-02	7.50000e-01	2.50000e-01	-5.28000e-02
-1.25280e+00	2.82908e-01	-3.53702e-01	1.06785e+00	6.68475e-01	5.02252e-01	7.04976e-03	4.91486e-02	2.32677e-03	-6.44872e-03	-7.68652e-05	-1.45048e-03	1	5.94000e-02	7.50000e-01	2.50000e-01	-5.06000e-02
