Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.954704	-0.0671301	0.0113624	0.00572704	0.683339	0.00098532	0.000431867	0.0005368	-0.00018196	0.000106893	6.04876E-06	0	0.15	-0.11
0.954745	-0.0667802	0.0113109	0.0059433	0.683359	0.00100216	0.000437851	0.000526797	-0.000181771	0.00011542	4.01894E-06	0	0.15	-0.1078
0.954775	-0.0663501	0.011347	0.00602914	0.683378	0.00101669	0.000445072	0.000516675	-0.000181814	0.000104793	1.11941E-05	0	0.15	-0.1056
0.954801	-0.0656751	0.0112944	0.00592598	0.683397	0.00104402	0.000464621	0.000504025	-0.000191203	7.63964E-05	2.98402E-05	0	0.15	-0.1034
0.954832	-0.0651036	0.01124	0.00577589	0.683415	0.00107346	0.000489422	0.000493683	-0.000211111	0.000042536	4.75929E-05	0	0.15	-0.1012
0.954863	-0.065022	0.0113865	0.00560791	0.683429	0.00110549	0.000517329	0.000493114	-0.000242751	1.23366E-05	6.33623E-05	0	0.15	-0.099
0.954895	-0.0655525	0.0119275	0.00537473	0.683438	0.00114694	0.000550292	0.0004974	-0.000278157	-9.72119E-06	7.81354E-05	0	0.15	-0.0968
0.954928	-0.0664123	0.012789	0.00501357	0.683446	0.00119195	0.000574731	0.000497355	-0.000304559	-3.21597E-05	9.13364E-05	0	0.15	-0.0946
0.954949	-0.0672669	0.0136237	0.00451019	0.683452	0.00121388	0.000576239	0.000493409	-0.00031268	-6.27829E-05	9.95348E-05	0	0.15	-0.0924
0.954955	-0.0681004	0.0141403	0.00394977	0.683456	0.00119593	0.000561339	0.000491076	-0.000299737	-0.000094503	0.000100423	0	0.15	-0.0902
0.954955	-0.0690565	0.0143921	0.00343422	0.683464	0.00115522	0.000550505	0.00048832	-0.00027299	-0.00011566	0.000100775	0	0.15	-0.088
0.954962	-0.0700376	0.0146163	0.0029629	0.683475	0.00110692	0.000545748	0.00048196	-0.000244702	-0.000122267	9.84987E-05	0	0.15	-0.0858
0.954977	-0.0706829	0.0147997	0.00249855	0.68349	0.00103477	0.00053655	0.000476723	-0.000212887	-0.000116772	8.06916E-05	0	0.15	-0.0836
