"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-2.52734e-01	-3.11028e-05	1.24982e-04	3.00022e-04	7.10267e-01	2.84107e-01	1.78167e-06	1.05533e-06	2.94932e-08	5.44027e-07	9.93757e-08	1.18861e-09	1	0.00000e+00	-6.00000e-01	1.50000e-01	-2.20000e-01
-2.53159e-01	-4.35639e-05	1.19577e-04	2.83993e-04	7.10276e-01	2.84110e-01	1.78862e-06	1.05599e-06	2.84650e-08	5.43633e-07	9.61859e-08	6.68078e-10	1	2.19999e-03	-6.00000e-01	1.50000e-01	-2.17800e-01
-2.53163e-01	-6.42278e-05	1.84834e-04	3.33561e-04	7.10284e-01	2.84114e-01	1.79510e-06	1.05639e-06	2.74699e-08	5.43008e-07	9.27973e-08	1.55312e-10	1	4.40000e-03	-6.00000e-01	1.50000e-01	-2.15600e-01
-2.53170e-01	-5.36568e-05	4.69741e-05	2.18169e-04	7.10291e-01	2.84117e-01	1.80108e-06	1.05652e-06	2.65155e-08	5.42149e-07	8.92194e-08	-3.51260e-10	1	6.59999e-03	-6.00000e-01	1.50000e-01	-2.13400e-01
-2.53469e-01	-1.20729e-04	3.16295e-04	4.26063e-04	7.10298e-01	2.84119e-01	1.80707e-06	1.05694e-06	2.56525e-08	5.41535e-07	8.55782e-08	-8.12764e-10	1	8.80000e-03	-6.00000e-01	1.50000e-01	-2.11200e-01
-2.53645e-01	-9.16404e-05	1.61412e-04	2.93118e-04	7.10304e-01	2.84122e-01	1.81324e-06	1.05779e-06	2.48916e-08	5.41284e-07	8.18829e-08	-1.23393e-09	1	1.10000e-02	-6.00000e-01	1.50000e-01	-2.09000e-01
-2.53888e-01	-1.04175e-04	6.24412e-05	1.81206e-04	7.10308e-01	2.84123e-01	1.81888e-06	1.05841e-06	2.41875e-08	5.40863e-07	7.80232e-08	-1.64648e-09	1	1.32000e-02	-6.00000e-01	1.50000e-01	-2.06800e-01
-2.54329e-01	-1.07067e-04	8.18151e-05	1.69186e-04	7.10312e-01	2.84125e-01	1.82404e-06	1.05883e-06	2.35488e-08	5.40289e-07	7.40249e-08	-2.04780e-09	1	1.54000e-02	-6.00000e-01	1.50000e-01	-2.04600e-01
-2.54392e-01	-1.18637e-04	2.08825e-04	3.56451e-04	7.10317e-01	2.84127e-01	1.82878e-06	1.05910e-06	2.29826e-08	5.39539e-07	6.99088e-08	-2.43340e-09	1	1.76000e-02	-6.00000e-01	1.50000e-01	-2.02400e-01
-2.54297e-01	-1.01081e-04	2.88317e-04	6.09463e-04	7.10320e-01	2.84128e-01	1.83317e-06	1.05927e-06	2.24954e-08	5.38748e-07	6.56983e-08	-2.80071e-09	1	1.98000e-02	-6.00000e-01	1.50000e-01	-2.00200e-01
