Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.955605	-0.0798192	0.0282211	0.00600279	0.688257	0.000471596	0.000283777	0.00055375	7.80329E-05	6.99789E-06	8.16005E-05	0.1	0.15	-0.22
0.955627	-0.0796058	0.0284452	0.00556946	0.688254	0.000448279	0.000279025	0.000536033	6.32917E-05	-8.17009E-06	6.77486E-05	0.1	0.15	-0.2178
0.955655	-0.0794289	0.0286791	0.00511098	0.688249	0.000425214	0.000286377	0.000517552	4.06304E-05	-1.47553E-05	5.59716E-05	0.1	0.15	-0.2156
0.955681	-0.0792901	0.0288891	0.00460536	0.688243	0.000404153	0.000299113	0.000497399	0.000011064	-1.22188E-05	4.66884E-05	0.1	0.15	-0.2134
0.955694	-0.0791495	0.0289617	0.00409353	0.688237	0.000378374	0.000305662	0.000475702	-1.49737E-05	-5.43193E-06	3.91886E-05	0.1	0.15	-0.2112
0.955693	-0.0789991	0.0288213	0.00365449	0.688231	0.000347029	0.000302302	0.00045664	-2.68458E-05	1.13786E-06	0.000032861	0.1	0.15	-0.209
0.955689	-0.0788655	0.0286266	0.00336039	0.688227	0.000319062	0.000298764	0.000444676	-2.64448E-05	8.51757E-06	2.83435E-05	0.1	0.15	-0.2068
0.955693	-0.0787339	0.0286407	0.00324941	0.688224	0.000300119	0.000301547	0.000438942	-2.78624E-05	1.56676E-05	2.65351E-05	0.1	0.15	-0.2046
0.955701	-0.0785975	0.0288754	0.00325028	0.688223	0.000288294	0.000308088	0.000434852	-3.91278E-05	1.67769E-05	2.63213E-05	0.1	0.15	-0.2024
0.95571	-0.0784741	0.0289678	0.00327297	0.688224	0.000286195	0.000314739	0.000431873	-5.54333E-05	1.00995E-05	2.62164E-05	0.1	0.15	-0.2002
0.955718	-0.0783692	0.0286365	0.00322067	0.688227	0.000290934	0.000321542	0.000432917	-7.06068E-05	-1.32762E-06	2.68044E-05	0.1	0.15	-0.198
0.955729	-0.0783461	0.0279936	0.00303355	0.688229	0.00029803	0.00033445	0.000440189	-8.03916E-05	-0.000014082	2.99151E-05	0.1	0.15	-0.1958
0.955742	-0.0786028	0.0273888	0.00269793	0.68823	0.000307369	0.000348154	0.00045241	-8.44417E-05	-2.45857E-05	3.37087E-05	0.1	0.15	-0.1936
0.95575	-0.0792887	0.0270767	0.00224368	0.688232	0.000314703	0.000350067	0.000467284	-0.000086968	-2.86366E-05	3.43391E-05	0.1	0.15	-0.1914
0.955749	-0.0802503	0.0271321	0.00173172	0.688233	0.000317501	0.000342687	0.000483666	-9.20073E-05	-2.53093E-05	3.18311E-05	0.1	0.15	-0.1892
0.955744	-0.0811138	0.0275384	0.00121655	0.688232	0.000320896	0.000334482	0.000500392	-0.000100327	-2.02855E-05	2.98728E-05	0.1	0.15	-0.187
0.955738	-0.0816054	0.02818	0.000704408	0.68823	0.000327204	0.000330284	0.000515501	-0.000106187	-2.19447E-05	0.000031852	0.1	0.15	-0.1848
0.955729	-0.0817252	0.0288127	0.000151449	0.688226	0.000328081	0.000326956	0.000527784	-0.000101742	-3.34072E-05	3.70809E-05	0.1	0.15	-0.1826
0.955713	-0.0816936	0.0291873	-0.000489567	0.688221	0.000318359	0.000318301	0.000537178	-8.77073E-05	-4.92014E-05	3.95868E-05	0.1	0.15	-0.1804
0.955696	-0.0817829	0.0292267	-0.00121672	0.688214	0.000306918	0.00030836	0.000545424	-7.26077E-05	-6.11873E-05	3.50424E-05	0.1	0.15	-0.1782
0.955682	-0.0821107	0.0290183	-0.00194837	0.688208	0.000300943	0.000305053	0.000557442	-6.06925E-05	-0.000064483	2.42662E-05	0.1	0.15	-0.176
