St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
0.000000e+00 	 7.025045e-07 	0.000000e+00 	 4.984428e-06 	0.000000e+00 	 2.042385e-04 	0.000000e+00 	 3.945324e-03 	0.000000e+00 	 5.502115e-02 	0.000000e+00 	 8.316306e-01 	0.000000e+00 	 8.209213e+00 	 
3.243283e-01 	 5.386522e-06 	3.243283e-01 	 4.190409e-05 	3.243283e-01 	 6.918494e-04 	3.243283e-01 	 1.568567e-02 	3.243283e-01 	 2.880310e-01 	3.243283e-01 	 3.271782e+00 	3.243283e-01 	 3.394214e+01 	 
6.486567e-01 	 3.606803e-06 	6.486567e-01 	 2.431573e-05 	6.486567e-01 	 7.627122e-04 	6.486567e-01 	 1.032621e-02 	6.486567e-01 	 2.276017e-01 	6.486567e-01 	 3.148469e+00 	6.486567e-01 	 4.167967e+01 	 
9.729850e-01 	 2.054429e-06 	9.729850e-01 	 1.897414e-05 	9.729850e-01 	 8.075153e-04 	9.729850e-01 	 8.921392e-03 	9.729850e-01 	 2.019421e-01 	9.729850e-01 	 2.161358e+00 	9.729850e-01 	 3.775989e+01 	 
1.297313e+00 	 1.410488e-06 	1.297313e+00 	 1.974317e-05 	1.297313e+00 	 5.263272e-04 	1.297313e+00 	 1.296617e-02 	1.297313e+00 	 2.099833e-01 	1.297313e+00 	 2.107704e+00 	1.297313e+00 	 2.375208e+01 	 
1.621642e+00 	 1.460700e-06 	1.621642e+00 	 1.437028e-05 	1.621642e+00 	 7.319391e-04 	1.621642e+00 	 1.358973e-02 	1.621642e+00 	 1.269124e-01 	1.621642e+00 	 1.246112e+00 	1.621642e+00 	 1.078143e+01 	 
1.945970e+00 	 1.631895e-06 	1.945970e+00 	 1.710710e-05 	1.945970e+00 	 7.000626e-04 	1.945970e+00 	 1.047628e-02 	1.945970e+00 	 1.500803e-01 	1.945970e+00 	 1.371263e+00 	1.945970e+00 	 1.256240e+01 	 
2.270298e+00 	 1.091092e-06 	2.270298e+00 	 1.638022e-05 	2.270298e+00 	 6.314546e-04 	2.270298e+00 	 1.065066e-02 	2.270298e+00 	 1.193825e-01 	2.270298e+00 	 1.064891e+00 	2.270298e+00 	 1.008958e+01 	 
2.594627e+00 	 8.084330e-07 	2.594627e+00 	 1.364843e-05 	2.594627e+00 	 4.968962e-04 	2.594627e+00 	 1.143537e-02 	2.594627e+00 	 8.809852e-02 	2.594627e+00 	 9.026259e-01 	2.594627e+00 	 6.917018e+00 	 
2.918955e+00 	 1.037406e-06 	2.918955e+00 	 1.175914e-05 	2.918955e+00 	 4.989828e-04 	2.918955e+00 	 9.215310e-03 	2.918955e+00 	 8.677584e-02 	2.918955e+00 	 8.408654e-01 	2.918955e+00 	 4.529234e+00 	 
3.243283e+00 	 7.546221e-07 	3.243283e+00 	 2.913643e-05 	3.243283e+00 	 6.090169e-04 	3.243283e+00 	 7.001592e-03 	3.243283e+00 	 6.870433e-02 	3.243283e+00 	 4.259927e-01 	3.243283e+00 	 2.974314e+00 	 
3.567612e+00 	 6.692611e-07 	3.567612e+00 	 2.481229e-05 	3.567612e+00 	 5.457375e-04 	3.567612e+00 	 6.244184e-03 	3.567612e+00 	 8.571956e-02 	3.567612e+00 	 5.119425e-01 	3.567612e+00 	 4.178041e+00 	 
3.891940e+00 	 1.281559e-06 	3.891940e+00 	 2.068517e-05 	3.891940e+00 	 6.803841e-04 	3.891940e+00 	 5.629581e-03 	3.891940e+00 	 8.271569e-02 	3.891940e+00 	 5.225483e-01 	3.891940e+00 	 3.716839e+00 	 
4.216268e+00 	 1.771229e-06 	4.216268e+00 	 2.274078e-05 	4.216268e+00 	 7.874226e-04 	4.216268e+00 	 6.881183e-03 	4.216268e+00 	 7.400456e-02 	4.216268e+00 	 2.795517e-01 	4.216268e+00 	 2.490360e+00 	 
4.540597e+00 	 1.740625e-06 	4.540597e+00 	 2.844326e-05 	4.540597e+00 	 5.100161e-04 	4.540597e+00 	 8.199697e-03 	4.540597e+00 	 8.255284e-02 	4.540597e+00 	 2.751709e-01 	4.540597e+00 	 4.234024e+00 	 
4.864925e+00 	 1.623101e-06 	4.864925e+00 	 3.413487e-05 	4.864925e+00 	 3.750681e-04 	4.864925e+00 	 1.047118e-02 	4.864925e+00 	 1.036811e-01 	4.864925e+00 	 3.884345e-01 	4.864925e+00 	 3.215259e+00 	 
5.189253e+00 	 9.985650e-07 	5.189253e+00 	 3.113469e-05 	5.189253e+00 	 3.137185e-04 	5.189253e+00 	 8.667674e-03 	5.189253e+00 	 7.194033e-02 	5.189253e+00 	 4.081792e-01 	5.189253e+00 	 2.430221e+00 	 
5.513582e+00 	 1.313646e-06 	5.513582e+00 	 3.053887e-05 	5.513582e+00 	 3.781273e-04 	5.513582e+00 	 4.772800e-03 	5.513582e+00 	 4.772474e-02 	5.513582e+00 	 3.527039e-01 	5.513582e+00 	 2.548739e+00 	 
5.837910e+00 	 1.469818e-06 	5.837910e+00 	 3.661252e-05 	5.837910e+00 	 2.811256e-04 	5.837910e+00 	 3.919699e-03 	5.837910e+00 	 4.408766e-02 	5.837910e+00 	 3.345918e-01 	5.837910e+00 	 2.136834e+00 	 
6.162238e+00 	 1.229074e-06 	6.162238e+00 	 3.538170e-05 	6.162238e+00 	 3.492990e-04 	6.162238e+00 	 4.663867e-03 	6.162238e+00 	 4.288308e-02 	6.162238e+00 	 3.125924e-01 	6.162238e+00 	 1.645027e+00 	 
6.486567e+00 	 1.995668e-06 	6.486567e+00 	 4.306747e-05 	6.486567e+00 	 3.516721e-04 	6.486567e+00 	 3.940732e-03 	6.486567e+00 	 4.310201e-02 	6.486567e+00 	 2.307080e-01 	6.486567e+00 	 9.892146e-01 	 
6.810895e+00 	 4.866791e-06 	6.810895e+00 	 8.069117e-05 	6.810895e+00 	 4.177849e-04 	6.810895e+00 	 2.276734e-03 	6.810895e+00 	 3.227326e-02 	6.810895e+00 	 2.026351e-01 	6.810895e+00 	 6.791224e-01 	 
