t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.5000030E+02         9.1325510E-01         3.2034868E-03        -3.2658246E-03         4.3170096E-04         6.5539300E-01         9.2353994E-01         1.1677469E-01         8.1594564E-02        -4.9367633E-02         6.6162044E-01         9.4928098E-01         2.4906659E-01         3.3951993E-03         2.2174003E-02         6.7316365E-01         9.1348946E-01        -5.4315042E-02         1.4919001E-01        -8.9974375E-03         6.4859992E-01         9.2087036E-01         2.3049377E-02         6.3690536E-02         1.6224127E-01         6.5667945E-01         9.3997025E-01         3.4949893E-01        -5.4713808E-02         4.1614667E-02         6.7289412E-01         9.7107160E-01         3.0384555E-01         9.2389770E-02         5.1412519E-02         6.8675268E-01         9.7156096E-01         2.6694417E-01         1.3281396E-01        -2.1079652E-02         6.9218755E-01         9.3694568E-01         4.0946570E-01         2.0045963E-01        -6.8037517E-02         6.7179072E-01
  1.5000800E+02         9.1326880E-01         8.3742716E-04        -5.7895114E-03         2.1986500E-03         6.5540451E-01         9.2493266E-01         1.1407688E-01         7.1352050E-02        -4.8694417E-02         6.6294295E-01         9.4498289E-01         2.8764224E-01         2.6791057E-02         1.3270140E-02         6.6771644E-01         9.0928888E-01        -6.8691194E-02         1.3720359E-01         9.2094513E-03         6.4448553E-01         9.1929859E-01         4.4398108E-03         5.7853553E-02         1.9134583E-01         6.5477151E-01         9.3880218E-01         3.6457342E-01        -3.0586019E-02         2.7140353E-02         6.7263556E-01         9.7372848E-01         3.2122642E-01         8.9143746E-02         4.6295192E-02         6.8623906E-01         9.7256833E-01         2.6538429E-01         1.1997773E-01        -1.1620415E-02         6.9222099E-01         9.3921375E-01         3.8352764E-01         1.9931605E-01        -4.1710734E-02         6.7394269E-01
  1.5001580E+02         9.1317743E-01        -2.5481086E-03        -8.4117381E-03         3.4470612E-03         6.5530324E-01         9.2585832E-01         1.1102185E-01         6.2023047E-02        -4.8479982E-02         6.6378230E-01         9.3918890E-01         3.1275663E-01         4.7579575E-02         8.4364852E-03         6.6218984E-01         9.0645295E-01        -7.7783503E-02         1.2909006E-01         2.3117915E-02         6.4128298E-01         9.1835690E-01        -3.3717293E-03         4.2264789E-02         2.1110727E-01         6.5403384E-01         9.3778324E-01         3.6411181E-01         8.7952400E-03         1.9696807E-02         6.7306799E-01         9.7445655E-01         3.3515012E-01         8.4100068E-02         4.4236045E-02         6.8556434E-01         9.7308922E-01         2.6092097E-01         1.0569558E-01        -8.7767892E-04         6.9217408E-01         9.4189751E-01         3.5498273E-01         2.0062697E-01        -1.6921112E-02         6.7609560E-01
  1.5002350E+02         9.1299063E-01        -6.4266012E-03        -1.0690006E-02         3.8905861E-03         6.5510947E-01         9.2625022E-01         1.0783713E-01         5.4127850E-02        -4.8877921E-02         6.6411734E-01         9.3309355E-01         3.2176921E-01         6.1362803E-02         8.9799687E-03         6.5771246E-01         9.0541434E-01        -8.0790289E-02         1.2684084E-01         3.1733390E-02         6.3936114E-01         9.1812253E-01         3.8593783E-04         2.2105303E-02         2.1637677E-01         6.5446591E-01         9.3851292E-01         3.5715744E-01         4.6155676E-02         1.7268719E-02         6.7407203E-01         9.7348464E-01         3.4485650E-01         7.8381337E-02         4.4816460E-02         6.8480146E-01         9.7313601E-01         2.5366479E-01         9.1221683E-02         9.2440518E-03         6.9198304E-01         9.4479674E-01         3.3149371E-01         2.0206547E-01         3.9731176E-03         6.7806673E-01
  1.5003140E+02         9.1271472E-01        -1.0617897E-02        -1.2553627E-02         3.4846102E-03         6.5483212E-01         9.2616475E-01         1.0499528E-01         4.7338944E-02        -4.9726307E-02         6.6400218E-01         9.2735666E-01         3.1689268E-01         6.9023632E-02         1.3832692E-02         6.5446275E-01         9.0619022E-01        -7.7339329E-02         1.3039130E-01         3.6534540E-02         6.3878584E-01         9.1829795E-01         1.3019535E-02         1.6590478E-03         2.0799798E-01         6.5549862E-01         9.4255298E-01         3.5401648E-01         6.6198736E-02         1.3190913E-02         6.7544174E-01         9.7148657E-01         3.5114318E-01         7.2678551E-02         4.7931049E-02         6.8397313E-01         9.7259969E-01         2.4372461E-01         7.6805480E-02         1.7936286E-02         6.9150913E-01         9.4779962E-01         3.1873083E-01         1.9932717E-01         2.0264454E-02         6.7981923E-01
  1.5003930E+02         9.1235334E-01        -1.4855050E-02        -1.3983930E-02         2.3036278E-03         6.5447098E-01         9.2571491E-01         1.0277277E-01         4.1887570E-02        -5.0469793E-02         6.6353768E-01         9.2282587E-01         3.0261686E-01         7.2624646E-02         2.0166313E-02         6.5239292E-01         9.0859967E-01        -6.6893011E-02         1.3744885E-01         4.0015206E-02         6.3973784E-01         9.1855919E-01         3.1100120E-02        -1.3131138E-02         1.8876250E-01         6.5654534E-01         9.4927084E-01         3.5690191E-01         6.1579645E-02         4.1859983E-03         6.7679131E-01         9.6927816E-01         3.5466591E-01         6.7094989E-02         5.3228326E-02         6.8311256E-01         9.7126442E-01         2.3236629E-01         6.4156413E-02         2.4032658E-02         6.9062632E-01         9.5028162E-01         3.2005486E-01         1.8850078E-01         2.8423714E-02         6.8107134E-01
  1.5004700E+02         9.1195428E-01        -1.9067449E-02        -1.5117264E-02         5.1555806E-04         6.5406799E-01         9.2495513E-01         1.0075849E-01         3.7667140E-02        -5.0723322E-02         6.6282696E-01         9.1989106E-01         2.8529936E-01         7.4292980E-02         2.4980346E-02         6.5116650E-01         9.1184473E-01        -5.1564094E-02         1.4419973E-01         4.4445723E-02         6.4196455E-01         9.1898090E-01         5.1259857E-02        -1.7833216E-02         1.6313224E-01         6.5748870E-01         9.5599747E-01         3.6045122E-01         4.0187214E-02        -8.2656099E-03         6.7752039E-01         9.6762854E-01         3.5689583E-01         6.0624331E-02         5.8541488E-02         6.8229109E-01         9.6901888E-01         2.2141828E-01         5.5370528E-02         2.6967062E-02         6.8936533E-01         9.5169735E-01         3.3145189E-01         1.7067818E-01         2.6550498E-02         6.8153697E-01
  1.5005490E+02         9.1149485E-01        -2.3491906E-02        -1.6176896E-02        -1.9016651E-03         6.5360105E-01         9.2384452E-01         9.8873809E-02         3.4416247E-02        -4.9832620E-02         6.6185617E-01         9.1774428E-01         2.6730499E-01         7.4648596E-02         2.7461395E-02         6.5033299E-01         9.1504288E-01        -3.6426250E-02         1.4957957E-01         4.9269207E-02         6.4492410E-01         9.1992491E-01         7.2561555E-02        -1.1516499E-02         1.3414966E-01         6.5854603E-01         9.6069437E-01         3.5964626E-01         1.4356716E-02        -2.1748019E-02         6.7762613E-01         9.6694016E-01         3.5970753E-01         5.1653985E-02         6.0721334E-02         6.8159109E-01         9.6576679E-01         2.1180524E-01         5.2120022E-02         2.6873704E-02         6.8786311E-01         9.5225722E-01         3.4568271E-01         1.5107381E-01         1.6901098E-02         6.8124485E-01
  1.5006260E+02         9.1104168E-01        -2.7999800E-02        -1.7275972E-02        -4.8675956E-03         6.5314490E-01         9.2248291E-01         9.7889684E-02         3.2788757E-02        -4.6979547E-02         6.6064769E-01         9.1535008E-01         2.4774683E-01         7.3478915E-02         2.9966049E-02         6.4968765E-01         9.1775751E-01        -2.8396981E-02         1.5555814E-01         5.1158588E-02         6.4797246E-01         9.2138273E-01         9.3464673E-02         2.0401385E-03         1.0662575E-01         6.5958476E-01         9.6220392E-01         3.5317889E-01        -4.9888012E-03        -3.3043481E-02         6.7749524E-01         9.6703571E-01         3.6404166E-01         4.0584713E-02         5.8106501E-02         6.8104827E-01         9.6188200E-01         2.0460084E-01         5.5863880E-02         2.4512181E-02         6.8646735E-01         9.5270443E-01         3.5531107E-01         1.3785115E-01         6.5318421E-03         6.8064553E-01
  1.5007050E+02         9.1053784E-01        -3.2751255E-02        -1.8507760E-02        -8.5394606E-03         6.5265036E-01         9.2103380E-01         9.8256297E-02         3.2711852E-02        -4.2731192E-02         6.5935737E-01         9.1235179E-01         2.2262900E-01         7.1790591E-02         3.8561512E-02         6.4900106E-01         9.2106992E-01        -2.5992634E-02         1.6490549E-01         4.7995426E-02         6.5136117E-01         9.2296702E-01         1.1464576E-01         1.6329885E-02         8.1524760E-02         6.6022915E-01         9.6110702E-01         3.4103441E-01        -1.5931712E-02        -4.1185051E-02         6.7733854E-01         9.6661735E-01         3.6903235E-01         2.9134359E-02         5.3855319E-02         6.8033195E-01         9.5767492E-01         1.9923109E-01         6.6653565E-02         2.1382308E-02         6.8536681E-01         9.5377052E-01         3.5799450E-01         1.3396192E-01         1.5953484E-03         6.8023854E-01
