t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.4182903E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7273962E-01         8.6282170E-01        -6.7559364E-03        -7.2324062E-03        -8.2015917E-02         6.0548484E-01         9.4053280E-01         2.0127998E-01         6.5408990E-02         3.5360999E-02         6.7103934E-01         9.4243127E-01         8.2054669E-03        -2.1502606E-03        -3.5923015E-02         6.7573035E-01         9.2194885E-01         3.7518644E-01         8.4023401E-02         2.9206555E-02         6.5635812E-01
  1.5000800E+02         9.4130009E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7236280E-01         8.6539745E-01        -4.1091938E-02        -1.9699617E-04        -7.3674023E-02         6.0787785E-01         9.4697416E-01         2.1546090E-01         5.4200452E-02        -2.4962041E-03         6.7401302E-01         9.4313794E-01        -5.0368896E-03        -3.9168377E-03        -5.0805207E-02         6.7573667E-01         9.2237502E-01         3.7673679E-01         7.9917856E-02         4.5692775E-02         6.5667462E-01
  1.5001580E+02         9.4064987E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.7189878E-01         8.6785966E-01        -8.8352941E-02         1.6664853E-02        -6.3716590E-02         6.0984623E-01         9.5216459E-01         2.4360037E-01         3.6859736E-02        -4.6927795E-02         6.7438525E-01         9.4430500E-01        -1.4978101E-02        -5.6106178E-03        -6.5458894E-02         6.7601508E-01         9.2240572E-01         3.7365457E-01         7.9648525E-02         6.2285587E-02         6.5659606E-01
  1.5002350E+02         9.3995434E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7140228E-01         8.7197137E-01        -1.4527208E-01         4.3906923E-02        -5.4438937E-02         6.1253542E-01         9.5359462E-01         2.8502479E-01         8.8284379E-03        -8.4459744E-02         6.7066973E-01         9.4577086E-01        -2.1506699E-02        -7.1789650E-03        -7.9202250E-02         6.7647117E-01         9.2213440E-01         3.6741748E-01         8.0989875E-02         7.7078238E-02         6.5618849E-01
  1.5003140E+02         9.3917608E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7084646E-01         8.7953556E-01        -2.0331283E-01         7.9854347E-02        -5.0728638E-02         6.1746264E-01         9.4841903E-01         3.3142200E-01        -3.4001805E-02        -1.1502746E-01         6.6160905E-01         9.4762260E-01        -2.5364872E-02        -8.4734811E-03        -9.2303492E-02         6.7710394E-01         9.2161500E-01         3.5946804E-01         8.2225278E-02         9.0350039E-02         6.5553999E-01
  1.5003930E+02         9.3836904E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7027038E-01         8.8991803E-01        -2.3780106E-01         1.1587398E-01        -5.9876125E-02         6.2563115E-01         9.3451458E-01         3.6697134E-01        -8.2905427E-02        -1.4607763E-01         6.4741361E-01         9.4983619E-01        -2.6508918E-02        -9.3533928E-03        -1.0340770E-01         6.7793387E-01         9.2088896E-01         3.5091552E-01         8.3118461E-02         1.0191313E-01         6.5478629E-01
  1.5004700E+02         9.3756568E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6969627E-01         9.0002191E-01        -2.3077832E-01         1.4284800E-01        -8.2097828E-02         6.3572532E-01         9.1297156E-01         3.7991378E-01        -1.1510272E-01        -1.8547638E-01         6.3032508E-01         9.5223069E-01        -2.4701057E-02        -1.0036851E-02        -1.1073863E-01         6.7898101E-01         9.2013341E-01         3.4229413E-01         8.4888704E-02         1.1170755E-01         6.5404719E-01
  1.5005490E+02         9.3679482E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.6914481E-01         9.0971804E-01        -1.9085392E-01         1.5955089E-01        -1.1077791E-01         6.4624000E-01         8.8734049E-01         3.6913705E-01        -1.0617881E-01        -2.3038734E-01         6.1338550E-01         9.5474249E-01        -1.9456759E-02        -1.0832259E-02        -1.1274550E-01         6.8033993E-01         9.1963834E-01         3.3372727E-01         8.8677421E-02         1.2007361E-01         6.5339082E-01
  1.5006260E+02         9.3617547E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6870099E-01         9.1970885E-01        -1.5048307E-01         1.6855325E-01        -1.3324071E-01         6.5572876E-01         8.6600578E-01         3.4662545E-01        -5.3009700E-02        -2.5806448E-01         6.0190326E-01         9.5718622E-01        -1.0845446E-02        -1.1669915E-02        -1.0791188E-01         6.8196052E-01         9.1958261E-01         3.2588127E-01         9.3972333E-02         1.2673324E-01         6.5293592E-01
  1.5007050E+02         9.3569797E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6835856E-01         9.2994171E-01        -1.2823331E-01         1.7298180E-01        -1.4147206E-01         6.6484392E-01         8.5400641E-01         3.2415152E-01         2.1910101E-02        -2.4909014E-01         5.9825450E-01         9.5967507E-01         1.3688105E-03        -1.2192098E-02        -9.5608801E-02         6.8382198E-01         9.1974896E-01         3.1764796E-01         1.0011122E-01         1.3250613E-01         6.5268379E-01
