t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.4000060E+02         9.2224139E-01         1.0225973E-01         9.9845827E-02         1.3065261E-02         6.5862113E-01         9.5711046E-01         2.5280651E-01         4.5999698E-02        -6.5120637E-02         6.7634320E-01         9.3854213E-01         3.0069372E-01        -1.9585460E-02         5.5576865E-02         6.5980142E-01         9.2959780E-01         6.4813256E-02         4.7838733E-02         2.7315214E-02         6.5564477E-01         9.4360280E-01         2.2063908E-01         8.3700657E-02        -4.5199823E-02         6.7729723E-01         9.4082654E-01         2.1078302E-01         1.0740731E-01        -1.7834086E-02         6.7400056E-01         9.4639355E-01         4.1195735E-01         3.3185869E-02        -5.8527403E-02         6.7441893E-01         9.3705666E-01         1.6601184E-01         1.2297349E-01         7.1616717E-02         6.6536874E-01         9.4751638E-01         3.4061307E-01         1.1575237E-01         4.3359905E-02         6.7252904E-01
  2.4001610E+02         9.2292643E-01         9.8680019E-02         7.5242169E-02        -3.8114677E-03         6.5846390E-01         9.4426918E-01         2.8889880E-01         5.2022722E-02        -2.0085145E-02         6.6520911E-01         9.2088234E-01         2.4963135E-01        -4.0252425E-02         1.0574739E-01         6.4531815E-01         9.3417257E-01         1.2834145E-01         6.5080471E-02         2.4467200E-02         6.6239148E-01         9.4261682E-01         2.1535066E-01         5.5361941E-02        -3.1860661E-02         6.7557794E-01         9.3697095E-01         2.3402135E-01         1.0271070E-01        -2.4224401E-02         6.7284042E-01         9.4741464E-01         3.6969659E-01         6.5348931E-02        -5.9748486E-02         6.7625517E-01         9.3327338E-01         1.5213819E-01         1.7300825E-01         5.0572008E-02         6.6388518E-01         9.5060539E-01         3.4375241E-01         1.3978349E-01         6.1617941E-02         6.7167979E-01
  2.4003180E+02         9.2004639E-01         9.1164581E-02         5.8714490E-02        -8.1403805E-03         6.5588278E-01         9.2457008E-01         2.7854511E-01         6.6850126E-02         1.7576151E-02         6.5679258E-01         9.1129935E-01         1.7192015E-01         7.1012005E-02         3.7189938E-02         6.4259082E-01         9.3822277E-01         2.3791470E-01         7.0698336E-02        -4.0630950E-03         6.7044806E-01         9.3985540E-01         2.0926099E-01         4.1820098E-02        -1.0547607E-02         6.7041183E-01         9.3627346E-01         2.6531976E-01         8.5573018E-02         2.8806021E-02         6.7275870E-01         9.5020956E-01         3.1552526E-01         6.6236787E-02        -6.4675882E-02         6.7697537E-01         9.3656373E-01         1.7606643E-01         2.2821394E-01         2.6728986E-02         6.6912818E-01         9.4682384E-01         3.3953440E-01         1.5218396E-01         6.9015115E-02         6.7037153E-01
  2.4004730E+02         9.1592777E-01         8.0814980E-02         5.4762784E-02         2.5336072E-03         6.5312451E-01         9.1901767E-01         2.8739181E-01         7.0338115E-02         4.3270063E-02         6.5366465E-01         9.1963404E-01         1.9783415E-01         1.4883341E-01         1.4831600E-02         6.5247899E-01         9.5329827E-01         3.2727927E-01         7.6169036E-02        -4.9568113E-02         6.7319357E-01         9.3759859E-01         1.7830814E-01         8.5114174E-02        -9.9136373E-03         6.6762692E-01         9.4215012E-01         2.8298154E-01         5.3557150E-02         7.4339792E-02         6.7397565E-01         9.4952250E-01         2.9028198E-01         4.9004357E-02        -6.5960914E-02         6.7584050E-01         9.4077587E-01         2.2344664E-01         2.3887011E-01         1.5954662E-02         6.7439944E-01         9.3926436E-01         3.2170635E-01         1.5945852E-01         5.9629619E-02         6.6849333E-01
  2.4006300E+02         9.1443628E-01         7.1814142E-02         5.8977991E-02         2.3734750E-02         6.5292174E-01         9.1826278E-01         3.0448419E-01         6.1486293E-02         3.8885955E-02         6.5063643E-01         9.3053734E-01         2.2619434E-01         1.7413583E-01         8.2173519E-02         6.6243410E-01         9.6132487E-01         3.5786906E-01         8.7542839E-02        -4.2146355E-02         6.7345726E-01         9.4096988E-01         1.4984420E-01         1.2552239E-01         5.8676786E-04         6.7193168E-01         9.4880378E-01         2.7603775E-01         2.2199094E-02         6.9390520E-02         6.7508656E-01         9.4545758E-01         2.7982274E-01         3.5205770E-02        -8.0692887E-02         6.7313850E-01         9.4617712E-01         2.7578682E-01         1.9903983E-01         1.0027085E-02         6.7597502E-01         9.3111885E-01         3.0250809E-01         1.4701419E-01         5.1493522E-02         6.6498607E-01
  2.4007870E+02         9.1710436E-01         6.9735020E-02         6.0623512E-02         4.5740657E-02         6.5586531E-01         9.1382968E-01         2.8447235E-01         3.9102115E-02         3.4568194E-02         6.4852643E-01         9.3834001E-01         2.6384395E-01         1.6688909E-01         1.2949662E-01         6.6821104E-01         9.6084416E-01         3.3302185E-01         9.2358075E-02        -1.0624966E-02         6.7464799E-01         9.4966233E-01         1.6056266E-01         1.0452799E-01         6.1290003E-03         6.7810458E-01         9.4497252E-01         2.5941393E-01         1.6536338E-02         3.7390612E-02         6.7220718E-01         9.4424981E-01         2.5937843E-01         4.1584961E-02        -1.1797628E-01         6.6944396E-01         9.5389855E-01         3.2741922E-01         1.3170108E-01        -2.3297578E-02         6.7587143E-01         9.2321372E-01         2.9930773E-01         1.0006665E-01         3.7779547E-02         6.6122496E-01
  2.4009420E+02         9.2113233E-01         7.8259334E-02         5.5355947E-02         5.6690197E-02         6.5915060E-01         9.1205716E-01         2.2674124E-01         7.4864333E-03         4.4015303E-02         6.4925414E-01         9.4417375E-01         3.0684748E-01         1.1738294E-01         4.7384366E-02         6.7262632E-01         9.6000135E-01         3.0570138E-01         6.2291019E-02        -1.6572014E-03         6.7481995E-01         9.5488596E-01         1.7988361E-01         8.2708001E-02        -1.6927170E-02         6.7810404E-01         9.3745959E-01         2.3439035E-01         3.7691575E-02         3.1074144E-02         6.6916448E-01         9.4909793E-01         2.3977482E-01         7.9167023E-02        -1.5918711E-01         6.6768622E-01         9.5929474E-01         3.6173621E-01         8.2034625E-02        -7.0774190E-02         6.7601556E-01         9.2516524E-01         3.3558947E-01         4.3115307E-02         2.3332182E-02         6.6093051E-01
  2.4010990E+02         9.2327559E-01         9.8950244E-02         5.0383341E-02         4.8787922E-02         6.5971678E-01         9.1228312E-01         1.6669251E-01        -1.9770613E-02         4.8391741E-02         6.4957213E-01         9.5422560E-01         3.1426051E-01         7.7023275E-02        -3.4810107E-02         6.7495924E-01         9.5809203E-01         2.7553919E-01         1.1773868E-02         7.3125851E-03         6.7225689E-01         9.5282686E-01         2.0443241E-01         8.3717376E-02        -6.4750373E-02         6.7610854E-01         9.3744874E-01         2.1610147E-01         6.5922789E-02         5.1884331E-02         6.6988003E-01         9.4877923E-01         2.5148544E-01         1.2279002E-01        -1.6726063E-01         6.6717291E-01         9.6137929E-01         3.7345853E-01         6.7653939E-02        -8.2195185E-02         6.7667675E-01         9.3522662E-01         3.6216301E-01         2.3474986E-02         3.0782204E-02         6.6271269E-01
  2.4012540E+02         9.2157775E-01         1.2686561E-01         5.3503018E-02         2.7477302E-02         6.5610760E-01         9.1153920E-01         1.1438870E-01        -3.2274432E-02         4.6179365E-02         6.4833140E-01         9.5655596E-01         3.0578378E-01         6.4725272E-02        -3.6061198E-02         6.7510116E-01         9.4879436E-01         2.5285161E-01        -1.4198390E-02         3.1546488E-02         6.6720796E-01         9.4596994E-01         2.2618841E-01         7.2418936E-02        -1.1291473E-01         6.7346275E-01         9.3939054E-01         2.1906559E-01         9.1858163E-02         6.2478583E-02         6.7179209E-01         9.3944997E-01         2.6505986E-01         1.4950936E-01        -1.2527235E-01         6.6716570E-01         9.6212089E-01         3.7400761E-01         6.6308461E-02        -6.0866870E-02         6.7664838E-01         9.3849677E-01         3.2622430E-01         2.9264834E-02         3.0007817E-02         6.6291118E-01
  2.4014110E+02         9.1497058E-01         1.4844075E-01         6.3466638E-02         1.0733242E-02         6.4886796E-01         9.1121995E-01         7.5752407E-02        -2.4937056E-02         3.6929060E-02         6.4771539E-01         9.4966936E-01         3.1551138E-01         5.8990080E-02        -2.2526696E-02         6.6989493E-01         9.3602359E-01         2.3004858E-01        -2.2494987E-02        -2.4874450E-03         6.6301101E-01         9.4067127E-01         2.2105607E-01         6.4350523E-02        -1.1660559E-01         6.7176390E-01         9.4413579E-01         2.5606608E-01         9.9087618E-02         1.8690947E-02         6.7355072E-01         9.3503654E-01         2.5953943E-01         1.5603949E-01        -4.5817509E-02         6.6945690E-01         9.6188879E-01         3.7440684E-01         6.1795313E-02        -5.3167503E-02         6.7574996E-01         9.3485463E-01         2.8461403E-01         2.1840779E-02         2.0870923E-03         6.6130060E-01
