 Delete previous filelist 
Grid  0 Read!
RMS Solution read!
nk =  1       ze =  12
xi       et       ze       x       y       z
 60        14        12        -0.445         0.079         0.084
 70        22        12        -0.425         0.093         0.084
 80        30        12        -0.403         0.112         0.084
 90        37        12        -0.377         0.132         0.084
100        43        12        -0.348         0.153         0.084
110        47        12        -0.311         0.170         0.084
120        54        12        -0.277         0.200         0.084
130        57        12        -0.230         0.215         0.084
140        61        12        -0.183         0.235         0.084
nk =  2       ze =  37
xi       et       ze       x       y       z
 60        27        37        -0.426         0.090         0.029
 70        30        37        -0.404         0.102         0.029
 80        33        37        -0.378         0.115         0.029
 90        36        37        -0.348         0.127         0.029
100        34        37        -0.305         0.127         0.029
110        40        37        -0.271         0.145         0.029
120        46        37        -0.235         0.164         0.029
130        51        37        -0.193         0.183         0.029
140        58        37        -0.155         0.215         0.029
nk =  3       ze =  62
xi       et       ze       x       y       z
 60        12        62        -0.444         0.077        -0.026
 70        20        62        -0.423         0.091        -0.026
 80        28        62        -0.400         0.108        -0.026
 90        36        62        -0.376         0.130        -0.026
100        42        62        -0.346         0.150        -0.026
110        46        62        -0.308         0.166        -0.026
120        52        62        -0.272         0.191        -0.026
130        59        62        -0.236         0.225        -0.026
140        60        62        -0.180         0.229        -0.026
nk =  4       ze =  87
xi       et       ze       x       y       z
 60        33        87        -0.435         0.100        -0.081
 70        37        87        -0.416         0.117        -0.081
 80        43        87        -0.398         0.140        -0.081
 90        47        87        -0.372         0.160        -0.081
100        50        87        -0.338         0.176        -0.081
110        55        87        -0.306         0.201        -0.081
120        58        87        -0.264         0.218        -0.081
130        61        87        -0.219         0.234        -0.081
140        65        87        -0.173         0.257        -0.081
 Finished.
