St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
0.000000e+00 	 1.189475e-06 	0.000000e+00 	 2.671585e-05 	0.000000e+00 	 5.911883e-04 	0.000000e+00 	 6.499480e-03 	0.000000e+00 	 6.731674e-02 	0.000000e+00 	 5.369931e-01 	0.000000e+00 	 1.020161e+01 	 
3.331251e-01 	 4.613966e-06 	3.331251e-01 	 1.417653e-04 	3.331251e-01 	 2.065134e-03 	3.331251e-01 	 3.064662e-02 	3.331251e-01 	 4.795633e-01 	3.331251e-01 	 2.680937e+00 	3.331251e-01 	 3.238616e+01 	 
6.662502e-01 	 4.739536e-06 	6.662502e-01 	 1.926389e-04 	6.662502e-01 	 2.300027e-03 	6.662502e-01 	 4.162521e-02 	6.662502e-01 	 5.858641e-01 	6.662502e-01 	 4.076145e+00 	6.662502e-01 	 4.391027e+01 	 
9.993753e-01 	 9.981642e-06 	9.993753e-01 	 2.072835e-04 	9.993753e-01 	 2.670450e-03 	9.993753e-01 	 4.791197e-02 	9.993753e-01 	 6.785075e-01 	9.993753e-01 	 4.819474e+00 	9.993753e-01 	 3.757015e+01 	 
1.332500e+00 	 1.309781e-05 	1.332500e+00 	 2.615994e-04 	1.332500e+00 	 3.255139e-03 	1.332500e+00 	 3.651660e-02 	1.332500e+00 	 4.691785e-01 	1.332500e+00 	 3.709623e+00 	1.332500e+00 	 2.546713e+01 	 
1.665625e+00 	 1.569918e-05 	1.665625e+00 	 3.437428e-04 	1.665625e+00 	 4.553977e-03 	1.665625e+00 	 2.969745e-02 	1.665625e+00 	 3.060335e-01 	1.665625e+00 	 3.426111e+00 	1.665625e+00 	 2.058080e+01 	 
1.998751e+00 	 2.211190e-05 	1.998751e+00 	 5.774633e-04 	1.998751e+00 	 5.437857e-03 	1.998751e+00 	 4.231455e-02 	1.998751e+00 	 1.541986e-01 	1.998751e+00 	 1.324482e+00 	1.998751e+00 	 9.879332e+00 	 
2.331876e+00 	 4.252262e-05 	2.331876e+00 	 7.361341e-04 	2.331876e+00 	 7.135712e-03 	2.331876e+00 	 6.105369e-02 	2.331876e+00 	 2.576790e-01 	2.331876e+00 	 1.634799e+00 	2.331876e+00 	 1.061743e+01 	 
2.665001e+00 	 5.102242e-05 	2.665001e+00 	 7.328510e-04 	2.665001e+00 	 6.112865e-03 	2.665001e+00 	 5.416872e-02 	2.665001e+00 	 2.849620e-01 	2.665001e+00 	 2.212616e+00 	2.665001e+00 	 9.758975e+00 	 
2.998126e+00 	 5.111987e-05 	2.998126e+00 	 6.490560e-04 	2.998126e+00 	 4.367010e-03 	2.998126e+00 	 5.032676e-02 	2.998126e+00 	 1.854165e-01 	2.998126e+00 	 2.770812e+00 	2.998126e+00 	 1.484023e+01 	 
3.331251e+00 	 6.674549e-05 	3.331251e+00 	 7.731914e-04 	3.331251e+00 	 6.332122e-03 	3.331251e+00 	 4.632350e-02 	3.331251e+00 	 1.626473e-01 	3.331251e+00 	 2.096545e+00 	3.331251e+00 	 1.571501e+01 	 
3.664376e+00 	 6.167889e-05 	3.664376e+00 	 7.628310e-04 	3.664376e+00 	 5.171741e-03 	3.664376e+00 	 3.701918e-02 	3.664376e+00 	 1.717169e-01 	3.664376e+00 	 1.349143e+00 	3.664376e+00 	 6.039565e+00 	 
3.997501e+00 	 3.947889e-05 	3.997501e+00 	 5.455300e-04 	3.997501e+00 	 2.842598e-03 	3.997501e+00 	 2.197868e-02 	3.997501e+00 	 1.564736e-01 	3.997501e+00 	 1.099761e+00 	3.997501e+00 	 5.597395e+00 	 
4.330626e+00 	 3.171754e-05 	4.330626e+00 	 3.842322e-04 	4.330626e+00 	 2.596704e-03 	4.330626e+00 	 1.862131e-02 	4.330626e+00 	 1.433579e-01 	4.330626e+00 	 9.979644e-01 	4.330626e+00 	 3.882943e+00 	 
4.663751e+00 	 3.496699e-05 	4.663751e+00 	 2.873763e-04 	4.663751e+00 	 2.395101e-03 	4.663751e+00 	 2.038629e-02 	4.663751e+00 	 1.320117e-01 	4.663751e+00 	 5.686618e-01 	4.663751e+00 	 3.807068e+00 	 
4.996876e+00 	 3.668930e-05 	4.996876e+00 	 2.611681e-04 	4.996876e+00 	 1.824693e-03 	4.996876e+00 	 1.623526e-02 	4.996876e+00 	 1.207854e-01 	4.996876e+00 	 4.522021e-01 	4.996876e+00 	 3.037011e+00 	 
5.330002e+00 	 3.882363e-05 	5.330002e+00 	 1.827761e-04 	5.330002e+00 	 1.652876e-03 	5.330002e+00 	 1.265029e-02 	5.330002e+00 	 9.634803e-02 	5.330002e+00 	 4.131241e-01 	5.330002e+00 	 2.078323e+00 	 
5.663127e+00 	 4.441547e-05 	5.663127e+00 	 1.916000e-04 	5.663127e+00 	 1.026873e-03 	5.663127e+00 	 1.057669e-02 	5.663127e+00 	 6.381586e-02 	5.663127e+00 	 4.261668e-01 	5.663127e+00 	 2.412687e+00 	 
5.996252e+00 	 2.913888e-05 	5.996252e+00 	 1.987381e-04 	5.996252e+00 	 1.312435e-03 	5.996252e+00 	 8.936387e-03 	5.996252e+00 	 5.667727e-02 	5.996252e+00 	 6.006342e-01 	5.996252e+00 	 2.168348e+00 	 
6.329377e+00 	 3.924371e-05 	6.329377e+00 	 1.989273e-04 	6.329377e+00 	 1.033681e-03 	6.329377e+00 	 7.256913e-03 	6.329377e+00 	 3.821981e-02 	6.329377e+00 	 4.667742e-01 	6.329377e+00 	 1.274317e+00 	 
6.662502e+00 	 3.169769e-05 	6.662502e+00 	 1.314209e-04 	6.662502e+00 	 1.114635e-03 	6.662502e+00 	 7.652155e-03 	6.662502e+00 	 3.306303e-02 	6.662502e+00 	 2.706692e-01 	6.662502e+00 	 1.926400e+00 	 
