t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.2100010E+02         9.2827374E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6305912E-01         9.2714971E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6226578E-01         8.9666140E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.4013404E-01         9.5557094E-01         3.8667685E-01         8.2960978E-02        -5.0770726E-02         6.6963720E-01         9.6431321E-01         3.1781936E-01         7.7123925E-02        -7.2203554E-02         6.8093801E-01         9.7667819E-01         2.2190516E-01         1.0631011E-02        -1.9699220E-01         6.8888247E-01         9.6151644E-01         3.6866087E-01         5.0254632E-02         1.8065346E-02         6.7935240E-01         9.4591218E-01         1.5302302E-01         7.2386473E-02         7.1112931E-02         6.7349541E-01         9.6588761E-01         3.1113261E-01         2.3112589E-02        -1.7357476E-01         6.8383712E-01
  1.2101570E+02         9.2782652E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6273648E-01         9.2592490E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6137803E-01         9.2234951E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5881294E-01         9.5095718E-01         4.0818575E-01         7.7749088E-02        -5.7943203E-02         6.6647410E-01         9.6230531E-01         3.1630075E-01         1.2054088E-01        -3.3544831E-02         6.8102562E-01         9.6953332E-01         1.9799797E-01         3.0984908E-02        -2.3851450E-01         6.8209457E-01         9.6046704E-01         3.8091758E-01         7.3368609E-02        -3.4211371E-02         6.7748225E-01         9.4623035E-01         1.4886092E-01         5.0932921E-02         1.0774564E-01         6.7170149E-01         9.6097493E-01         2.9089671E-01         3.4291656E-03        -1.6823712E-01         6.8400598E-01
  1.2103130E+02         9.2737645E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6241896E-01         9.2516196E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.6084272E-01         9.2165095E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.5832007E-01         9.4883263E-01         4.3898559E-01         7.9492241E-02        -8.1779018E-02         6.6396743E-01         9.5999515E-01         3.0331957E-01         1.5303788E-01        -3.8160935E-02         6.8221444E-01         9.5436472E-01         1.9597460E-01         5.0016847E-02        -2.3131436E-01         6.7272919E-01         9.5600343E-01         3.9515191E-01         8.2135513E-02        -4.6871901E-02         6.7400140E-01         9.4485599E-01         1.3984047E-01         2.5531147E-02         1.1088891E-01         6.6905773E-01         9.5520461E-01         2.7520812E-01        -1.8948633E-02        -1.6444923E-01         6.8381834E-01
  1.2104700E+02         9.2716187E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6226137E-01         9.2501932E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6072047E-01         9.2234731E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5881532E-01         9.4085193E-01         5.1912487E-01         1.3586576E-01        -1.8192805E-01         6.5687901E-01         9.6589941E-01         2.8342739E-01         1.4752194E-01        -3.2732937E-02         6.8600750E-01         9.3819267E-01         1.8661992E-01         5.4367654E-02        -1.6963702E-01         6.6546518E-01         9.4914651E-01         4.1243148E-01         6.4949259E-02        -1.1296591E-02         6.7319620E-01         9.4122291E-01         1.2423880E-01         2.6062746E-03         8.1753194E-02         6.6578883E-01         9.5286757E-01         2.5491217E-01        -3.7076853E-02        -1.8597879E-01         6.8434709E-01
  1.2106260E+02         9.2730659E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6236341E-01         9.2605758E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6146165E-01         9.1713971E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5510088E-01         9.2319208E-01         3.5011426E-01         2.3314938E-01        -3.4393257E-01         6.4731652E-01         9.7215819E-01         2.8741845E-01         1.1544928E-01        -2.3246029E-02         6.8744338E-01         9.3003988E-01         1.5766801E-01         3.3237468E-02        -8.4238395E-02         6.6179729E-01         9.5131558E-01         4.1269574E-01         4.6685733E-02         2.0076137E-02         6.7614710E-01         9.3774301E-01         1.0931198E-01        -1.5124892E-02         2.9551424E-02         6.6378015E-01         9.5701241E-01         2.5340709E-01        -4.9846195E-02        -2.0532185E-01         6.8452466E-01
  1.2107820E+02         9.2770398E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.6264719E-01         9.2724216E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6232419E-01         9.2633301E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6162997E-01         9.1961247E-01         3.7592390E-01         2.0446792E-01        -1.7477068E-01         6.5723115E-01         9.7315741E-01         3.1357396E-01         8.6974517E-02        -2.3232359E-02         6.8593812E-01         9.3026352E-01         1.4149658E-01         8.3102770E-03        -5.8578519E-04         6.6297680E-01         9.6308923E-01         3.7572020E-01         3.4066677E-02        -1.1390618E-02         6.8208003E-01         9.3691015E-01         1.0752347E-01        -3.1434923E-02        -3.1988673E-02         6.6407174E-01         9.6077687E-01         2.5560847E-01        -6.1470043E-02        -2.1002410E-01         6.8477285E-01
  1.2109390E+02         9.2839313E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6313815E-01         9.2698497E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.6213399E-01         9.3287945E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6638011E-01         9.2934638E-01         2.9699168E-01         1.7739215E-01         2.2517523E-02         6.6637111E-01         9.7071886E-01         3.3007845E-01         7.3234454E-02        -2.3526534E-02         6.8475616E-01         9.3721354E-01         1.5821947E-01         3.9083757E-03         7.4010521E-02         6.6868883E-01         9.6464026E-01         3.1757790E-01         2.5740722E-02        -7.3212355E-02         6.8258393E-01         9.3913746E-01         1.1954688E-01        -3.1819351E-02        -8.3613023E-02         6.6691381E-01         9.6267354E-01         2.5369430E-01        -6.6054530E-02        -2.0367469E-01         6.8534094E-01
  1.2110950E+02         9.2926800E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6376275E-01         9.2485231E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6061378E-01         9.3052953E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6468465E-01         9.3412840E-01         2.2630545E-01         1.1752032E-01        -2.1295132E-02         6.6712534E-01         9.6821874E-01         3.4867597E-01         6.6834368E-02        -1.5340248E-02         6.8355626E-01         9.4648141E-01         1.9283463E-01         9.3799634E-03         1.1936507E-01         6.7429942E-01         9.5282507E-01         2.9844207E-01         5.3754961E-03        -7.4866615E-02         6.7723650E-01         9.4319284E-01         1.3422722E-01         3.2655441E-03        -1.0511338E-01         6.7256165E-01         9.6399277E-01         2.5440714E-01        -5.6859128E-02        -1.9004977E-01         6.8623704E-01
  1.2112510E+02         9.2978758E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6413301E-01         9.2198074E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5856212E-01         9.2720538E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6230863E-01         9.3336099E-01         3.4195003E-01         1.2103820E-01         2.1217767E-02         6.6519511E-01         9.6555507E-01         3.9100856E-01         6.6854931E-02        -2.7112775E-03         6.7986065E-01         9.5546085E-01         2.1717511E-01         1.4206392E-02         1.3191351E-01         6.7850912E-01         9.5085418E-01         3.5113284E-01        -1.8358452E-02        -1.3880908E-02         6.7657226E-01         9.4792950E-01         1.6193625E-01         5.0926745E-02        -8.7387301E-02         6.7833573E-01         9.6262228E-01         2.5553781E-01        -3.7799288E-02        -1.6561700E-01         6.8617034E-01
  1.2114080E+02         9.2980236E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6414487E-01         9.2022407E-01         5.5511151E-17        -1.3877788E-17         0.0000000E+00         6.5731210E-01         9.2096990E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5785491E-01         9.3916816E-01         4.4977447E-01         1.6803339E-01         3.7209537E-02         6.6173315E-01         9.5265514E-01         4.3246606E-01         9.0321071E-02        -2.7718600E-02         6.7337841E-01         9.5903265E-01         2.0376560E-01         3.1456072E-02         1.1990752E-01         6.8109524E-01         9.6008766E-01         4.1818213E-01        -6.0038846E-03         2.4295980E-02         6.7917919E-01         9.5355290E-01         2.1631525E-01         7.1497507E-02        -4.8385147E-02         6.8147326E-01         9.6013653E-01         2.5961813E-01        -1.0287556E-02        -1.2376568E-01         6.8596965E-01
