St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
0.000000e+00 	 1.914108e-06 	0.000000e+00 	 1.385962e-05 	0.000000e+00 	 6.504441e-04 	0.000000e+00 	 4.659451e-03 	0.000000e+00 	 8.001233e-02 	0.000000e+00 	 1.055329e+00 	0.000000e+00 	 1.994351e+01 	 
3.243306e-01 	 1.126501e-05 	3.243306e-01 	 7.538747e-05 	3.243306e-01 	 3.460291e-03 	3.243306e-01 	 3.227667e-02 	3.243306e-01 	 5.205894e-01 	3.243306e-01 	 4.864937e+00 	3.243306e-01 	 8.922839e+01 	 
6.486611e-01 	 1.026510e-05 	6.486611e-01 	 9.202499e-05 	6.486611e-01 	 3.697261e-03 	6.486611e-01 	 3.764346e-02 	6.486611e-01 	 5.381994e-01 	6.486611e-01 	 5.708303e+00 	6.486611e-01 	 8.406352e+01 	 
9.729917e-01 	 8.155069e-06 	9.729917e-01 	 1.162007e-04 	9.729917e-01 	 4.331751e-03 	9.729917e-01 	 4.519543e-02 	9.729917e-01 	 4.371574e-01 	9.729917e-01 	 5.658391e+00 	9.729917e-01 	 7.045447e+01 	 
1.297322e+00 	 2.564183e-05 	1.297322e+00 	 2.971792e-04 	1.297322e+00 	 7.356366e-03 	1.297322e+00 	 6.782787e-02 	1.297322e+00 	 6.015077e-01 	1.297322e+00 	 4.553390e+00 	1.297322e+00 	 5.318612e+01 	 
1.621653e+00 	 5.763718e-05 	1.621653e+00 	 6.432048e-04 	1.621653e+00 	 1.028579e-02 	1.621653e+00 	 9.766615e-02 	1.621653e+00 	 7.118983e-01 	1.621653e+00 	 4.448531e+00 	1.621653e+00 	 2.988137e+01 	 
1.945983e+00 	 4.970018e-05 	1.945983e+00 	 7.148102e-04 	1.945983e+00 	 9.316053e-03 	1.945983e+00 	 8.406595e-02 	1.945983e+00 	 6.069896e-01 	1.945983e+00 	 4.589053e+00 	1.945983e+00 	 2.414282e+01 	 
2.270314e+00 	 2.176914e-05 	2.270314e+00 	 4.381014e-04 	2.270314e+00 	 4.517095e-03 	2.270314e+00 	 2.962604e-02 	2.270314e+00 	 3.469671e-01 	2.270314e+00 	 2.206090e+00 	2.270314e+00 	 1.567085e+01 	 
2.594645e+00 	 4.580890e-05 	2.594645e+00 	 6.395216e-04 	2.594645e+00 	 6.747327e-03 	2.594645e+00 	 4.679024e-02 	2.594645e+00 	 3.004976e-01 	2.594645e+00 	 1.792261e+00 	2.594645e+00 	 1.853610e+01 	 
2.918975e+00 	 8.943615e-05 	2.918975e+00 	 1.033029e-03 	2.918975e+00 	 9.501646e-03 	2.918975e+00 	 4.897601e-02 	2.918975e+00 	 2.809388e-01 	2.918975e+00 	 1.090191e+00 	2.918975e+00 	 9.977985e+00 	 
3.243306e+00 	 1.534262e-04 	3.243306e+00 	 1.595401e-03 	3.243306e+00 	 1.116534e-02 	3.243306e+00 	 5.291213e-02 	3.243306e+00 	 2.669871e-01 	3.243306e+00 	 1.108005e+00 	3.243306e+00 	 7.649210e+00 	 
3.567636e+00 	 1.114062e-04 	3.567636e+00 	 1.121974e-03 	3.567636e+00 	 5.308167e-03 	3.567636e+00 	 3.441683e-02 	3.567636e+00 	 1.681842e-01 	3.567636e+00 	 8.342262e-01 	3.567636e+00 	 1.000613e+01 	 
3.891967e+00 	 6.999057e-05 	3.891967e+00 	 5.778264e-04 	3.891967e+00 	 3.864166e-03 	3.891967e+00 	 2.289374e-02 	3.891967e+00 	 1.218461e-01 	3.891967e+00 	 6.682697e-01 	3.891967e+00 	 7.637703e+00 	 
4.216297e+00 	 4.197577e-05 	4.216297e+00 	 3.452098e-04 	4.216297e+00 	 2.684793e-03 	4.216297e+00 	 2.114322e-02 	4.216297e+00 	 9.021744e-02 	4.216297e+00 	 7.207209e-01 	4.216297e+00 	 4.993347e+00 	 
4.540628e+00 	 3.246055e-05 	4.540628e+00 	 4.951786e-04 	4.540628e+00 	 2.903428e-03 	4.540628e+00 	 1.584436e-02 	4.540628e+00 	 6.719279e-02 	4.540628e+00 	 7.583232e-01 	4.540628e+00 	 3.509776e+00 	 
4.864958e+00 	 4.027311e-05 	4.864958e+00 	 3.402581e-04 	4.864958e+00 	 2.480432e-03 	4.864958e+00 	 1.666608e-02 	4.864958e+00 	 6.496204e-02 	4.864958e+00 	 7.512565e-01 	4.864958e+00 	 5.205561e+00 	 
5.189289e+00 	 3.531066e-05 	5.189289e+00 	 3.409673e-04 	5.189289e+00 	 2.057860e-03 	5.189289e+00 	 1.066022e-02 	5.189289e+00 	 6.014822e-02 	5.189289e+00 	 3.439025e-01 	5.189289e+00 	 3.892437e+00 	 
5.513620e+00 	 3.134000e-05 	5.513620e+00 	 2.929486e-04 	5.513620e+00 	 1.754913e-03 	5.513620e+00 	 1.235889e-02 	5.513620e+00 	 3.950314e-02 	5.513620e+00 	 2.825752e-01 	5.513620e+00 	 2.639946e+00 	 
5.837950e+00 	 4.278605e-05 	5.837950e+00 	 2.958932e-04 	5.837950e+00 	 1.637147e-03 	5.837950e+00 	 1.170271e-02 	5.837950e+00 	 5.633723e-02 	5.837950e+00 	 2.325027e-01 	5.837950e+00 	 2.453941e+00 	 
6.162281e+00 	 3.261294e-05 	6.162281e+00 	 2.748828e-04 	6.162281e+00 	 1.515110e-03 	6.162281e+00 	 9.340460e-03 	6.162281e+00 	 4.157144e-02 	6.162281e+00 	 1.563273e-01 	6.162281e+00 	 1.873152e+00 	 
6.486611e+00 	 1.916828e-05 	6.486611e+00 	 1.553546e-04 	6.486611e+00 	 1.308156e-03 	6.486611e+00 	 7.933469e-03 	6.486611e+00 	 2.622837e-02 	6.486611e+00 	 1.904230e-01 	6.486611e+00 	 1.414761e+00 	 
6.810942e+00 	 1.594878e-05 	6.810942e+00 	 1.252168e-04 	6.810942e+00 	 1.471685e-03 	6.810942e+00 	 8.578225e-03 	6.810942e+00 	 2.659011e-02 	6.810942e+00 	 1.441896e-01 	6.810942e+00 	 8.825174e-01 	 
7.135272e+00 	 4.913336e-06 	7.135272e+00 	 1.156821e-04 	7.135272e+00 	 1.085827e-03 	7.135272e+00 	 7.629508e-03 	7.135272e+00 	 2.475108e-02 	7.135272e+00 	 1.675959e-01 	7.135272e+00 	 6.938296e-01 	 
7.459603e+00 	 3.270892e-06 	7.459603e+00 	 8.165826e-05 	7.459603e+00 	 5.130870e-04 	7.459603e+00 	 5.595173e-03 	7.459603e+00 	 1.942445e-02 	7.459603e+00 	 1.264896e-01 	7.459603e+00 	 6.535673e-01 	 
7.783934e+00 	 3.047077e-06 	7.783934e+00 	 6.131263e-05 	7.783934e+00 	 6.235053e-04 	7.783934e+00 	 2.543148e-03 	7.783934e+00 	 1.685757e-02 	7.783934e+00 	 6.496385e-02 	7.783934e+00 	 5.115594e-01 	 
8.108264e+00 	 4.521224e-06 	8.108264e+00 	 8.779295e-05 	8.108264e+00 	 8.086361e-04 	8.108264e+00 	 2.961662e-03 	8.108264e+00 	 1.439430e-02 	8.108264e+00 	 7.545317e-02 	8.108264e+00 	 5.257539e-01 	 
8.432595e+00 	 3.912788e-06 	8.432595e+00 	 8.258763e-05 	8.432595e+00 	 6.845732e-04 	8.432595e+00 	 3.621257e-03 	8.432595e+00 	 1.349675e-02 	8.432595e+00 	 1.038537e-01 	8.432595e+00 	 3.681945e-01 	 
