x0	T1	x1	T2	
-4.850296e-01 	 2.719957e-02 	-4.850296e-01 	 2.384533e-02 	 
-4.849759e-01 	 6.020296e-04 	-4.849759e-01 	 -8.334641e-04 	 
-4.848141e-01 	 5.473694e-03 	-4.848141e-01 	 2.632402e-03 	 
-4.845435e-01 	 1.352757e-02 	-4.845435e-01 	 8.661479e-03 	 
-4.841645e-01 	 1.487617e-02 	-4.841645e-01 	 8.460421e-03 	 
-4.836787e-01 	 1.616193e-02 	-4.836787e-01 	 8.329599e-03 	 
-4.830884e-01 	 1.630758e-02 	-4.830884e-01 	 7.271362e-03 	 
-4.823968e-01 	 1.495082e-02 	-4.823968e-01 	 5.166691e-03 	 
-4.816078e-01 	 1.311072e-02 	-4.816078e-01 	 3.176582e-03 	 
-4.807713e-01 	 1.062898e-02 	-4.807713e-01 	 1.301658e-03 	 
-4.799334e-01 	 8.131579e-03 	-4.799334e-01 	 8.650307e-05 	 
-4.790923e-01 	 5.821564e-03 	-4.790923e-01 	 -5.995187e-04 	 
-4.782468e-01 	 3.715950e-03 	-4.782468e-01 	 -1.033710e-03 	 
-4.773954e-01 	 2.078661e-03 	-4.773954e-01 	 -1.228129e-03 	 
-4.765367e-01 	 8.094357e-04 	-4.765367e-01 	 -1.340761e-03 	 
-4.756693e-01 	 -2.984745e-05 	-4.756693e-01 	 -1.286163e-03 	 
-4.747918e-01 	 -5.484949e-04 	-4.747918e-01 	 -1.152915e-03 	 
-4.739030e-01 	 -8.794743e-04 	-4.739030e-01 	 -9.981677e-04 	 
-4.730016e-01 	 -1.107816e-03 	-4.730016e-01 	 -8.257524e-04 	 
-4.720862e-01 	 -1.313027e-03 	-4.720862e-01 	 -6.800235e-04 	 
-4.711557e-01 	 -1.439927e-03 	-4.711557e-01 	 -5.402414e-04 	 
-4.702089e-01 	 -1.457139e-03 	-4.702089e-01 	 -4.240869e-04 	 
-4.692445e-01 	 -1.379823e-03 	-4.692445e-01 	 -3.382771e-04 	 
-4.682615e-01 	 -1.246095e-03 	-4.682615e-01 	 -2.622038e-04 	 
-4.672586e-01 	 -1.103024e-03 	-4.672586e-01 	 -1.784820e-04 	 
-4.662348e-01 	 -9.714182e-04 	-4.662348e-01 	 -8.539345e-05 	 
