f	SCd	
0.000000e+00 	 5.153874e-05 	 
2.830795e-02 	 9.088591e-05 	 
5.661591e-02 	 8.889286e-05 	 
8.492386e-02 	 8.447337e-05 	 
1.132318e-01 	 8.980053e-05 	 
1.415398e-01 	 4.319755e-05 	 
1.698477e-01 	 9.790797e-06 	 
1.981557e-01 	 4.284722e-06 	 
2.264636e-01 	 2.242472e-06 	 
2.547716e-01 	 2.785118e-06 	 
2.830795e-01 	 1.210778e-06 	 
3.113875e-01 	 8.188748e-07 	 
3.396955e-01 	 5.953460e-07 	 
3.680034e-01 	 5.285771e-07 	 
3.963114e-01 	 1.003362e-06 	 
4.246193e-01 	 4.625947e-07 	 
4.529273e-01 	 1.426330e-07 	 
4.812352e-01 	 2.141894e-07 	 
5.095432e-01 	 1.132789e-07 	 
5.378511e-01 	 7.358719e-08 	 
5.661591e-01 	 6.425117e-08 	 
5.944671e-01 	 1.887084e-07 	 
6.227750e-01 	 1.605694e-07 	 
6.510830e-01 	 6.589656e-08 	 
6.793909e-01 	 2.024377e-07 	 
7.076989e-01 	 1.242906e-07 	 
7.360068e-01 	 1.687939e-08 	 
7.643148e-01 	 2.228054e-08 	 
7.926227e-01 	 4.657549e-08 	 
8.209307e-01 	 1.182402e-07 	 
8.492386e-01 	 9.979617e-08 	 
8.775466e-01 	 4.044505e-08 	 
9.058546e-01 	 2.885343e-08 	 
9.341625e-01 	 1.854286e-08 	 
9.624705e-01 	 2.062987e-08 	 
9.907784e-01 	 1.242092e-08 	 
1.019086e+00 	 1.534061e-08 	 
1.047394e+00 	 1.544463e-08 	 
1.075702e+00 	 1.099348e-08 	 
1.104010e+00 	 1.295480e-08 	 
1.132318e+00 	 1.939730e-08 	 
1.160626e+00 	 1.504619e-08 	 
1.188934e+00 	 1.458536e-08 	 
1.217242e+00 	 1.490354e-08 	 
1.245550e+00 	 7.039006e-09 	 
1.273858e+00 	 8.068270e-09 	 
1.302166e+00 	 1.417094e-08 	 
1.330474e+00 	 7.367905e-09 	 
