x0	T1	x1	T2	x2	T3	
-4.850296e-01 	 2.703028e-02 	-4.850296e-01 	 2.705932e-02 	-4.850296e-01 	 2.253913e-02 	 
-4.849759e-01 	 8.400764e-04 	-4.849759e-01 	 8.520802e-04 	-4.849759e-01 	 -8.471210e-04 	 
-4.848141e-01 	 5.959115e-03 	-4.848141e-01 	 5.979542e-03 	-4.848141e-01 	 2.560272e-03 	 
-4.845435e-01 	 1.424147e-02 	-4.845435e-01 	 1.427262e-02 	-4.845435e-01 	 8.334394e-03 	 
-4.841645e-01 	 1.583417e-02 	-4.841645e-01 	 1.587035e-02 	-4.841645e-01 	 8.088661e-03 	 
-4.836787e-01 	 1.733833e-02 	-4.836787e-01 	 1.737687e-02 	-4.836787e-01 	 7.908458e-03 	 
-4.830884e-01 	 1.769796e-02 	-4.830884e-01 	 1.773614e-02 	-4.830884e-01 	 6.839173e-03 	 
-4.823968e-01 	 1.654218e-02 	-4.823968e-01 	 1.657680e-02 	-4.823968e-01 	 4.779922e-03 	 
-4.816078e-01 	 1.486637e-02 	-4.816078e-01 	 1.489478e-02 	-4.816078e-01 	 2.857323e-03 	 
-4.807713e-01 	 1.248853e-02 	-4.807713e-01 	 1.250854e-02 	-4.807713e-01 	 1.082353e-03 	 
-4.799334e-01 	 1.000304e-02 	-4.799334e-01 	 1.001323e-02 	-4.799334e-01 	 -3.524185e-05 	 
-4.790923e-01 	 7.612878e-03 	-4.790923e-01 	 7.612591e-03 	-4.790923e-01 	 -6.570409e-04 	 
-4.782468e-01 	 5.333041e-03 	-4.782468e-01 	 5.321272e-03 	-4.782468e-01 	 -1.055859e-03 	 
-4.773954e-01 	 3.443443e-03 	-4.773954e-01 	 3.418355e-03 	-4.773954e-01 	 -1.225895e-03 	 
-4.765367e-01 	 1.876949e-03 	-4.765367e-01 	 1.835646e-03 	-4.765367e-01 	 -1.304041e-03 	 
-4.756693e-01 	 7.406776e-04 	-4.756693e-01 	 6.807947e-04 	-4.756693e-01 	 -1.216465e-03 	 
-4.747918e-01 	 -2.331670e-05 	-4.747918e-01 	 -1.016489e-04 	-4.747918e-01 	 -1.063105e-03 	 
-4.739030e-01 	 -5.114463e-04 	-4.739030e-01 	 -6.020017e-04 	-4.739030e-01 	 -9.010690e-04 	 
-4.730016e-01 	 -8.162404e-04 	-4.730016e-01 	 -8.988922e-04 	-4.730016e-01 	 -7.345704e-04 	 
-4.720862e-01 	 -1.087445e-03 	-4.720862e-01 	 -1.131079e-03 	-4.720862e-01 	 -6.097009e-04 	 
-4.711557e-01 	 -1.340589e-03 	-4.711557e-01 	 -1.324878e-03 	-4.711557e-01 	 -5.058468e-04 	 
-4.702089e-01 	 -1.527341e-03 	-4.702089e-01 	 -1.455956e-03 	-4.702089e-01 	 -4.258782e-04 	 
-4.692445e-01 	 -1.591413e-03 	-4.692445e-01 	 -1.476686e-03 	-4.692445e-01 	 -3.573589e-04 	 
-4.682615e-01 	 -1.533143e-03 	-4.682615e-01 	 -1.384205e-03 	-4.682615e-01 	 -2.715489e-04 	 
-4.672586e-01 	 -1.404467e-03 	-4.672586e-01 	 -1.238255e-03 	-4.672586e-01 	 -1.703093e-04 	 
-4.662348e-01 	 -1.238023e-03 	-4.662348e-01 	 -1.086242e-03 	-4.662348e-01 	 -7.383342e-05 	 
-4.651891e-01 	 -1.056041e-03 	-4.651891e-01 	 -9.530942e-04 	-4.651891e-01 	 2.496285e-05 	 
-4.641204e-01 	 -8.637656e-04 	-4.641204e-01 	 -8.296387e-04 	-4.641204e-01 	 1.864052e-04 	 
-4.630276e-01 	 -6.506060e-04 	-4.630276e-01 	 -6.805432e-04 	-4.630276e-01 	 4.186471e-04 	 
-4.619098e-01 	 -4.119835e-04 	-4.619098e-01 	 -4.793231e-04 	-4.619098e-01 	 6.795237e-04 	 
-4.607660e-01 	 -1.510197e-04 	-4.607660e-01 	 -2.312783e-04 	-4.607660e-01 	 9.580278e-04 	 
-4.595954e-01 	 1.164832e-04 	-4.595954e-01 	 1.900739e-05 	-4.595954e-01 	 1.206538e-03 	 
-4.583969e-01 	 3.739628e-04 	-4.583969e-01 	 2.286869e-04 	-4.583969e-01 	 1.348676e-03 	 
-4.571696e-01 	 6.061162e-04 	-4.571696e-01 	 3.929333e-04 	-4.571696e-01 	 1.385237e-03 	 
-4.559128e-01 	 8.023005e-04 	-4.559128e-01 	 5.363782e-04 	-4.559128e-01 	 1.383143e-03 	 
-4.546255e-01 	 9.553607e-04 	-4.546255e-01 	 6.697018e-04 	-4.546255e-01 	 1.373688e-03 	 
-4.533070e-01 	 1.064236e-03 	-4.533070e-01 	 7.844046e-04 	-4.533070e-01 	 1.350773e-03 	 
-4.519565e-01 	 1.144094e-03 	-4.519565e-01 	 8.938216e-04 	-4.519565e-01 	 1.336265e-03 	 
-4.505733e-01 	 1.203477e-03 	-4.505733e-01 	 1.010479e-03 	-4.505733e-01 	 1.346972e-03 	 
