f	scd	
0.000000e+00 	 5.550635e-05 	 
3.397096e-02 	 6.374831e-04 	 
6.794193e-02 	 5.510529e-04 	 
1.019129e-01 	 6.010417e-04 	 
1.358839e-01 	 5.235825e-04 	 
1.698548e-01 	 1.566985e-04 	 
2.038258e-01 	 4.481848e-05 	 
2.377968e-01 	 2.189837e-05 	 
2.717677e-01 	 1.073741e-05 	 
3.057387e-01 	 7.561469e-06 	 
3.397096e-01 	 1.377109e-05 	 
3.736806e-01 	 1.081174e-05 	 
4.076516e-01 	 4.842912e-06 	 
4.416225e-01 	 4.950905e-06 	 
4.755935e-01 	 3.570845e-06 	 
5.095645e-01 	 2.031946e-06 	 
5.435354e-01 	 8.520782e-07 	 
5.775064e-01 	 7.423639e-07 	 
6.114774e-01 	 1.179738e-06 	 
6.454483e-01 	 8.079644e-07 	 
6.794193e-01 	 6.935811e-07 	 
7.133903e-01 	 5.822984e-07 	 
7.473612e-01 	 8.818740e-07 	 
7.813322e-01 	 5.307051e-07 	 
8.153032e-01 	 5.653478e-07 	 
8.492741e-01 	 5.085793e-07 	 
8.832451e-01 	 2.707446e-07 	 
9.172161e-01 	 1.468728e-07 	 
9.511870e-01 	 1.906612e-07 	 
9.851580e-01 	 1.232724e-07 	 
1.019129e+00 	 1.642940e-07 	 
1.053100e+00 	 2.462562e-07 	 
1.087071e+00 	 1.489974e-07 	 
1.121042e+00 	 1.461601e-07 	 
1.155013e+00 	 9.830161e-08 	 
1.188984e+00 	 8.158041e-08 	 
1.222955e+00 	 5.017120e-08 	 
1.256926e+00 	 6.124582e-08 	 
1.290897e+00 	 1.029874e-07 	 
1.324868e+00 	 6.647036e-08 	 
1.358839e+00 	 6.097091e-08 	 
1.392810e+00 	 1.378944e-07 	 
1.426781e+00 	 5.510126e-08 	 
1.460751e+00 	 1.097860e-07 	 
1.494722e+00 	 1.822186e-07 	 
1.528693e+00 	 1.202265e-07 	 
1.562664e+00 	 4.303365e-08 	 
1.596635e+00 	 9.002497e-08 	 
1.630606e+00 	 1.082431e-07 	 
1.664577e+00 	 1.366923e-07 	 
1.698548e+00 	 5.828436e-08 	 
1.732519e+00 	 4.685630e-08 	 
1.766490e+00 	 4.589012e-08 	 
1.800461e+00 	 1.222476e-08 	 
1.834432e+00 	 3.433596e-08 	 
1.868403e+00 	 4.246885e-08 	 
1.902374e+00 	 1.966181e-08 	 
1.936345e+00 	 2.319374e-08 	 
1.970316e+00 	 2.120283e-08 	 
2.004287e+00 	 2.222068e-08 	 
2.038258e+00 	 3.872818e-08 	 
2.072229e+00 	 3.106921e-08 	 
2.106200e+00 	 1.487548e-08 	 
2.140171e+00 	 1.963375e-08 	 
2.174142e+00 	 2.892148e-08 	 
2.208113e+00 	 1.771105e-08 	 
2.242084e+00 	 1.966945e-08 	 
2.276055e+00 	 6.748031e-09 	 
2.310026e+00 	 8.574164e-09 	 
2.343997e+00 	 1.182449e-08 	 
2.377968e+00 	 4.294979e-09 	 
2.411939e+00 	 4.498103e-09 	 
2.445909e+00 	 3.554414e-09 	 
2.479880e+00 	 4.279811e-09 	 
2.513851e+00 	 9.403720e-09 	 
2.547822e+00 	 1.324832e-08 	 
2.581793e+00 	 1.461923e-08 	 
2.615764e+00 	 1.111797e-08 	 
2.649735e+00 	 1.335588e-08 	 
2.683706e+00 	 1.394876e-08 	 
2.717677e+00 	 5.902396e-09 	 
2.751648e+00 	 3.909889e-09 	 
2.785619e+00 	 6.744552e-09 	 
2.819590e+00 	 5.540066e-09 	 
2.853561e+00 	 4.318323e-09 	 
2.887532e+00 	 4.973810e-09 	 
2.921503e+00 	 4.597922e-09 	 
2.955474e+00 	 2.345823e-09 	 
2.989445e+00 	 2.941243e-09 	 
3.023416e+00 	 6.740335e-09 	 
3.057387e+00 	 6.759890e-09 	 
3.091358e+00 	 5.811083e-09 	 
3.125329e+00 	 5.871414e-09 	 
3.159300e+00 	 7.937335e-09 	 
3.193271e+00 	 6.708548e-09 	 
3.227242e+00 	 3.325804e-09 	 
3.261213e+00 	 6.314607e-09 	 
3.295184e+00 	 4.979156e-09 	 
3.329155e+00 	 2.222740e-09 	 
3.363126e+00 	 3.984931e-09 	 
3.397096e+00 	 3.665089e-09 	 
3.431067e+00 	 4.543780e-09 	 
3.465038e+00 	 1.010004e-08 	 
3.499009e+00 	 4.744960e-09 	 
3.532980e+00 	 3.232495e-09 	 
3.566951e+00 	 3.005918e-09 	 
3.600922e+00 	 3.840880e-09 	 
3.634893e+00 	 3.672528e-09 	 
3.668864e+00 	 5.388560e-09 	 
3.702835e+00 	 3.844439e-09 	 
3.736806e+00 	 1.023686e-09 	 
3.770777e+00 	 2.075143e-09 	 
3.804748e+00 	 3.897728e-09 	 
3.838719e+00 	 2.566671e-09 	 
3.872690e+00 	 2.021644e-09 	 
3.906661e+00 	 2.073022e-09 	 
3.940632e+00 	 6.825537e-10 	 
3.974603e+00 	 7.501684e-10 	 
4.008574e+00 	 1.615526e-09 	 
4.042545e+00 	 2.745368e-09 	 
4.076516e+00 	 3.376608e-09 	 
4.110487e+00 	 1.209776e-09 	 
4.144458e+00 	 2.400789e-09 	 
4.178429e+00 	 1.484502e-09 	 
4.212400e+00 	 2.599370e-09 	 
4.246371e+00 	 2.694342e-09 	 
4.280342e+00 	 1.414379e-09 	 
4.314313e+00 	 4.367543e-10 	 
4.348284e+00 	 8.104376e-10 	 
4.382254e+00 	 8.645679e-10 	 
4.416225e+00 	 8.037740e-10 	 
4.450196e+00 	 2.024046e-10 	 
4.484167e+00 	 1.695420e-09 	 
4.518138e+00 	 1.816639e-09 	 
4.552109e+00 	 1.272698e-09 	 
4.586080e+00 	 8.751477e-10 	 
4.620051e+00 	 7.130947e-10 	 
4.654022e+00 	 1.165454e-09 	 
4.687993e+00 	 9.372851e-10 	 
4.721964e+00 	 6.745183e-10 	 
4.755935e+00 	 1.198499e-09 	 
4.789906e+00 	 2.430187e-09 	 
4.823877e+00 	 1.476509e-09 	 
4.857848e+00 	 4.041542e-10 	 
4.891819e+00 	 8.576606e-10 	 
4.925790e+00 	 1.937740e-09 	 
4.959761e+00 	 1.259978e-09 	 
4.993732e+00 	 9.790948e-10 	 
5.027703e+00 	 7.938930e-10 	 
5.061674e+00 	 2.266194e-10 	 
5.095645e+00 	 9.163051e-10 	 
5.129616e+00 	 6.869932e-10 	 
5.163587e+00 	 3.028160e-10 	 
5.197558e+00 	 3.277515e-10 	 
5.231529e+00 	 4.823401e-10 	 
5.265500e+00 	 2.875851e-10 	 
5.299471e+00 	 1.662911e-10 	 
5.333441e+00 	 4.341768e-10 	 
5.367412e+00 	 7.585727e-10 	 
5.401383e+00 	 3.999814e-10 	 
5.435354e+00 	 2.053315e-10 	 
5.469325e+00 	 3.253670e-10 	 
5.503296e+00 	 2.973739e-10 	 
5.537267e+00 	 4.756477e-10 	 
5.571238e+00 	 5.141241e-10 	 
5.605209e+00 	 3.212598e-10 	 
5.639180e+00 	 2.885673e-10 	 
5.673151e+00 	 7.372885e-10 	 
5.707122e+00 	 9.717692e-10 	 
5.741093e+00 	 5.147030e-10 	 
5.775064e+00 	 2.931806e-10 	 
5.809035e+00 	 5.672884e-10 	 
5.843006e+00 	 5.251895e-10 	 
5.876977e+00 	 2.546338e-10 	 
5.910948e+00 	 2.362201e-10 	 
5.944919e+00 	 3.252125e-10 	 
5.978890e+00 	 4.100338e-10 	 
6.012861e+00 	 5.915377e-10 	 
6.046832e+00 	 3.993221e-10 	 
6.080803e+00 	 2.581618e-10 	 
6.114774e+00 	 3.128836e-10 	 
6.148745e+00 	 4.888620e-10 	 
6.182716e+00 	 3.154611e-10 	 
6.216687e+00 	 4.553067e-10 	 
6.250658e+00 	 8.100237e-10 	 
6.284629e+00 	 5.370931e-10 	 
6.318599e+00 	 3.119439e-10 	 
6.352570e+00 	 1.194905e-10 	 
6.386541e+00 	 8.794886e-11 	 
6.420512e+00 	 2.583680e-10 	 
6.454483e+00 	 7.766583e-11 	 
6.488454e+00 	 2.662941e-10 	 
6.522425e+00 	 2.890458e-10 	 
6.556396e+00 	 2.059440e-10 	 
6.590367e+00 	 2.170213e-10 	 
6.624338e+00 	 2.472282e-10 	 
6.658309e+00 	 1.973881e-10 	 
6.692280e+00 	 2.689850e-10 	 
6.726251e+00 	 5.478384e-10 	 
6.760222e+00 	 3.957778e-10 	 
6.794193e+00 	 3.624871e-10 	 
6.828164e+00 	 2.098304e-10 	 
6.862135e+00 	 1.003469e-10 	 
6.896106e+00 	 4.904933e-10 	 
6.930077e+00 	 3.563866e-10 	 
6.964048e+00 	 2.055187e-10 	 
6.998019e+00 	 5.158638e-11 	 
