f	scl	
0.000000e+00 	 5.868414e-04 	 
3.397096e-02 	 4.904454e-03 	 
6.794193e-02 	 5.424822e-03 	 
1.019129e-01 	 2.161043e-03 	 
1.358839e-01 	 1.818716e-03 	 
1.698548e-01 	 5.707329e-04 	 
2.038258e-01 	 2.909561e-04 	 
2.377968e-01 	 1.077661e-04 	 
2.717677e-01 	 4.168637e-05 	 
3.057387e-01 	 2.280695e-05 	 
3.397096e-01 	 5.499195e-05 	 
3.736806e-01 	 3.486796e-05 	 
4.076516e-01 	 8.245123e-06 	 
4.416225e-01 	 6.366146e-06 	 
4.755935e-01 	 4.990502e-06 	 
5.095645e-01 	 5.119033e-06 	 
5.435354e-01 	 3.659351e-06 	 
5.775064e-01 	 3.884406e-06 	 
6.114774e-01 	 2.878268e-06 	 
6.454483e-01 	 1.541580e-06 	 
6.794193e-01 	 1.044701e-06 	 
7.133903e-01 	 6.427052e-07 	 
7.473612e-01 	 1.728302e-06 	 
7.813322e-01 	 7.521543e-07 	 
8.153032e-01 	 6.842916e-07 	 
8.492741e-01 	 5.807182e-07 	 
8.832451e-01 	 6.762678e-07 	 
9.172161e-01 	 4.177054e-07 	 
9.511870e-01 	 4.008138e-07 	 
9.851580e-01 	 3.606401e-07 	 
1.019129e+00 	 2.079705e-07 	 
1.053100e+00 	 4.263126e-07 	 
1.087071e+00 	 4.164187e-07 	 
1.121042e+00 	 3.093477e-07 	 
1.155013e+00 	 2.339360e-07 	 
1.188984e+00 	 2.821331e-07 	 
1.222955e+00 	 2.065309e-07 	 
1.256926e+00 	 2.095820e-07 	 
1.290897e+00 	 2.946557e-07 	 
1.324868e+00 	 1.685083e-07 	 
1.358839e+00 	 1.221523e-07 	 
1.392810e+00 	 2.223058e-07 	 
1.426781e+00 	 1.499196e-07 	 
1.460751e+00 	 2.418026e-07 	 
1.494722e+00 	 4.281471e-07 	 
1.528693e+00 	 4.780409e-07 	 
1.562664e+00 	 1.346848e-07 	 
1.596635e+00 	 2.212750e-07 	 
1.630606e+00 	 3.069238e-07 	 
1.664577e+00 	 2.348954e-07 	 
1.698548e+00 	 1.283419e-07 	 
1.732519e+00 	 2.015455e-07 	 
1.766490e+00 	 1.575963e-07 	 
1.800461e+00 	 5.814623e-08 	 
1.834432e+00 	 6.338062e-08 	 
1.868403e+00 	 1.068361e-07 	 
1.902374e+00 	 6.616837e-08 	 
1.936345e+00 	 2.203595e-08 	 
1.970316e+00 	 6.398712e-08 	 
2.004287e+00 	 6.218309e-08 	 
2.038258e+00 	 6.692740e-08 	 
2.072229e+00 	 8.294463e-08 	 
2.106200e+00 	 6.658801e-08 	 
2.140171e+00 	 1.194828e-07 	 
2.174142e+00 	 1.648637e-07 	 
2.208113e+00 	 1.133433e-07 	 
2.242084e+00 	 1.409087e-07 	 
2.276055e+00 	 7.248537e-08 	 
2.310026e+00 	 4.418603e-08 	 
2.343997e+00 	 5.103066e-08 	 
2.377968e+00 	 3.006408e-08 	 
2.411939e+00 	 4.411963e-08 	 
2.445909e+00 	 7.195340e-08 	 
2.479880e+00 	 3.147140e-08 	 
2.513851e+00 	 4.935160e-08 	 
2.547822e+00 	 7.536651e-08 	 
2.581793e+00 	 5.411966e-08 	 
2.615764e+00 	 2.952219e-08 	 
2.649735e+00 	 2.989598e-08 	 
2.683706e+00 	 3.244855e-08 	 
2.717677e+00 	 2.327823e-08 	 
2.751648e+00 	 1.447130e-08 	 
2.785619e+00 	 2.087407e-08 	 
2.819590e+00 	 3.026861e-08 	 
2.853561e+00 	 2.918569e-08 	 
2.887532e+00 	 4.867355e-08 	 
2.921503e+00 	 4.587634e-08 	 
2.955474e+00 	 2.497868e-08 	 
2.989445e+00 	 1.772014e-08 	 
3.023416e+00 	 3.187770e-08 	 
3.057387e+00 	 3.815380e-08 	 
3.091358e+00 	 2.314985e-08 	 
3.125329e+00 	 1.372345e-08 	 
3.159300e+00 	 2.763224e-08 	 
3.193271e+00 	 4.350434e-08 	 
3.227242e+00 	 3.178477e-08 	 
3.261213e+00 	 2.246706e-08 	 
3.295184e+00 	 2.309702e-08 	 
3.329155e+00 	 3.166775e-08 	 
3.363126e+00 	 3.529188e-08 	 
3.397096e+00 	 2.110608e-08 	 
3.431067e+00 	 1.801898e-08 	 
3.465038e+00 	 3.399924e-08 	 
3.499009e+00 	 2.166164e-08 	 
3.532980e+00 	 3.083479e-08 	 
3.566951e+00 	 2.091457e-08 	 
3.600922e+00 	 2.905033e-08 	 
3.634893e+00 	 2.731077e-08 	 
3.668864e+00 	 2.358986e-08 	 
3.702835e+00 	 1.287411e-08 	 
3.736806e+00 	 6.281650e-09 	 
3.770777e+00 	 1.775342e-08 	 
3.804748e+00 	 3.606816e-08 	 
3.838719e+00 	 1.571814e-08 	 
3.872690e+00 	 6.358728e-09 	 
3.906661e+00 	 5.223100e-09 	 
3.940632e+00 	 5.734896e-09 	 
3.974603e+00 	 7.081585e-09 	 
4.008574e+00 	 1.435588e-08 	 
4.042545e+00 	 1.979549e-08 	 
4.076516e+00 	 1.940040e-08 	 
4.110487e+00 	 1.342243e-08 	 
4.144458e+00 	 2.970508e-08 	 
4.178429e+00 	 2.015752e-08 	 
4.212400e+00 	 2.633594e-08 	 
4.246371e+00 	 1.942781e-08 	 
4.280342e+00 	 9.099797e-09 	 
4.314313e+00 	 1.002393e-08 	 
4.348284e+00 	 5.200404e-09 	 
4.382254e+00 	 4.693244e-09 	 
4.416225e+00 	 6.402315e-09 	 
4.450196e+00 	 2.967407e-09 	 
4.484167e+00 	 1.065044e-08 	 
4.518138e+00 	 1.347664e-08 	 
4.552109e+00 	 1.898846e-08 	 
4.586080e+00 	 1.565462e-08 	 
4.620051e+00 	 3.747332e-09 	 
4.654022e+00 	 6.543278e-09 	 
4.687993e+00 	 7.757430e-09 	 
4.721964e+00 	 1.019850e-08 	 
4.755935e+00 	 1.735702e-08 	 
4.789906e+00 	 2.115577e-08 	 
4.823877e+00 	 1.131579e-08 	 
4.857848e+00 	 4.992531e-09 	 
4.891819e+00 	 5.113781e-09 	 
4.925790e+00 	 7.267195e-09 	 
4.959761e+00 	 5.279926e-09 	 
4.993732e+00 	 1.179111e-08 	 
5.027703e+00 	 8.436720e-09 	 
5.061674e+00 	 4.115669e-09 	 
5.095645e+00 	 7.032609e-09 	 
5.129616e+00 	 8.001904e-09 	 
5.163587e+00 	 4.384675e-09 	 
5.197558e+00 	 2.737215e-09 	 
5.231529e+00 	 3.388433e-09 	 
5.265500e+00 	 5.318849e-09 	 
5.299471e+00 	 3.187773e-09 	 
5.333441e+00 	 4.407233e-09 	 
5.367412e+00 	 8.295480e-09 	 
5.401383e+00 	 6.528699e-09 	 
5.435354e+00 	 4.326614e-09 	 
5.469325e+00 	 6.183949e-09 	 
5.503296e+00 	 4.384700e-09 	 
5.537267e+00 	 3.266037e-09 	 
5.571238e+00 	 3.046471e-09 	 
5.605209e+00 	 3.203449e-09 	 
5.639180e+00 	 4.216889e-09 	 
5.673151e+00 	 1.040862e-08 	 
5.707122e+00 	 1.212274e-08 	 
5.741093e+00 	 3.678053e-09 	 
5.775064e+00 	 2.043597e-09 	 
5.809035e+00 	 6.355146e-09 	 
5.843006e+00 	 7.108814e-09 	 
5.876977e+00 	 4.398697e-09 	 
5.910948e+00 	 4.842666e-09 	 
5.944919e+00 	 8.496903e-09 	 
5.978890e+00 	 6.956894e-09 	 
6.012861e+00 	 1.063265e-08 	 
6.046832e+00 	 7.732739e-09 	 
6.080803e+00 	 4.375920e-09 	 
6.114774e+00 	 5.605391e-09 	 
6.148745e+00 	 5.932509e-09 	 
6.182716e+00 	 4.622761e-09 	 
6.216687e+00 	 9.234072e-09 	 
6.250658e+00 	 1.082187e-08 	 
6.284629e+00 	 5.539944e-09 	 
6.318599e+00 	 4.924870e-09 	 
6.352570e+00 	 3.237512e-09 	 
6.386541e+00 	 2.473793e-09 	 
6.420512e+00 	 1.302480e-09 	 
6.454483e+00 	 1.730118e-09 	 
6.488454e+00 	 3.473907e-09 	 
6.522425e+00 	 4.238121e-09 	 
6.556396e+00 	 2.177083e-09 	 
6.590367e+00 	 1.869269e-09 	 
6.624338e+00 	 2.519239e-09 	 
6.658309e+00 	 1.933143e-09 	 
6.692280e+00 	 2.343678e-09 	 
6.726251e+00 	 5.301986e-09 	 
6.760222e+00 	 3.606652e-09 	 
6.794193e+00 	 3.808870e-09 	 
6.828164e+00 	 5.693635e-09 	 
6.862135e+00 	 3.552465e-09 	 
6.896106e+00 	 7.179987e-09 	 
6.930077e+00 	 5.247609e-09 	 
6.964048e+00 	 2.374276e-09 	 
6.998019e+00 	 5.310779e-10 	 
