f	SCl	
0.000000e+00 	 3.654293e-04 	 
3.397025e-02 	 1.094721e-03 	 
6.794050e-02 	 6.420428e-04 	 
1.019108e-01 	 2.360267e-04 	 
1.358810e-01 	 9.911884e-05 	 
1.698513e-01 	 2.118635e-04 	 
2.038215e-01 	 3.216641e-04 	 
2.377918e-01 	 5.620216e-05 	 
2.717620e-01 	 1.898279e-05 	 
3.057323e-01 	 2.244763e-05 	 
3.397025e-01 	 7.391626e-06 	 
3.736728e-01 	 2.480798e-05 	 
4.076430e-01 	 2.869967e-05 	 
4.416133e-01 	 1.135696e-05 	 
4.755835e-01 	 5.577831e-06 	 
5.095538e-01 	 3.190527e-06 	 
5.435240e-01 	 4.130722e-06 	 
5.774943e-01 	 7.620315e-06 	 
6.114645e-01 	 5.778919e-06 	 
6.454348e-01 	 3.480666e-06 	 
6.794050e-01 	 1.156574e-06 	 
7.133753e-01 	 2.228783e-06 	 
7.473455e-01 	 1.517730e-06 	 
7.813158e-01 	 3.632655e-06 	 
8.152860e-01 	 3.358361e-06 	 
8.492563e-01 	 1.229478e-06 	 
8.832265e-01 	 1.043264e-06 	 
9.171968e-01 	 1.221428e-06 	 
9.511670e-01 	 1.348548e-06 	 
9.851373e-01 	 1.949422e-06 	 
1.019108e+00 	 1.323199e-06 	 
1.053078e+00 	 1.038082e-06 	 
1.087048e+00 	 8.701315e-07 	 
1.121018e+00 	 6.901675e-07 	 
1.154989e+00 	 8.797504e-08 	 
1.188959e+00 	 4.204272e-07 	 
1.222929e+00 	 7.906959e-07 	 
1.256899e+00 	 4.878209e-07 	 
1.290870e+00 	 5.224035e-07 	 
1.324840e+00 	 4.498713e-07 	 
1.358810e+00 	 1.456705e-07 	 
1.392780e+00 	 3.240507e-07 	 
1.426751e+00 	 4.902162e-07 	 
1.460721e+00 	 2.963384e-07 	 
1.494691e+00 	 1.284043e-07 	 
1.528661e+00 	 1.826875e-07 	 
1.562632e+00 	 1.546379e-07 	 
1.596602e+00 	 1.278100e-07 	 
1.630572e+00 	 8.043775e-08 	 
1.664542e+00 	 1.613691e-07 	 
1.698513e+00 	 2.299163e-07 	 
1.732483e+00 	 2.223778e-07 	 
1.766453e+00 	 8.794194e-08 	 
1.800423e+00 	 1.104592e-08 	 
1.834394e+00 	 8.113454e-08 	 
1.868364e+00 	 1.387984e-07 	 
1.902334e+00 	 6.770153e-08 	 
1.936304e+00 	 5.918569e-08 	 
1.970275e+00 	 4.342301e-08 	 
2.004245e+00 	 1.811153e-08 	 
2.038215e+00 	 3.834822e-08 	 
2.072185e+00 	 6.417716e-08 	 
2.106156e+00 	 4.163259e-08 	 
2.140126e+00 	 1.807163e-08 	 
2.174096e+00 	 2.792221e-08 	 
2.208066e+00 	 1.114232e-08 	 
2.242037e+00 	 2.757101e-08 	 
2.276007e+00 	 2.721381e-08 	 
2.309977e+00 	 2.028535e-08 	 
2.343947e+00 	 7.132285e-08 	 
2.377918e+00 	 3.922285e-08 	 
2.411888e+00 	 4.136407e-08 	 
2.445858e+00 	 6.627987e-08 	 
2.479828e+00 	 3.563206e-08 	 
2.513799e+00 	 1.908356e-08 	 
2.547769e+00 	 1.732663e-08 	 
2.581739e+00 	 1.370027e-08 	 
2.615709e+00 	 9.994994e-09 	 
2.649680e+00 	 1.210201e-08 	 
2.683650e+00 	 9.837513e-09 	 
2.717620e+00 	 5.870949e-09 	 
2.751590e+00 	 7.792746e-09 	 
2.785561e+00 	 4.642335e-09 	 
2.819531e+00 	 1.591870e-08 	 
2.853501e+00 	 1.337683e-08 	 
2.887471e+00 	 4.789450e-09 	 
2.921442e+00 	 3.842914e-09 	 
2.955412e+00 	 6.142896e-09 	 
2.989382e+00 	 5.468718e-09 	 
3.023352e+00 	 8.943053e-09 	 
3.057323e+00 	 1.283618e-08 	 
3.091293e+00 	 4.231238e-09 	 
3.125263e+00 	 2.278673e-09 	 
3.159233e+00 	 6.114678e-09 	 
3.193204e+00 	 1.135763e-08 	 
3.227174e+00 	 8.674582e-09 	 
3.261144e+00 	 4.052255e-09 	 
3.295114e+00 	 3.492432e-09 	 
3.329085e+00 	 3.307283e-09 	 
3.363055e+00 	 4.365039e-09 	 
3.397025e+00 	 6.517645e-09 	 
3.430995e+00 	 4.997491e-09 	 
3.464966e+00 	 1.997934e-09 	 
3.498936e+00 	 4.272669e-09 	 
3.532906e+00 	 3.651046e-09 	 
3.566876e+00 	 4.478128e-09 	 
3.600847e+00 	 4.097339e-09 	 
3.634817e+00 	 5.333910e-09 	 
3.668787e+00 	 4.691536e-09 	 
3.702757e+00 	 2.812948e-09 	 
3.736728e+00 	 1.828481e-09 	 
3.770698e+00 	 2.426394e-09 	 
3.804668e+00 	 3.869730e-09 	 
3.838638e+00 	 5.120981e-09 	 
3.872609e+00 	 5.376728e-09 	 
3.906579e+00 	 5.045885e-09 	 
3.940549e+00 	 2.467592e-09 	 
3.974519e+00 	 1.334035e-09 	 
4.008490e+00 	 4.614989e-09 	 
4.042460e+00 	 4.878936e-09 	 
4.076430e+00 	 1.625867e-09 	 
4.110400e+00 	 1.884679e-09 	 
4.144371e+00 	 2.252717e-09 	 
4.178341e+00 	 2.978763e-09 	 
4.212311e+00 	 2.744270e-09 	 
4.246281e+00 	 2.985059e-09 	 
4.280252e+00 	 2.348429e-09 	 
4.314222e+00 	 1.935384e-09 	 
4.348192e+00 	 1.815778e-10 	 
4.382162e+00 	 1.032407e-09 	 
4.416133e+00 	 2.980379e-09 	 
4.450103e+00 	 3.607746e-09 	 
4.484073e+00 	 2.852308e-09 	 
4.518043e+00 	 9.292920e-10 	 
4.552014e+00 	 1.032130e-09 	 
4.585984e+00 	 7.970768e-10 	 
4.619954e+00 	 1.090122e-09 	 
4.653924e+00 	 1.690798e-09 	 
4.687895e+00 	 8.418538e-10 	 
4.721865e+00 	 1.135199e-09 	 
4.755835e+00 	 1.716629e-09 	 
4.789805e+00 	 1.839603e-09 	 
4.823776e+00 	 8.931747e-10 	 
4.857746e+00 	 5.262867e-10 	 
4.891716e+00 	 6.481317e-10 	 
4.925686e+00 	 3.708060e-10 	 
4.959657e+00 	 5.443641e-10 	 
4.993627e+00 	 7.663779e-10 	 
5.027597e+00 	 3.957694e-10 	 
5.061567e+00 	 1.110987e-10 	 
5.095538e+00 	 3.753554e-10 	 
5.129508e+00 	 3.508110e-10 	 
5.163478e+00 	 6.752612e-10 	 
5.197448e+00 	 5.459273e-10 	 
5.231419e+00 	 2.228799e-10 	 
5.265389e+00 	 4.245323e-10 	 
5.299359e+00 	 3.254630e-10 	 
5.333329e+00 	 2.925200e-10 	 
5.367300e+00 	 5.419130e-10 	 
5.401270e+00 	 6.830338e-10 	 
5.435240e+00 	 2.518024e-10 	 
5.469210e+00 	 4.305921e-10 	 
5.503181e+00 	 4.136380e-10 	 
5.537151e+00 	 4.139616e-10 	 
5.571121e+00 	 3.534847e-10 	 
5.605091e+00 	 4.907304e-10 	 
5.639062e+00 	 7.593398e-10 	 
5.673032e+00 	 5.264504e-10 	 
5.707002e+00 	 4.523221e-10 	 
5.740973e+00 	 2.800913e-10 	 
5.774943e+00 	 3.438015e-10 	 
5.808913e+00 	 6.002169e-10 	 
5.842883e+00 	 4.086137e-10 	 
5.876854e+00 	 4.192038e-10 	 
5.910824e+00 	 4.112300e-10 	 
5.944794e+00 	 5.144601e-10 	 
5.978764e+00 	 7.585098e-10 	 
6.012735e+00 	 5.732193e-10 	 
6.046705e+00 	 6.767616e-10 	 
6.080675e+00 	 8.796425e-10 	 
6.114645e+00 	 6.130099e-10 	 
