x	Cp	
-5.000000e-01 	 -3.382018e-01 	 
-4.999471e-01 	 -7.041006e-01 	 
-4.997877e-01 	 -5.824950e-01 	 
-4.995212e-01 	 -6.583336e-01 	 
-4.991479e-01 	 -6.705032e-01 	 
-4.986692e-01 	 -7.245528e-01 	 
-4.980874e-01 	 -8.053230e-01 	 
-4.974055e-01 	 -8.441418e-01 	 
-4.966272e-01 	 -9.179647e-01 	 
-4.958019e-01 	 -9.566864e-01 	 
-4.949751e-01 	 -9.902050e-01 	 
-4.941451e-01 	 -1.018563e+00 	 
-4.933106e-01 	 -1.028885e+00 	 
-4.924700e-01 	 -1.041489e+00 	 
-4.916220e-01 	 -1.041844e+00 	 
-4.907651e-01 	 -1.040362e+00 	 
-4.898979e-01 	 -1.034404e+00 	 
-4.890191e-01 	 -1.024331e+00 	 
-4.881274e-01 	 -1.013055e+00 	 
-4.872214e-01 	 -9.989529e-01 	 
-4.863000e-01 	 -9.841703e-01 	 
-4.853619e-01 	 -9.686921e-01 	 
-4.844059e-01 	 -9.528285e-01 	 
-4.834308e-01 	 -9.375771e-01 	 
-4.824354e-01 	 -9.228100e-01 	 
-4.814187e-01 	 -9.091330e-01 	 
-4.803795e-01 	 -8.967906e-01 	 
-4.793168e-01 	 -8.858376e-01 	 
-4.782296e-01 	 -8.765126e-01 	 
-4.771168e-01 	 -8.685979e-01 	 
-4.759774e-01 	 -8.619909e-01 	 
-4.748105e-01 	 -8.564514e-01 	 
-4.736151e-01 	 -8.517806e-01 	 
-4.723904e-01 	 -8.479111e-01 	 
-4.711355e-01 	 -8.447142e-01 	 
-4.698495e-01 	 -8.421143e-01 	 
-4.685315e-01 	 -8.399953e-01 	 
-4.671808e-01 	 -8.382550e-01 	 
-4.657966e-01 	 -8.368256e-01 	 
-4.643781e-01 	 -8.356365e-01 	 
-4.629246e-01 	 -8.346491e-01 	 
-4.614355e-01 	 -8.338228e-01 	 
-4.599099e-01 	 -8.331279e-01 	 
-4.583473e-01 	 -8.325470e-01 	 
-4.567470e-01 	 -8.320580e-01 	 
-4.551085e-01 	 -8.316475e-01 	 
-4.534310e-01 	 -8.313040e-01 	 
-4.517142e-01 	 -8.310171e-01 	 
-4.499573e-01 	 -8.307788e-01 	 
-4.481600e-01 	 -8.305831e-01 	 
-4.463216e-01 	 -8.304326e-01 	 
-4.444418e-01 	 -8.303296e-01 	 
-4.425201e-01 	 -8.302753e-01 	 
-4.405560e-01 	 -8.302745e-01 	 
-4.385493e-01 	 -8.303315e-01 	 
-4.364994e-01 	 -8.304460e-01 	 
-4.344059e-01 	 -8.306130e-01 	 
-4.322687e-01 	 -8.308264e-01 	 
-4.300873e-01 	 -8.310782e-01 	 
-4.278614e-01 	 -8.313560e-01 	 
-4.255908e-01 	 -8.316475e-01 	 
-4.232753e-01 	 -8.319449e-01 	 
-4.209144e-01 	 -8.322443e-01 	 
-4.185082e-01 	 -8.325418e-01 	 
-4.160563e-01 	 -8.328338e-01 	 
-4.135585e-01 	 -8.331208e-01 	 
-4.110149e-01 	 -8.334090e-01 	 
-4.084250e-01 	 -8.337034e-01 	 
-4.057890e-01 	 -8.340049e-01 	 
-4.031065e-01 	 -8.343145e-01 	 
-4.003777e-01 	 -8.346299e-01 	 
-3.976024e-01 	 -8.349430e-01 	 
-3.947805e-01 	 -8.352571e-01 	 
-3.919121e-01 	 -8.355883e-01 	 
-3.889972e-01 	 -8.359445e-01 	 
-3.860356e-01 	 -8.363302e-01 	 
-3.830275e-01 	 -8.367508e-01 	 
-3.799730e-01 	 -8.372014e-01 	 
-3.768719e-01 	 -8.376738e-01 	 
-3.737246e-01 	 -8.381592e-01 	 
-3.705310e-01 	 -8.386552e-01 	 
-3.672912e-01 	 -8.391731e-01 	 
-3.640054e-01 	 -8.397096e-01 	 
-3.606737e-01 	 -8.402507e-01 	 
-3.572963e-01 	 -8.407978e-01 	 
-3.538734e-01 	 -8.413504e-01 	 
-3.504051e-01 	 -8.419061e-01 	 
-3.468917e-01 	 -8.424789e-01 	 
-3.433333e-01 	 -8.430801e-01 	 
-3.397303e-01 	 -8.437043e-01 	 
-3.360828e-01 	 -8.443620e-01 	 
-3.323911e-01 	 -8.450672e-01 	 
-3.286555e-01 	 -8.457999e-01 	 
-3.248764e-01 	 -8.465375e-01 	 
-3.210539e-01 	 -8.472564e-01 	 
-3.171885e-01 	 -8.479361e-01 	 
-3.132804e-01 	 -8.486055e-01 	 
-3.093301e-01 	 -8.493020e-01 	 
-3.053378e-01 	 -8.500215e-01 	 
-3.013040e-01 	 -8.507322e-01 	 
-2.972291e-01 	 -8.513884e-01 	 
-2.931134e-01 	 -8.519661e-01 	 
-2.889573e-01 	 -8.524831e-01 	 
-2.847613e-01 	 -8.529442e-01 	 
-2.805259e-01 	 -8.533374e-01 	 
-2.762514e-01 	 -8.536919e-01 	 
-2.719383e-01 	 -8.540366e-01 	 
-2.675872e-01 	 -8.543306e-01 	 
-2.631984e-01 	 -8.545357e-01 	 
-2.587725e-01 	 -8.546933e-01 	 
-2.543100e-01 	 -8.548257e-01 	 
-2.498114e-01 	 -8.548784e-01 	 
-2.452773e-01 	 -8.548263e-01 	 
-2.407081e-01 	 -8.547034e-01 	 
-2.361044e-01 	 -8.545330e-01 	 
-2.314668e-01 	 -8.543261e-01 	 
-2.267958e-01 	 -8.540861e-01 	 
-2.220921e-01 	 -8.537899e-01 	 
-2.173561e-01 	 -8.534247e-01 	 
-2.125886e-01 	 -8.530074e-01 	 
-2.077900e-01 	 -8.525565e-01 	 
-2.029611e-01 	 -8.521049e-01 	 
-1.981024e-01 	 -8.516931e-01 	 
-1.932145e-01 	 -8.513187e-01 	 
-1.882982e-01 	 -8.509493e-01 	 
-1.833540e-01 	 -8.505690e-01 	 
-1.783826e-01 	 -8.501802e-01 	 
-1.733846e-01 	 -8.497910e-01 	 
-1.683608e-01 	 -8.494138e-01 	 
-1.633118e-01 	 -8.490618e-01 	 
-1.582382e-01 	 -8.487389e-01 	 
-1.531409e-01 	 -8.484286e-01 	 
-1.480203e-01 	 -8.481057e-01 	 
-1.428774e-01 	 -8.477821e-01 	 
-1.377127e-01 	 -8.475022e-01 	 
-1.325270e-01 	 -8.472825e-01 	 
-1.273210e-01 	 -8.471090e-01 	 
-1.220955e-01 	 -8.469597e-01 	 
-1.168511e-01 	 -8.468150e-01 	 
-1.115886e-01 	 -8.466811e-01 	 
-1.063087e-01 	 -8.465952e-01 	 
-1.010122e-01 	 -8.466064e-01 	 
