St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	St7	i7	St8	i8	
0.000000e+00 	 1.573171e-06 	0.000000e+00 	 1.176940e-06 	0.000000e+00 	 1.114547e-06 	0.000000e+00 	 1.042271e-06 	0.000000e+00 	 1.612229e-06 	0.000000e+00 	 2.433878e-06 	0.000000e+00 	 2.228920e-06 	0.000000e+00 	 3.798464e-06 	0.000000e+00 	 9.368137e-07 	 
1.060529e-01 	 1.714057e-05 	1.060529e-01 	 1.262067e-05 	1.060529e-01 	 1.161185e-05 	1.060529e-01 	 1.067487e-05 	1.060529e-01 	 1.054199e-05 	1.060529e-01 	 1.765297e-05 	1.060529e-01 	 1.684298e-05 	1.060529e-01 	 2.303630e-05 	1.060529e-01 	 8.037346e-06 	 
2.121058e-01 	 2.269056e-05 	2.121058e-01 	 1.600921e-05 	2.121058e-01 	 1.438765e-05 	2.121058e-01 	 1.288357e-05 	2.121058e-01 	 1.109133e-05 	2.121058e-01 	 1.398050e-05 	2.121058e-01 	 2.024380e-05 	2.121058e-01 	 2.591945e-05 	2.121058e-01 	 1.042185e-05 	 
3.181587e-01 	 2.997987e-06 	3.181587e-01 	 2.107294e-06 	3.181587e-01 	 1.910647e-06 	3.181587e-01 	 1.701082e-06 	3.181587e-01 	 2.975692e-06 	3.181587e-01 	 7.285525e-06 	3.181587e-01 	 1.069041e-05 	3.181587e-01 	 9.192677e-06 	3.181587e-01 	 6.547221e-06 	 
4.242116e-01 	 2.399265e-07 	4.242116e-01 	 1.581777e-07 	4.242116e-01 	 1.348935e-07 	4.242116e-01 	 1.953018e-07 	4.242116e-01 	 1.849200e-06 	4.242116e-01 	 6.002750e-06 	4.242116e-01 	 9.523146e-06 	4.242116e-01 	 5.386990e-06 	4.242116e-01 	 7.485063e-06 	 
5.302645e-01 	 9.533079e-08 	5.302645e-01 	 6.203503e-08 	5.302645e-01 	 4.885795e-08 	5.302645e-01 	 7.796289e-08 	5.302645e-01 	 1.905827e-06 	5.302645e-01 	 5.134355e-06 	5.302645e-01 	 8.375522e-06 	5.302645e-01 	 9.407377e-06 	5.302645e-01 	 9.148681e-06 	 
6.363173e-01 	 5.697189e-08 	6.363173e-01 	 3.715518e-08 	6.363173e-01 	 2.748086e-08 	6.363173e-01 	 5.732149e-08 	6.363173e-01 	 1.571283e-06 	6.363173e-01 	 7.078523e-06 	6.363173e-01 	 7.655942e-06 	6.363173e-01 	 1.487726e-05 	6.363173e-01 	 9.680411e-06 	 
7.423702e-01 	 3.849517e-08 	7.423702e-01 	 2.671392e-08 	7.423702e-01 	 1.670294e-08 	7.423702e-01 	 3.107821e-08 	7.423702e-01 	 1.023603e-06 	7.423702e-01 	 8.209801e-06 	7.423702e-01 	 4.639408e-06 	7.423702e-01 	 1.192734e-05 	7.423702e-01 	 1.220721e-05 	 
8.484231e-01 	 2.075022e-08 	8.484231e-01 	 1.513793e-08 	8.484231e-01 	 9.573795e-09 	8.484231e-01 	 3.546122e-08 	8.484231e-01 	 9.835620e-07 	8.484231e-01 	 8.004726e-06 	8.484231e-01 	 4.666580e-06 	8.484231e-01 	 1.061309e-05 	8.484231e-01 	 1.213925e-05 	 
9.544760e-01 	 1.754207e-08 	9.544760e-01 	 1.347065e-08 	9.544760e-01 	 7.974665e-09 	9.544760e-01 	 5.384655e-08 	9.544760e-01 	 1.118763e-06 	9.544760e-01 	 6.614396e-06 	9.544760e-01 	 8.091330e-06 	9.544760e-01 	 8.176980e-06 	9.544760e-01 	 1.044150e-05 	 
