x0	SCd	
0.000000e+00 	 2.534861e-04 	 
2.817031e-02 	 4.291859e-04 	 
5.634062e-02 	 6.525737e-04 	 
8.451093e-02 	 5.950792e-04 	 
1.126812e-01 	 7.360640e-04 	 
1.408516e-01 	 1.175844e-04 	 
1.690219e-01 	 6.272020e-04 	 
1.971922e-01 	 2.348661e-04 	 
2.253625e-01 	 2.555233e-05 	 
2.535328e-01 	 1.833211e-05 	 
2.817031e-01 	 2.719223e-05 	 
3.098734e-01 	 3.529295e-05 	 
3.380437e-01 	 9.983780e-06 	 
3.662140e-01 	 4.844558e-06 	 
3.943843e-01 	 5.475523e-06 	 
4.225547e-01 	 3.969756e-06 	 
4.507250e-01 	 6.731719e-06 	 
4.788953e-01 	 3.918566e-06 	 
5.070656e-01 	 3.193259e-06 	 
5.352359e-01 	 2.226509e-06 	 
5.634062e-01 	 5.740846e-07 	 
5.915765e-01 	 4.565168e-07 	 
6.197468e-01 	 5.569994e-08 	 
6.479171e-01 	 3.364177e-07 	 
6.760875e-01 	 5.711465e-07 	 
7.042578e-01 	 4.440909e-07 	 
7.324281e-01 	 4.522197e-07 	 
7.605984e-01 	 2.672163e-07 	 
7.887687e-01 	 7.611335e-08 	 
8.169390e-01 	 1.360558e-07 	 
8.451093e-01 	 1.326832e-07 	 
8.732796e-01 	 1.448039e-07 	 
9.014499e-01 	 1.244195e-07 	 
9.296203e-01 	 1.238521e-07 	 
9.577906e-01 	 1.716705e-07 	 
9.859609e-01 	 2.463450e-07 	 
1.014131e+00 	 2.761259e-07 	 
1.042301e+00 	 9.261560e-08 	 
1.070472e+00 	 2.646745e-07 	 
1.098642e+00 	 1.321796e-07 	 
1.126812e+00 	 3.584350e-08 	 
1.154983e+00 	 5.141142e-08 	 
1.183153e+00 	 6.308711e-08 	 
1.211323e+00 	 2.174309e-08 	 
1.239494e+00 	 1.039453e-07 	 
1.267664e+00 	 2.303232e-07 	 
1.295834e+00 	 9.946333e-08 	 
1.324005e+00 	 2.971314e-08 	 
1.352175e+00 	 1.021090e-07 	 
1.380345e+00 	 1.733457e-07 	 
1.408516e+00 	 7.715453e-08 	 
1.436686e+00 	 2.075156e-08 	 
1.464856e+00 	 1.399797e-07 	 
1.493026e+00 	 9.095237e-08 	 
1.521197e+00 	 1.441794e-08 	 
1.549367e+00 	 2.836765e-08 	 
1.577537e+00 	 1.498373e-08 	 
1.605708e+00 	 3.552699e-08 	 
1.633878e+00 	 9.182245e-08 	 
1.662048e+00 	 6.120339e-08 	 
1.690219e+00 	 7.464898e-08 	 
1.718389e+00 	 7.970796e-08 	 
1.746559e+00 	 3.967495e-08 	 
1.774730e+00 	 9.614769e-09 	 
1.802900e+00 	 3.449982e-08 	 
1.831070e+00 	 8.236828e-08 	 
1.859241e+00 	 2.681734e-08 	 
1.887411e+00 	 2.128136e-08 	 
1.915581e+00 	 2.341478e-08 	 
1.943751e+00 	 1.283747e-08 	 
1.971922e+00 	 5.652861e-08 	 
2.000092e+00 	 7.466423e-08 	 
2.028262e+00 	 5.454305e-08 	 
2.056433e+00 	 7.850682e-08 	 
2.084603e+00 	 2.265880e-08 	 
2.112773e+00 	 1.311585e-08 	 
2.140944e+00 	 3.066821e-08 	 
2.169114e+00 	 2.746296e-08 	 
2.197284e+00 	 3.660866e-08 	 
2.225455e+00 	 1.352539e-08 	 
2.253625e+00 	 1.797584e-08 	 
2.281795e+00 	 6.076634e-09 	 
2.309965e+00 	 1.332746e-08 	 
2.338136e+00 	 6.319336e-09 	 
2.366306e+00 	 4.009807e-09 	 
2.394476e+00 	 2.298896e-08 	 
2.422647e+00 	 1.811196e-08 	 
