x0	cdp	x1	cdv	
0.000000e+00 	 2.606516e-01 	0.000000e+00 	 5.677900e-03 	 
1.249000e-01 	 2.594976e-01 	1.249000e-01 	 5.730800e-03 	 
2.499000e-01 	 2.580478e-01 	2.499000e-01 	 5.710800e-03 	 
3.748000e-01 	 2.561854e-01 	3.748000e-01 	 5.697900e-03 	 
5.000000e-01 	 2.549024e-01 	5.000000e-01 	 5.698600e-03 	 
6.250000e-01 	 2.538465e-01 	6.250000e-01 	 5.720200e-03 	 
7.500000e-01 	 2.528451e-01 	7.500000e-01 	 5.727700e-03 	 
8.749000e-01 	 2.518781e-01 	8.749000e-01 	 5.726300e-03 	 
9.999000e-01 	 2.509597e-01 	9.999000e-01 	 5.743600e-03 	 
1.124800e+00 	 2.499467e-01 	1.124800e+00 	 5.739000e-03 	 
1.249900e+00 	 2.493846e-01 	1.249900e+00 	 5.724500e-03 	 
1.374900e+00 	 2.478210e-01 	1.374900e+00 	 5.702600e-03 	 
1.499900e+00 	 2.458626e-01 	1.499900e+00 	 5.698700e-03 	 
1.624900e+00 	 2.443643e-01 	1.624900e+00 	 5.679700e-03 	 
1.750000e+00 	 2.428984e-01 	1.750000e+00 	 5.642100e-03 	 
1.874900e+00 	 2.408428e-01 	1.874900e+00 	 5.621900e-03 	 
1.999900e+00 	 2.399970e-01 	1.999900e+00 	 5.619100e-03 	 
2.124900e+00 	 2.398960e-01 	2.124900e+00 	 5.571000e-03 	 
2.249900e+00 	 2.384724e-01 	2.249900e+00 	 5.554600e-03 	 
2.375000e+00 	 2.354990e-01 	2.375000e+00 	 5.567600e-03 	 
2.499900e+00 	 2.334619e-01 	2.499900e+00 	 5.555500e-03 	 
2.625000e+00 	 2.318138e-01 	2.625000e+00 	 5.556300e-03 	 
2.749900e+00 	 2.301954e-01 	2.749900e+00 	 5.567900e-03 	 
2.874900e+00 	 2.284877e-01 	2.874900e+00 	 5.624600e-03 	 
2.999900e+00 	 2.262210e-01 	2.999900e+00 	 5.634200e-03 	 
3.124900e+00 	 2.245761e-01 	3.124900e+00 	 5.615600e-03 	 
3.249900e+00 	 2.222789e-01 	3.249900e+00 	 5.670600e-03 	 
3.374900e+00 	 2.208040e-01 	3.374900e+00 	 5.671300e-03 	 
3.499900e+00 	 2.197703e-01 	3.499900e+00 	 5.687000e-03 	 
3.624900e+00 	 2.193390e-01 	3.624900e+00 	 5.679200e-03 	 
3.749900e+00 	 2.190277e-01 	3.749900e+00 	 5.677300e-03 	 
3.874900e+00 	 2.195675e-01 	3.874900e+00 	 5.694400e-03 	 
4.000000e+00 	 2.197246e-01 	4.000000e+00 	 5.691700e-03 	 
4.124900e+00 	 2.194374e-01 	4.124900e+00 	 5.633700e-03 	 
4.249900e+00 	 2.193288e-01 	4.249900e+00 	 5.624000e-03 	 
4.374900e+00 	 2.200366e-01 	4.374900e+00 	 5.599700e-03 	 
4.499900e+00 	 2.216602e-01 	4.499900e+00 	 5.594500e-03 	 
4.625000e+00 	 2.235158e-01 	4.625000e+00 	 5.599100e-03 	 
4.750000e+00 	 2.260060e-01 	4.750000e+00 	 5.532600e-03 	 
4.874800e+00 	 2.281403e-01 	4.874800e+00 	 5.446600e-03 	 
5.000000e+00 	 2.302171e-01 	5.000000e+00 	 5.357600e-03 	 
5.125000e+00 	 2.328953e-01 	5.125000e+00 	 5.336500e-03 	 
5.249900e+00 	 2.348993e-01 	5.249900e+00 	 5.296700e-03 	 
5.374900e+00 	 2.380443e-01 	5.374900e+00 	 5.286700e-03 	 
5.499900e+00 	 2.410053e-01 	5.499900e+00 	 5.278100e-03 	 
5.625000e+00 	 2.440164e-01 	5.625000e+00 	 5.317400e-03 	 
5.750000e+00 	 2.465645e-01 	5.750000e+00 	 5.301100e-03 	 
5.875000e+00 	 2.486392e-01 	5.875000e+00 	 5.295700e-03 	 
6.000000e+00 	 2.516802e-01 	6.000000e+00 	 5.268900e-03 	 
6.124900e+00 	 2.547499e-01 	6.124900e+00 	 5.266800e-03 	 
6.249900e+00 	 2.568665e-01 	6.249900e+00 	 5.244500e-03 	 
6.375000e+00 	 2.596805e-01 	6.375000e+00 	 5.240800e-03 	 
6.500000e+00 	 2.619694e-01 	6.500000e+00 	 5.251900e-03 	 
6.625000e+00 	 2.642979e-01 	6.625000e+00 	 5.247800e-03 	 
6.750000e+00 	 2.661585e-01 	6.750000e+00 	 5.267800e-03 	 
6.875000e+00 	 2.680303e-01 	6.875000e+00 	 5.272600e-03 	 
6.999900e+00 	 2.690748e-01 	6.999900e+00 	 5.325300e-03 	 
7.124900e+00 	 2.701510e-01 	7.124900e+00 	 5.363600e-03 	 
7.250000e+00 	 2.717620e-01 	7.250000e+00 	 5.375900e-03 	 
7.374900e+00 	 2.740707e-01 	7.374900e+00 	 5.397900e-03 	 
7.500000e+00 	 2.761497e-01 	7.500000e+00 	 5.446100e-03 	 
7.625000e+00 	 2.782161e-01 	7.625000e+00 	 5.454900e-03 	 
7.749900e+00 	 2.794384e-01 	7.749900e+00 	 5.429300e-03 	 
7.874900e+00 	 2.804782e-01 	7.874900e+00 	 5.495300e-03 	 
8.000000e+00 	 2.812602e-01 	8.000000e+00 	 5.519300e-03 	 
8.125000e+00 	 2.827478e-01 	8.125000e+00 	 5.572900e-03 	 
8.250000e+00 	 2.837618e-01 	8.250000e+00 	 5.586900e-03 	 
8.374900e+00 	 2.842944e-01 	8.374900e+00 	 5.596200e-03 	 
8.499900e+00 	 2.843222e-01 	8.499900e+00 	 5.630900e-03 	 
8.624900e+00 	 2.834419e-01 	8.624900e+00 	 5.662600e-03 	 
8.750000e+00 	 2.834791e-01 	8.750000e+00 	 5.632700e-03 	 
