x0	T1	x1	T2	x2	T3	x3	T4	x4	avg	
-4.850296e-01 	 2.624809e-02 	-4.850296e-01 	 2.633777e-02 	-4.850296e-01 	 2.639728e-02 	-4.850296e-01 	 2.156018e-02 	-5.000000e-01 	 1.958548e-02 	 
-4.849759e-01 	 6.753866e-04 	-4.849759e-01 	 4.378301e-04 	-4.849759e-01 	 7.264549e-04 	-4.849759e-01 	 -9.930577e-04 	-4.999471e-01 	 1.852185e-03 	 
-4.848141e-01 	 5.670463e-03 	-4.848141e-01 	 5.194748e-03 	-4.848141e-01 	 5.768103e-03 	-4.848141e-01 	 2.224585e-03 	-4.997877e-01 	 6.664201e-03 	 
-4.845435e-01 	 1.369690e-02 	-4.845435e-01 	 1.295061e-02 	-4.845435e-01 	 1.386644e-02 	-4.845435e-01 	 7.658892e-03 	-4.995211e-01 	 1.316866e-02 	 
-4.841645e-01 	 1.514798e-02 	-4.841645e-01 	 1.407821e-02 	-4.841645e-01 	 1.536873e-02 	-4.841645e-01 	 7.262078e-03 	-4.991478e-01 	 1.484545e-02 	 
-4.836787e-01 	 1.652669e-02 	-4.836787e-01 	 1.511016e-02 	-4.836787e-01 	 1.679572e-02 	-4.836787e-01 	 6.976439e-03 	-4.986691e-01 	 1.688728e-02 	 
-4.830884e-01 	 1.677709e-02 	-4.830884e-01 	 1.496808e-02 	-4.830884e-01 	 1.709200e-02 	-4.830884e-01 	 5.883879e-03 	-4.980872e-01 	 1.816141e-02 	 
-4.823968e-01 	 1.554738e-02 	-4.823968e-01 	 1.332205e-02 	-4.823968e-01 	 1.590203e-02 	-4.823968e-01 	 3.912568e-03 	-4.974053e-01 	 1.844498e-02 	 
-4.816078e-01 	 1.381574e-02 	-4.816078e-01 	 1.119691e-02 	-4.816078e-01 	 1.420504e-02 	-4.816078e-01 	 2.160666e-03 	-4.966269e-01 	 1.842239e-02 	 
-4.807713e-01 	 1.141611e-02 	-4.807713e-01 	 8.502819e-03 	-4.807713e-01 	 1.182818e-02 	-4.807713e-01 	 6.116042e-04 	-4.958015e-01 	 1.785548e-02 	 
-4.799334e-01 	 8.952813e-03 	-4.799334e-01 	 5.930461e-03 	-4.799334e-01 	 9.368948e-03 	-4.799334e-01 	 -3.078015e-04 	-4.949746e-01 	 1.713548e-02 	 
-4.790923e-01 	 6.622470e-03 	-4.790923e-01 	 3.698283e-03 	-4.790923e-01 	 7.023068e-03 	-4.790923e-01 	 -8.114991e-04 	-4.941446e-01 	 1.631802e-02 	 
-4.782468e-01 	 4.448898e-03 	-4.782468e-01 	 1.838013e-03 	-4.782468e-01 	 4.809905e-03 	-4.782468e-01 	 -1.139446e-03 	-4.933100e-01 	 1.542412e-02 	 
-4.773954e-01 	 2.702249e-03 	-4.773954e-01 	 5.733833e-04 	-4.773954e-01 	 2.999446e-03 	-4.773954e-01 	 -1.241538e-03 	-4.924694e-01 	 1.458465e-02 	 
-4.765367e-01 	 1.304323e-03 	-4.765367e-01 	 -2.664888e-04 	-4.765367e-01 	 1.517399e-03 	-4.765367e-01 	 -1.247931e-03 	-4.916212e-01 	 1.374252e-02 	 
-4.756693e-01 	 3.397952e-04 	-4.756693e-01 	 -7.215326e-04 	-4.756693e-01 	 4.599472e-04 	-4.756693e-01 	 -1.116019e-03 	-4.907643e-01 	 1.297432e-02 	 
-4.747918e-01 	 -2.766824e-04 	-4.747918e-01 	 -9.987705e-04 	-4.747918e-01 	 -2.419334e-04 	-4.747918e-01 	 -9.549281e-04 	-4.898970e-01 	 1.225717e-02 	 
-4.739030e-01 	 -6.670040e-04 	-4.739030e-01 	 -1.236744e-03 	-4.739030e-01 	 -6.864146e-04 	-4.739030e-01 	 -8.065509e-04 	-4.890182e-01 	 1.158037e-02 	 
-4.730016e-01 	 -9.431015e-04 	-4.730016e-01 	 -1.411689e-03 	-4.730016e-01 	 -9.567445e-04 	-4.730016e-01 	 -6.601487e-04 	-4.881264e-01 	 1.095781e-02 	 
-4.720862e-01 	 -1.228206e-03 	-4.720862e-01 	 -1.486810e-03 	-4.720862e-01 	 -1.179898e-03 	-4.720862e-01 	 -5.490993e-04 	-4.872204e-01 	 1.035639e-02 	 
-4.711557e-01 	 -1.471545e-03 	-4.711557e-01 	 -1.416024e-03 	-4.711557e-01 	 -1.358600e-03 	-4.711557e-01 	 -4.497323e-04 	-4.862989e-01 	 9.791603e-03 	 
-4.702089e-01 	 -1.594192e-03 	-4.702089e-01 	 -1.260814e-03 	-4.702089e-01 	 -1.460227e-03 	-4.702089e-01 	 -3.788783e-04 	-4.853607e-01 	 9.253824e-03 	 
-4.692445e-01 	 -1.576519e-03 	-4.692445e-01 	 -1.082091e-03 	-4.692445e-01 	 -1.456252e-03 	-4.692445e-01 	 -3.362377e-04 	-4.844046e-01 	 8.746816e-03 	 
-4.682615e-01 	 -1.461000e-03 	-4.682615e-01 	 -9.027567e-04 	-4.682615e-01 	 -1.363151e-03 	-4.682615e-01 	 -2.910267e-04 	-4.834295e-01 	 8.271267e-03 	 
-4.672586e-01 	 -1.299921e-03 	-4.672586e-01 	 -7.398726e-04 	-4.672586e-01 	 -1.231795e-03 	-4.672586e-01 	 -2.446205e-04 	-4.824340e-01 	 7.823246e-03 	 
-4.662348e-01 	 -1.108976e-03 	-4.662348e-01 	 -5.895563e-04 	-4.662348e-01 	 -1.081945e-03 	-4.662348e-01 	 -1.962868e-04 	-4.814173e-01 	 7.404359e-03 	 
