x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	6.722394e-01 	6.723853e-01 	6.779641e-01 	6.791656e-01 	6.793548e-01 	6.793444e-01 	6.772488e-01 	6.676093e-01 	6.948156e-01 	6.596522e-01 	6.967073e-01 	6.597562e-01 	6.722978e-01 	6.732486e-01 	6.741396e-01 	6.781588e-01 	6.797788e-01 	 
1.550293e-02 	6.722528e-01 	6.724277e-01 	6.780239e-01 	6.792311e-01 	6.794167e-01 	6.793562e-01 	6.772808e-01 	6.741101e-01 	6.977314e-01 	6.551794e-01 	6.948829e-01 	6.592474e-01 	6.740327e-01 	6.734539e-01 	6.736026e-01 	6.805944e-01 	6.787122e-01 	 
3.121948e-02 	6.722891e-01 	6.724892e-01 	6.780919e-01 	6.792983e-01 	6.794684e-01 	6.793548e-01 	6.776820e-01 	6.802348e-01 	6.988064e-01 	6.511449e-01 	6.926744e-01 	6.615534e-01 	6.750017e-01 	6.735457e-01 	6.736028e-01 	6.830281e-01 	6.783165e-01 	 
4.672241e-02 	6.723400e-01 	6.725563e-01 	6.781580e-01 	6.793596e-01 	6.795084e-01 	6.793564e-01 	6.783684e-01 	6.847693e-01 	6.974055e-01 	6.516238e-01 	6.905282e-01 	6.656632e-01 	6.746031e-01 	6.733014e-01 	6.742014e-01 	6.843945e-01 	6.783598e-01 	 
6.240845e-02 	6.723996e-01 	6.726278e-01 	6.782224e-01 	6.794186e-01 	6.795430e-01 	6.793753e-01 	6.791971e-01 	6.873933e-01 	6.929034e-01 	6.564206e-01 	6.883623e-01 	6.707204e-01 	6.736535e-01 	6.726688e-01 	6.751909e-01 	6.847509e-01 	6.787329e-01 	 
7.794189e-02 	6.724672e-01 	6.727020e-01 	6.782824e-01 	6.794722e-01 	6.795745e-01 	6.794150e-01 	6.799598e-01 	6.880118e-01 	6.853694e-01 	6.631897e-01 	6.860157e-01 	6.760190e-01 	6.728485e-01 	6.714177e-01 	6.762083e-01 	6.845889e-01 	6.793025e-01 	 
9.362793e-02 	6.725405e-01 	6.727726e-01 	6.783360e-01 	6.795209e-01 	6.796041e-01 	6.794669e-01 	6.805112e-01 	6.867281e-01 	6.751730e-01 	6.710263e-01 	6.832144e-01 	6.811702e-01 	6.720217e-01 	6.700841e-01 	6.770439e-01 	6.839453e-01 	6.799190e-01 	 
1.093445e-01 	6.726131e-01 	6.728374e-01 	6.783826e-01 	6.795573e-01 	6.796293e-01 	6.795254e-01 	6.807485e-01 	6.837190e-01 	6.640279e-01 	6.790489e-01 	6.799098e-01 	6.855699e-01 	6.709504e-01 	6.686515e-01 	6.772686e-01 	6.827713e-01 	6.804562e-01 	 
1.248779e-01 	6.726813e-01 	6.728889e-01 	6.784164e-01 	6.795805e-01 	6.796622e-01 	6.795860e-01 	6.806362e-01 	6.794575e-01 	6.545213e-01 	6.849507e-01 	6.754416e-01 	6.887516e-01 	6.702843e-01 	6.658747e-01 	6.766402e-01 	6.811777e-01 	6.809230e-01 	 
1.405640e-01 	6.727377e-01 	6.729327e-01 	6.784461e-01 	6.796015e-01 	6.797112e-01 	6.796178e-01 	6.802132e-01 	6.746103e-01 	6.483777e-01 	6.882929e-01 	6.699546e-01 	6.907724e-01 	6.701667e-01 	6.624380e-01 	6.757721e-01 	6.793438e-01 	6.813385e-01 	 
