x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	5.211586e-02 	1.207438e-01 	1.046137e-01 	1.333668e-01 	7.517900e-02 	9.017677e-02 	1.523863e-01 	1.113250e-01 	8.919154e-02 	2.480727e-01 	2.292824e-01 	3.801237e-02 	1.446074e-01 	2.242340e-01 	1.601044e-01 	9.280233e-02 	3.420547e-01 	 
1.550293e-02 	5.211157e-02 	1.207000e-01 	1.045212e-01 	1.331442e-01 	7.499834e-02 	9.011366e-02 	1.482986e-01 	9.665174e-02 	1.215912e-01 	1.925519e-01 	2.563724e-01 	2.734528e-02 	1.470382e-01 	2.015786e-01 	1.456547e-01 	1.170510e-01 	3.321624e-01 	 
3.121948e-02 	5.209938e-02 	1.206389e-01 	1.044199e-01 	1.329225e-01 	7.483204e-02 	8.996860e-02 	1.438275e-01 	9.038503e-02 	1.585333e-01 	1.236893e-01 	2.761983e-01 	2.483667e-02 	1.483805e-01 	1.674668e-01 	1.334962e-01 	1.483755e-01 	3.175406e-01 	 
4.672241e-02 	5.208134e-02 	1.205679e-01 	1.043154e-01 	1.327198e-01 	7.467148e-02 	8.972526e-02 	1.400288e-01 	9.269364e-02 	1.981361e-01 	8.326671e-02 	2.897198e-01 	2.358327e-02 	1.438869e-01 	1.431837e-01 	1.275447e-01 	1.746074e-01 	3.006315e-01 	 
6.240845e-02 	5.206006e-02 	1.204898e-01 	1.042087e-01 	1.325406e-01 	7.450075e-02 	8.940127e-02 	1.376204e-01 	1.024705e-01 	2.365698e-01 	1.002311e-01 	3.005601e-01 	1.973658e-02 	1.357587e-01 	1.396161e-01 	1.262371e-01 	1.865082e-01 	2.826718e-01 	 
7.794189e-02 	5.203683e-02 	1.204113e-01 	1.041061e-01 	1.323963e-01 	7.431649e-02 	8.906813e-02 	1.370715e-01 	1.173835e-01 	2.679041e-01 	1.204536e-01 	3.119207e-01 	1.620045e-02 	1.288674e-01 	1.499181e-01 	1.281096e-01 	1.852283e-01 	2.652194e-01 	 
9.362793e-02 	5.201260e-02 	1.203374e-01 	1.040090e-01 	1.322838e-01 	7.411975e-02 	8.879862e-02 	1.383106e-01 	1.349090e-01 	2.887750e-01 	1.096680e-01 	3.254020e-01 	1.826543e-02 	1.215005e-01 	1.544457e-01 	1.334957e-01 	1.801703e-01 	2.483552e-01 	 
1.093445e-01 	5.198932e-02 	1.202729e-01 	1.039207e-01 	1.322064e-01 	7.392927e-02 	8.864690e-02 	1.408845e-01 	1.514214e-01 	2.967369e-01 	1.058768e-01 	3.377730e-01 	2.860476e-02 	1.110832e-01 	1.500667e-01 	1.406076e-01 	1.774665e-01 	2.319781e-01 	 
1.248779e-01 	5.196891e-02 	1.202221e-01 	1.038473e-01 	1.321575e-01 	7.375793e-02 	8.860606e-02 	1.440486e-01 	1.630903e-01 	2.933755e-01 	1.219908e-01 	3.411584e-01 	4.519705e-02 	9.979533e-02 	1.576552e-01 	1.441593e-01 	1.745233e-01 	2.163186e-01 	 
1.405640e-01 	5.195327e-02 	1.201821e-01 	1.037893e-01 	1.321184e-01 	7.361349e-02 	8.863489e-02 	1.470985e-01 	1.669357e-01 	2.815087e-01 	1.453232e-01 	3.273416e-01 	6.446452e-02 	8.825064e-02 	1.869641e-01 	1.412936e-01 	1.657380e-01 	2.029521e-01 	 
