x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	1.079892e-01 	1.559479e-01 	1.164892e-01 	1.360671e-01 	7.093415e-02 	7.776107e-02 	1.200259e-01 	1.431917e-01 	8.806771e-02 	1.008613e-01 	1.116542e-01 	-1.574598e-02 	1.041016e-01 	3.793854e-02 	1.615126e-01 	1.512156e-01 	4.992398e-03 	 
1.550293e-02 	1.079799e-01 	1.558969e-01 	1.163973e-01 	1.358728e-01 	7.074674e-02 	7.765746e-02 	1.201290e-01 	1.397393e-01 	7.025767e-02 	9.493863e-02 	1.102184e-01 	1.379605e-02 	1.049071e-01 	6.226612e-02 	1.627357e-01 	1.486332e-01 	4.624058e-03 	 
3.121948e-02 	1.079543e-01 	1.558249e-01 	1.162956e-01 	1.356742e-01 	7.057024e-02 	7.761234e-02 	1.193824e-01 	1.268591e-01 	5.999747e-02 	1.123589e-01 	1.126054e-01 	4.822470e-02 	9.447414e-02 	8.863406e-02 	1.560687e-01 	1.380233e-01 	1.744112e-03 	 
4.672241e-02 	1.079168e-01 	1.557406e-01 	1.161896e-01 	1.354866e-01 	7.041185e-02 	7.757872e-02 	1.178071e-01 	1.087500e-01 	5.480667e-02 	1.545110e-01 	1.118253e-01 	7.792603e-02 	8.556315e-02 	1.064081e-01 	1.431361e-01 	1.251044e-01 	-9.103734e-04 	 
6.240845e-02 	1.078728e-01 	1.556475e-01 	1.160804e-01 	1.353124e-01 	7.026617e-02 	7.751182e-02 	1.155952e-01 	9.023378e-02 	4.746351e-02 	1.924459e-01 	1.041042e-01 	1.025079e-01 	7.944360e-02 	1.133735e-01 	1.252402e-01 	1.153854e-01 	-1.088287e-03 	 
7.794189e-02 	1.078244e-01 	1.555529e-01 	1.159745e-01 	1.351619e-01 	7.013139e-02 	7.738784e-02 	1.132385e-01 	7.616903e-02 	3.738597e-02 	2.133359e-01 	9.074071e-02 	1.218027e-01 	7.298823e-02 	1.097748e-01 	1.042476e-01 	1.081418e-01 	1.930719e-03 	 
9.362793e-02 	1.077741e-01 	1.554629e-01 	1.158737e-01 	1.350337e-01 	6.999656e-02 	7.720333e-02 	1.112106e-01 	6.842122e-02 	3.308850e-02 	2.262245e-01 	7.347782e-02 	1.351366e-01 	6.863134e-02 	1.015606e-01 	8.075189e-02 	9.855668e-02 	7.273200e-03 	 
1.093445e-01 	1.077256e-01 	1.553836e-01 	1.157814e-01 	1.349306e-01 	6.986229e-02 	7.697937e-02 	1.099713e-01 	6.696035e-02 	4.408081e-02 	2.226243e-01 	5.061553e-02 	1.406164e-01 	7.067720e-02 	9.382830e-02 	5.680293e-02 	8.831043e-02 	1.356473e-02 	 
1.248779e-01 	1.076831e-01 	1.553205e-01 	1.157029e-01 	1.348528e-01 	6.973063e-02 	7.674832e-02 	1.097142e-01 	7.029922e-02 	7.000366e-02 	2.039098e-01 	1.886671e-02 	1.378468e-01 	7.294804e-02 	8.593488e-02 	3.787363e-02 	8.566127e-02 	2.016767e-02 	 
1.405640e-01 	1.076506e-01 	1.552702e-01 	1.156380e-01 	1.347904e-01 	6.959800e-02 	7.654250e-02 	1.103811e-01 	7.735352e-02 	1.041243e-01 	1.823848e-01 	-2.721888e-02 	1.280153e-01 	6.628919e-02 	8.215909e-02 	3.078022e-02 	9.480007e-02 	2.723307e-02 	 
