x	Cf	
-5.000000e-01 	 2.026179e-02 	 
-4.999471e-01 	 1.049969e-04 	 
-4.997877e-01 	 5.094991e-03 	 
-4.995212e-01 	 1.268426e-02 	 
-4.991479e-01 	 1.507868e-02 	 
-4.986692e-01 	 1.766613e-02 	 
-4.980874e-01 	 1.942791e-02 	 
-4.974055e-01 	 2.005280e-02 	 
-4.966272e-01 	 2.023468e-02 	 
-4.958019e-01 	 1.971152e-02 	 
-4.949751e-01 	 1.888487e-02 	 
-4.941451e-01 	 1.783328e-02 	 
-4.933106e-01 	 1.658314e-02 	 
-4.924700e-01 	 1.527789e-02 	 
-4.916220e-01 	 1.385321e-02 	 
-4.907651e-01 	 1.240396e-02 	 
-4.898979e-01 	 1.093405e-02 	 
-4.890191e-01 	 9.454973e-03 	 
-4.881274e-01 	 8.015529e-03 	 
-4.872214e-01 	 6.627641e-03 	 
-4.863000e-01 	 5.332913e-03 	 
-4.853619e-01 	 4.157578e-03 	 
-4.844059e-01 	 3.131238e-03 	 
-4.834308e-01 	 2.281731e-03 	 
-4.824354e-01 	 1.613251e-03 	 
-4.814187e-01 	 1.120775e-03 	 
-4.803795e-01 	 7.687791e-04 	 
-4.793168e-01 	 5.025462e-04 	 
-4.782296e-01 	 2.573937e-04 	 
-4.771168e-01 	 -2.297236e-05 	 
-4.759774e-01 	 -3.521010e-04 	 
-4.748105e-01 	 -6.905156e-04 	 
-4.736151e-01 	 -9.669832e-04 	 
-4.723904e-01 	 -1.130544e-03 	 
-4.711355e-01 	 -1.180204e-03 	 
-4.698495e-01 	 -1.149174e-03 	 
-4.685315e-01 	 -1.075187e-03 	 
-4.671808e-01 	 -9.886956e-04 	 
-4.657966e-01 	 -9.048361e-04 	 
-4.643781e-01 	 -8.238534e-04 	 
-4.629246e-01 	 -7.475870e-04 	 
-4.614355e-01 	 -6.802268e-04 	 
-4.599099e-01 	 -6.180450e-04 	 
-4.583473e-01 	 -5.579534e-04 	 
-4.567470e-01 	 -5.048602e-04 	 
-4.551085e-01 	 -4.590686e-04 	 
-4.534310e-01 	 -4.144348e-04 	 
-4.517142e-01 	 -3.729849e-04 	 
-4.499573e-01 	 -3.391479e-04 	 
-4.481600e-01 	 -3.058024e-04 	 
-4.463216e-01 	 -2.666592e-04 	 
-4.444418e-01 	 -2.268800e-04 	 
-4.425201e-01 	 -1.853518e-04 	 
-4.405560e-01 	 -1.333345e-04 	 
-4.385493e-01 	 -7.406493e-05 	 
-4.364994e-01 	 -1.534528e-05 	 
-4.344059e-01 	 4.545964e-05 	 
-4.322687e-01 	 1.073658e-04 	 
-4.300873e-01 	 1.581563e-04 	 
-4.278614e-01 	 1.931997e-04 	 
-4.255908e-01 	 2.174508e-04 	 
-4.232753e-01 	 2.298969e-04 	 
-4.209144e-01 	 2.272503e-04 	 
-4.185082e-01 	 2.164085e-04 	 
-4.160563e-01 	 2.062686e-04 	 
-4.135585e-01 	 1.970407e-04 	 
-4.110149e-01 	 1.870814e-04 	 
-4.084250e-01 	 1.785505e-04 	 
-4.057890e-01 	 1.717268e-04 	 
-4.031065e-01 	 1.636781e-04 	 
-4.003777e-01 	 1.552300e-04 	 
-3.976024e-01 	 1.509560e-04 	 
-3.947805e-01 	 1.512094e-04 	 
-3.919121e-01 	 1.512550e-04 	 
-3.889972e-01 	 1.474780e-04 	 
-3.860356e-01 	 1.406143e-04 	 
-3.830275e-01 	 1.336971e-04 	 
-3.799730e-01 	 1.301002e-04 	 
-3.768719e-01 	 1.312385e-04 	 
-3.737246e-01 	 1.348725e-04 	 
-3.705310e-01 	 1.377276e-04 	 
-3.672912e-01 	 1.394709e-04 	 
-3.640054e-01 	 1.413281e-04 	 
-3.606737e-01 	 1.413524e-04 	 
-3.572963e-01 	 1.348601e-04 	 
-3.538734e-01 	 1.205337e-04 	 
-3.504051e-01 	 1.027621e-04 	 
-3.468917e-01 	 8.497247e-05 	 
-3.433333e-01 	 6.655486e-05 	 
-3.397303e-01 	 4.679133e-05 	 
-3.360828e-01 	 2.647730e-05 	 
-3.323911e-01 	 5.508423e-06 	 
